'n	ə AL n AG
eifersucht	ʔ AK a AL ɪ̯ AB f BC ɐ AN z AJ ʊ AN x AJ t AC
eifersüchtig	a AL ɪ̯ AB f BC ɐ AN z AJ ʏ AN ç t AC ɪ AL ç
eifrig	a AL ɪ̯ AB f BC ʁ AJ ɪ AL ç
eiförmig	a AL ɪ̯ AB f BC œ AN ʁ AJ m AF ɪ AL ç
eigelb	a AL ɪ̯ AB ɡ AC ɛ AL l AE p AH
eigen	a AL ɪ̯ AB ɡ AC ə AL n AG
eigenart	a AL ɪ̯ AB ɡ AC n̩ BH ʔ AK aː AM ɐ̯ t AC
eigenarten	a AL ɪ̯ AB ɡ AC n̩ BH ʔ AK aː AM ɐ̯ t AC n̩ BH
eigenartig	a AL ɪ̯ AB ɡ AC n̩ BH ʔ AK aː AM ɐ̯ t AC ɪ AL ç
eigenartigerweise	a AL ɪ̯ AB ɡ AC n̩ BH ʔ AK aː AM ɐ̯ t AC ɪ AL ɡ AC ɐ AN v BC a AL ɪ̯ AB z AJ ə AL
eigenartigkeit	a AL ɪ̯ AB ɡ AC n̩ BH ʔ AK aː AM ɐ̯ t AC ɪ AL ç k AC a AL ɪ̯ AB t AC
eigenartigkeiten	a AL ɪ̯ AB ɡ AC n̩ BH ʔ AK aː AM ɐ̯ t AC ɪ AL ç k AC a AL ɪ̯ AB t AC n̩ BH
eigenbeschuss	a AL ɪ̯ AB ɡ AC n̩ BH b AH ə AL ʃ AJ ʊ AN s AJ
eigenbrötler	a AL ɪ̯ AB ɡ AC n̩ BH b AH ʁ AJ øː BA t AC l AE ɐ AN
eigenheit	a AL ɪ̯ AB ɡ AC ə AL n AG h AA a AL ɪ̯ AB t AC
eigenhändig	a AL ɪ̯ AB ɡ AC n̩ BH h AA ɛ AL n AG d AC ɪ AL ç
eigeninteresse	a AL ɪ̯ AB ɡ AC n̩ BH ʔ AK ɪ AL n AG t AC ə AL ʁ AJ ɛ AL s AJ ə AL
eigenmächtig	a AL ɪ̯ AB ɡ AC n̩ BH m AF ɛ AL ç t AC ɪ AL ç
eigennützig	a AL ɪ̯ AB ɡ AC n̩ BH n AG ʏ AN t AC s AJ ɪ AL ç
eigens	a AL ɪ̯ AB ɡ AC ə AL n AG s AJ
eigenschaft	ʔ AK a AL ɪ̯ AB ɡ AC n̩ BH ʃ AJ a AL f BC t AC
eigenschaftswort	a AL ɪ̯ AB ɡ AC n̩ BH ʃ AJ a AL f BC t AC s AJ v BC ɔ AN ʁ AJ t AC
eigensinn	a AL ɪ̯ AB ɡ AC n̩ BH z AJ ɪ AL n AG
eigensinnig	a AL ɪ̯ AB ɡ AC n̩ BH z AJ ɪ AL n AG ɪ AL ç
eigenständig	a AL ɪ̯ AB ɡ AC n̩ BH ʃ AJ t AC ɛ AL n AG d AC ɪ AL ç
eigentlich	a AL ɪ̯ AB ɡ AC ə AL n AG t AC l AE ɪ AL ç
eigentum	a AL ɪ AL ɡ AC ə AL n AG t AC uː BA m AF
eigentümer	a AL ɪ̯ AB ɡ AC ə AL n AG t AC yː BA m AF ɐ AN
eigentümlich	a AL ɪ AL ɡ AC n̩ BH t AC yː BA m AF l AE ɪ AL ç
eigentümlichkeit	a AL ɪ AL ɡ AC n̩ BH t AC yː BA m AF l AE ɪ AL ç k AC a AL ɪ̯ AB t AC
eigenwillig	a AL ɪ̯ AB ɡ AC n̩ BH v BC ɪ AL l AE ɪ AL ç
eiklar	a AL ɪ AL k AC l AE aː AM ɐ̯
eiland	a AL ɪ̯ AB l AE a AL n AG t AC
eile	ʔ AK a AL ɪ̯ AB l AE ə AL
eilig	ʔ AK a AL ɪ̯ AB l AE ɪ AL ç
eilmeldung	a AL ɪ̯ AB l AE m AF ɛ AL l AE d AC ʊ AN ŋ AG
eimer	ʔ AK a AL ɪ̯ AB m AF ɐ AN
ein	ə AL n AG
einander	ə AL n AG a AL n AG d AC ɐ AN
einarmig	a AL ɪ̯ AB n AG ʔ AK a AL ʁ AJ m AF ɪ AL ç
einatmen	a AL ɪ̯ AB n AG aː AM t AC m AF ə AL n AG
einatmend	a AL ɪ̯ AB n AG aː AM t AC m AF ə AL n AG t AC
einatmung	a AL ɪ̯ AB n AG aː AM t AC m AF ʊ AN ŋ AG
einband	a AL ɪ̯ AB n AG b AH a AL n AG t AC
einbauen	a AL ɪ̯ AB n AG b AH a AL ʊ̯ BF ə AL n AG
einbeinig	a AL ɪ̯ AB n AG b AH a AL ɪ̯ AB n AG ɪ AL ç
einberufen	a AL ɪ̯ AB n AG b AH ə AL ʁ AJ uː BA f BC n̩ BH
einberufung	a AL ɪ̯ AB n AG b AH ə AL r BB uː BA f BC ʊ AN ŋ AG
einberufungsbefehl	a AL ɪ̯ AB n AG b AH ə AL r BB uː BA f BC ʊ AN ŋ AG s AJ b AH ə AL f BC eː AM l AE
einbetten	a AL ɪ̯ AB n AG b AH ɛ AL t AC ə AL n AG
einbettung	a AL ɪ̯ AB n AG b AH ɛ AL t AC ʊ AN ŋ AG
einbildung	a AL ɪ̯ AB n AG b AH ɪ AL l AE d AC ʊ AN ŋ AG
einbinden	a AL ɪ̯ AB n AG b AH ɪ AL n AG d AC ə AL n AG
einblick	ʔ AK a AL ɪ̯ AB n AG b AH l AE ɪ AL k AC
einblicke	ʔ AK a AL ɪ̯ AB n AG b AH l AE ɪ AL k AC ə AL
einblickes	ʔ AK a AL ɪ̯ AB n AG b AH l AE ɪ AL k AC ə AL s AJ
einblicks	ʔ AK a AL ɪ̯ AB n AG b AH l AE ɪ AL k AC s AJ
einbläuen	a AL ɪ̯ AB n AG b AH l AE ɔ AN ɪ̯ AB ə AL n AG
einbrecher	a AL ɪ̯ AB n AG b AH ʀ BB ɛ AL ç ɐ AN
einbrocken	a AL ɪ̯ AB n AG b AH ʁ AJ ɔ AN k AC n̩ BH
einbruch	a AL ɪ̯ AB n AG b AH ʁ AJ ʊ AN x AJ
einbruchdiebstahl	a AL ɪ̯ AB n AG b AH r BB ʊ AN x AJ d AC iː AM p AH ʃ AJ t AC aː AM l AE
einbuchtung	a AL ɪ̯ AB n AG b AH ʊ AN x AJ t AC ʊ AN ŋ AG
einbürgern	a AL ɪ̯ AB n AG b AH ʏ AN ʁ AJ ɡ AC ɐ AN n AG
einbürgernd	a AL ɪ̯ AB n AG b AH ʏ AN ʁ AJ ɡ AC ɐ AN n AG t AC
einbürgerung	a AL ɪ̯ AB n AG b AH ʏ AN ʁ AJ ɡ AC ə AL ʁ AJ ʊ AN ŋ AG
einbüssen	a AL ɪ̯ AB n AG b AH yː BA s AJ n̩ BH
eindosen	a AL ɪ̯ AB n AG d AC oː BA z AJ ə AL n AG
eindringen	a AL ɪ̯ AB n AG d AC ʀ BB ɪ AL ŋ AG ə AL n AG
eindämmen	a AL ɪ̯ AB n AG d AC ɛ AL m AF ə AL n AG
eindämmern	a AL ɪ̯ AB n AG d AC ɛ AL m AF ɐ AN n AG
eindämmung	a AL ɪ̯ AB n AG d AC ɛ AL m AF ʊ AN ŋ AG
eindämmungsmassnahme	a AL ɪ̯ AB n AG d AC ɛ AL m AF ʊ AN ŋ AG s AJ m AF aː AM s AJ n AG aː AM m AF ə AL
eindämmungsmassnahmen	a AL ɪ̯ AB n AG d AC ɛ AL m AF ʊ AN ŋ AG s AJ m AF aː AM s AJ n AG aː AM m AF ə AL n AG
eindämmungspolitik	a AL ɪ̯ AB n AG d AC ɛ AL m AF ʊ AN ŋ AG s AJ p AH o AN l AE i AL t AC iː AM k AC
eindämmungsprozess	a AL ɪ̯ AB n AG d AC ɛ AL m AF ʊ AN ŋ AG s AJ p AH ʁ AJ o AN t AC s AJ ɛ AL s AJ
eine	ʔ AK a AL ɪ̯ AB n AG ə AL
eineindeutig	a AL ɪ̯ AB n AG ʔ AK a AL ɪ̯ AB n AG d AC ɔ AN ɪ̯ AB t AC ɪ AL ç
eineinhalb	a AL ɪ̯ AB n AG a AL ɪ̯ AB n AG h AA a AL l AE p AH
eines	a AL ɪ̯ AB n AG ə AL s AJ
einfach	ʔ AK a AL ɪ̯ AB n AG f BC a AL x AJ
einfacher	ʔ AK a AL ɪ̯ AB n AG f BC a AL x AJ ɐ AN
einfachheitshalber	a AL ɪ̯ AB n AG f BC a AL x AJ h AA a AL ɪ̯ AB t AC s AJ h AA a AL l AE b AH ɐ AN
einfachsten	ʔ AK a AL ɪ̯ AB n AG f BC a AL x AJ s AJ t AC ə AL n AG
einfahren	ʔ AK a AL ɪ̯ AB n AG f BC aː AM ʀ BB ə AL n AG
einfallen	a AL ɪ̯ AB n AG f BC a AL l AE ə AL n AG
einfallsreich	a AL ɪ AL n AG f BC a AL l AE s AJ ʁ AJ a AL ɪ AL ç
einfallstrasse	a AL ɪ̯ AB n AG f BC a AL l AE ʃ AJ t AC ʀ BB aː AM s AJ ə AL
einfalt	ʔ AK a AL ɪ̯ AB n AG f BC a AL l AE t AC
einfaltspinsel	a AL ɪ̯ AB n AG f BC a AL l AE t AC s AJ p AH ɪ AL n AG z AJ l̩ BI
einfangen	a AL ɪ̯ AB n AG f BC a AL ŋ AG ə AL n AG
einfarbig	a AL ɪ̯ AB n AG f BC a AL ʁ AJ b AH ɪ AL ç
einflechten	a AL ɪ̯ AB n AG f BC l AE ɛ AL ç t AC n̩ BH
einfliessen	a AL ɪ̯ AB n AG f BC l AE iː AM s AJ n̩ BH
einfluss	a AL ɪ̯ AB n AG f BC l AE ʊ AN s AJ
einflussbereich	a AL ɪ̯ AB n AG f BC l AE ʊ AN s AJ b AH ə AL ʁ AJ a AL ɪ̯ AB ç
einflussbereiche	a AL ɪ̯ AB n AG f BC l AE ʊ AN s AJ b AH ə AL ʁ AJ a AL ɪ̯ AB ç ə AL
einflussbereiches	a AL ɪ̯ AB n AG f BC l AE ʊ AN s AJ b AH ə AL ʁ AJ a AL ɪ̯ AB ç ə AL s AJ
einflussbereichs	a AL ɪ̯ AB n AG f BC l AE ʊ AN s AJ b AH ə AL ʁ AJ a AL ɪ̯ AB ç s AJ
einflussfaktor	a AL ɪ̯ AB n AG f BC l AE ʊ AN s AJ f BC a AL k AC t AC oː BA ɐ̯
einflusslos	a AL ɪ̯ AB n AG f BC l AE ʊ AN s AJ l AE oː BA s AJ
einflusslosigkeit	a AL ɪ̯ AB n AG f BC l AE ʊ AN s AJ l AE oː BA z AJ ɪ AL ç k AC a AL ɪ AL t AC
einflussreich	a AL ɪ AL n AG f BC l AE ʊ AN s AJ ʁ AJ a AL ɪ AL ç
einfrieden	a AL ɪ̯ AB n AG f BC f BC ʁ AJ iː AM d AC n̩ BH
einfriedung	a AL ɪ̯ AB n AG f BC ʁ AJ iː AM d AC ʊ AN ŋ AG
einfrieren	ʔ AK a AL ɪ̯ AB n AG f BC ʀ BB iː AM ʀ BB ə AL n AG
einfuhr	a AL ɪ̯ AB n AG f BC uː BA ɐ̯
einfärben	a AL ɪ̯ AB n AG f BC ɛ AL ʁ AJ b AH ə AL n AG
einfärbung	a AL ɪ̯ AB n AG f BC ɛ AL ʁ AJ b AH ʊ AN ŋ AG
einfügen	a AL ɪ̯ AB n AG f BC yː BA ɡ AC ə AL n AG
einfühlen	a AL ɪ̯ AB n AG f BC yː BA l AE ə AL n AG
einfühlsam	a AL ɪ̯ AB n AG f BC yː BA l AE z AJ aː AM m AF
einführung	a AL ɪ̯ AB n AG f BC yː BA ʀ BB ʊ AN ŋ AG
einfüssig	a AL ɪ̯ AB n AG f BC yː BA s AJ ɪ AL ç
einfüssigkeit	a AL ɪ̯ AB n AG f BC yː BA s AJ ɪ AL ç k AC a AL ɪ̯ AB t AC
eingabe	a AL ɪ̯ AB n AG ɡ AC aː AM b AH ə AL
eingang	ʔ AK a AL ɪ̯ AB n AG ɡ AC a AL ŋ AG
eingangstür	a AL ɪ̯ AB n AG ɡ AC a AL ŋ AG s AJ t AC yː BA ɐ̯
eingeben	ʔ AK a AL ɪ̯ AB n AG ɡ AC eː AM b AH ə AL n AG
eingebleut	a AL ɪ̯ AB n AG ɡ AC ə AL b AH l AE ɔ AN ɪ̯ AB t AC
eingebläut	a AL ɪ̯ AB n AG ɡ AC ə AL b AH l AE ɔ AN ɪ̯ AB t AC
eingeborene	a AL ɪ̯ AB n AG ɡ AC ə AL b AH oː BA ʁ AJ ə AL n AG ə AL
eingeborener	a AL ɪ̯ AB n AG ɡ AC ə AL b AH oː BA ʁ AJ ə AL n AG ɐ AN
eingebung	a AL ɪ̯ AB n AG ɡ AC eː AM b AH ʊ AN ŋ AG
eingebürgert	a AL ɪ̯ AB n AG ɡ AC ə AL b AH ʏ AN ʁ AJ ɡ AC ɐ AN t AC
eingebürgerter	a AL ɪ̯ AB n AG ɡ AC ə AL b AH ʏ AN ʁ AJ ɡ AC ɐ AN t AC ɐ AN
eingedeutscht	a AL ɪ̯ AB n AG ɡ AC ə AL d AC ɔ AN ɪ̯ AB t AC ʃ AJ t AC
eingehen	a AL ɪ̯ AB n AG ɡ AC eː AM ə AL n AG
eingeschlechtig	a AL ɪ̯ AB n AG ɡ AC ə AL ʃ AJ l AE ɛ AL ç t AC ɪ AL ç
eingeweide	a AL ɪ̯ AB n AG ɡ AC ə AL v BC a AL ɪ̯ AB d AC ə AL
eingleisig	a AL ɪ̯ AB n AG ɡ AC l AE a AL ɪ̯ AB z AJ ɪ AL ç
eingliedern	a AL ɪ̯ AB n AG ɡ AC l AE iː AM d AC ɐ AN n AG
eingreifen	a AL ɪ̯ AB n AG ɡ AC ʁ AJ a AL ɪ̯ AB f BC ə AL n AG
eingreiftruppe	a AL ɪ̯ AB n AG ɡ AC ʁ AJ a AL ɪ̯ AB f BC t AC ʀ BB ʊ AN p AH ə AL
eingriff	a AL ɪ̯ AB n AG ɡ AC ʀ BB ɪ AL f BC
einguss	a AL ɪ̯ AB n AG ɡ AC ʊ AN s AJ
eingängig	a AL ɪ̯ AB n AG ɡ AC ɛ AL ŋ AG ɪ AL ç
einhalt	a AL ɪ̯ AB n AG h AA a AL l AE t AC
einhaltung	a AL ɪ̯ AB n AG h AA a AL l AE t AC ʊ AN ŋ AG
einhauchen	a AL ɪ̯ AB n AG h AA a AL ʊ̯ BF x AJ n̩ BH
einheben	a AL ɪ̯ AB n AG h AA eː AM b AH ə AL n AG
einheimisch	a AL ɪ̯ AB n AG h AA a AL ɪ̯ AB m AF ɪ AL ʃ AJ
einheimischer	a AL ɪ̯ AB n AG h AA a AL ɪ̯ AB m AF ɪ AL ʃ AJ ɐ AN
einheimsen	a AL ɪ̯ AB n AG h AA a AL ɪ̯ AB m AF z AJ ə AL n AG
einheit	a AL ɪ̯ AB n AG h AA a AL ɪ̯ AB t AC
einheiten	a AL ɪ̯ AB n AG h AA a AL ɪ̯ AB t AC ə AL n AG
einheitlicher	ʔ AK a AL ɪ̯ AB n AG h AA a AL ɪ̯ AB t AC l AE ɪ AL ç ɐ AN
einheitlichkeit	ʔ AK a AL ɪ̯ AB n AG h AA a AL ɪ̯ AB t AC l AE ɪ AL ç k AC a AL ɪ̯ AB t AC
einheitspartei	a AL ɪ̯ AB n AG h AA a AL ɪ̯ AB t AC s AJ p AH a AL ʁ AJ t AC a AL ɪ̯ AB
einhellig	a AL ɪ̯ AB n AG h AA ɛ AL l AE ɪ AL ç
einher	a AL ɪ̯ AB n AG h AA eː AM ɐ̯
einherfahren	a AL ɪ̯ AB n AG h AA eː AM ɐ̯ f BC aː AM ʁ AJ ə AL n AG
einherschreiten	a AL ɪ̯ AB n AG h AA eː AM ɐ̯ ʃ AJ ʁ AJ a AL ɪ̯ AB t AC n̩ BH
einholen	ʔ AK a AL ɪ̯ AB n AG h AA oː BA l AE ə AL n AG
einhorn	ʔ AK a AL ɪ̯ AB n AG h AA ɔ AN ʁ AJ n AG
einhundert	a AL ɪ̯ AB n AG h AA ʊ AN n AG d AC ɐ AN t AC
einhundertprozentig	a AL ɪ̯ AB n AG h AA ʊ AN n AG d AC ɐ AN t AC p AH ʁ AJ o AN t AC s AJ ɛ AL n AG t AC ɪ AL ç
einhundertste	a AL ɪ̯ AB n AG h AA ʊ AN n AG d AC ɐ AN t AC s AJ t AC ə AL
einhunderttausend	a AL ɪ̯ AB n AG h AA ʊ AN n AG d AC ɐ AN t AC t AC a AL ʊ̯ BF z AJ ə AL n AG t AC
einhämmern	a AL ɪ̯ AB n AG h AA ɛ AL m AF ɐ AN n AG
einhüllen	a AL ɪ̯ AB n AG h AA ʏ AN l AE ə AL n AG
einig	a AL ɪ̯ AB n AG ɪ AL ç
einige	a AL ɪ̯ AB n AG ɪ AL ɡ AC ə AL
einimpfen	a AL ɪ̯ AB n AG ɪ AL m AF p AH f BC ə AL n AG
einkapseln	a AL ɪ̯ AB n AG k AC a AL p AH s AJ ə AL l AE n AG
einkaufen	a AL ɪ̯ AB n AG k AC a AL ʊ̯ BF f BC ə AL n AG
einkaufsbeutel	a AL ɪ̯ AB n AG k AC a AL ʊ̯ BF f BC s AJ b AH ɔ AN ɪ̯ AB t AC l̩ BI
einkaufskorb	a AL ɪ̯ AB n AG k AC a AL ʊ̯ BF f BC s AJ k AC ɔ AN ʁ AJ p AH
einkaufsliste	a AL ɪ̯ AB n AG k AC a AL ʊ̯ BF f BC s AJ l AE ɪ AL s AJ t AC ə AL
einkaufstasche	a AL ɪ̯ AB n AG k AC a AL ʊ̯ BF f BC s AJ t AC a AL ʃ AJ ə AL
einkaufstüte	a AL ɪ̯ AB n AG k AC a AL ʊ̯ BF f BC s AJ t AC yː BA t AC ə AL
einkaufswagen	a AL ɪ̯ AB n AG k AC a AL ʊ̯ BF f BC s AJ v BC aː AM ɡ AC ə AL n AG
einkaufszentrum	a AL ɪ̯ AB n AG k AC a AL ʊ̯ BF f BC s AJ t AC s AJ ɛ AL n AG t AC ʁ AJ ʊ AN m AF
einkehr	a AL ɪ̯ AB n AG k AC eː AM ɐ̯
einkehren	a AL ɪ̯ AB n AG k AC eː AM ʁ AJ ə AL n AG
einkettig	a AL ɪ̯ AB n AG k AC ɛ AL t AC ɪ AL ç
einklang	a AL ɪ̯ AB n AG k AC l AE a AL ŋ AG
einkochen	a AL ɪ̯ AB n AG k AC ɔ AN χ AJ n̩ BH
einkocher	a AL ɪ̯ AB n AG k AC ɔ AN x AJ ɐ AN
einkochers	a AL ɪ̯ AB n AG k AC ɔ AN x AJ ɐ AN s AJ
einkommen	a AL ɪ̯ AB n AG k AC ɔ AN m AF ə AL n AG
einkunft	a AL ɪ̯ AB n AG k AC ʊ AN n AG f BC t AC
einkäufer	a AL ɪ̯ AB n AG k AC ɔ AN ɪ̯ AB f BC ɐ AN
einküchenhaus	a AL ɪ̯ AB n AG k AC ʏ AN ç n̩ BH h AA a AL ʊ̯ BF s AJ
einkühlen	a AL ɪ̯ AB n AG k AC yː BA l AE n̩ BH
einladen	a AL ɪ̯ AB n AG l AE aː AM d AC ə AL n AG
einlage	a AL ɪ̯ AB n AG l AE aː AM ɡ AC ə AL
einlagern	ʔ AK a AL ɪ AL n AG l AE aː AM ɡ AC ɐ AN n AG
einlass	a AL ɪ̯ AB n AG l AE a AL s AJ
einlassen	a AL ɪ̯ AB n AG l AE a AL s AJ ə AL n AG
einlassung	a AL ɪ̯ AB n AG l AE a AL s AJ ʊ AN ŋ AG
einlauf	a AL ɪ̯ AB n AG l AE a AL ʊ̯ BF f BC
einlaufkind	ʔ AK a AL ɪ̯ AB n AG l AE a AL ʊ̯ BF f BC k AC ɪ AL n AG t AC
einlegen	a AL ɪ̯ AB n AG l AE eː AM ɡ AC ə AL n AG
einleiten	a AL ɪ̯ AB n AG l AE a AL ɪ̯ AB t AC n̩ BH
einleitung	a AL ɪ̯ AB n AG l AE a AL ɪ̯ AB t AC ʊ AN ŋ AG
einlesen	a AL ɪ̯ AB n AG l AE eː AM z AJ ə AL n AG
einling	a AL ɪ̯ AB n AG l AE ɪ AL ŋ AG
einlösen	a AL ɪ̯ AB n AG l AE øː BA z AJ ə AL n AG
einlösung	a AL ɪ̯ AB n AG l AE øː BA z AJ ʊ AN ŋ AG
einlösungen	a AL ɪ̯ AB n AG l AE øː BA z AJ ʊ AN ŋ AG ə AL n AG
einmachen	a AL ɪ̯ AB n AG m AF a AL χ AJ ə AL n AG
einmacher	a AL ɪ̯ AB n AG m AF a AL x AJ ɐ AN
einmachers	a AL ɪ̯ AB n AG m AF a AL x AJ ɐ AN s AJ
einmachglas	a AL ɪ̯ AB n AG m AF a AL x AJ ɡ AC l AE aː AM s AJ
einmachglases	a AL ɪ̯ AB n AG m AF a AL x AJ ɡ AC l AE aː AM z AJ ə AL s AJ
einmachgläser	a AL ɪ̯ AB n AG m AF a AL x AJ ɡ AC l AE ɛː AM z AJ ɐ AN
einmal	a AL ɪ̯ AB n AG m AF aː AM l AE
einmaleins	a AL ɪ̯ AB n AG m AF aː AM l AE a AL ɪ̯ AB n AG s AJ
einmalig	a AL ɪ̯ AB n AG m AF aː AM l AE ɪ AL ç
einmarschieren	ʔ AK a AL ɪ̯ AB n AG m AF a AL ʁ AJ ʃ AJ iː AM ʁ AJ ə AL n AG
einmauern	a AL ɪ̯ AB n AG m AF a AL ʊ̯ BF ɐ AN n AG
einmengen	a AL ɪ̯ AB n AG m AF ɛ AL ŋ AG ə AL n AG
einminütig	a AL ɪ̯ AB n AG m AF i AL n AG yː BA t AC ɪ AL ç
einmischen	a AL ɪ AL n AG m AF ɪ AL ʃ AJ ə AL n AG
einmischung	a AL ɪ AL n AG m AF ɪ AL ʃ AJ ʊ AN ŋ AG
einmonatig	a AL ɪ̯ AB n AG m AF oː BA n AG a AL t AC ɪ AL ç
einmotorig	a AL ɪ̯ AB n AG m AF o AN t AC oː BA ʁ AJ ɪ AL ç
einmotten	a AL ɪ̯ AB n AG m AF ɔ AN t AC ə AL n AG
einmütig	a AL ɪ̯ AB n AG m AF yː BA t AC ɪ AL ç
einnehmen	ʔ AK a AL ɪ̯ AB n AG n AG eː AM m AF ə AL n AG
einnehmend	a AL ɪ̯ AB n AG n AG eː AM m AF ə AL n AG t AC
einpacken	ʔ AK a AL ɪ̯ AB n AG p AH a AL k AC ə AL n AG
einplanen	a AL ɪ̯ AB n AG p AH l AE aː AM n AG ə AL n AG
einpreisen	a AL ɪ̯ AB n AG p AH ʁ AJ a AL ɪ̯ AB z AJ n̩ BH
einprozentig	a AL ɪ̯ AB n AG p AH ʁ AJ o AN t AC s AJ ɛ AL n AG t AC ɪ AL ç
einprägen	a AL ɪ̯ AB n AG p AH ʁ AJ ɛː AM ɡ AC n̩ BH
einprägsam	a AL ɪ̯ AB n AG p AH ʁ AJ ɛː AM k AC z AJ aː AM m AF
einquartieren	a AL ɪ̯ AB n AG k AC v BC a AL ʁ AJ t AC iː AM ʁ AJ ə AL n AG
einraumwohnung	a AL ɪ̯ AB n AG ʁ AJ a AL ʊ̯ BF m AF v BC oː BA n AG ʊ AN ŋ AG
einreichen	a AL ɪ̯ AB n AG ʁ AJ a AL ɪ̯ AB ç ə AL n AG
einreihig	a AL ɪ̯ AB n AG ʁ AJ a AL ɪ̯ AB ɪ AL ç
einreissen	a AL ɪ̯ AB n AG ʁ AJ a AL ɪ̯ AB s AJ n̩ BH
einrenken	a AL ɪ̯ AB n AG ʁ AJ ɛ AL ŋ AG k AC ə AL n AG
einrichten	ʔ AK a AL ɪ̯ AB n AG ʀ BB ɪ AL ç t AC ə AL n AG
einrichtung	ʔ AK a AL ɪ̯ AB n AG ʀ BB ɪ AL ç t AC ʊ AN ŋ AG
einrosten	a AL ɪ̯ AB n AG ʁ AJ ɔ AN s AJ t AC ə AL n AG
einrühren	a AL ɪ̯ AB n AG ʁ AJ yː BA ʁ AJ ə AL n AG
eins	a AL ɪ̯ AB n AG s AJ
einsam	a AL ɪ̯ AB n AG z AJ aː AM m AF
einsamkeit	a AL ɪ̯ AB n AG z AJ aː AM m AF k AC a AL ɪ̯ AB t AC
einsamkeiten	a AL ɪ̯ AB n AG z AJ aː AM m AF k AC a AL ɪ̯ AB t AC ə AL n AG
einsargen	a AL ɪ̯ AB n AG z AJ a AL ʁ AJ ɡ AC ə AL n AG
einsatz	ʔ AK a AL ɪ̯ AB n AG z AJ a AL t AC s AJ
einsatzkraft	a AL ɪ̯ AB n AG z AJ a AL t AC s AJ k AC ʀ BB a AL f BC t AC
einsatztruppe	a AL ɪ̯ AB n AG z AJ a AL t AC s AJ t AC ʀ BB ʊ AN p AH ə AL
einsatzverband	a AL ɪ̯ AB n AG z AJ a AL t AC s AJ f BC ɛ AL ɐ̯ b AH a AL n AG t AC
einsaugen	a AL ɪ̯ AB n AG z AJ a AL ʊ̯ BF ɡ AC ə AL n AG
einschalten	ʔ AK a AL ɪ̯ AB n AG ʃ AJ a AL l AE t AC ə AL n AG
einschlafen	ʔ AK a AL ɪ̯ AB n AG ʃ AJ l AE aː AM f BC ɱ̩
einschlag	a AL ɪ̯ AB n AG ʃ AJ l AE aː AM k AC
einschlagen	a AL ɪ̯ AB n AG ʃ AJ l AE aː AM ɡ AC ə AL ŋ AG
einschliessen	ʔ AK a AL ɪ̯ AB n AG ʃ AJ l AE iː AM s AJ ə AL n AG
einschliesslich	a AL ɪ̯ AB n AG ʃ AJ l AE iː AM s AJ l AE ɪ AL ç
einschlummern	a AL ɪ̯ AB n AG ʃ AJ l AE ʊ AN m AF ɐ AN n AG
einschlägig	a AL ɪ̯ AB n AG ʃ AJ l AE ɛː AM ɡ AC ɪ AL ç
einschmeicheln	a AL ɪ̯ AB n AG ʃ AJ m AF a AL ɪ̯ AB ç ə AL l AE n AG
einschnitt	a AL ɪ̯ AB n AG ʃ AJ n AG ɪ AL t AC
einschreibung	a AL ɪ̯ AB n AG ʃ AJ ʁ AJ a AL ɪ̯ AB b AH ʊ AN ŋ AG
einschub	a AL ɪ̯ AB n AG ʃ AJ uː BA p AH
einschätzen	a AL ɪ̯ AB n AG ʃ AJ ɛ AL t AC s AJ ə AL n AG
einschätzung	a AL ɪ̯ AB n AG ʃ AJ ɛ AL t AC s AJ ʊ AN ŋ AG
einsegnen	a AL ɪ̯ AB n AG z AJ eː AM ɡ AC n AG ə AL n AG
einseifen	a AL ɪ̯ AB n AG z AJ a AL ɪ̯ AB f BC ə AL n AG
einseitig	a AL ɪ̯ AB n AG z AJ a AL ɪ̯ AB t AC ɪ AL ç
einseitigkeit	a AL ɪ̯ AB n AG z AJ a AL ɪ̯ AB t AC ɪ AL ç k AC a AL ɪ̯ AB t AC
einsetzbar	ʔ AK a AL ɪ̯ AB n AG z AJ ɛ AL t AC s AJ b AH aː AM ɐ̯
einsetzen	ʔ AK a AL ɪ̯ AB n AG z AJ ɛ AL t AC s AJ ə AL n AG
einsicht	a AL ɪ̯ AB n AG z AJ ɪ AL ç t AC
einsichtig	a AL ɪ̯ AB n AG z AJ ɪ AL ç t AC ɪ AL ç
einsilbig	a AL ɪ̯ AB n AG z AJ ɪ AL l AE b AH ɪ AL ç
einsilbigkeit	a AL ɪ̯ AB n AG z AJ ɪ AL l AE b AH ɪ AL ç k AC a AL ɪ̯ AB t AC
einspeisen	a AL ɪ̯ AB n AG ʃ AJ p AH a AL ɪ̯ AB z AJ n̩ BH
einspielen	a AL ɪ̯ AB n AG ʃ AJ p AH iː AM l AE ə AL n AG
einsprachig	a AL ɪ̯ AB n AG ʃ AJ p AH ʀ BB aː AM χ AJ ɪ AL ç
einsprachigkeit	a AL ɪ̯ AB n AG ʃ AJ p AH ʀ BB aː AM χ AJ ɪ AL ç k AC a AL ɪ̯ AB t AC
einspritzen	ʔ AK a AL ɪ̯ AB n AG ʃ AJ p AH ʀ BB ɪ AL t AC s AJ ə AL n AG
einspurig	a AL ɪ̯ AB n AG ʃ AJ p AH uː BA ʁ AJ ɪ AL ç
einspänner	a AL ɪ̯ AB n AG s AJ p AH ɛ AL n AG ɐ AN
