က	k a̰ AG
ဒေါင်းလန်း	d a AD ʊ AE ɴ l a AD ɴ
ဒေါ်	d ɔ AE
ဒေါ်ကြီး	d ɔ AE d ʑ i AD
ဒေါ်လာ	d ɔ AE l a AD
ဒေါ်လေး	d ɔ AE l e AD
ဒံပေါက်	d a AD ɴ p a AD ʊ AE ʔ
ဒြပ်	d ə AD ɹ AI a AD ʔ
ဒြပ်စင်	d ə AD ɹ AI a AD ʔ s ɪ AD ɴ
ဒြပ်ထု	d ə AD ɹ AI a AD ʔ tʰ u AE
ဒွယံဒွယံ	d w AC a̰ AG j AB a AD ɴ d w AC a̰ AG j AB a AD ɴ
ဒွာရ	d w AC a AD j AB a̰ AG
ဒွိ	d w AC ḭ
ဒွိလိင်	d w AC ḭ l e AD ɪ AD ɴ
ဒွေးဘော်	d w AC e AD b ɔ AE
ဒဿဂီရိ	d ə AD θ a̰ AG ɡ i AD j AB ḭ
ဒဿနဗေဒ	d a̰ AG θ ə AD n a̰ AG b e AD d a̰ AG
ဒဿနိကဗေဒ	d a̰ AG θ ə AD n ḭ k a̰ AG b e AD d a̰ AG
ဓနရှင်	d ə AD n a̰ AG ʃ ɪ AD ɴ
ဓနိတ	d ə AD n ḭ t a̰ AG
ဓနု	d ə AD n ṵ
ဓမ္မ	d ə AD m a̰ AG
ဓမ္မတာ	d ə AD m ə AD d a AD
ဓမ္မတာကာလ	d ə AD m ə AD d a AD k a AD l a̰ AG
ဓမ္မတာလာ	d ə AD m ə AD d a AD l a AD
ဓမ္မတာဝန်	d ə AD m ə AD d a AD w AC ʊ AE ɴ
ဓမ္မဒဿီ	d ə AD m a̰ AG m a̰ AG d a AD ʔ θ i AD
ဓမ္မဒဿီဘုရား	d ə AD m a̰ AG d ə AD t θ i AD pʰ ə AD j AB a AD
ဓမ္မပါလ	d a AD ɴ m a̰ AG p a AD l a̰ AG
ဓမ္မသတ်	d ə AD m ə AD θ a AD ʔ
ဓလေ့	d ə AD l ḛ
ဓအောက်ခြိုက်	d a̰ AG ʔ a AD ʊ AE ʔ t ɕʰ a AD ɪ AD ʔ
ဓာတုဗေဒ	d a AD t ṵ b e AD d a̰ AG
ဓာတ်	d a AD ʔ
ဓာတ်ကြီးလေးပါး	d a AD t t ɕ i AD l e AD p a AD
ဓာတ်ခဲ	d a AD ʔ kʰ e AD
ဓာတ်ခွက်	d a AD t kʰ w AC ɛ AD ʔ
ဓာတ်ငွေ့	d a AD ʔ ŋ w AC ḛ
ဓာတ်ဆီ	d a AD ʔ sʰ i AD
ဓာတ်ဆီဆိုင်	d a AD ʔ sʰ i AD z a AD ɪ AD ɴ
ဓာတ်ပုံ	d a AD ʔ p o AE ʊ AE ɴ
ဓာတ်ပြား	d a AD ʔ p j AB a AD
ဓာတ်မီးခြစ်	d a AD ʔ m i AD d ʑ ɪ AD ʔ
ဓာတ်မီးပူ	d a AD ʔ m i AD b u AE
ဓာတ်လှေကား	d a AD ʔ l̥ e AD ɡ a AD
ဓာတ်အိုး	d a AD ʔ ʔ o AE
ဓား	d a AD
ဓားစာခံ	d ə AD z a AD ɡ a AD ɴ
ဓားပြ	d ə AD m j AB a̰ AG
ဓားပြား	d ə AD b j AB a AD
ဓားအိမ်	d ə AD ʔ e AD ɪ AD ɴ
နက္ခတ္တဗေဒ	n ɛ AD ʔ kʰ ə AD t a̰ AG b e AD d a̰ AG
နက်	n ɛ AD ʔ
နက်ဖြန်	n ɛ AD ʔ pʰ j AB a AD ɴ
နကျယ်ကောင်	n ə AD d ʑ ɛ AD ɡ a AD ʊ AE ɴ
နဂါး	n ə AD ɡ a AD
နဂါးမောက်	n a̰ AG ɡ a AD m a AD ʊ AE ʔ
နဂါးမောက်သီး	n a̰ AG ɡ a AD m a AD ʊ AE ʔ θ i AD
နငယ်	n a̰ AG ŋ ɛ AD
နင်	n ɪ AD ɴ
နင်တို့	n ɪ AD ɴ d o̰ AH
နည်း	n ɛ AD
နည်းနည်း	n ɛ AD n ɛ AD
နည်းနည်းချင်း	n i AD n i AD t ɕʰ ɪ AD ɴ
နည်းပညာ	n i AD p j AB ɪ AD ɴ ɲ a AD
နတ်	n a AD ʔ
နတ်ကွန်း	n a AD ʔ k ʊ AE ɴ
နတ်ဆိုး	n a AD ʔ sʰ o AE
နတ်တော်	n ə AD d ɔ AE
နတ်နန်း	n a AD ʔ n a AD ɴ
နတ်ပြည်ခြောက်ထပ်	n a AD ʔ p j AB i AD t ɕʰ a AD ʊ AE ʔ tʰ a AD ʔ
နတ်ရွာစံ	n a AD ʔ j AB w AC a AD s a AD ɴ
နတ်သုဓာ	n a AD ʔ θ o AE ʊ AE ʔ d a AD
နတ်သုဓာထမင်း	n a AD ʔ θ o AE ʊ AE ʔ d a AD tʰ ə AD m ɪ AD ɴ
နဒီ	n ə AD d i AD
နန္ဒာ	n a AD ɴ d a AD
နန်း	n a AD ɴ
နန်းကထိ	n a AD ɴ k ə AD tʰ ḭ
နန်းကြီး	n a AD ɴ t ɕ i AD
နန်းကြီးသုပ်	n a AD ɴ t ɕ i AD θ o AE ʊ AE ʔ
နန်းတော်	n a AD ɴ d ɔ AE
နန်းပြားသုပ်	n a AD ɴ b j AB a AD θ o AE ʊ AE ʔ
နန်းမတော်	n a AD ɴ m ə AD d ɔ AE
နန်းမြင့်	n a AD ɴ m j AB ɪ̰ AG ɴ
နနွင်း	sʰ ə AD n w AC ɪ AD ɴ
နပန်း	n ə AD b a AD ɴ
နဖူး	n a̰ AG pʰ u AE
နမီးဘီးယား	n a̰ AG m i AD b i AD j AB a AD
နမူနာ	n ə AD m u AE n a AD
နမ်း	n a AD ɴ
နယုန်	n ə AD j AB o AE ʊ AE ɴ
နယူးဇီလန်	n ə AD j AB u AE z i AD l a AD ɴ
နယူးဒေလီ	n ə AD j AB u AE d e AD l i AD
နယူးယောက်	n ə AD j AB u AE j AB a AD ʊ AE ʔ
နယ်	n ɛ AD
နယ်စပ်	n ɛ AD z a AD ʔ
နယ်သာလန်	n ɛ AD ð ə AD l a AD ɴ
နရက်	n ə AD ɹ AI ɛ AD ʔ
နရန်း	n ə AD j AB a AD ɴ
နရား	n ə AD j AB a AD
နဝကမ္မ	n ə AD w AC a̰ AG k a AD ɴ m a̰ AG
နဝမ	n ə AD w AC ə AD m a̰ AG
နဝရတ်	n ə AD w AC ə AD ɹ AI a AD ʔ
နဝရူပ	n a̰ AG w AC a̰ AG j AB u AE p a̰ AG
နာ	n a AD
နာဂဒေဝ	n a AD ɡ a̰ AG d e AD w AC a̰ AG
နာဂရီ	n a AD ɡ ə AD ɹ AI i AD
နာတာလူးပွဲ	n a AD t a AD l u AE b w AC ɛ AD
နာနတ်	n ə AD n a AD ʔ
နာနတ်ပွင့်	n ə AD n a AD ʔ p w AC ɪ̰ AG ɴ
နာနတ်သီး	n a AD n a AD ʔ θ i AD
နာနာ	n a AD n a AD
နာနာဘာဝ	n a AD n a AD b a AD w AC a̰ AG
နာမ	n a AD m a̰ AG
နာမကရဏ	n a AD m a̰ AG k ə AD ɹ AI ə AD n a̰ AG
နာမကျန်း	n a AD m ə AD t ɕ a AD ɴ
နာမည်	n a AD m j AB i AD
နာမဝိသေသန	n a AD m a̰ AG w AC ḭ θ e AD θ ə AD n a̰ AG
နာမ်	n a AD ɴ
နာမ်စား	n a AD m z a AD
နာရဒ	n a AD ɹ AI ə AD d a̰ AG
နာရဒဘုရား	n a AD ɹ AI ə AD d a̰ AG pʰ ə AD j AB a AD
နာရီ	n a AD j AB i AD
နာရီဝက်	n a AD j AB i AD w AC ɛ AD ʔ
နား	n a AD
နားကပ်	n a AD ɡ a AD ʔ
နားကြပ်	n ə AD d ʑ a AD ʔ
နားကွင်း	n a AD ɡ w AC ɪ AD ɴ
နားထင်	n ə AD tʰ ɪ AD ɴ
နားထောင်	n a AD tʰ a AD ʊ AE ɴ
နားရွက်	n ə AD j AB w AC ɛ AD ʔ
နားလည်	n a AD l ɛ AD
နိကာယ	n ḭ k a AD j AB a̰ AG
နိခါတကဗေဒ	n ḭ kʰ a AD t ə AD k a̰ AG b e AD d a̰ AG
နိဂ္ဂဟိတ	n e AD ɪ AD ʔ ɡ ə AD h AA ḭ t a̰ AG
နိစ္စ	n e AD s a̰ AG
နိဒါန်း	n ḭ d a AD ɴ
နိဒ္ဒေသ	n e AD ɪ AD ʔ d e AD θ a̰ AG
နိပေါ	n ḭ p ɔ AE
နိဗ္ဗာန်	n e AD ɪ AD ʔ b a AD ɴ
နိယာမ	n ḭ j AB a AD m a̰ AG
နိုက်ထရိုဂျင်	n a AD ɪ AD ʔ tʰ ə AD ɹ AI o AE d ʑ ɪ AD ɴ
နိုင်	n a AD ɪ AD ɴ
နိုင်ဂျာ	n a AD ɪ AD ɴ d ʑ a AD
နိုင်ဂျီးရီးယား	n a AD ɪ AD ɴ d ʑ i AD ɹ AI i AD j AB a AD
နိုင်ငံ	n a AD ɪ AD ɴ ŋ a AD ɴ
နိုင်ငံကူးလက်မှတ်	n a AD ɪ AD ɴ ŋ a AD ɴ ɡ u AE l ɛ AD ʔ m̥ a AD ʔ
နိုင်ငံခြား	n a AD ɪ AD ɴ ŋ a AD ɴ d ʑ a AD
နိုင်ငံခြားသား	n a AD ɪ AD ɴ ɡ a AD ɴ d ʑ a AD ð a AD
နိုင်ငံတော်	n a AD ɪ AD ɴ ŋ a AD ɴ d ɔ AE
နိုင်ငံတော်သီချင်း	n a AD ɪ AD ɴ ŋ a AD ɴ d ɔ AE θ ə AD t ɕʰ ɪ AD ɴ
နိုင်ငံရေး	n a AD ɪ AD ɴ ŋ a AD ɴ j AB e AD
နိုင်ငံသား	n a AD ɪ AD ɴ ŋ a AD ɴ ð a AD
နိုင်ငံသားအဖြစ်	n a AD ɪ AD ɴ ŋ a AD ɴ ð a AD ʔ ə AD pʰ j AB ɪ AD ʔ
နိုင်နိုင်	n a AD ɪ AD ɴ n a AD ɪ AD ɴ
နိုဝင်ဘာ	n o AE w AC ɪ AD ɴ b a AD
နို့	n o̰ AH
နို့ဆီ	n o̰ AH z i AD
နို့လိမ်	n o̰ AH l e AD ɪ AD ɴ
နို့သီး	n o̰ AH ð i AD
နို့သီးခေါင်း	n o̰ AH ð i AD ɡ a AD ʊ AE ɴ
နိုး	n o AE
နိဿယ	n e AD ɪ AD ʔ θ ə AD j AB a̰ AG
နီ	n i AD
နီကာရာဂွါ	n i AD k a AD ɹ AI a AD ɡ w AC a AD
နီတိ	n i AD t ḭ
နီလာ	n i AD l a AD
နီး	n i AD
နုပ်	n o AE ʊ AE ʔ
နေ	n e AD
နေကောင်း	n e AD k a AD ʊ AE ɴ
နေကောင်းရဲ့လား	n e AD k a AD ʊ AE ɴ j AB ɛ̰ AG l a AD
နေစကြဝဠာ	n e AD s ɛ AD ʔ t ɕ a AD w AC ə AD l a AD
နေစာ	n e AD z a AD
နေထွက်	n e AD tʰ w AC ɛ AD ʔ
နေပြည်တော်	n e AD p j AB i AD d ɔ AE
နေရာ	n e AD j AB a AD
နေရာငါးသွယ်	n e AD j AB a AD ŋ a AD θ w AC ɛ AD
နေရာထိုင်ခင်း	n e AD j AB a AD tʰ a AD ɪ AD ɴ ɡ ɪ AD ɴ
နေဝင်	n e AD w AC ɪ AD ɴ
နေအိမ်	n e AD ʔ e AD ɪ AD ɴ
နောက်	n a AD ʊ AE ʔ
နောက်ကျ	n a AD ʊ AE ʔ t ɕ a̰ AG
နောက်ဆက်	n a AD ʊ AE ʔ sʰ ɛ AD ʔ
နောက်ပြီး	n a AD ʊ AE ʔ p i AD
နောက်ရုံး	n a AD ʊ AE ʔ j AB o AE ʊ AE ɴ
နောင်	n a AD ʊ AE ɴ
နော်	n ɔ AE
နော်ရထာ	n ɔ AE j AB ə AD tʰ a AD
နော်ဝေ	n ɔ AE w AC e AD
နေ့	n ḛ
နေ့စဉ်	n ḛ z ɪ AD ɴ
နေ့စွဲ	n ḛ z w AC ɛ AD
နေ့လည်	n ḛ l ɛ AD
နေ့လယ်	n ḛ l ɛ AD
နေ့လယ်စာ	n ḛ l ɛ AD z a AD
နဲ့	n ɛ̰ AG
နံကထိုင်	n a AD ɴ k ə AD tʰ a AD ɪ AD ɴ
နံနက်	n a AD ɴ n ɛ AD ʔ
နံနက်စာ	n a AD ɴ n ɛ AD ʔ s a AD
နံနံ	n a AD ɴ n a AD ɴ
နံပါတ်	n a AD ɴ b a AD ʔ
နံပြား	n a AD ɴ b j AB a AD
နံရိုး	n a AD ɴ j AB o AE
နျူကလိယ	n j AB u AE k ə AD l ḭ j AB a̰ AG
နွယ်တာ	n w AC ɛ AD t a AD
နွား	n w AC a AD
နွားထီး	n ə AD tʰ i AD
နွားနို့	n w AC a AD n o̰ AH
နွားနို့ခေါက်ဆွဲ	n w AC a AD n o̰ AH kʰ a AD ʊ AE ʔ sʰ w AC ɛ AD
နွားမ	n ə AD m a̰ AG
နွေ	n w AC e AD
နွေရာသီ	n w AC e AD j AB a AD ð i AD
နွေဦး	n w AC e AD ʔ u AE
နွေဦးပေါက်	n w AC e AD ʔ u AE b a AD ʊ AE ʔ
နွေဦးရာသီ	n w AC e AD ʔ u AE j AB a AD ð i AD
နွေး	n w AC e AD
နှင့်	n̥ ɪ̰ AG ɴ
နှင့်တကွ	n̥ ɪ̰ AG ɴ d ə AD ɡ w AC a̰ AG
နှင်း	n̥ ɪ AD ɴ
နှင်းခဲ	n̥ ɪ AD ɴ ɡ ɛ AD
နှင်းပွင့်	n̥ ɪ AD ɴ b w AC ɪ̰ AG ɴ
နှင်းသီး	n̥ ɪ AD ɴ ð i AD
နှစ်	n̥ ɪ AD ʔ
နှစ်ချုပ်	n̥ ɪ AD ʔ d ʑ o AE ʊ AE ʔ
နှစ်ချောင်းပုဒ်	n̥ ə AD t ɕʰ a AD ʊ AE ɴ p o AE ʊ AE ʔ
နှစ်စဉ်	n̥ ɪ AD ʔ z ɪ AD ɴ
နှစ်ဆန်းတစ်ရက်	n̥ ɪ AD ʔ sʰ a AD ɴ t ə AD j AB ɛ AD ʔ
နှစ်ဆန်းတစ်ရက်နေ့	n̥ ɪ AD ʔ sʰ a AD ɴ t ə AD j AB ɛ AD ʔ n ḛ
နှစ်ဆယ့်တစ်	n̥ ɪ AD ʔ sʰ ɛ̰ AG t ɪ AD ʔ
နှစ်ဆယ်	n̥ ɪ AD ʔ sʰ ɛ AD
နှစ်ရာ	n̥ ə AD j AB a AD
နှစ်လ	n̥ ə AD l a̰ AG
နှပ်	n̥ a AD ʔ
နှမ	n̥ ə AD m a̰ AG
နှမ်း	n̥ a AD ɴ
နှမ်းစေ့	n̥ a AD ɴ z ḛ
နှမ်းဆီ	n̥ a AD ɴ z i AD
နှလုံး	n̥ ə AD l o AE ʊ AE ɴ
နှလုံးရောဂါ	n̥ ə AD l o AE ʊ AE ɴ j AB ɔ AE ɡ a AD
နှာ	n̥ a AD
နှာခေါင်း	n̥ ə AD kʰ a AD ʊ AE ɴ
နှာခေါင်းပေါက်	n̥ ə AD kʰ a AD ʊ AE ɴ b a AD ʊ AE ʔ
နှာဘူး	n̥ a AD b u AE
နှာမောင်း	n̥ ə AD m a AD ʊ AE ɴ
နှိပ်ကြယ်သီး	n̥ e AD ɪ AD ʔ t ɕ ɛ AD ð i AD
နှုတ်	n̥ o AE ʊ AE ʔ
နှုတ်ခမ်း	n̥ o AE ʊ AE ʔ kʰ a AD ɴ
နှုတ်ဆက်	n̥ o AE ʊ AE ʔ sʰ ɛ AD ʔ
နှုတ်သီး	n̥ o AE ʊ AE ʔ θ i AD
နှော	n̥ ɔ AE
နှောက်	n̥ a AD ʊ AE ʔ
နှောင်း	n̥ a AD ʊ AE ɴ
နှေး	n̥ e AD
နှံကောင်	n̥ a AD ɴ ɡ a AD ʊ AE ɴ
ပကတိ	b ə AD ɡ ə AD d ḭ
ပကောဋိ	p ə AD k ɔ AE d ḭ
ပက်ကျိ	p ɛ AD ʔ t ɕ ḭ
ပခုက္ကူ	p ə AD kʰ u AE k k u AE
ပခုံး	p ə AD kʰ o AE ʊ AE ɴ
ပင့်	p ɪ̰ AG ɴ
ပင့်ကူ	p ɪ̰ AG ɴ ɡ u AE
ပင့်ကူအိမ်	p ɪ̰ AG ɴ ɡ u AE ʔ e AD ɪ AD ɴ
ပင်ဂွင်	p ɪ AD ɴ ɡ w AC ɪ AD ɴ
ပင်စင်	p ɪ AD ɴ s ɪ AD ɴ
ပင်စင်စား	p ɪ AD ɴ s ɪ AD ɴ s a AD
ပင်စည်	p ɪ AD ɴ z i AD
ပင်စိမ်း	p ɪ AD ɴ z e AD ɪ AD ɴ
ပင်စိမ်းမွှေး	p ɪ AD ɴ z e AD ɪ AD ɴ m̥ w AC e AD
ပင်ပေါင်	p ɪ AD ɴ p a AD ʊ AE ɴ
ပင်မှည့်	p ɪ AD ɴ m̥ ɛ̰ AG
ပင်လယ်	p ɪ AD ɴ l ɛ AD
ပင်လယ်ဆား	p ɪ AD ɴ l ɛ AD z a AD
ပင်လယ်ဓားပြ	p ɪ AD ɴ l ɛ AD d ə AD m j AB a̰ AG
ပင်လယ်အော်	p ɪ AD ɴ l ɛ AD ʔ ɔ AE
ပစောက်	p a̰ AG z a AD ʊ AE ʔ
ပစ္စက္ခ	p ɪ AD ʔ s ɛ AD ʔ kʰ a̰ AG
ပစ္စည်း	p ɪ AD ʔ s i AD
ပစ္စည်းလေးပါး	p j AB ɪ AD ʔ s i AD l e AD b a AD
ပစ္စယာ	p j AB ɪ AD ʔ s ə AD j AB a AD
ပစ္စုပ္ပန်	p j AB ɪ AD ʔ s o AE ʊ AE ʔ p a AD ɴ
ပစ္ဆိမ	p j AB ɪ AD ʔ sʰ e AD ɪ AD ʔ m a̰ AG
ပစ်	p j AB ɪ AD ʔ
ပဇာ	b ə AD z a AD
ပဉ္စကလျာဏီ	p j AB ɪ AD ɴ s a̰ AG k ə AD l ə AD j AB a AD n i AD
ပဉ္စင်တူရိယာ	p j AB ɪ AD ʔ s ɪ AD ɴ t u AE ɹ AI ḭ j AB a AD
ပဉ္စင်း	b ə AD z ɪ AD ɴ
ပဉ္စမ	p j AB ɪ AD ɴ s ə AD m a̰ AG
ပဉ္စရူပ	p j AB ɪ AD ɴ s a̰ AG ɹ AI u AE p a̰ AG
ပဉ္စလက်	p ɪ AD ɴ s ə AD l ɛ AD ʔ
ပညတ်	p j AB ɪ̰ AG ɴ n a AD ʔ
ပညတ်တော်	p j AB ɪ̰ AG ɴ n a AD ʔ t ɔ AE
ပညာ	p j AB ɪ AD ɴ ɲ a AD
ပညာကျော်	p j AB ɪ AD ɴ ɲ a AD d ʑ ɔ AE
ပညာပေး	p j AB ɪ AD ɴ ɲ a AD p e AD
ပညာဗလ	p j AB ɪ AD ɴ ɲ a AD b ə AD l a̰ AG
ပညာရေး	p j AB ɪ AD ɴ ɲ a AD j AB e AD
ပညာရှင်	p j AB ɪ AD ɴ ɲ a AD ʃ ɪ AD ɴ
ပဋိဇီဝဆေး	p a̰ AG d ḭ z i AD w AC a̰ AG sʰ e AD
ပဋိပက္ခ	p ə AD t ḭ p ɛ AD ʔ kʰ a̰ AG
ပဋိပက္ခဒေသ	p ə AD d ḭ p ɛ AD ʔ kʰ a̰ AG d e AD θ a̰ AG
ပဋိသန္ဓေ	p ə AD d ḭ θ a AD ɴ d e AD
ပဌမ	p a̰ AG tʰ a̰ AG m a̰ AG
ပဏ္ဍိတ	p a AD n d ḭ t a̰ AG
ပဏ္ဏာ	p ə AD n a AD
ပတ္တမြား	b ə AD d ə AD m j AB a AD
ပတ္တလား	p a AD ʔ t a̰ AG l a AD
ပတ္ထနာ	p ə AD tʰ ə AD n a AD
ပတ်	p a AD ʔ
ပတ်စပို့	p a AD ʔ s ə AD p o̰ AH
ပတ်တီး	p a AD ʔ t i AD
ပတ်ဝန်းကျင်	p a AD ʔ w AC ʊ AE ɴ t ɕ ɪ AD ɴ
ပထမ	p a̰ AG tʰ a̰ AG m a̰ AG
ပထမဘွဲ့	p a̰ AG tʰ ə AD m a̰ AG b w AC ɛ̰ AG
ပထဝီဝင်	p ə AD tʰ ə AD w AC i AD w AC ɪ AD ɴ
ပထွေး	p ə AD tʰ w AC e AD
ပဒုမ	p ə AD d ṵ m a̰ AG
ပဒုမဘုရား	p ə AD d ṵ m a̰ AG pʰ ə AD j AB a AD
ပဒုမုတ္တရ	p ə AD d ṵ m o AE ʊ AE ʔ t ə AD ɹ AI a̰ AG
ပဒုမုတ္တရဘုရား	p ə AD d ṵ m o AE ʊ AE ʔ t ə AD ɹ AI a̰ AG pʰ ə AD j AB a AD
ပဒေသရာဇ်	b ə AD d e AD θ ə AD ɹ AI ɪ AD ʔ
ပဒေသာ	b ə AD d e AD ð a AD
ပဒေသာပင်	b ə AD d e AD ð a AD b ɪ AD ɴ
ပနားမား	p a̰ AG n a AD m a AD
ပန်	p a AD ɴ
ပန်ကာ	p a AD ɴ k a AD
ပန်တျာ	p a AD ɴ t ə AD j AB a AD
ပန်း	p a AD ɴ
ပန်းကန်	b ə AD ɡ a AD ɴ
ပန်းခုနစ်မည်	p a AD ɴ kʰ ə AD n ə AD m j AB i AD
ပန်းချီ	b ə AD d ʑ i AD
ပန်းချီဆရာ	b ə AD d ʑ i AD sʰ ə AD j AB a AD
ပန်းခြံ	p a AD ɴ d ʑ a AD ɴ
ပန်းဂေါ်ဖီ	p a AD ɴ ɡ ɔ AE b i AD
ပန်းစည်း	p a AD ɴ z i AD
ပန်းဆယ်မျိုး	p a AD ɴ sʰ ɛ AD m j AB o AE
ပန်းတဉ်း	b ə AD d ɪ AD ɴ
ပန်းတမော့	p a AD ɴ d ə AD m ɔ̰ AH
ပန်းတော့	p a AD ɴ d ɔ̰ AH
ပန်းထိမ်	b ə AD d e AD ɪ AD ɴ
ပန်းနာ	p a AD ɴ n a AD
ပန်းနာရင်ကျပ်	p a AD ɴ n a AD j AB ɪ AD ɴ t ɕ a AD ʔ
ပန်းပု	b ə AD b ṵ
ပန်းပဲ	b ə AD b ɛ AD
ပန်းပွတ်	b ə AD b ʊ AE ʔ
ပန်းမုန်လာ	p a AD ɴ m o AE ʊ AE ɴ l a AD
ပန်းမုန်လာစိမ်း	p a AD ɴ m o AE ʊ AE ɴ l a AD z e AD ɪ AD ɴ
ပန်းမုန်လာဖြူ	p a AD ɴ m o AE ʊ AE ɴ l a AD b j AB u AE
ပန်းယွန်း	p a AD ɴ j AB ʊ AE ɴ
ပန်းရန်	b ə AD j AB a AD ɴ
ပန်းရွဲ	p a AD ɴ j AB w AC ɛ AD
ပန်းသီး	p a AD ɴ ð i AD
ပန်းသေရောဂါ	p a AD ɴ θ e AD j AB ɔ AE ɡ a AD
ပန်းသေး	p a AD ɴ ð e AD
ပန်းသေးခေါက်ဆွဲ	p a AD ɴ θ e AD kʰ a AD ʊ AE ʔ sʰ w AC ɛ AD
ပန်းအိ	p a AD ɴ ʔ ḭ
ပန်းအိုး	p a AD ɴ ʔ o AE
ပမာဏ	p ə AD m a AD n a̰ AG
ပယောဂ	p ə AD j AB ɔ AE ɡ a̰ AG
ပယ်ရှား	p ɛ AD ʃ a AD
ပရဟိတ	p ə AD ɹ AI a̰ AG h AA ḭ t a̰ AG
ပရိက္ခရာ	p ə AD ɹ AI e AD ɪ AD ʔ kʰ ə AD j AB a AD
ပရိဒေဝ	p ə AD ɹ AI ḭ d e AD w AC a̰ AG
ပရိဘောဂ	p ə AD ɹ AI ḭ b ɔ AE ɡ a̰ AG
ပရိယာယ်	p ə AD ɹ AI ḭ j AB e AD
ပရိသတ်	p ə AD j AB e AD ɪ AD ʔ θ a AD ʔ
ပရိုဂရမ်	p ə AD ɹ AI o AE ɡ ə AD ɹ AI a AD ɴ
ပရိုဂျက်	p ə AD ɹ AI o AE d ʑ ɛ AD ʔ
ပရုတ်	p ə AD j AB o AE ʊ AE ʔ
ပလတ်	p ə AD l a AD ʔ
ပလတ်စတစ်	p ə AD l a AD ʔ s ə AD t ɪ AD ʔ
ပလပ်ကြွတ်	p a̰ AG l a AD ʔ t ɕ ʊ AE ʔ
ပလပ်စတစ်	p ə AD l a AD ʔ s ə AD t ɪ AD ʔ
ပလာတာ	p ə AD l a AD t a AD
ပလိပ်	p ə AD l e AD ɪ AD ʔ
ပလူတိုနီယမ်	p ə AD l u AE t o AE n i AD j AB a AD ɴ
ပလောင်	p ə AD l a AD ʊ AE ɴ
ပလ္လင်	p ə AD l ɪ AD ɴ
ပလွေ	p a̰ AG l w AC e AD
ပဝရ	p ə AD w AC ə AD ɹ AI a̰ AG
ပဝါ	p a̰ AG w AC a AD
ပဝေဏီ	p ə AD w AC e AD n i AD
ပသီ	p ə AD θ i AD
ပသျှူး	p ə AD ʃ u AE
ပသျှူးရာမ	p ə AD ʃ u AE j AB a AD m a̰ AG
ပအို့ဝ်	p ə AD ʔ o̰ AH
ပါ	p a AD
ပါကစ္စတန်	p a AD k ɪ AD ʔ s ə AD t a AD ɴ
ပါဆယ်	p a AD sʰ ɛ AD
ပါတာနီ	p a AD t a AD n i AD
ပါတိတ်	p a AD t e AD ɪ AD ʔ
ပါတီ	p a AD t i AD
ပါပူအာနယူးဂီနီ	p a AD p u AE ʔ a AD n ə AD j AB u AE ɡ i AD n i AD
ပါမောက္ခ	p a AD m a AD ʊ AE ʔ kʰ a̰ AG
ပါရဂူဘွဲ့	p a AD j AB ə AD ɡ u AE b w AC ɛ̰ AG
ပါရမီ	p a AD ɹ AI ə AD m i AD
ပါရရာ	p a AD ɹ AI ə AD j AB a AD
ပါရာဂွေး	p a AD ɹ AI a AD ɡ w AC e AD
ပါရီ	p a AD ɹ AI i AD
ပါရှား	p a AD ʃ a AD
ပါလက်စတိုင်း	p a AD l ɛ AD ʔ s ə AD t a AD ɪ AD ɴ
ပါလီမန်	p a AD l i AD m a AD ɴ
ပါဝါ	p a AD w AC a AD
ပါဠိ	p a AD l ḭ
ပါး	p a AD
ပါးစပ်	p ə AD z a AD ʔ
ပါးဟက်	p ə AD h AA ɛ AD ʔ
ပိ	p ḭ
ပိဋကတ်	b ḭ t ə AD ɡ a AD ʔ
ပိဋကတ်တိုက်	b ḭ d ə AD ɡ a AD ʔ d a AD ɪ AD ʔ
ပိတ်	p e AD ɪ AD ʔ
ပိန္နဲ	p e AD ɪ AD ɴ n ɛ AD
ပိန်းဥ	p e AD ɪ AD ɴ ʔ ṵ
ပိရမစ်	p ḭ ɹ AI ə AD m ɪ AD ʔ
ပို	p o AE
ပိုက်	p a AD ɪ AD ʔ
ပိုက်ဆံ	p a AD ɪ AD ʔ sʰ a AD ɴ
ပိုက်ဆံအိတ်	p a AD ɪ AD ʔ sʰ a AD ɴ ʔ e AD ɪ AD ʔ
ပိုက်သမား	p a AD ɪ AD ʔ θ ə AD m a AD
ပိုင်ရှင်	p a AD ɪ AD ɴ ʃ ɪ AD ɴ
ပိုင်း	p a AD ɪ AD ɴ
ပိုစတာ	p o AE s ə AD t a AD
ပိုတက်ဆီယမ်	p o AE t ɛ AD ʔ sʰ i AD j AB a AD ɴ
ပိုဒ်	p a AD ɪ AD ʔ
ပိုလန်	p o AE l a AD ɴ
ပို့	p o̰ AH
ပို့စကတ်	p o̰ AH s ə AD k a AD ʔ
ပိုး	p o AE
ပိုးကြာချည်	p o AE t ɕ a AD t ɕʰ i AD
ပိုးတောင်မာ	p o AE d a AD ʊ AE ɴ m a AD
ပိုးလောင်း	p o AE l a AD ʊ AE ɴ
ပိုးဟပ်	p o AE h AA a AD ʔ
ပိုးဟပ်ဖြူ	p o AE h AA a AD ʔ pʰ j AB u AE
ပိဿာ	p e AD ɪ AD ʔ θ a AD
ပီကင်း	p i AD k ɪ AD ɴ
ပီကေ	p i AD k e AD
ပီစီ	p i AD s i AD
ပီဇာ	p i AD z a AD
ပီတိ	p i AD t ḭ
