't	t AC
pamalo	p AG a AK m AE a AK l AD o AM ʔ AJ
pamamanhikan	p AG a AK m AE a AK m AE a AK n AF h AA i AK k AC a AK n AF
pamamaril	p AG a AK m AE a AK m AE a AK ɾ BD i AK l AD
pamaypay	p AG a AK m AE a AK i AK p AG a AK i AK
pamimilosopo	p AG a AK m AE i AK m AE i AK l AD o AM s AH o AM p AG o AM
paminta	p AG a AK m AE i AK n AF t AC a AK
pamintuan	p AG a AK m AE i AK n AF t AC u AM a AK n AF
pan	p AG a AK n AF
panahon	p AG a AK n AF a AK h AA o AM n AF
panalangin	p AG a AK n AF a AK l AD a AK ŋ AF i AK n AF
panalo	p AG a AK n AF a AK l AD o AM
pananabotahe	p AG a AK n AF a AK n AF a AK b AG o AM t AC a AK h AA ɛ AK
pananagutan	p AG a AK n AF a AK n AF a AK ɡ AC u AM t AC a AK n AF
pandemya	p AG a AK n AF d AC ɛ AK m AE j AB a AK
pandiwa	p AG a AK n AF d AC i AK w AI a AK ʔ AJ
panelo	p AG a AK n AF ɛ AK l AD o AM
pang	p AG a AK ŋ AF
pangalan	p AG a AK ŋ AF a AK l AD a AK n AF
panghimasukan	p AG a AK ŋ AF h AA i AK m AE a AK s AH u AM k AC a AK n AF
pangit	p AG a AK ŋ AF i AK t AC
pangngalan	p AG a AK ŋ AF ŋ AF a AK l AD a AK n AF
pangungusap	p AG a AK ŋ AF u AM ŋ AF u AM s AH a AK p AG
pangwilig	p AG a AK ŋ AF w AI i AK l AD i AK ɡ AC
panibughuin	p AG a AK n AF i AK b AG u AM ɡ AC h AA u AM ʔ AJ i AK n AF
panilan	p AG a AK n AF i AK l AD a AK n AF
paninigarilyo	p AG a AK n AF i AK n AF i AK ɡ AC a AK ɾ BD i AK l AD j AB o AM
panitikan	p AG a AK n AF i AK t AC i AK k AC a AK n AF
panlaqui	p AG a AK n AF l AD a AK k AC i AK
pansamantala	p AG a AK n AF s AH a AK m AE a AK n AF t AC a AK l AD a AK
pantas	p AG a AK n AF t AC a AK s AH
pantig	p AG a AK n AF t AC i AK ɡ AC
panukala	p AG a AK n AF u AM k AC a AK l AD a AK ʔ AJ
paos	p AG a AK ʔ AJ o AM s AH
papel	p AG a AK p AG e AK l AD
para	p AG aː AL ɾ BD a AK
paraan	p AG a AK ɾ BD a AK ʔ AJ a AK n AF
parada	p AG a AK ɾ BD a AK d AC a AK
paragas	p AG a AK ɾ BD a AK ɡ AC a AK s AH
parayno	p AG a AK ɾ BD a AK i AK n AF o AM
pareño	p AG a AK ɾ BD ɛ AK ɲ AF o AM
pari	p AG a AK ɾ BD i AK ʔ AJ
parihaba	p AG ɐ AM r BA i AK h AA a AK b AG a AK ʔ AJ
parilla	p AG a AK ɾ BD i AK l AD l AD a AK
pariugat	p AG ɐ AM ɾ BD ɪ AK ʔ AJ u AM ɡ AC a AK t AC
parreño	p AG a AK ɾ BD ɛ AK ɲ AF o AM
parusa	p AG a AK ɾ BD u AM s AH a AK
pasabugin	p AG a AK s AH a AK b AG u AM ɡ AC i AK n AF
pasaway	p AG a AK s AH a AK w AI a AK i AK
pasensya	p AG a AK s AH ɛ AK n AF ɕ AH a AK
pasiya	p AG a AK s AH j AB a AK
paskil	p AG ɐ AM s AH k AC i AK l AD
pasko	p AG a AK s AH k AC o AM
paskuwa	p AG a AK s AH k AC u AM a AK
pasok	p AG aː AL s AH ɔ AM k AC
pasugalan	p AG a AK s AH u AM ɡ AC a AK l AD a AK n AF
pasukan	p AG a AK s AH u AM k AC a AK n AF
pasukin	p AG a AK s AH u AM k AC i AK n AF
pasulo	p AG a AK s AH u AM l AD o AM
patahian	p AG a AK t AC a AK h AA i AK ʔ AJ a AK n AF
patakbuhin	p AG a AK t AC a AK k AC b AG u AM h AA i AK n AF
patalastas	p AG a AK t AC a AK l AD a AK s AH t AC a AK s AH
patawanin	p AG a AK t AC a AK w AI a AK n AF i AK n AF
patay	p AG a AK t AC a AK ɪ AK
patda	p AG a AK t AC d AC a AK
patiag	p AG a AK t AC j AB a AK ɡ AC
patidyugto	p AG a AK t AC i AK d AC j AB u AM ɡ AC t AC o AM ʔ AJ
patimog	p AG a AK t AC i AK m AE o AM ɡ AC
patiño	p AG a AK t AC i AK ɲ AF o AM
patnubay	p AG a AK t AC n AF u AM b AG a AK i AK
pato	p AG aː AL t AC ɔ AM
patron	p AG a AK t AC ɾ BD o AM n AF
patupat	p AG a AK t AC u AM p AG a AK t AC
patutsada	p AG a AK t AC u AM t AC s AH a AK d AC a AK
patuusan	p AG a AK t AC u AM ʔ AJ ɔ AM s AH a AK n AF
paupahan	p AG a AK u AM p AG a AK h AA a AK n AF
pausukan	p AG a AK u AM s AH u AM k AC a AK n AF
pauwiin	p AG a AK u AM w AI i AK i AK n AF
pawis	p AG a AK w AI i AK s AH
payak	p AG a AK j AB a AK k AC
payamanin	p AG a AK j AB a AK m AE a AK n AF i AK n AF
payumo	p AG a AK j AB u AM m AE o AM
paz	p AG a AK s AH
pebrero	p AG ɛ AK b AG ɾ BD ɛ AK ɾ BD o AM
pecson	p AG ɛ AK k AC s AH o AM n AF
peke	p AG ɛ AK k AC ɛ AK ʔ AJ
peklat	p AG ɛ AK k AC l AD a AK t AC
peste	p AG ɛ AK s AH t AC ɛ AK
pestisidyo	p AG ɛ AK s AH t AC i AK s AH i AK d AC j AB o AM
petmalu	p AG e AK t AC m AE a AK l AD u AM
petsay	p AG e AK t AC t AC ʃ AH a AK j AB
peñaflor	p AG ɛ AK ɲ AF a AK p AG l AD o AM ɾ BD
peñaflorida	p AG ɛ AK ɲ AF a AK p AG l AD o AM ɾ BD i AK d AC a AK
peñaranda	p AG ɛ AK ɲ AF a AK ɾ BD a AK n AF d AC a AK
piga	p AG i AK ɡ AC a AK ʔ AJ
pigain	p AG i AK ɡ AC a AK ʔ AJ i AK n AF
pigsa	p AG i AK ɡ AC s AH a AK ʔ AJ
pihikan	p AG i AK h AA i AK k AC a AK n AF
piho	p AG i AK h AA o AM
pila	p AG i AK l AD a AK
pilantik	p AG i AK l AD a AK n AF t AC i AK k AC
pilantropo	p AG i AK l AD a AK n AF t AC ɾ BD o AM p AG o AM
pilapil	p AG i AK l AD a AK p AG i AK l AD
pilat	p AG i AK l AD a AK t AC
pilay	p AG i AK l AD a AK j AB
pilipinas	p AG i AK l AD i AK p AG i AK n AF a AK s AH
pilosopiya	p AG i AK l AD o AM s AH o AM p AG i AK a AK
pilosopo	p AG i AK l AD o AM s AH o AM p AG o AM
pilyo	p AG i AK l AD j AB o AM
pinaghihinalaan	p AG i AK n AF a AK ɡ AC h AA i AK h AA i AK n AF a AK l AD a AK a AK n AF
pinagsamantalahan	p AG i AK n AF a AK ɡ AC s AH a AK m AE a AK n AF t AC a AK l AD a AK h AA a AK n AF
pindot	p AG i AK n AF d AC o AM t AC
pinggan	p AG i AK ŋ AF ɡ AC a AK n AF
pinlac	p AG i AK n AF l AD a AK k AC
pino	p AG i AK n AF o AM
pintakasi	p AG i AK n AF t AC a AK k AC a AK s AH i AK
piraso	p AG i AK ɾ BD a AK s AH o AM
pirmahan	p AG i AK ɾ BD m AE a AK h AA a AK n AF
pisika	p AG i AK s AH ɪ AK k AC ɐ AM
piskal	p AG i AK s AH k AC a AK l AD
piskalya	p AG i AK s AH k AC a AK l AD j AB a AK
pista	p AG i AK s AH t AC a AK
pitis	p AG i AK t AC i AK s AH
pito	p AG i AK t AC ɔ AM
pitumpu	p AG i AK t AC u AM m AE p AG u AM ʔ AJ
pitundaan	p AG i AK t AC u AM n AF d AC a AK a AK n AF
piyo	p AG i AK j AB o AM ʔ AJ
pizarro	p AG i AK s AH a AK ɾ BD ɾ BD o AM
piñon	p AG i AK ɲ AF o AM n AF
planas	p AG l AD a AK n AF a AK s AH
plastik	p AG l AD a AK s AH t AC i AK k AC
plebisito	p AG l AD e AK b AG i AK s AH i AK t AC o AM
po	p AG ɔ AM
pobre	p AG ɔː AN b AG r BA ɛ AK
pokpok	p AG ɔ AM k AC p AG ɔ AM k AC
policarpio	p AG o AM l AD i AK k AC a AK ɾ BD p AG j AB o AM
polintan	p AG o AM l AD i AK n AF t AC a AK n AF
polo	p AG o AM l AD o AM
pondo	p AG o AM n AF d AC o AM
pondohan	p AG o AM n AF d AC o AM h AA a AK n AF
ponkan	p AG o AM ŋ AF k AC a AK n AF
poon	p AG u AM n AF
portuges	p AG o AM ɾ BD t AC u AM ɡ AC ɛ AK s AH
posas	p AG o AM s AH a AK s AH
post	p AG o AM u AM s AH t AC
prado	p AG ɾ BD a AK d AC o AM
praning	p AG ɾ BD a AK n AF i AK ŋ AF
prayoridad	p AG ɾ BD a AK j AB o AM ɾ BD i AK d AC a AK d AC
premyo	p AG ɾ BD ɛ AK m AE j AB o AM
preso	p AG ɾ BD ɛ AK s AH o AM
proklamasyon	p AG ɾ BD o AM k AC l AD a AK m AE a AK s AH j AB o AM n AF
promdi	p AG r BA o AM m AE d AC i AK
prudente	p AG ɾ BD u AM d AC ɛ AK n AF t AC ɛ AK
pua	p AG u AM w AI a AK
pudpod	p AG u AM d AC p AG o AM d AC
pugad	p AG u AM ɡ AC a AK d AC
pugo	p AG u AM ɡ AC o AM ʔ AJ
pugot	p AG u AM ɡ AC o AM t AC
pugutan	p AG u AM ɡ AC u AM t AC a AK n AF
puhunan	p AG u AM h AA u AM n AF a AK n AF
pukyutan	p AG u AM k AC j AB u AM t AC a AK n AF
pula	p AG ʊ AM l AD a AK
pulahan	p AG u AM l AD a AK h AA a AK n AF
pulgada	p AG u AM l AD ɡ AC a AK d AC a AK
pulgas	p AG u AM l AD ɡ AC a AK s AH
pulikat	p AG u AM l AD i AK k AC a AK t AC
pulmonya	p AG u AM l AD m AE o AM n AF j AB a AK
pulo	p AG u AM l AD o AM ʔ AJ
pulot	p AG u AM l AD o AM t AC
pultaon	p AG u AM l AD t AC a AK ʔ AJ ɔ AM n AF
pulubi	p AG u AM l AD u AM b AG i AK
pulutan	p AG u AM l AD u AM t AC a AK n AF
pumalakpak	p AG u AM m AE a AK l AD a AK k AC p AG a AK k AC
pumasok	p AG u AM m AE a AK s AH o AM k AC
pumatay	p AG u AM m AE a AK t AC a AK j AB
pumayag	p AG u AM m AE a AK j AB a AK ɡ AC
pumila	p AG u AM m AE i AK l AD a AK
pumisik	p AG u AM m AE i AK s AH i AK k AC
pumula	p AG u AM m AE u AM l AD a AK
pumunta	p AG u AM m AE u AM n AF t AC a AK
pumuti	p AG u AM m AE u AM t AC i AK ʔ AJ
pumutok	p AG u AM m AE u AM t AC o AM k AC
pundido	p AG u AM n AF d AC i AK d AC o AM
puno	p AG u AM n AF o AM ʔ AJ
punongbayan	p AG u AM n AF o AM ŋ AF b AG a AK j AB a AK n AF
punsalang	p AG u AM n AF s AH a AK l AD a AK ŋ AF
punta	p AG u AM n AF t AC a AK ʔ AJ
puntahan	p AG u AM n AF t AC a AK h AA a AK n AF
puntirya	p AG u AM n AF t AC i AK ɾ BD j AB a AK
punzalan	p AG u AM n AF s AH a AK l AD a AK n AF
pusit	p AG u AM s AH i AK t AC
puson	p AG u AM s AH o AM n AF
pusta	p AG u AM s AH t AC a AK
pustiso	p AG u AM s AH t AC i AK s AH o AM
pusyaw	p AG ʊ AM s AH j AB a AK u AM
putakti	p AG u AM t AC a AK k AC t AC i AK
puti	p AG u AM t AC ɪ AK
putik	p AG u AM t AC i AK k AC
putol	p AG u AM t AC o AM l AD
putulin	p AG u AM t AC u AM l AD i AK n AF
puyod	p AG u AM j AB o AM d AC
que	k AC ɛ AK
quezon	k AC ɛ AK s AH o AM n AF
quiambao	k AC j AB a AK m AE b AG a AK u AM
quimpo	k AC i AK m AE p AG o AM
quintos	k AC i AK n AF t AC o AM s AH
quirante	k AC i AK ɾ BD a AK n AF t AC ɛ AK
quisumbing	k AC i AK s AH u AM m AE b AG i AK ŋ AF
quitain	k AC i AK t AC a AK i AK n AF
quiñones	k AC i AK ɲ AF o AM n AF ɛ AK s AH
racelis	ɾ BD a AK s AH ɛ AK l AD i AK s AH
ragas	ɾ BD a AK ɡ AC a AK s AH
ragudo	ɾ BD a AK ɡ AC u AM d AC o AM
rajah	r BA a AK h AA a AK
rali	ɾ BD a AK l AD i AK
raliyista	ɾ BD a AK l AD i AK j AB i AK s AH t AC a AK
rambol	ɾ BD a AK m AE b AG o AM l AD
rambulan	ɾ BD a AK m AE b AG u AM l AD a AK n AF
rantso	ɾ BD a AK n AF t AC ʃ AH o AM
rason	ɾ BD a AK s AH o AM n AF
rayos	ɾ BD a AK j AB o AM s AH
razon	ɾ BD a AK s AH o AM n AF
reaño	ɾ BD ɛ AK a AK ɲ AF o AM
rebelde	ɾ BD e AK b AG e AK l AD d AC e AK
rebelyon	r BA ɛ AK b AG ɛ AK l AD j AB o AM n AF
redondo	ɾ BD ɛ AK d AC o AM n AF d AC o AM
regala	ɾ BD ɛ AK ɡ AC a AK l AD a AK
regidor	ɾ BD ɛ AK h AA i AK d AC o AM ɾ BD
rehas	ɾ BD ɛ AK h AA a AK s AH
rehistro	ɾ BD ɛ AK h AA i AK s AH t AC ɾ BD o AM
rekisito	ɾ BD ɛ AK k AC i AK s AH i AK t AC o AM
rekisitos	ɾ BD ɛ AK k AC i AK s AH i AK t AC o AM s AH
relo	ɾ BD ɛ AK l AD o AM
remigio	ɾ BD ɛ AK m AE i AK h AA j AB o AM
remulla	ɾ BD ɛ AK m AE u AM l AD l AD a AK
reodica	ɾ BD ɛ AK o AM d AC i AK k AC a AK
reperendum	ɾ BD ɛ AK p AG ɛ AK ɾ BD ɛ AK n AF d AC u AM m AE
resistensya	ɾ BD ɛ AK s AH i AK s AH t AC ɛ AK n AF s AH j AB a AK
responsable	ɾ BD ɛ AK s AH p AG o AM n AF s AH a AK b AG l AD ɛ AK
resurreccion	ɾ BD ɛ AK s AH u AM ɾ BD ɛ AK k AC s AH j AB o AM n AF
ricafort	ɾ BD i AK k AC a AK p AG o AM ɾ BD t AC
ricarte	ɾ BD i AK k AC a AK ɾ BD t AC ɛ AK
riles	ɾ BD i AK l AD ɛ AK s AH
rin	ɾ BD i AK n AF
rivero	ɾ BD i AK b AG ɛ AK ɾ BD o AM
riñon	ɾ BD i AK ɲ AF o AM n AF
rombaoa	ɾ BD o AM m AE b AG a AK w AI a AK
romualdez	ɾ BD o AM m AE w AI a AK l AD d AC ɛ AK s AH
romualdo	ɾ BD o AM m AE w AI a AK l AD d AC o AM
rosete	ɾ BD o AM s AH ɛ AK t AC ɛ AK
roxas	ɾ BD o AM d AC ʒ AH a AK s AH
rulloda	ɾ BD u AM l AD l AD o AM d AC a AK
rumupok	ɾ BD u AM m AE u AM p AG o AM k AC
ruta	r BA u AM t AC a AK
sa	s AH a AK
saan	s AH a AK a AK n AF
sabado	s AH a AK b AG a AK d AC o AM
sabana	s AH a AK b AG a AK n AF a AK
sabangan	s AH a AK b AG a AK ŋ AF a AK n AF
sabi	s AH a AK b AG i AK
sabon	s AH a AK b AG o AM n AF
saboy	s AH a AK b AG o AM i AK
sabunin	s AH a AK b AG u AM n AF i AK n AF
sabunot	s AH a AK b AG u AM n AF o AM t AC
sabunutan	s AH a AK b AG u AM n AF u AM t AC a AK n AF
sacdalan	s AH a AK k AC d AC a AK l AD a AK n AF
sadya	s AH a AK d AC j AB a AK ʔ AJ
sagay	s AH a AK ɡ AC a AK j AB
sagilap	s AH ɐ AM ɡ AC i AK l AD a AK p AG
sagimuymoy	s AH a AK ɡ AC i AK m AE u AM j AB m AE o AM j AB
saglit	s AH a AK ɡ AC l AD i AK t AC
saguinsin	s AH a AK ɡ AC i AK n AF s AH i AK n AF
sagun	s AH a AK ɡ AC u AM n AF
saha	s AH a AK h AA a AK ʔ AJ
sahagun	s AH a AK h AA a AK ɡ AC u AM n AF
sahog	s AH a AK h AA o AM ɡ AC
sais	s AH a AK ʔ AJ i AK s AH
saka	s AH a AK k AC a AK
sakal	s AH a AK k AC a AK l AD
sakit	s AH a AK k AC i AK t AC
sakitin	s AH a AK k AC i AK t AC i AK n AF
saksi	s AH a AK k AC s AH i AK
saksihan	s AH a AK k AC s AH i AK h AA a AK n AF
saktan	s AH a AK k AC t AC a AK n AF
sakuna	s AH a AK k AC u AM n AF a AK
sakupbayan	s AH a AK k AC u AM p AG b AG a AK j AB a AK n AF
sakwa	s AH a AK k AC w AI a AK
sala	s AH a AK l AD a AK
salagubang	s AH a AK l AD a AK ɡ AC u AM b AG a AK ŋ AF
salarin	s AH a AK l AD a AK ɾ BD i AK n AF
salaula	s AH a AK l AD a AK ʔ AJ u AM l AD a AK ʔ AJ
salawal	s AH a AK l AD a AK w AI a AK l AD
saldaña	s AH a AK l AD d AC a AK ɲ AF a AK
sales	s AH a AK l AD ɛ AK s AH
salipawpaw	s AH a AK l AD i AK p AG a AK u AM p AG a AK u AM
salitre	s AH a AK l AD i AK t AC ɾ BD ɛ AK
salog	s AH a AK l AD o AM ɡ AC
salonga	s AH a AK l AD o AM ŋ AF ɡ AC a AK
salot	s AH a AK l AD o AM t AC
salud	s AH a AK l AD u AM d AC
salumbides	s AH a AK l AD u AM m AE b AG i AK d AC ɛ AK s AH
salvacion	s AH a AK l AD b AG a AK s AH i AK o AM n AF
salvatierra	s AH a AK l AD b AG a AK t AC i AK ɛ AK ɾ BD ɾ BD a AK
samaniego	s AH a AK m AE a AK n AF j AB ɛ AK ɡ AC o AM
samantala	s AH a AK m AE a AK n AF t AC a AK l AD a AK ʔ AJ
samantha	s AH a AK m AE a AK n AF t AC a AK
samat	s AH a AK m AE a AK t AC
sambasamba	s AH a AK m AE b AG a AK s AH a AK m AE b AG a AK
samid	s AH a AK m AE i AK d AC
samonte	s AH a AK m AE o AM n AF t AC ɛ AK
sampaloc	s AH a AK m AE p AG a AK l AD o AM k AC
sampalok	s AH a AK m AE p AG a AK l AD o AM k AC
sampo	s AH a AK m AE p AG ɔ AM ʔ AJ
sampu	s AH a AK m AE p AG u AM ʔ AJ
sandali	s AH a AK n AF d AC ɐ AM l AD i AK ʔ AJ
sangalang	s AH a AK ŋ AF ɡ AC a AK l AD a AK ŋ AF
sangat	s AH a AK ŋ AF a AK t AC
sangco	s AH a AK ŋ AF k AC o AM
sanggol	s AH a AK ŋ AF ɡ AC o AM l AD
sangkot	s AH a AK ŋ AF k AC o AM t AC
santo	s AH a AK n AF t AC o AM
sapa	s AH a AK p AG a AK ʔ AJ
sapak	s AH a AK p AG a AK k AC
sapok	s AH a AK p AG o AM k AC
sapot	s AH a AK p AG o AM t AC
saquing	s AH a AK k AC i AK ŋ AF
sara	s AH ɐ AM ɾ BD a AK
sarabia	s AH a AK r BA a AK b AG j AB a AK
sarhento	s AH a AK ɾ BD h AA ɛ AK n AF t AC o AM
sawa	s AH a AK w AI a AK ʔ AJ
saway	s AH a AK w AI a AK i AK
sawayin	s AH a AK w AI a AK j AB i AK n AF
saya	s AH a AK j AB a AK
sayari	s AH a AK j AB a AK ɾ BD i AK ʔ AJ
sayson	s AH a AK i AK s AH o AM n AF
see	s AH iː AL
segismundo	s AH ɛ AK ɡ AC i AK s AH m AE u AM n AF d AC o AM
segui	s AH ɛ AK ɡ AC i AK
sekreto	s AH ɛ AK k AC ɾ BD ɛ AK t AC o AM
selepono	s AH e AK l AD e AK p AG o AM n AF o AM
selula	s AH ɛ AK l AD ʊ AM l AD ɐ AM
semantika	s AH ɛ AK m AE a AK n AF t AC i AK k AC a AK
semaña	s AH ɛ AK m AE a AK ɲ AF a AK
semilla	s AH e AK m AE i AK l AD j AB a AK
sentenaryo	s AH ɛ AK n AF t AC ɛ AK n AF a AK ɾ BD j AB o AM
sentensiya	s AH ɛ AK n AF t AC ɛ AK n AF s AH j AB a AK
sentensiyahan	s AH ɛ AK n AF t AC ɛ AK n AF s AH j AB a AK h AA a AK n AF
sentido	s AH ɛ AK n AF t AC i AK d AC o AM
seremonya	s AH ɛ AK ɾ BD ɛ AK m AE o AM n AF j AB a AK
serna	s AH ɛ AK ɾ BD n AF a AK
shabu	s AH j AB a AK b AG u AM
shao	ʃ AH a AK ʊ AM
shau	ʃ AH a AK ʊ AM
shaw	ʃ AH a AK ʊ AM
sia	s AH j AB a AK
siao	ʃ AH a AK ʊ AM
siason	s AH j AB a AK s AH o AM n AF
sibayan	s AH i AK b AG a AK j AB a AK n AF
sibog	s AH i AK b AG o AM ɡ AC
sibug	s AH i AK b AG u AM ɡ AC
sibuyas	s AH i AK b AG u AM j AB a AK s AH
siga	s AH i AK ɡ AC a AK ʔ AJ
sigarilyas	s AH i AK ɡ AC a AK ɾ BD i AK l AD j AB a AK s AH
sige	s AH i AK ɡ AC ɛ AK
siglo	s AH i AK ɡ AC l AD o AM
sigmuan	s AH i AK ɡ AC m AE u AM a AK n AF
siguraduhin	s AH i AK ɡ AC u AM ɾ BD a AK d AC u AM h AA i AK n AF
sihay	s AH i AK h AA a AK j AB
sihayan	s AH i AK h AA a AK j AB a AK n AF
sikatsikat	s AH i AK k AC a AK t AC s AH i AK k AC a AK t AC
sikhay	s AH i AK k AC h AA a AK j AB
siko	s AH i AK k AC o AM
siksin	s AH i AK k AC s AH i AK n AF
silang	s AH i AK l AD a AK ŋ AF
silangan	s AH i AK l AD a AK ŋ AF a AK n AF
silayan	s AH i AK l AD a AK j AB a AK n AF
silid	s AH ɪ AK l AD ɪ AK d AC
silidkaphay	s AH i AK l AD i AK d AC k AC a AK p AG h AA a AK j AB
silidkapnayan	s AH i AK l AD i AK d AC k AC a AK p AG n AF a AK j AB a AK n AF
silidkatwan	s AH i AK l AD i AK d AC k AC a AK t AC w AI a AK n AF
silidkilos	s AH i AK l AD i AK d AC k AC i AK l AD o AM s AH
silidkulay	s AH i AK l AD i AK d AC k AC u AM l AD a AK j AB
silidlawas	s AH i AK l AD i AK d AC l AD a AK w AI a AK s AH
silidmanahan	s AH i AK l AD i AK d AC m AE a AK n AF a AK h AA a AK n AF
silindro	s AH i AK l AD i AK n AF d AC ɾ BD o AM
simbulan	s AH i AK m AE b AG u AM l AD a AK n AF
simoy	s AH i AK m AE o AM j AB
simple	s AH i AK m AE p AG l AD ɛ AK
sinapupunan	s AH i AK n AF a AK p AG u AM p AG u AM n AF a AK n AF
sinat	s AH i AK n AF a AK t AC
sinauna	s AH i AK n AF a AK u AM n AF a AK
sinco	s AH i AK n AF k AC o AM
singil	s AH i AK ŋ AF i AK l AD
singkal	s AH i AK ŋ AF k AC a AK l AD
singkamasan	o AM r BA a AK s AH a AK n AF
sioson	s AH j AB o AM s AH o AM n AF
siping	s AH i AK p AG i AK ŋ AF
sipnayan	s AH ɪ AK p AG n AF a AK i AK ɐ AM n AF
sipon	s AH i AK p AG ʔ AJ o AM n AF
sipsip	s AH i AK p AG s AH i AK p AG
sira	s AH i AK ɾ BD a AK ʔ AJ
sirain	s AH i AK ɾ BD a AK ʔ AJ i AK n AF
sisi	s AH i AK s AH i AK
sisid	s AH i AK s AH i AK d AC
sisihan	s AH i AK s AH i AK h AA a AK n AF
sitwasyon	s AH i AK t AC w AI a AK s AH j AB o AM n AF
siya	s AH i AK j AB a AK
siyam	ʃ AH j AB a AK m AE
siyamnapu	s AH i AK j AB a AK m AE n AF a AK p AG u AM ʔ AJ
siyamnaraan	s AH i AK j AB a AK m AE n AF a AK r BA a AK a AK n AF
so	s AH ɔ AM
sobrepeña	s AH o AM b AG ɾ BD ɛ AK p AG ɛ AK ɲ AF a AK
soledad	s AH o AM l AD ɛ AK d AC a AK d AC
solis	s AH o AM l AD i AK s AH
son	s AH o AM n AF
songco	s AH o AM ŋ AF k AC o AM
sosa	s AH o AM s AH a AK
sosyal	s AH o AM ʃ AH a AK l AD
suan	s AH w AI a AK n AF
suazo	s AH w AI a AK s AH o AM
subok	s AH u AM b AG ɔ AM k AC
sucgang	s AH u AM k AC ɡ AC a AK ŋ AF
sugaan	s AH u AM ɡ AC a AK ʔ AJ a AK n AF
sugal	s AH u AM ɡ AC a AK l AD
suglaguman	s AH u AM ɡ AC l AD a AK ɡ AC u AM m AE a AK n AF
sugnay	s AH u AM ɡ AC n AF a AK j AB
sugnayan	s AH u AM ɡ AC n AF a AK j AB a AK n AF
sugnayanin	s AH u AM ɡ AC n AF a AK j AB a AK n AF i AK n AF
sugnayanon	s AH u AM ɡ AC n AF a AK j AB a AK n AF o AM n AF
sugnayin	s AH u AM ɡ AC n AF a AK j AB i AK n AF
suhi	s AH u AM h AA i AK ʔ AJ
suhol	s AH u AM h AA o AM l AD
suico	s AH u AM i AK k AC o AM
suka	s AH u AM k AC a AK ʔ AJ
sukal	s AH u AM k AC a AK l AD
sulidlawas	s AH u AM l AD i AK d AC l AD a AK w AI a AK s AH
sulsol	s AH u AM l AD s AH o AM l AD
sultan	s AH u AM l AD t AC a AK n AF
sultana	s AH u AM l AD t AC a AK n AF a AK
sultanato	s AH u AM l AD t AC a AK n AF a AK t AC o AM
sumabog	s AH u AM m AE a AK b AG o AM ɡ AC
sumadsad	s AH u AM m AE a AK d AC s AH a AK d AC
sumagot	s AH u AM m AE a AK ɡ AC o AM t AC
sumakit	s AH u AM m AE a AK k AC i AK t AC
sumalapang	s AH u AM m AE a AK l AD a AK p AG a AK ŋ AF
sumalapaw	s AH u AM m AE a AK l AD a AK p AG a AK u AM
sumama	s AH u AM m AE a AK m AE a AK ʔ AJ
sumeksi	s AH u AM m AE ɛ AK k AC s AH i AK
sumemplang	s AH u AM m AE ɛ AK m AE p AG l AD a AK ŋ AF
sumikat	s AH u AM m AE i AK k AC a AK t AC
sumikip	s AH u AM m AE i AK k AC i AK p AG
sumimangot	s AH u AM m AE i AK m AE a AK ŋ AF o AM t AC
suminga	s AH u AM m AE i AK ŋ AF a AK
sumuka	s AH u AM m AE u AM k AC a AK
sumulat	s AH u AM m AE u AM l AD a AK t AC
suntok	s AH u AM n AF t AC o AM k AC
suntukan	s AH u AM n AF t AC u AM k AC a AK n AF
suntukin	s AH u AM n AF t AC u AM k AC i AK n AF
suplete	s AH u AM p AG l AD ɛ AK t AC ɛ AK
supling	s AH u AM p AG l AD i AK ŋ AF
surot	s AH u AM ɾ BD o AM t AC
susmaryosep	s AH u AM s AH m AE a AK ɾ BD i AK ɔː AN s AH e AK p AG
sustento	s AH u AM s AH t AC ɛ AK n AF t AC o AM
suweldo	s AH w AI ɛ AK l AD d AC o AM
suya	s AH u AM j AB a AK ʔ AJ
swerte	s AH w AI e AK r BA t AC e AK
sy	s AH iː AL
syaw	ʃ AH a AK ʊ AM
sze	t AC ʃ AH e AK
tabigi	t AC a AK b AG i AK ɡ AC i AK ʔ AJ
tablaw	t AC a AK b AG l AD a AK w AI
tabon	t AC a AK b AG o AM n AF
taduran	t AC a AK d AC u AM ɾ BD a AK n AF
tae	t AC aː AL ʔ AJ eː AL
tagalog	t AC ɐ AM ɡ AC aː AL l AD o AM ɡ AC
tagapagmana	t AC a AK ɡ AC a AK p AG a AK ɡ AC m AE a AK n AF a AK
tagas	t AC a AK ɡ AC a AK s AH
tagiktik	t AC a AK ɡ AC i AK k AC t AC i AK k AC
taglagas	t AC a AK ɡ AC l AD a AK ɡ AC a AK s AH
tagtuyot	t AC a AK ɡ AC t AC u AM j AB o AM t AC
taguba	t AC a AK ɡ AC u AM b AG a AK
tagubilin	t AC a AK ɡ AC u AM b AG i AK l AD i AK n AF
taguinod	t AC a AK ɡ AC i AK n AF o AM d AC
tagupa	t AC a AK ɡ AC u AM p AG a AK
tahasik	t AC a AK h AA a AK s AH i AK k AC
taib	t AC a AK ʔ AJ i AK b AG
taihan	t AC a AK i AK h AA a AK n AF
takahashi	t AC a AK k AC a AK h AA a AK s AH j AB i AK
takbo	t AC a AK k AC b AG ɔ AM
takilya	t AC a AK k AC i AK l AD j AB a AK
talag	t AC a AK l AD a AK ɡ AC
