अ	ə AG
किराया	k AB ɪ AG ɾ AJ ɑː AG j AA ɑː AG
किरायेदार	k AB ɪ AG ɾ AJ ɑː AG j AA eː AG d̪ AB ɑː AG ɾ AJ
किरासन	k AB ɪ AG ɾ AJ ɑː AG s AB ə AG n AB
किर्गिज़स्तान	k AB ɪ AG ɾ AJ ɡ AB ɪ AG z AB ə AG s AB t̪ AB ɑː AG n AB
किला	q AB ɪ AG l AD ɑː AG
किलो	k AB ɪ AG l AD oː AH
किलोग्राम	k AB ɪ AG l AD oː AH ɡ AB ɾ AJ ɑː AG m AE
किलोमीटर	k AB ɪ AG l AD oː AH m AE iː AG ʈ AB ə AG ɾ AJ
किशमिश	k AB ɪ AG ʃ AB m AE ɪ AG ʃ AB
किशोरा	k AB ɪ AG ʃ AB oː AH ɾ AJ ɑː AG
किश्त	k AB ɪ AG ʃ AB t̪ AB
किसान	k AB ɪ AG s AB ɑː AG n AB
किसानी	k AB ɪ AG s AB ɑː AG n AB iː AG
किस्म	q AB ɪ AG s AB m AE
की	k AB iː AG
कीकर	k AB iː AG k AB ə AG ɾ AJ
कीचड़	k AB iː AG t AB ʃ AB ə AG ɽ AJ
कीटाणु	k AB iː AG ʈ AB ɑː AG ɳ AB uː AH
कीबोर्ड	k AB iː AG b AE oː AH ɾ AJ ɖ AB
कीमिया	k AB iː AG m AE ɪ AG j AA ɑː AG
कीर्तन	k AB iː AG ɾ AJ t̪ AB ə AG n AB
कील	k AB iː AG l AD
कुँआ	k AB ʊ̃ AH ɑː AG
कुँआरी	k AB ʊ̃ AH ɑː AG ɾ AJ iː AG
कुँवर	k AB ʊ̃ AH ʋ AK ə AG ɾ AJ
कुंजड़ा	k AB ʊ AH n AB d AB ʒ AB ɽ AJ ɑː AG
कुंजी	k AB ʊ AH n AB d AB ʒ AB iː AG
कुंजीपटल	k AB ʊ AH n AB d AB ʒ AB iː AG p AE ə AG ʈ AB ə AG l AD
कुंडली	k AB ʊ AH ɳ AB ɖ AB ə AG l AD iː AG
कुंद	k AB ʊ AH n AB d̪ AB
कुआँ	k AB ʊ AH ɑ̃ː AG
कुकी	k AB ʊ AH k AB iː AG
कुकुरमुत्ता	k AB ʊ AH k AB ʊ AH ɾ AJ m AE ʊ AH t̪ AB t̪ AB ɑː AG
कुख्यात	k AB ʊ AH kʰ AC j AA ɑː AG t̪ AB
कुख्याति	k AB ʊ AH kʰ AC j AA ɑː AG t̪ AB iː AG
कुचलना	k AB ʊ AH t AB ʃ AB ə AG l AD n AB ɑː AG
कुछ	k AB ʊ AH t AB ʃʰ AC
कुटकी	k AB ʊ AH ʈ AB k AB iː AG
कुटज	k AB ʊ AH ʈ AB ə AG d AB ʒ AB
कुटिया	k AB ʊ AH ʈ AB ɪ AG j AA ɑː AG
कुटिल	k AB ʊ AH ʈ AB ɪ AG l AD
कुटुंब	k AB ʊ AH ʈ AB ʊ AH m AE b AE
कुट्टार	k AB ʊ AH ʈ AB ʈ AB ɑː AG ɾ AJ
कुतरना	k AB ʊ AH t̪ AB ə AG ɾ AJ n AB ɑː AG
कुत्ता	k AB ʊ AH t̪ AB t̪ AB ɑː AG
कुत्ती	k AB ʊ AH t̪ AB t̪ AB iː AG
कुत्रापि	k AB ʊ AH t̪ AB ɾ AJ ɑː AG p AE iː AG
कुदरत	k AB ʊ AH d̪ AB ɾ AJ ə AG t̪ AB
कुदाल	k AB ʊ AH d̪ AB ɑː AG l AD
कुनबा	k AB ʊ AH n AB b AE ɑː AG
कुप्पी	k AB ʊ AH p AE p AE iː AG
कुबेर	k AB ʊ AH b AE eː AG ɾ AJ
कुब्ज	k AB ʊ AH b AE d AB ʒ AB
कुमाऊँ	k AB ʊ AH m AE ɑː AG ũː
कुमारी	k AB ʊ AH m AE ɑː AG ɾ AJ iː AG
कुम्हड़ा	k AB ʊ AH m AE ɦ AI ə AG ɽ AJ ɑː AG
कुम्हलाना	k AB ʊ AH m AE ɦ AI l AD ɑː AG n AB ɑː AG
कुरता	k AB ʊ AH ɾ AJ t̪ AB ɑː AG
कुरूपता	k AB ʊ AH ɾ AJ uː AH p AE t̪ AB ɑː AG
कुर्की	k AB ʊ AH ɾ AJ k AB iː AG
कुर्नूल	k AB ʊ AH ɾ AJ n AB uː AH l AD
कुल	k AB ʊ AH l AD
कुलक	k AB ʊ AH l AD ə AG k AB
कुलधर्म	k AB ʊ AH l AD d̪ʱ AC ə AG ɾ AJ m AE
कुल्चा	k AB ʊ AH l AD t AB ʃ AB ɑː AG
कुल्ला	k AB ʊ AH l AD l AD ɑː AG
कुल्हड़	k AB ʊ AH l AD ɦ AI ə AG ɽ AJ
कुवैत	k AB ʊ AH ʋ AK ɛː AG t̪ AB
कुशल	k AB ʊ AH ʃ AB ə AG l AD
कुशासन	k AB ʊ AH ʃ AB ɑː AG s AB ə AG n AB
कुश्ती	k AB ʊ AH ʃ AB t̪ AB iː AG
कुसल	k AB ʊ AH s AB ə AG l AD
कुसुम	k AB ʊ AH s AB ʊ AH m AE
कुसूर	q AB ʊ AH s AB uː AH ɾ AJ
कुहनी	k AB ʊ AH ɦ AI n AB iː AG
कुहरा	k AB ʊ AH ɦ AI ɾ AJ ɑː AG
कू	k AB uː AH
कूच	k AB uː AH t AB ʃ AB
कूट	k AB uː AH ʈ AB
कूटनीति	k AB uː AH ʈ AB n AB iː AG t̪ AB iː AG
कूटनीतिक	k AB uː AH ʈ AB n AB iː AG t̪ AB ɪ AG k AB
कूटनीतिज्ञ	k AB uː AH ʈ AB n AB iː AG t̪ AB ɪ AG ɡ AB j AA
कूड़ा	k AB uː AH ɽ AJ ɑː AG
कूड़ेदान	k AB uː AH ɽ AJ eː AG d̪ AB ɑː AG n AB
कूत	k AB uː AH t̪ AB
कूदना	k AB uː AH d̪ AB n AB ɑː AG
कूर	k AB uː AH ɾ AJ
कूल्हा	k AB uː AH l AD ɦ AI ɑː AG
कृतज्ञ	k AB ɾ AJ ɪ AG t̪ AB ə AG ɡ AB j AA
कृति	k AB ɾ AJ ɪ AG t̪ AB iː AG
कृत्रिम	k AB ɾ AJ ɪ AG t̪ AB ɾ AJ ɪ AG m AE
कृदंत	k AB ɾ AJ ɪ AG d̪ AB ə AG n AB t̪ AB
कृदन्त	k AB ɾ AJ ɪ AG d̪ AB ə AG n AB t̪ AB
कृपया	k AB ɾ AJ ɪ AG p AE j AA ɑː AG
कृष्ण	k AB ɾ AJ ɪ AG ʂ AB ɳ AB ɑː AG
कृष्णा	k AB ɾ AJ ɪ AG ʂ AB ɳ AB ɑː AG
केंद्रक	k AB eː AG n AB d̪ AB ɾ AJ ə AG k AB
केंद्रित	k AB eː AG n AB d̪ AB ɾ AJ ɪ AG t̪ AB
केंद्रीकरण	k AB eː AG n AB d̪ AB ɾ AJ iː AG k AB ə AG ɾ AJ ə AG ɳ AB
केतली	k AB eː AG t̪ AB l AD iː AG
केन्या	k AB eː AG n AB j AA ɑː AG
केपटाउन	k AB eː AG p AE ʈ AB ɑː AG ʊ AH n AB
केरल	k AB eː AG ɾ AJ ə AG l AD
केला	k AB eː AG l AD ɑː AG
केलि	k AB eː AG l AD iː AG
कैंची	q AB ɛː AG n AB t AB ʃ AB iː AG
कैंटीन	k AB ɛː AG ɳ AB ʈ AB iː AG n AB
कैंडी	k AB ɛː AG ɳ AB ɖ AB iː AG
कैंब्रिज	k AB ɛː AG m AE b AE ɾ AJ ɪ AG d AB ʒ AB
कैथल	k AB ɛː AG t̪ʰ AC ə AG l AD
कैथी	k AB ɛː AG t̪ʰ AC iː AG
कैनबरा	k AB ɛː AG n AB ə AG b AE ɾ AJ ɑː AG
कैमरा	k AB ɛː AG m AE ɾ AJ ɑː AG
कैरम	k AB ɛː AG ɾ AJ ə AG m AE
कैलकुलेटर	k AB ɛː AG l AD k AB ʊ AH l AD eː AG ʈ AB ə AG ɾ AJ
कैलगरी	k AB ɛː AG l AD ɡ AB ə AG ɾ AJ iː AG
कैलिफ़ोर्निया	k AB ɛː AG l AD ɪ AG pʰ AF oː AH ɾ AJ n AB ɪ AG j AA ɑː AG
कैसा	k AB ɛː AG s AB ɑː AG
कोंकण	k AB oː AH ŋ AB k AB ə AG ɳ AB
कोंकणी	k AB oː AH ŋ AB k AB ɳ AB iː AG
कोंपल	k AB oː AH m AE p AE ə AG l AD
कोई	k AB oː AH iː AG
कोकबोरोक	k AB oː AH k AB b AE oː AH ɾ AJ oː AH k AB
कोख	k AB oː AH kʰ AC
कोची	k AB oː AH t AB ʃ AB iː AG
कोट	k AB oː AH ʈ AB
कोटर	k AB oː AH ʈ AB ə AG ɾ AJ
कोटवाल	k AB oː AH ʈ AB ʋ AK ɑː AG l AD
कोटा	k AB oː AH ʈ AB ɑː AG
कोटिशः	k AB oː AH ʈ AB ɪ AG ʃ AB ə AG ɦ AI
कोठा	k AB oː AH ʈʰ AC ɑː AG
कोठारी	k AB oː AH ʈʰ AC ɑː AG ɾ AJ iː AG
कोड़ा	k AB oː AH ɽ AJ ɑː AG
कोढ़	k AB oː AH ɽʱ AL
कोण	k AB oː AH ɳ AB
कोतवाल	k AB oː AH t̪ AB ʋ AK ɑː AG l AD
कोथमीर	k AB oː AH t̪ʰ AC m AE iː AG ɾ AJ
कोदो	k AB oː AH d̪ AB oː AH
कोदों	k AB oː AH d̪ AB õː
कोप	k AB oː AH p AE
कोपचा	k AB oː AH p AE t AB ʃ AB ɑː AG
कोमोरोस	k AB oː AH m AE oː AH ɾ AJ oː AH s AB
कोयंबतूर	k AB oː AH j AA ə AG m AE b AE ə AG t̪ AB uː AH ɾ AJ
कोयल	k AB oː AH j AA ə AG l AD
कोरा	k AB oː AH ɾ AJ ɑː AG
कोरियन	k AB oː AH ɾ AJ ɪ AG j AA ə AG n AB
कोरिया	k AB oː AH ɾ AJ ɪ AG j AA ɑː AG
कोरियाई	k AB oː AH ɾ AJ ɪ AG j AA ɑː AG iː AG
कोरेगांव	k AB oː AH ɾ AJ eː AG ɡ AB ɑː AG m AE ʋ AK
कोरोनावायरस	k AB oː AH ɾ AJ oː AH n AB ɑː AG ʋ AK ɑː AG j AA ɾ AJ ə AG s AB
कोर्ट	k AB oː AH ʈ AB
कोलकाता	k AB oː AH l AD k AB ɑː AG t̪ AB ɑː AG
कोलाहल	k AB oː AH l AD ɑː AG ɦ AI ə AG l AD
कोश	k AB oː AH ʃ AB
कोशकला	k AB oː AH ʃ AB k AB ə AG l AD ɑː AG
कोशिका	k AB oː AH ʃ AB ɪ AG k AB ɑː AG
कोशिश	k AB oː AH ʃ AB ɪ AG ʃ AB
कोष	k AB oː AH ʂ AB
कोष्ठक	k AB oː AH ʂ AB ʈʰ AC ə AG k AB
कोस	k AB oː AH s AB
कोसना	k AB oː AH s AB n AB ɑː AG
कोह	k AB oː AH ɦ AI
कोहनी	k AB oː AH ɦ AI n AB iː AG
कोहराम	k AB oː AH ɦ AI ɾ AJ ɑː AG m AE
कोहिमा	k AB oː AH ɦ AI ɪ AG m AE ɑː AG
कोहेनूर	k AB oː AH ɦ AI eː AG n AB uː AH ɾ AJ
कौंसिल	k AB ɔː AH n AB s AB ɪ AG l AD
कौड़ी	k AB ɔː AH ɽ AJ iː AG
कौतुकी	k AB ɔː AH t̪ AB ʊ AH k AB iː AG
कौन	k AB ɔː AH n AB
कौमुदी	k AB ɔː AH m AE ʊ AH d̪ AB iː AG
क्या	k AB j AA ɑː AG
क्यूँ	k AB j AA ũː
क्यूबा	k AB j AA uː AH b AE ɑː AG
क्यों	k AB j AA ũː
क्योंकि	k AB j AA oː AH ŋ AB k AB iː AG
क्योटो	k AB j AA oː AH ʈ AB oː AH
क्रम	k AB ɾ AJ ə AG m AE
क्रमण	k AB ɾ AJ ə AG m AE ə AG ɳ AB
क्रमबद्ध	k AB ɾ AJ ə AG m AE b AE ə AG d̪ AB d̪ʱ AC
क्रमशः	k AB ɾ AJ ə AG m AE ʃ AB ə AG ɦ AI
क्रमसूचक	k AB ɾ AJ ə AG m AE s AB uː AH t AB ʃ AB ə AG k AB
क्रमागत	k AB ɾ AJ ə AG m AE ɑː AG ɡ AB ə AG t̪ AB
क्रमादेशन	k AB ɾ AJ ə AG m AE ɑː AG d̪ AB eː AG ʃ AB ə AG n AB
क्रय	k AB ɾ AJ ə AG j AA
क्रांति	k AB ɾ AJ ɑː AG n AB t̪ AB iː AG
क्रांतिकारी	k AB ɾ AJ ɑː AG n AB t̪ AB ɪ AG k AB ɑː AG ɾ AJ iː AG
क्राइस्टचर्च	k AB ɾ AJ ɑː AG ɪ AG s AB ʈ AB t AB ʃ AB ə AG ɾ AJ t AB ʃ AB
क्रान्ति	k AB ɾ AJ ɑː AG n AB t̪ AB iː AG
क्रिकेटर	k AB ɾ AJ ɪ AG k AB eː AG ʈ AB ə AG ɾ AJ
क्रिया	k AB ɾ AJ ɪ AG j AA ɑː AG
क्रियाकलाप	k AB ɾ AJ ɪ AG j AA ɑː AG k AB ə AG l AD ɑː AG p AE
क्रियापद	k AB ɾ AJ ɪ AG j AA ɑː AG p AE ə AG d̪ AB
क्रियारूप	k AB ɾ AJ ɪ AG j AA ɑː AG ɾ AJ uː AH p AE
क्रियावाचक	k AB ɾ AJ ɪ AG j AA ɑː AG ʋ AK ɑː AG t AB ʃ AB ə AG k AB
क्रियाविशेषण	k AB ɾ AJ ɪ AG j AA ɑː AG ʋ AK ɪ AG ʃ AB eː AG ʂ AB ə AG ɳ AB
क्रिसमस	k AB ɾ AJ ɪ AG s AB m AE ə AG s AB
क्रिस्टल	k AB ɾ AJ ɪ AG s AB ʈ AB ə AG l AD
क्रिस्मस	k AB ɾ AJ ɪ AG s AB m AE ə AG s AB
क्रीडक	k AB ɾ AJ iː AG ɖ AB ə AG k AB
क्रीड़क	k AB ɾ AJ iː AG ɽ AJ ə AG k AB
क्रीड़ा	k AB ɾ AJ iː AG ɽ AJ ɑː AG
क्रीड़ास्थल	k AB ɾ AJ iː AG ɽ AJ ɑː AG s AB t̪ʰ AC ə AG l AD
क्रीड़िका	k AB ɾ AJ iː AG ɽ AJ ɪ AG k AB ɑː AG
क्रीडिका	k AB ɾ AJ iː AG ɖ AB ɪ AG k AB ɑː AG
क्रीम	k AB ɾ AJ iː AG m AE
क्रुद्ध	k AB ɾ AJ ʊ AH d̪ AB d̪ʱ AC
क्रूस	k AB ɾ AJ uː AH s AB
क्रेता	k AB ɾ AJ eː AG t̪ AB ɑː AG
क्रेमलिन	k AB ɾ AJ eː AG m AE l AD ɪ AG n AB
क्रोएशिया	k AB ɾ AJ oː AH eː AG ʃ AB ɪ AG j AA ɑː AG
क्रोध	k AB ɾ AJ oː AH d̪ʱ AC
क्लब	k AB l AD ə AG b AE
क्लर्क	k AB l AD ə AG ɾ AJ k AB
क्लास	k AB l AD ɑː AG s AB
क्वथनांक	k AB ʋ AK ə AG t̪ʰ AC ə AG n AB ɑ̃ː AG k AB
क्वारंटीन	k AB ʋ AK ɑː AG ɾ AJ ə AG ɳ AB ʈ AB iː AG n AB
क्वार्टज़	k AB ʋ AK ɑː AG ɾ AJ ʈ AB z AB
क्विंटल	k AB ʋ AK ɪ AG ɳ AB ʈ AB ə AG l AD
क्वेटा	k AB ʋ AK eː AG ʈ AB ɑː AG
क्षण	k AB ʂ AB ə AG ɳ AB
क्षति	k AB ʂ AB ə AG t̪ AB iː AG
क्षत्राणी	k AB ʂ AB ə AG t̪ AB ɾ AJ ɑː AG ɳ AB iː AG
क्षत्रिय	k AB ʂ AB ə AG t̪ AB ɾ AJ ɪ AG j AA ə AG
क्षमता	k AB ʂ AB ə AG m AE t̪ AB ɑː AG
क्षमा	k AB ʂ AB ə AG m AE ɑː AG
क्षयरोग	k AB ʂ AB ə AG j AA ɾ AJ oː AH ɡ AB
क्षारातु	k AB ʂ AB ɑː AG ɾ AJ ɑː AG t̪ AB uː AH
क्षितिज	k AB ʂ AB ɪ AG t̪ AB ɪ AG d AB ʒ AB
क्षीण	k AB ʂ AB iː AG ɳ AB
क्षुधा	k AB ʂ AB ʊ AH d̪ʱ AC ɑː AG
क्षुब्ध	k AB ʂ AB ʊ AH b AE d̪ʱ AC
क्षेत्रफल	k AB ʂ AB eː AG t̪ AB ɾ AJ ə AG pʰ AF ə AG l AD
क्षेत्ररक्षण	k AB ʂ AB eː AG t̪ AB ɾ AJ ə AG ɾ AJ ə AG k AB ʂ AB ə AG ɳ AB
क्षेत्राधिकार	k AB ʂ AB eː AG t̪ AB ɾ AJ ɑː AG d̪ʱ AC ɪ AG k AB ɑː AG ɾ AJ
ख	kʰ AC ə AG
खँखड़	kʰ AC ə AG ŋ AB kʰ AC ə AG ɽ AJ
खंड	kʰ AC ə AG ɳ AB ɖ AB
खंडशः	kʰ AC ə AG ɳ AB ɖ AB ʃ AB ə AG ɦ AI
खंडहर	kʰ AC ə AG ɳ AB ɖʱ AC ə AG ɾ AJ
खंबा	kʰ AC ə AG m AE b AE ɑː AG
खंभा	kʰ AC ə AG m AE bʱ AF ɑː AG
खग	kʰ AC ə AG ɡ AB
खगोल	kʰ AC ə AG ɡ AB oː AH l AD
खच्चर	kʰ AC ə AG t AB ʃ AB t AB ʃ AB ə AG ɾ AJ
खजूर	kʰ AC ə AG d AB ʒ AB uː AH ɾ AJ
खट	kʰ AC ə AG ʈ AB
खटखटाना	kʰ AC ə AG ʈ AB kʰ AC ə AG ʈ AB ɑː AG n AB ɑː AG
खटपट	kʰ AC ə AG ʈ AB p AE ə AG ʈ AB
खटमल	kʰ AC ə AG ʈ AB m AE ə AG l AD
खटमिट्ठा	kʰ AC ə AG ʈ AB m AE ɪ AG ʈ AB ʈʰ AC ɑː AG
खटाई	kʰ AC ə AG ʈ AB ɑː AG iː AG
खड़ा	kʰ AC ə AG ɽ AJ ɑː AG
खड़िया	kʰ AC ə AG ɽ AJ ɪ AG j AA ɑː AG
खड़ी	kʰ AC ə AG ɽ AJ iː AG
खड़ूस	kʰ AC ə AG ɽ AJ uː AH s AB
खड़े	kʰ AC ə AG ɽ AJ eː AG
खण्ड	kʰ AC ə AG ɳ AB ɖ AB
खतौनी	kʰ AC ə AG t̪ AB ɔː AH n AB iː AG
खत्री	kʰ AC ə AG t̪ AB ɾ AJ iː AG
खदान	kʰ AC ə AG d̪ AB ɑː AG n AB
खदेड़ना	kʰ AC ə AG d̪ AB eː AG ɽ AJ n AB ɑː AG
खद्योत	kʰ AC ə AG d̪ AB j AA oː AH t̪ AB
खनन	kʰ AC ə AG n AB ə AG n AB
खनाखन	kʰ AC ə AG n AB ɑː AG kʰ AC ə AG n AB
खनिज	kʰ AC ə AG n AB ɪ AG d AB ʒ AB
खपत	kʰ AC ə AG p AE ə AG t̪ AB
खपरैल	kʰ AC ə AG p AE ɾ AJ ɛː AG l AD
खबर	x AB ə AG b AE ə AG ɾ AJ
खयाल	x AB ə AG j AA ɑː AG l AD
खयालें	x AB ə AG j AA ɑː AG l AD ẽː
खयालो	x AB ə AG j AA ɑː AG l AD oː AH
खयालों	x AB ə AG j AA ɑː AG l AD õː
खरगोश	x AB ə AG ɾ AJ ɡ AB oː AH ʃ AB
खरब	kʰ AC ə AG ɾ AJ ə AG b AE
खरा	kʰ AC ə AG ɾ AJ ɑː AG
खराई	kʰ AC ə AG ɾ AJ ɑː AG iː AG
खरोंच	kʰ AC ə AG ɾ AJ oː AH n AB t AB ʃ AB
खरोंचना	kʰ AC ə AG ɾ AJ oː AH n AB t AB ʃ AB n AB ɑː AG
खर्च	x AB ə AG ɾ AJ t AB ʃ AB
खर्जु	kʰ AC ə AG ɾ AJ d AB ʒ AB uː AH
खलना	kʰ AC ə AG l AD n AB ɑː AG
खलनायक	kʰ AC ə AG l AD n AB ɑː AG j AA ə AG k AB
खलासी	x AB ə AG l AD ɑː AG s AB iː AG
खलिहान	kʰ AC ə AG l AD ɪ AG ɦ AI ɑː AG n AB
खल्लास	kʰ AC ə AG l AD l AD ɑː AG s AB
खसरा	kʰ AC ə AG s AB ɾ AJ ɑː AG
ख़	x AB ə AG
ख़ंजर	x AB ə AG n AB d AB ʒ AB ə AG ɾ AJ
ख़ज़ाना	x AB ə AG z AB ɑː AG n AB ɑː AG
ख़तम	x AB ə AG t̪ AB ə AG m AE
ख़ता	x AB ə AG t̪ AB ɑː AG
ख़त्म	x AB ə AG t̪ AB ə AG m AE
ख़फ़ा	x AB ə AG f AE ɑː AG
ख़बर	x AB ə AG b AE ə AG ɾ AJ
ख़बरनवीस	x AB ə AG b AE ə AG ɾ AJ n AB ə AG ʋ AK iː AG s AB
ख़बरी	x AB ə AG b AE ɾ AJ iː AG
ख़म	x AB ə AG m AE
ख़मियाज़ा	x AB ə AG m AE ɪ AG j AA ɑː AG z AB ɑː AG
ख़मीर	x AB ə AG m AE iː AG ɾ AJ
ख़याल	x AB ə AG j AA ɑː AG l AD
ख़रगोश	x AB ə AG ɾ AJ ɡ AB oː AH ʃ AB
ख़रबूज़ा	x AB ə AG ɾ AJ b AE uː AH z AB ɑː AG
ख़राब	x AB ə AG ɾ AJ ɑː AG b AE
ख़राश	x AB ə AG ɾ AJ ɑː AG ʃ AB
ख़रीद	x AB ə AG ɾ AJ iː AG d̪ AB
ख़रीदना	x AB ə AG ɾ AJ iː AG d̪ AB n AB ɑː AG
ख़रीदवाना	x AB ə AG ɾ AJ iː AG d̪ AB ʋ AK ɑː AG n AB ɑː AG
ख़रीदार	x AB ə AG ɾ AJ iː AG d̪ AB ɑː AG ɾ AJ
ख़रीदारी	x AB ə AG ɾ AJ iː AG d̪ AB ɑː AG ɾ AJ iː AG
ख़र्च	x AB ə AG ɾ AJ t AB ʃ AB
ख़र्चा	x AB ə AG ɾ AJ t AB ʃ AB ɑː AG
ख़लक़	x AB ə AG l AD q AB
ख़लासी	x AB ə AG l AD ɑː AG s AB iː AG
ख़लिश	x AB ə AG l AD ɪ AG ʃ AB
ख़लीफ़ा	x AB ə AG l AD iː AG f AE ɑː AG
ख़सरा	x AB ə AG s AB ɾ AJ ɑː AG
ख़ाक	x AB ɑː AG k AB
ख़ाक़ान	x AB ɑː AG q AB ɑː AG n AB
ख़ाका	x AB ɑː AG k AB ɑː AG
ख़ातिर	x AB ɑː AG t̪ AB ɪ AG ɾ AJ
ख़ातून	x AB ɑː AG t̪ AB uː AH n AB
ख़ान	x AB ɑː AG n AB
ख़ानक़ाह	x AB ɑː AG n AB q AB ɑː AG ɦ AI
ख़ानगी	x AB ɑː AG n AB ɡ AB iː AG
ख़ानदान	x AB ɑː AG n AB d̪ AB ɑː AG n AB
ख़ानदानी	x AB ɑː AG n AB d̪ AB ɑː AG n AB iː AG
ख़ानसामा	x AB ɑː AG n AB s AB ɑː AG m AE ɑː AG
ख़ानसामाँ	x AB ɑː AG n AB s AB ɑː AG m AE ɑ̃ː AG
ख़ाना	x AB ɑː AG n AB ɑː AG
ख़ानाबदोश	x AB ɑː AG n AB ɑː AG b AE ə AG d̪ AB oː AH ʃ AB
ख़ामी	x AB ɑː AG m AE iː AG
ख़ारिज	x AB ɑː AG ɾ AJ ɪ AG d AB ʒ AB
ख़ाला	x AB ɑː AG l AD ɑː AG
ख़ालिक़	x AB ɑː AG l AD ɪ AG q AB
ख़ालिस	x AB ɑː AG l AD ɪ AG s AB
ख़ालिस्तान	x AB ɑː AG l AD ɪ AG s AB t̪ AB ɑː AG n AB
ख़ाली	x AB ɑː AG l AD iː AG
ख़ावंद	x AB ɑː AG ʋ AK ə AG n AB d̪ AB
ख़ास	x AB ɑː AG s AB
ख़ासियत	x AB ɑː AG s AB ɪ AG j AA ə AG t̪ AB
ख़िताब	x AB ɪ AG t̪ AB ɑː AG b AE
ख़िताबी	x AB ɪ AG t̪ AB ɑː AG b AE iː AG
ख़िदमत	x AB ɪ AG d̪ AB m AE ə AG t̪ AB
ख़िदमतगार	x AB ɪ AG d̪ AB m AE ə AG t̪ AB ɡ AB ɑː AG ɾ AJ
ख़िलाफ़	x AB ɪ AG l AD ɑː AG f AE
ख़ुद	x AB ʊ AH d̪ AB
ख़ुदकुशी	x AB ʊ AH d̪ AB k AB ʊ AH ʃ AB iː AG
ख़ुदा	x AB ʊ AH d̪ AB ɑː AG
ख़ुदावंद	x AB ʊ AH d̪ AB ɑː AG ʋ AK ə AG n AB d̪ AB
ख़ुफ़िया	x AB ʊ AH f AE ɪ AG j AA ɑː AG
ख़ुराफ़ात	x AB ʊ AH ɾ AJ ɑː AG f AE ɑː AG t̪ AB
ख़ुलासा	x AB ʊ AH l AD ɑː AG s AB ɑː AG
ख़ुशआमदीद	x AB ʊ AH ʃ AB ə AG ɑː AG m AE d̪ AB iː AG d̪ AB
ख़ुशक़िस्मत	x AB ʊ AH ʃ AB q AB ɪ AG s AB m AE ə AG t̪ AB
ख़ुशख़बरी	x AB ʊ AH ʃ AB x AB ə AG b AE ɾ AJ iː AG
ख़ुशनसीब	x AB ʊ AH ʃ AB n AB ə AG s AB iː AG b AE
ख़ुशबू	x AB ʊ AH ʃ AB b AE uː AH
ख़ुशबूदार	x AB ʊ AH ʃ AB b AE uː AH d̪ AB ɑː AG ɾ AJ
ख़ुशमिज़ाज	x AB ʊ AH ʃ AB m AE ɪ AG z AB ɑː AG d AB ʒ AB
ख़ुशहाल	x AB ʊ AH ʃ AB ɦ AI ɑː AG l AD
ख़ुशहाली	x AB ʊ AH ʃ AB ɦ AI ɑː AG l AD iː AG
ख़ुशाब	x AB ʊ AH ʃ AB ɑː AG b AE
ख़ुशामद	x AB ʊ AH ʃ AB ɑː AG m AE ə AG d̪ AB
ख़ुशी	x AB ʊ AH ʃ AB iː AG
ख़ूँख़ार	x AB ũː x AB ɑː AG ɾ AJ
ख़ून	x AB uː AH n AB
ख़ूनी	x AB uː AH n AB iː AG
ख़ूबसूरत	x AB uː AH b AE s AB uː AH ɾ AJ ə AG t̪ AB
ख़ूबसूरती	x AB uː AH b AE s AB uː AH ɾ AJ t̪ AB iː AG
ख़ूबानी	x AB uː AH b AE ɑː AG n AB iː AG
ख़ूबी	x AB uː AH b AE iː AG
ख़ैर	x AB ɛː AG ɾ AJ
ख़ैरात	x AB ɛː AG ɾ AJ ɑː AG t̪ AB
ख़ैरियत	x AB ɛː AG ɾ AJ ɪ AG j AA ə AG t̪ AB
ख़ौफ़	x AB ɔː AH f AE
ख़्याल	x AB j AA ɑː AG l AD
ख़्वाजा	x AB ʋ AK ɑː AG d AB ʒ AB ɑː AG
ख़्वाब	x AB ʋ AK ɑː AG b AE
ख़्वाबगाह	x AB ʋ AK ɑː AG b AE ɡ AB ɑː AG ɦ AI
ख़्वाहिश	x AB ʋ AK ɑː AG ɦ AI ɪ AG ʃ AB
ख़्वुरशेद	x AB ʋ AK ʊ AH ɾ AJ ʃ AB eː AG d̪ AB
खाँग	kʰ AC ɑː AG ŋ AB ɡ AB
खाँसना	kʰ AC ɑ̃ː AG s AB n AB ɑː AG
खाँसी	kʰ AC ɑ̃ː AG s AB iː AG
खांसना	kʰ AC ɑː AG n AB s AB n AB ɑː AG
खाई	kʰ AC ɑː AG iː AG
खाट	kʰ AC ɑː AG ʈ AB
खाड़ी	kʰ AC ɑː AG ɽ AJ iː AG
खाता	kʰ AC ɑː AG t̪ AB ɑː AG
खाद	kʰ AC ɑː AG d̪ AB
खादन	kʰ AC ɑː AG d̪ AB ə AG n AB
खादी	kʰ AC ɑː AG d̪ AB iː AG
खाद्य	kʰ AC ɑː AG d̪ AB j AA ə AG
खान	kʰ AC ɑː AG n AB
खाना	kʰ AC ɑː AG n AB ɑː AG
खानि	kʰ AC ɑː AG n AB iː AG
खाने	kʰ AC ɑː AG n AB eː AG
खाप	kʰ AC ɑː AG p AE
खारा	kʰ AC ɑː AG ɾ AJ ɑː AG
खाली	x AB ɑː AG l AD iː AG
खिंचाव	kʰ AC ɪ AG n AB t AB ʃ AB ɑː AG ʋ AK
