अ	ə AF
एहतजाज	eː AB ɦ AE t̪ ə AF d ʒ ɑː AB d ʒ
एहतियात	eː AB ɦ AE t̪ ɪ AF j AA ɑː AB t̪
एहसान	ə AF ɦ AE s ɑː AB n
एहसानमंद	eː AB ɦ AE s ɑː AB n m ə AF n d̪
एहसास	eː AB ɦ AE s ɑː AB s
ऐ	ɛː AB
ऐच्छिक	ɛː AB t ʃ t ʃʰ ɪ AF k
ऐतराज़	ɛː AB t̪ ɾ ɑː AB z
ऐतिहासिक	ɛː AB t̪ ɪ AF ɦ AE ɑː AB s ɪ AF k
ऐनक	ɛː AB n ə AF k
ऐनिमे	ɛː AB n ɪ AF m eː AB
ऐरन	ɛː AB ɾ ə AF n
ऐश	ɛː AB ʃ
ऐसा	ɛː AB s ɑː AB
ऐसी	ɛː AB s iː AB
ऐसे	ɛː AB s eː AB
ऐहतियातन	ɛː AB ɦ AE t̪ ɪ AF j AA ɑː AB t̪ ə AF n
ओ	oː AC
ओए	oː AC eː AB
ओक	oː AC k
ओकाई	oː AC k ɑː AB iː AB
ओखली	oː AC kʰ l iː AB
ओगाज़्म	oː AC ɡ ɑː AB z m
ओछा	oː AC t ʃʰ ɑː AB
ओझल	oː AC d ʒʱ ə AF l
ओझा	oː AC d ʒʱ ɑː AB
ओटावा	oː AC ʈ ɑː AB ʋ AI ɑː AB
ओडिशा	oː AC ɖ ɪ AF ʃ ɑː AB
ओढ़ना	oː AC ɽʱ n ɑː AB
ओणम	oː AC ɳ ə AF m
ओमान	oː AC m ɑː AB n
ओर	oː AC ɾ
ओलंदेज़	oː AC l ə AF n d̪ eː AB z
ओलंपिक	oː AC l ə AF m p ɪ AF k
ओला	oː AC l ɑː AB
ओलिंपियाड	oː AC l ɪ AF m p ɪ AF j AA ɑː AB ɖ
ओशिआनिया	oː AC ʃ ɪ AF j AA ɑː AB n ɪ AF j AA ɑː AB
ओष्ठ्य	oː AC ʂ ʈʰ j AA ə AF
ओसाका	oː AC s ɑː AB k ɑː AB
ओहायो	oː AC ɦ AE ɑː AB j AA oː AC
ओहो	oː AC ɦ AE oː AC
औ	ə AF ʊ AD
औंहर	ɔ̃ː AG ɦ AE ə AF ɾ
औक़ात	ɔː AC q ɑː AB t̪
औज़ार	ɔː AC z ɑː AB ɾ
औजार	ɔː AC z ɑː AB ɾ
औद्योगिक	ɔː AC d̪ j AA oː AC ɡ ɪ AF k
औद्योगीकरण	ɔː AC d̪ j AA oː AC ɡ iː AB k ə AF ɾ ə AF ɳ
औपचारिक	ɔː AC p t ʃ ɑː AB ɾ ɪ AF k
और	ɔː AC ɾ
औरंगाबाद	ɔː AC ɾ ə AF ŋ ɡ ɑː AB b ɑː AB d̪
औरत	ɔː AC ɾ ə AF t̪
औलाद	ɔː AC l ɑː AB d̪
औलिया	ɔː AC l ɪ AF j AA ɑː AB
औषध	ɔː AC ʂ ə AF d̪ʱ
औषधि	ɔː AC ʂ d̪ʱ iː AB
औषधी	ɔː AC ʂ d̪ʱ iː AB
औसत	ɔː AC s ə AF t̪
औसतन	ɔː AC s t̪ ə AF n
क	k ə AF
कँगनी	k ə AF ŋ ɡ n iː AB
कंकड़	k ə AF ŋ k ə AF ɽ
कंकड़ीला	k ə AF ŋ k ɽ iː AB l ɑː AB
कंकाल	k ə AF ŋ k ɑː AB l
कंक्रीट	k ə AF ŋ k ɾ iː AB ʈ
कंगन	k ə AF ŋ ɡ ə AF n
कंगारू	k ə AF ŋ ɡ ɑː AB ɾ uː AC
कंगाल	k ə AF ŋ ɡ ɑː AB l
कंजूस	k ə AF n d ʒ uː AC s
कंठ	k ə AF ɳ ʈʰ
कंठमाला	k ə AF ɳ ʈʰ m ɑː AB l ɑː AB
कंठ्य	k ə AF ɳ ʈʰ j AA ə AF
कंडकटर	k ə AF ɳ ɖ ə AF k ʈ ə AF ɾ
कंडीशनर	k ə AF ɳ ɖ iː AB ʃ n ə AF ɾ
कंद	k ə AF n d̪
कंदरा	k ə AF n d̪ ə AF ɾ ɑː AB
कंदुक	k ə AF n d̪ ʊ AD k
कंधा	k ə AF n d̪ʱ ɑː AB
कंप	k ə AF m p
कंपन	k ə AF m p ə AF n
कंपनी	k ə AF m p ə AF n iː AB
कंपित	k ə AF m p ɪ AF t̪
कंपू	k ə AF m p uː AC
कंप्यूटर	k ə AF m p j AA uː AC ʈ ə AF ɾ
कंप्यूटरीकरण	k ə AF m p j AA uː AC ʈ ɾ iː AB k ə AF ɾ ə AF ɳ
कंबल	k ə AF m b ə AF l
कंबोडिया	k ə AF m b oː AC ɖ ɪ AF j AA ɑː AB
कई	k ə AF iː AB
ककड़ी	k ə AF k ɽ iː AB
कक्ष	k ə AF k ʂ
कक्षा	k ə AF k ʂ ɑː AB
कगार	k ə AF ɡ ɑː AB ɾ
कचनार	k ə AF t ʃ n ɑː AB ɾ
कचरा	k ə AF t ʃ ɾ ɑː AB
कचहरी	k ə AF t ʃ ə AF ɦ AE ɾ iː AB
कचालू	k ə AF t ʃ ɑː AB l uː AC
कच्चा	k ə AF t ʃ t ʃ ɑː AB
कच्छ	k ə AF t ʃ t ʃʰ
कच्छा	k ə AF t ʃ t ʃʰ ɑː AB
कछारी	k ə AF t ʃʰ ɑː AB ɾ iː AB
कछुआ	k ə AF t ʃʰ ʊ AD ɑː AB
कजरारा	k ə AF d ʒ ɾ ɑː AB ɾ ɑː AB
कज़ाख़स्तान	k ə AF z ɑː AB x ə AF s t̪ ɑː AB n
कटना	k ə AF ʈ n ɑː AB
कटहल	k ə AF ʈʰ ə AF l
कटाई	k ə AF ʈ ɑː AB iː AB
कटाक्ष	k ə AF ʈ ɑː AB k ʂ
कटार	k ə AF ʈ ɑː AB ɾ
कटि	k ə AF ʈ iː AB
कटोरा	k ə AF ʈ oː AC ɾ ɑː AB
कटौती	k ə AF ʈ ɔː AC t̪ iː AB
कट्टर	k ə AF ʈ ʈ ə AF ɾ
कट्ठा	k ə AF ʈ ʈʰ ɑː AB
कठघरा	k ə AF ʈʰ ɡʱ ə AF ɾ ɑː AB
कठमुल्ला	k ə AF ʈʰ m ʊ AD l l ɑː AB
कठिन	k ə AF ʈʰ ɪ AF n
कठिनता	k ə AF ʈʰ ɪ AF n t̪ ɑː AB
कठिनाई	k ə AF ʈʰ ɪ AF n ɑː AB iː AB
कठुआ	k ə AF ʈʰ ʊ AD ɑː AB
कडपा	k ə AF ɖ p ɑː AB
कड़क	k ə AF ɽ ə AF k
कड़कड़ाना	k ə AF ɽ k ə AF ɽ ɑː AB n ɑː AB
कड़छी	k ə AF ɽ t ʃʰ iː AB
कड़वा	k ə AF ɽ ʋ AI ɑː AB
कड़वापन	k ə AF ɽ ʋ AI ɑː AB p ə AF n
कड़वाहट	k ə AF ɽ ʋ AI ɑː AB ɦ AE ə AF ʈ
कड़ा	k ə AF ɽ ɑː AB
कड़ी	k ə AF ɽ iː AB
कढ़ाई	k ə AF ɽʱ ɑː AB iː AB
कढ़ी	k ə AF ɽʱ iː AB
कतराना	k ə AF t̪ ɾ ɑː AB n ɑː AB
कतल	q ə AF t̪ ə AF l
कतार	q ə AF t̪ ɑː AB ɾ
कति	k ə AF t̪ iː AB
कत्ल	q ə AF t̪ l
कथन	k ə AF t̪ʰ ə AF n
कथा	k ə AF t̪ʰ ɑː AB
कथित	k ə AF t̪ʰ ɪ AF t̪
कदन	k ə AF d̪ ə AF n
कदाचित्	k ə AF d̪ ɑː AB t ʃ ɪ AF t̪
कदापि	k ə AF d̪ ɑː AB p iː AB
कदू	k ə AF d̪ uː AC
कद्दू	k ə AF d̪ d̪ uː AC
कनटोप	k ə AF n ʈ oː AC p
कनपटी	k ə AF n p ə AF ʈ iː AB
कनपेड़	k ə AF n p eː AB ɽ
कनाडा	k ə AF n ɑː AB ɖ ɑː AB
कनिया	k ə AF n ɪ AF j AA ɑː AB
कनिष्ठ	k ə AF n ɪ AF ʂ ʈʰ
कनिष्ठा	k ə AF n ɪ AF ʂ ʈʰ ɑː AB
कनीज़	k ə AF n iː AB z
कन्द	k ə AF n d̪
कन्दरा	k ə AF n d̪ ə AF ɾ ɑː AB
कन्दुक	k ə AF n d̪ ʊ AD k
कन्नड	k ə AF n n ə AF ɖ
कन्नड़	k ə AF n n ə AF ɽ
कन्नौज	k ə AF n n ɔː AC d ʒ
कन्या	k ə AF n j AA ɑː AB
कपड़ा	k ə AF p ɽ ɑː AB
कपाल	k ə AF p ɑː AB l
कपास	k ə AF p ɑː AB s
कपिलवस्तु	k ə AF p ɪ AF l ʋ AI ə AF s t̪ uː AC
कपीश	k ə AF p iː AB ʃ
कपूर	k ə AF p uː AC ɾ
कपोत	k ə AF p oː AC t̪
कप्तान	k ə AF p t̪ ɑː AB n
कफ़न	k ə AF pʰ ə AF n
कब	k ə AF b
कबड्डी	k ə AF b ə AF ɖ ɖ iː AB
कबाड़	k ə AF b ɑː AB ɽ
कबाब	k ə AF b ɑː AB b
कबीर	k ə AF b iː AB ɾ
कबूतर	k ə AF b uː AC t̪ ə AF ɾ
कबूल	q ə AF b uː AC l
कभी	k ə AF bʱ iː AB
कम	k ə AF m
कमज़ोर	k ə AF m z oː AC ɾ
कमबख़्त	k ə AF m b ə AF x t̪
कमरबंद	k ə AF m ə AF ɾ b ə AF n d̪
कमरबन्द	k ə AF m ə AF ɾ b ə AF n d̪
कमरा	k ə AF m ɾ ɑː AB
कमर्शियल	k ə AF m ə AF ɾ ʃ ɪ AF j AA ə AF l
कमल	k ə AF m ə AF l
कमली	k ə AF m l iː AB
कमाई	k ə AF m ɑː AB iː AB
कमाऊ	k ə AF m ɑː AB uː AC
कमान	k ə AF m ɑː AB n
कमाल	k ə AF m ɑː AB l
कमिश्नर	k ə AF m ɪ AF ʃ n ə AF ɾ
कमी	k ə AF m iː AB
कमीना	k ə AF m iː AB n ɑː AB
कमीनापन	k ə AF m iː AB n ɑː AB p ə AF n
कमीशन	k ə AF m iː AB ʃ ə AF n
कमेंट	k ə AF m eː AB ɳ ʈ
कमेटी	k ə AF m eː AB ʈ iː AB
कमेरा	k ə AF m eː AB ɾ ɑː AB
कमोबेश	k ə AF m oː AC b eː AB ʃ
कम्प	k ə AF m p
कम्पन	k ə AF m p ə AF n
कम्पित	k ə AF m p ɪ AF t̪
कम्बल	k ə AF m b ə AF l
कम्बोडिया	k ə AF m b oː AC ɖ ɪ AF j AA ɑː AB
कम्युनिजम	k ə AF m j AA ʊ AD n ɪ AF z ə AF m
कम्युनिज़म	k ə AF m j AA ʊ AD n ɪ AF z ə AF m
कयामत	q ə AF j AA ɑː AB m ə AF t̪
कर	k ə AF ɾ
करके	k ə AF ɾ k eː AB
करघा	k ə AF ɾ ɡʱ ɑː AB
करछी	k ə AF ɾ t ʃʰ iː AB
करण	k ə AF ɾ ə AF ɳ
करणी	k ə AF ɾ ɳ iː AB
करतब	k ə AF ɾ t̪ ə AF b
करता	k ə AF ɾ t̪ ɑː AB
करती	k ə AF ɾ t̪ iː AB
करते	k ə AF ɾ t̪ eː AB
करना	k ə AF ɾ n ɑː AB
करनाल	k ə AF ɾ n ɑː AB l
करनी	k ə AF ɾ n iː AB
करनेवाला	k ə AF ɾ n eː AB ʋ AI ɑː AB l ɑː AB
कराची	k ə AF ɾ ɑː AB t ʃ iː AB
करारा	k ə AF ɾ ɑː AB ɾ ɑː AB
करिश्मा	k ə AF ɾ ɪ AF ʃ m ɑː AB
करी	k ə AF ɾ iː AB
करीब	q ə AF ɾ iː AB b
करूंगा	k ə AF ɾ uː AC ŋ ɡ ɑː AB
करेला	k ə AF ɾ eː AB l ɑː AB
करोड़	k ə AF ɾ oː AC ɽ
करोड़पति	k ə AF ɾ oː AC ɽ p ə AF t̪ iː AB
करौंदा	k ə AF ɾ ɔː AC n d̪ ɑː AB
कर्ण	k ə AF ɾ ɳ
कर्तव्यपथ	k ə AF ɾ t̪ ə AF ʋ AI j AA ə AF p ə AF t̪ʰ
कर्ता	k ə AF ɾ t̪ ɑː AB
कर्नाटक	k ə AF ɾ n ɑː AB ʈ ə AF k
कर्म	k ə AF ɾ m
कर्मचारी	k ə AF ɾ m ə AF t ʃ ɑː AB ɾ iː AB
कर्मभूमि	k ə AF ɾ m bʱ uː AC m iː AB
कर्मशाला	k ə AF ɾ m ə AF ʃ ɑː AB l ɑː AB
कर्मी	k ə AF ɾ m iː AB
कल	k ə AF l
कलंक	k ə AF l ə AF ŋ k
कलकत्ता	k ə AF l k ə AF t̪ t̪ ɑː AB
कलक्टर	k ə AF l ə AF k ʈ ə AF ɾ
कलन	k ə AF l ə AF n
कलम	k ə AF l ə AF m
कलमकारी	k ə AF l ə AF m k ɑː AB ɾ iː AB
कलमा	k ə AF l m ɑː AB
कलसा	k ə AF l s ɑː AB
कलह	k ə AF l ə AF ɦ AE
कला	k ə AF l ɑː AB
कलाई	k ə AF l ɑː AB iː AB
कलाकार	k ə AF l ɑː AB k ɑː AB ɾ
कलात्मक	k ə AF l ɑː AB t̪ m ə AF k
कलावंत	k ə AF l ɑː AB ʋ AI ə AF n t̪
कली	k ə AF l iː AB
कलीसिया	k ə AF l iː AB s ɪ AF j AA ɑː AB
कलेजा	k ə AF l eː AB d ʒ ɑː AB
कलेवा	k ə AF l eː AB ʋ AI ɑː AB
कलोर	k ə AF l oː AC ɾ
कल्टी	k ə AF l ʈ iː AB
कल्पना	k ə AF l p ə AF n ɑː AB
कल्पनादर्श	k ə AF l p ə AF n ɑː AB d̪ ə AF ɾ ʃ
कल्पित	k ə AF l p ɪ AF t̪
कवक	k ə AF ʋ AI ə AF k
कवच	k ə AF ʋ AI ə AF t ʃ
कवचित	k ə AF ʋ AI ə AF t ʃ ɪ AF t̪
कवयित्री	k ə AF ʋ AI j AA ɪ AF t̪ ɾ iː AB
कविता	k ə AF ʋ AI ɪ AF t̪ ɑː AB
कवित्त	k ə AF ʋ AI ɪ AF t̪ t̪
कश	k ə AF ʃ
कशमकश	k ə AF ʃ ə AF m k ə AF ʃ
कश्ती	k ə AF ʃ t̪ iː AB
कश्मीर	k ə AF ʃ m iː AB ɾ
कष्ट	k ə AF ʂ ʈ
कसके	k ə AF s k eː AB
कसम	q ə AF s ə AF m
कसर	k ə AF s ə AF ɾ
कसरत	k ə AF s ɾ ə AF t̪
कसाई	q ə AF s ɑː AB iː AB
कसूर	q ə AF s uː AC ɾ
कसेरा	k ə AF s eː AB ɾ ɑː AB
कसौटी	k ə AF s ɔː AC ʈ iː AB
कहना	k ə AF ɦ AE n ɑː AB
कहनी	k ə AF ɦ AE n iː AB
कहर	q ə AF ɦ AE ə AF ɾ
कहलाना	k ə AF ɦ AE l ɑː AB n ɑː AB
कहवा	q ə AF ɦ AE ʋ AI ɑː AB
कहा	k ə AF ɦ AE ɑː AB
कहाँ	k ə AF ɦ AE ɑ̃ː AH
कहानी	k ə AF ɦ AE ɑː AB n iː AB
कहानीकार	k ə AF ɦ AE ɑː AB n iː AB k ɑː AB ɾ
कहावत	k ə AF ɦ AE ɑː AB ʋ AI ə AF t̪
कहीं	k ə AF ɦ AE ĩː
क़	q ə AF
क़तई	q ə AF t̪ ə AF iː AB
क़तर	q ə AF t̪ ə AF ɾ
क़तरा	q ə AF t̪ ɾ ɑː AB
क़त्ल	q ə AF t̪ l
क़त्लेआम	q ə AF t̪ l eː AB ɑː AB m
क़द	q ə AF d̪
क़दम	q ə AF d̪ ə AF m
क़दमताल	q ə AF d̪ ə AF m t̪ ɑː AB l
क़दीम	q ə AF d̪ iː AB m
क़द्दावर	q ə AF d̪ d̪ ɑː AB ʋ AI ə AF ɾ
क़द्रदान	q ə AF d̪ ɾ ə AF d̪ ɑː AB n
क़फ़स	q ə AF f ə AF s
क़बीला	q ə AF b iː AB l ɑː AB
क़बूल	q ə AF b uː AC l
क़ब्ज़	q ə AF b z
क़ब्ज़ा	q ə AF b z ɑː AB
क़ब्रिस्तान	q ə AF b ɾ ɪ AF s t̪ ɑː AB n
क़मीज़	q ə AF m iː AB z
क़रार	q ə AF ɾ ɑː AB ɾ
क़रीब	q ə AF ɾ iː AB b
क़रीबन	q ə AF ɾ iː AB b ə AF n
क़र्ज़	q ə AF ɾ z
क़लम	q ə AF l ə AF m
क़व्वाल	q ə AF ʋ AI ʋ AI ɑː AB l
क़व्वाली	q ə AF ʋ AI ʋ AI ɑː AB l iː AB
क़सम	q ə AF s ə AF m
क़साई	q ə AF s ɑː AB iː AB
क़सीदा	q ə AF s iː AB d̪ ɑː AB
क़सूर	q ə AF s uː AC ɾ
क़स्बा	q ə AF s b ɑː AB
क़हर	q ə AF ɦ AE ə AF ɾ
क़हवा	q ə AF ɦ AE ʋ AI ɑː AB
क़ाज़ी	q ɑː AB z iː AB
क़ातिल	q ɑː AB t̪ ɪ AF l
क़ातिलाना	q ɑː AB t̪ ɪ AF l ɑː AB n ɑː AB
क़ानून	q ɑː AB n uː AC n
क़ानूनगो	q ɑː AB n uː AC n ɡ oː AC
क़ाफ़िला	q ɑː AB f ɪ AF l ɑː AB
क़ाबिज़	q ɑː AB b ɪ AF z
क़ाबिल	q ɑː AB b ɪ AF l
क़ाबिलीयत	q ɑː AB b ɪ AF l iː AB j AA ə AF t̪
क़ायदा	q ɑː AB j AA d̪ ɑː AB
क़ायम	q ɑː AB j AA ə AF m
क़ालीन	q ɑː AB l iː AB n
क़ासिद	q ɑː AB s ɪ AF d̪
क़ाहिरा	q ɑː AB ɦ AE ɪ AF ɾ ɑː AB
क़िरमिज़ी	q ɪ AF ɾ m ɪ AF z iː AB
क़िला	q ɪ AF l ɑː AB
क़िल्लत	q ɪ AF l l ə AF t̪
क़िस्त	q ɪ AF s t̪
क़िस्म	q ɪ AF s m
क़िस्मत	q ɪ AF s m ə AF t̪
क़िस्सा	q ɪ AF s s ɑː AB
क़ुरान	q ʊ AD ɾ ɑː AB n
क़ुल्फ़ी	q ʊ AD l f iː AB
क़ुव्वत	q ʊ AD ʋ AI ʋ AI ə AF t̪
क़ै	q ɛː AB
क़ैंची	q ɛː AB n t ʃ iː AB
क़ैदख़ाना	q ɛː AB d̪ x ɑː AB n ɑː AB
क़ैदी	q ɛː AB d̪ iː AB
क़ौम	q ɔː AC m
का	k ɑː AB
काँख	k ɑ̃ː AH kʰ
काँच	k ɑ̃ː AH t ʃ
काँटा	k ɑ̃ː AH ʈ ɑː AB
काँपना	k ɑ̃ː AH p n ɑː AB
काँव	k ɑ̃ː AH ʋ AI
काँस	k ɑ̃ː AH s
काँसा	k ɑ̃ː AH s ɑː AB
कांग्रेस	k ɑː AB ŋ ɡ ɾ eː AB s
कांग्रेसी	k ɑː AB ŋ ɡ ɾ eː AB s iː AB
कांटा	k ɑ̃ː AH ʈ ɑː AB
कांति	k ɑː AB n t̪ iː AB
कांदा	k ɑː AB n d̪ ɑː AB
कांसा	k ɑː AB n s ɑː AB
कांसी	k ɑː AB n s iː AB
काका	k ɑː AB k ɑː AB
काकी	k ɑː AB k iː AB
कागज	k ɑː AB ɣ ə AF z
कागज़	k ɑː AB ɣ ə AF z
कागद	k ɑː AB ɡ ə AF d̪
काग़ज	k ɑː AB ɣ ə AF z
काग़ज़	k ɑː AB ɣ ə AF z
काग़ज़ात	k ɑː AB ɣ z ɑː AB t̪
काज	k ɑː AB d ʒ
काजल	k ɑː AB d ʒ ə AF l
काजू	k ɑː AB d ʒ uː AC
काटना	k ɑː AB ʈ n ɑː AB
काठ	k ɑː AB ʈʰ
काठमांडू	k ɑː AB ʈʰ m ɑː AB ɳ ɖ uː AC
काढ़ना	k ɑː AB ɽʱ n ɑː AB
कान	k ɑː AB n
कानपुर	k ɑː AB n p ʊ AD ɾ
काना	k ɑː AB n ɑː AB
कानून	q ɑː AB n uː AC n
कान्ति	k ɑː AB n t̪ iː AB
कान्हा	k ɑː AB n ɦ AE ɑː AB
कापी	k ɑː AB p iː AB
कापीराइट	k ɑː AB p iː AB ɾ ɑː AB ɪ AF ʈ
काफल	k ɑː AB pʰ ə AF l
काफ़ी	k ɑː AB pʰ iː AB
काफी	k ɑː AB pʰ iː AB
काबीना	k ɑː AB b iː AB n ɑː AB
काबुकी	k ɑː AB b ʊ AD k iː AB
काबुल	k ɑː AB b ʊ AD l
काम	k ɑː AB m
कामकाज	k ɑː AB m k ɑː AB d ʒ
कामक्रिया	k ɑː AB m ə AF k ɾ ɪ AF j AA ɑː AB
कामगार	k ɑː AB m ɡ ɑː AB ɾ
कामचोर	k ɑː AB m t ʃ oː AC ɾ
कामना	k ɑː AB m n ɑː AB
कामयाब	k ɑː AB m j AA ɑː AB b
कामवाली	k ɑː AB m ʋ AI ɑː AB l iː AB
कामिल	k ɑː AB m ɪ AF l
कामी	k ɑː AB m iː AB
कामुक	k ɑː AB m ʊ AD k
कामुकता	k ɑː AB m ʊ AD k t̪ ɑː AB
कामोन्माद	k ɑː AB m oː AC n m ɑː AB d̪
कायको	k ɑː AB j AA k oː AC
कायनात	k ɑː AB j AA n ɑː AB t̪
कायर	k ɑː AB j AA ə AF ɾ
कायांतरण	k ɑː AB j AA ɑː AB n t̪ ə AF ɾ ə AF ɳ
कायान्तरण	k ɑː AB j AA ɑː AB n t̪ ə AF ɾ ə AF ɳ
कायोत्सर्ग	k ɑː AB j AA oː AC t̪ s ə AF ɾ ɡ
कार	k ɑː AB ɾ
कारक	k ɑː AB ɾ ə AF k
कारख़ाना	k ɑː AB ɾ x ɑː AB n ɑː AB
कारखाना	k ɑː AB ɾ x ɑː AB n ɑː AB
कारगर	k ɑː AB ɾ ɡ ə AF ɾ
कारण	k ɑː AB ɾ ə AF ɳ
कारतूस	k ɑː AB ɾ t̪ uː AC s
कारनामा	k ɑː AB ɾ n ɑː AB m ɑː AB
कारबार	k ɑː AB ɾ b ɑː AB ɾ
कारवाँ	k ɑː AB ɾ ʋ AI ɑ̃ː AH
कारा	k ɑː AB ɾ ɑː AB
कारावास	k ɑː AB ɾ ɑː AB ʋ AI ɑː AB s
कारोबारी	k ɑː AB ɾ oː AC b ɑː AB ɾ iː AB
कार्गो	k ɑː AB ɾ ɡ oː AC
कार्टून	k ɑː AB ɾ ʈ uː AC n
कार्ड	k ɑː AB ɾ ɖ
कार्डिफ़	k ɑː AB ɾ ɖ ɪ AF pʰ
कार्तिक	k ɑː AB ɾ t̪ ɪ AF k
कार्त्तिक	k ɑː AB ɾ t̪ ɪ AF k
कार्थेज	k ɑː AB ɾ t̪ʰ eː AB d ʒ
कार्यकर्ता	k ɑː AB ɾ j AA ə AF k ə AF ɾ t̪ ɑː AB
कार्यकाल	k ɑː AB ɾ j AA ə AF k ɑː AB l
कार्यकुशल	k ɑː AB ɾ j AA ə AF k ʊ AD ʃ ə AF l
कार्यक्रम	k ɑː AB ɾ j AA ə AF k ɾ ə AF m
कार्यभार	k ɑː AB ɾ j AA ə AF bʱ ɑː AB ɾ
कार्यशाला	k ɑː AB ɾ j AA ə AF ʃ ɑː AB l ɑː AB
कार्यसमिति	k ɑː AB ɾ j AA ə AF s ə AF m ɪ AF t̪ iː AB
कार्यसूची	k ɑː AB ɾ j AA ə AF s uː AC t ʃ iː AB
कार्यान्वित	k ɑː AB ɾ j AA ɑː AB n ʋ AI ɪ AF t̪
कार्यालय	k ɑː AB ɾ j AA ɑː AB l ə AF j AA
कार्रवाई	k ɑː AB ɾ ɾ ə AF ʋ AI ɑː AB iː AB
काल	k ɑː AB l
कालक्रम	k ɑː AB l k ɾ ə AF m
कालजयी	k ɑː AB l d ʒ ə AF j AA iː AB
कालद्वीप	k ɑː AB l ə AF d̪ ʋ AI iː AB p
काला	k ɑː AB l ɑː AB
कालाधन	k ɑː AB l ɑː AB d̪ʱ ə AF n
कालापन	k ɑː AB l ɑː AB p ə AF n
कालिज	k ɑː AB l ɪ AF d ʒ
काली	k ɑː AB l iː AB
कालीन	k ɑː AB l iː AB n
कालू	k ɑː AB l uː AC
कालेज	k ɑː AB l eː AB d ʒ
काल्पनिक	k ɑː AB l p ə AF n ɪ AF k
काष्ठशर्करा	k ɑː AB ʂ ʈʰ ʃ ə AF ɾ k ə AF ɾ ɑː AB
कासा	k ɑː AB s ɑː AB
कि	k iː AB
किंतु	k ɪ AF n t̪ uː AC
किंवदंती	k ɪ AF m ʋ AI d̪ ə AF n t̪ iː AB
किए	k ɪ AF eː AB
किचन	k ɪ AF t ʃ ə AF n
कितक	k ɪ AF t̪ ə AF k
कितना	k ɪ AF t̪ n ɑː AB
कितने	k ɪ AF t̪ n eː AB
किताब	k ɪ AF t̪ ɑː AB b
किन	k ɪ AF n
किनारा	k ɪ AF n ɑː AB ɾ ɑː AB
किन्नर	k ɪ AF n n ə AF ɾ
किफ़ायत	k ɪ AF pʰ ɑː AB j AA ə AF t̪
किफ़ायती	k ɪ AF pʰ ɑː AB j AA ə AF t̪ iː AB
किमी	k ɪ AF m iː AB
किया	k ɪ AF j AA ɑː AB
किरकिला	k ɪ AF ɾ k ɪ AF l ɑː AB
किरगिज़	k ɪ AF ɾ ɡ ɪ AF z
किरण	k ɪ AF ɾ ə AF ɳ
किरणपुंज	k ɪ AF ɾ ə AF ɳ p ʊ AD n d ʒ
किरदार	k ɪ AF ɾ d̪ ɑː AB ɾ
किराँची	k ɪ AF ɾ ɑ̃ː AH t ʃ iː AB
किराया	k ɪ AF ɾ ɑː AB j AA ɑː AB
किरायेदार	k ɪ AF ɾ ɑː AB j AA eː AB d̪ ɑː AB ɾ
किरासन	k ɪ AF ɾ ɑː AB s ə AF n
किर्गिज़स्तान	k ɪ AF ɾ ɡ ɪ AF z ə AF s t̪ ɑː AB n
किला	q ɪ AF l ɑː AB
किलो	k ɪ AF l oː AC
किलोग्राम	k ɪ AF l oː AC ɡ ɾ ɑː AB m
किलोमीटर	k ɪ AF l oː AC m iː AB ʈ ə AF ɾ
किशमिश	k ɪ AF ʃ m ɪ AF ʃ
किशोरा	k ɪ AF ʃ oː AC ɾ ɑː AB
किश्त	k ɪ AF ʃ t̪
किसान	k ɪ AF s ɑː AB n
किसानी	k ɪ AF s ɑː AB n iː AB
किस्म	q ɪ AF s m
की	k iː AB
कीकर	k iː AB k ə AF ɾ
कीचड़	k iː AB t ʃ ə AF ɽ
कीटाणु	k iː AB ʈ ɑː AB ɳ uː AC
कीबोर्ड	k iː AB b oː AC ɾ ɖ
कीमिया	k iː AB m ɪ AF j AA ɑː AB
कीर्तन	k iː AB ɾ t̪ ə AF n
कील	k iː AB l
कुँआ	k ʊ̃ AK ɑː AB
कुँआरी	k ʊ̃ AK ɑː AB ɾ iː AB
कुँवर	k ʊ̃ AK ʋ AI ə AF ɾ
कुंजड़ा	k ʊ AD n d ʒ ɽ ɑː AB
कुंजी	k ʊ AD n d ʒ iː AB
कुंजीपटल	k ʊ AD n d ʒ iː AB p ə AF ʈ ə AF l
कुंडली	k ʊ AD ɳ ɖ ə AF l iː AB
कुंद	k ʊ AD n d̪
कुआँ	k ʊ AD ɑ̃ː AH
कुकी	k ʊ AD k iː AB
कुकुरमुत्ता	k ʊ AD k ʊ AD ɾ m ʊ AD t̪ t̪ ɑː AB
कुख्यात	k ʊ AD kʰ j AA ɑː AB t̪
कुख्याति	k ʊ AD kʰ j AA ɑː AB t̪ iː AB
कुचलना	k ʊ AD t ʃ ə AF l n ɑː AB
कुछ	k ʊ AD t ʃʰ
कुटकी	k ʊ AD ʈ k iː AB
कुटज	k ʊ AD ʈ ə AF d ʒ
कुटिया	k ʊ AD ʈ ɪ AF j AA ɑː AB
कुटिल	k ʊ AD ʈ ɪ AF l
कुटुंब	k ʊ AD ʈ ʊ AD m b
कुट्टार	k ʊ AD ʈ ʈ ɑː AB ɾ
कुतरना	k ʊ AD t̪ ə AF ɾ n ɑː AB
कुत्ता	k ʊ AD t̪ t̪ ɑː AB
कुत्ती	k ʊ AD t̪ t̪ iː AB
