'n	ə AK n
feuerlöscher	f ɔ AI ɪ̯ BB ɐ BE l œ AI ʃ ɐ BE
feuermauer	f ɔ AI ɪ̯ BB ɐ BE m a AC ʊ̯ BC ɐ BE
feuern	f ɔ AI ʏ̯ ɐ BE n
feuerofen	f ɔ AI ɪ̯ BB ɐ BE ʔ oː AH f n̩
feuerprobe	f ɔ AI ɪ̯ BB ɐ BE p ʀ oː AH b ə AK
feuerrot	f ɔ AI ɪ̯ BB ɐ BE ʁ oː AH t
feuers	f ɔ AI ɪ̯ BB ɐ BE s
feuerschiff	f ɔ AI ɪ̯ BB ɐ BE ʃ ɪ AK f
feuerschutzes	f ɔ AI ɪ̯ BB ɐ BE ʃ ʊ AI t s ə AK s
feuerstein	f ɔ AI ʏ̯ ɐ BE ʃ t a AC ɪ̯ BB n
feuertaufe	f ɔ AI ʏ̯ ɐ BE t a AC ʊ̯ BC f ə AK
feuerwehr	f ɔ AI ɪ̯ BB ɐ BE v eː AF ɐ̯
feuerwehrfrau	f ɔ AI ʏ AI ɐ BE v eː AF ɐ BE f ʁ a AC ʊ AI
feuerwehrmann	f ɔ AI ʏ AI ɐ BE v eː AF ɐ BE m a AC n
feuerwehrschlauch	f ɔ AI ʏ AI ɐ BE v eː AF ɐ BE ʃ l a AC ʊ̯ BC x
feuerzeug	f ɔ AI ɪ̯ BB ɐ BE t s ɔ AI ɪ̯ BB k
feurig	f ɔ AI ɪ̯ BB ʀ ɪ AK ç
fichte	f ɪ AK ç t ə AK
fichten	f ɪ AK ç t n̩
fichtenast	f i AE ç t n̩ a AC s t
fichtenholz	f i AE ç t n̩ h AA ɔ AI l t s
fichtenrüsselkäfer	f ɪ AK ç t n̩ ʁ ʏ AI s l̩ k ɛː AM f ɐ BE
fichtenspargel	f ɪ AK ç t n̩ ʃ p a AC ʁ ɡ l̩
fichtenspinner	f ɪ AK ç t n̩ ʃ p ɪ AK n ɐ BE
fichtenzapfen	f ɪ AK ç t n̩ t s a AC p f n̩
fichtenzweig	f i AE ç t n̩ t s v a AC ɪ̯ BB k
fick	f ɪ AK k
ficke	f ɪ AK k ə AK
ficken	f ɪ AK k ə AK n
fickend	f ɪ AK k ə AK n t
ficker	f ɪ AK k ɐ BE
fickerig	f ɪ AK k ə AK ʁ ɪ AK ç
fickest	f ɪ AK k ə AK s t
ficket	f ɪ AK k ə AK t
fickrig	f ɪ AK k ʁ ɪ AK ç
fickst	f ɪ AK k s t
fickt	f ɪ AK k t
fickte	f ɪ AK k t ə AK
fickten	f ɪ AK k t ə AK n
ficktest	f ɪ AK k t ə AK s t
ficktet	f ɪ AK k t ə AK t
fidel	f i AE d eː AF l
fideler	f i AE d eː AF l ɐ BE
fidelsten	f i AE d eː AF l s t ə AK n
fieber	f iː AF b ɐ BE
fieberfrei	f iː AF b ɐ BE f ʀ a AC ɪ̯ BB
fieberhaft	f iː AF b ɐ BE h AA a AC f t
fieberig	f iː AF b ə AK ʁ ɪ AK ç
fiebern	f iː AF b ɐ BE n
fiebrig	f iː AF b ʁ ɪ AK ç
fieder	f iː AF d ə AK ʁ
fiederblatt	f iː AF d ɐ BE b l a AC t
fiederblättchen	f iː AF d ɐ BE b l ɛ AK t ç ə AK n
fiel	f iː AF l
fiele	f iː AF l ə AK
fielen	f iː AF l ə AK n
fielest	f iː AF l ə AK s t
fielet	f iː AF l ə AK t
fielst	f iː AF l s t
fielt	f iː AF l t
fies	f iː AF s
fiete	f iː AF t ə AK
fietse	f iː AF t s ə AK
fietsken	f iː AF t s k ə AK n
fighten	f a AC ɪ̯ BB t n̩
figur	f i AE ɡ uː AH ɐ̯
figürlich	f i AE ɡ yː AH ɐ̯ l ɪ AK ç
fiktiv	f ɪ AK k t i AE v
filamentartig	f i AE l a AC m ɛ AK n t ʔ aː AD ɐ̯ t ɪ AK ç
file	f a AC ɪ̯ BB l
filet	f ɪ AK l e AE
film	f ɪ AK l m
filmriss	f ɪ AK l m ʁ ɪ AK s
filterblase	f ɪ AK l t ɐ BE b l aː AD z ə AK
filtern	f ɪ AK l t ɐ BE n
filz	f ɪ AK l t s
filzen	f ɪ AK l t s ə AK n
filzhut	f ɪ AK l t s h AA uː AH t
filzig	f ɪ AK l t s ɪ AK ç
filzlaus	f ɪ AK l t s l a AC ʊ̯ BC s
filzläuse	f ɪ AK l t s l ɔ AI ɪ̯ BB z ə AK
fimmel	f ɪ AK m ə AK l
fimschig	f ɪ AK m ʃ ɪ AK ç
final	f i AE n aː AD l
finale	f i AE n aː AD l ə AK
finanz	f i AE n a AC n t s
finanzamt	f i AE n a AC n t s ʔ a AC m t
finanzieren	f i AE n a AC n t s iː AF ʀ ə AK n
finanzkräftig	f i AE n a AC n t s k ʀ ɛ AK f t ɪ AK ç
finanzspritze	f i AE n a AC n t s ʃ p ʁ ɪ AK t s ə AK
finanzämter	f i AE n a AC n t s ʔ ɛ AK m t ɐ BE
finassieren	f i AE n a AC s iː AF ʁ ə AK n
finde	f ɪ AK n d ə AK
findelkind	f ɪ AK n d ə AK l k ɪ AK n t
findend	f ɪ AK n d ə AK n t
finder	f ɪ AK n d ɐ BE
findest	f ɪ AK n d ə AK s t
findet	f ɪ AK n d ə AK t
findig	f ɪ AK n d ɪ AK ç
findling	f ɪ AK n t l ɪ AK ŋ
findung	f ɪ AK n d ʊ AI ŋ
finger	f ɪ AK ŋ ɐ BE
fingerfertig	f ɪ AK ŋ ɐ BE f ɛ AK ʁ t ɪ AK ç
fingerfertigkeit	f ɪ AK ŋ ɐ BE f ɛ AK ʁ t ɪ AK ç k a AC ɪ̯ BB t
fingerfood	f ɪ AK ŋ ɐ BE f uː AH t
fingerhakeln	f ɪ AK ŋ ɐ BE h AA aː AD k ə AK l n
fingerhandschuh	f ɪ AK ŋ ɐ BE h AA a AC n t ʃ uː AH
fingerhut	f ɪ AK ŋ ɐ BE h AA uː AH t
fingerkraut	f ɪ AK ŋ ɐ BE k ʀ a AC ʊ̯ BC t
fingerkrautes	f ɪ AK ŋ ɐ BE k ʀ a AC ʊ̯ BC t ə AK s
fingerkrauts	f ɪ AK ŋ ɐ BE k ʀ a AC ʊ̯ BC t s
fingerkräuter	f ɪ AK ŋ ɐ BE k ʁ ɔ AI ɪ̯ BB t ɐ BE
fingernagel	f ɪ AK ŋ ə AK r n aː AD ɡ ə AK l
fingernägel	f ɪ AK ŋ ɐ BE n ɛː AM ɡ l̩
fingersatz	f ɪ AK ŋ ɐ BE z a AC t s
fingieren	f ɪ AK ŋ ɡ iː AF ʁ ə AK n
fink	f ɪ AK ŋ k
finkenvogel	f ɪ AK ŋ k n̩ f oː AH ɡ l̩
finne	f ɪ AK n ə AK
finster	f ɪ AK n s t ɐ BE
finsternis	f ɪ AK n s t ɐ BE n ɪ AK s
firm	f ɪ AK ʁ m
firma	f ɪ AK r m a AC
firn	f ɪ AK ʁ n
firnis	f ɪ AK ʁ n ɪ AK s
first	f ɪ AK ʁ s t
fisch	f ɪ AK ʃ
fischartig	f ɪ AK ʃ aː AD ɐ̯ t ɪ AK ç
fischbestandes	f ɪ AK ʃ b ə AK ʃ t a AC n d ə AK s
fischbestände	f ɪ AK ʃ b ə AK ʃ t ɛ AK n d ə AK
fischen	f ɪ AK ʃ ə AK n
fischer	f ɪ AK ʃ ɐ BE
fischfrikadellenbrötchen	f ɪ AK ʃ f ʁ ɪ AK k a AC d ɛ AK l ə AK n b ʁ øː AH t ç ə AK n
fischgabel	f ɪ AK ʃ ɡ aː AD b ə AK l
fischhaken	f ɪ AK ʃ h AA aː AD k ə AK n
fischig	f ɪ AK ʃ ɪ AK ç
fischkorb	f ɪ AK ʃ k ɔ AI ʁ p
fischmesser	f ɪ AK ʃ m ɛ AK s ɐ BE
fischnetz	f ɪ AK ʃ n ɛ AK t s
fischschwarm	f ɪ AK ʃ ʃ v a AC ʁ m
fischteich	f ɪ AK ʃ t a AC ɪ̯ BB ç
fischtreppe	f ɪ AK ʃ t ʀ ɛ AK p ə AK
fischtreppen	f ɪ AK ʃ t ʀ ɛ AK p ə AK n
fischähnlich	f ɪ AK ʃ ʔ ɛː AM n l ɪ AK ç
fisimatenten	f ɪ AK z i AE m a AC t ɛ AK n t ə AK n
fisseln	f ɪ AK z ə AK l n
fist	f ɪ AK s t
fistelig	f ɪ AK s t ə AK l ɪ AK ç
fisten	f ɪ AK s t ə AK n
fit	f ɪ AK t
fitis	f iː AF t ɪ AK s
fitness	f ɪ AK t n ɛ AK s
fitnessstudio	f ɪ AK t n ə AK s ʃ t uː AH d i AE o AG
fitnesstraining	f ɪ AK t n ɛ AK s t ʁ ɛː AM n ɪ AK ŋ
fixieren	f ɪ AK k s iː AF ʀ ə AK n
fjord	f j AB ɔ AI ʁ t
flach	f l a AC χ
flachbildfernseher	f l a AC x b ɪ AK l t f ɛ AK ʁ n z eː AF ɐ BE
flachbildschirm	f l a AC x b ɪ AK l t ʃ ɪ AK ʁ m
flachbrüstig	f l a AC χ b ʀ ʏ AI s t ɪ AK ç
flache	f l a AC χ ə AK
flachs	f l a AC k s
flachsen	f l a AC k s n̩
flachsfaser	f l a AC k s f aː AD z ɐ BE
fladenbrot	f l aː AD d ə AK n b ʁ oː AH t
fladenbrote	f l aː AD d ə AK n b ʁ oː AH t ə AK
fladenbrotes	f l aː AD d ə AK n b ʁ oː AH t ə AK s
flagge	f l a AC ɡ ə AK
flaggen	f l a AC ɡ ə AK n
flak	f l a AC k
flaks	f l a AC k s
flamencotänzer	f l a AC m ɛ AK ŋ k o AG t ɛ AK n t s ɐ BE
flamencotänzerin	f l a AC m ɛ AK ŋ k o AG t ɛ AK n t s ə AK ʁ ɪ AK n
flammen	f l a AC m ə AK n
flammenwerfer	f l a AC m ə AK n v ɛ AK ʁ f ɐ BE
flammkuchen	f l a AC m k uː AH x n̩
flammlachs	f l a AC m l a AC k s
flanell	f l a AC n ɛ AK l
flaneur	f l a AC n øː AH ʁ
flanieren	f l a AC n iː AF ʁ ə AK n
flankieren	f l a AC ŋ k iː AF ʁ ə AK n
flapsig	f l a AC p s ɪ AK ç
flasche	f l a AC ʃ ə AK
flaschen	f l a AC ʃ ə AK n
flaschengeist	f l a AC ʃ n̩ ɡ a AC ɪ̯ BB s t
flaschengrün	f l a AC ʃ n̩ ɡ ʀ yː AH n
flaschenhals	f l a AC ʃ ə AK n h AA a AC l s
flaschenhälse	f l a AC ʃ ə AK n h AA ɛ AK l z ə AK
flaschenpost	f l a AC ʃ ə AK n p ɔ AI s t
flaschenschiff	f l a AC ʃ ə AK n ʃ ɪ AK f
flaschenöffner	f l a AC ʃ ə AK n ʔ œ AI f n ɐ BE
flashback	f l ɛ AK ʃ b ɛ AK k
flattermann	f l a AC t ɐ BE m a AC n
flattern	f l a AC t ɐ BE n
flatulent	f l a AC t u AG l ɛ AK n t
flatulenz	f l a AC t u AG l ɛ AK n t s
flau	f l a AC ʊ̯ BC
flaum	f l a AC ʊ̯ BC m
flaumfeder	f l a AC ʊ̯ BC m f eː AF d ɐ BE
flausch	f l a AC ʊ̯ BC ʃ
flauschig	f l a AC ʊ̯ BC ʃ ɪ AK ç
flause	f l a AC ʊ̯ BC z ə AK
flaute	f l a AC ʊ̯ BC t ə AK
flechten	f l ɛ AK ç t ə AK n
flechtenbewohnend	f l ɛ AK ç t ə AK n b ə AK v oː AH n ə AK n t
fleck	f l ɛ AK k
fleckchen	f l ɛ AK k ç ə AK n
fleckchens	f l ɛ AK k ç ə AK n s
fleckig	f l ɛ AK k ɪ AK ç
fledermaus	f l eː AF d ɐ BE m a AC ʊ̯ BC s
fleet	f l eː AF t
flehen	f l eː AF ə AK n
fleisch	f l a AC ɪ̯ BB ʃ
fleischer	f l a AC ɪ̯ BB ʃ ɐ BE
fleischerei	f l a AC ɪ̯ BB ʃ ə AK ʁ a AC ɪ̯ BB
fleischersatz	f l a AC ɪ̯ BB ʃ ʔ ɛ AK ɐ̯ z a AC t s
fleischeslust	f l a AC ɪ̯ BB ʃ ə AK s l ʊ AI s t
fleischfresser	f l a AC ɪ̯ BB ʃ f ʁ ɛ AK s ɐ BE
fleischgabel	f l a AC ɪ̯ BB ʃ ɡ aː AD b l̩
fleischgabeln	f l a AC ɪ̯ BB ʃ ɡ aː AD b l̩ n
fleischig	f l a AC ɪ̯ BB ʃ ɪ AK ç
fleischkäse	f l a AC ɪ̯ BB ʃ k ɛː AM z ə AK
fleischmesser	f l a AC ɪ̯ BB ʃ m ɛ AK s ɐ BE
fleischsalat	f l a AC ɪ̯ BB ʃ z a AC l aː AD t
fleiss	f l a AC ɪ̯ BB s
fleissen	f l a AC ɪ̯ BB s n̩
fleissig	f l a AC ɪ̯ BB s ɪ AK ç
flensen	f l ɛ AK n z n̩
flenser	f l ɛ AK n z ɐ BE
fletschen	f l ɛ AK t ʃ n̩
flexibilität	f l ɛ AK k s i AE b i AE l i AE t ɛː AM t
flexion	f l ɛ AK k s j AB oː AH n
flick	f l ɪ AK k
flickenteppich	f l ɪ AK k n̩ t ɛ AK p ɪ AK ç
flieder	f l iː AF d ɐ BE
fliege	f l iː AF ɡ ə AK
fliegen	f l iː AF ɡ ə AK n
fliegengitter	f l iː AF ɡ ə AK n ɡ ɪ AK t ɐ BE
fliegenschnäpper	f l iː AF ɡ n̩ ʃ n ɛ AK p ɐ BE
flieger	f l iː AF ɡ ɐ BE
fliegt	f l iː AF ç t
fliehen	f l iː AF ə AK n
fliehkraft	f l iː AF k ʁ a AC f t
fliese	f l iː AF z ə AK
fliess	f l iː AF s
fliessband	f l iː AF s b a AC n t
fliessen	f l iː AF s ə AK n
fliesstext	f l iː AF s t ɛ AK k s t
flimmern	f l ɪ AK m ɐ BE n
flink	f l ɪ AK ŋ k
flint	f l ɪ AK n t
flinte	f l ɪ AK n t ə AK
flipper	f l ɪ AK p ɐ BE
flippig	f l ɪ AK p ɪ AK ç
flirren	f l ɪ AK ʁ ə AK n
flittchen	f l ɪ AK t ç ə AK n
flitter	f l ɪ AK t ɐ BE
flitterblättchen	f l ɪ AK t ɐ BE b l ɛ AK t ç ə AK n
flittergold	f l ɪ AK t ɐ BE ɡ ɔ AI l t
flittern	f l ɪ AK t ɐ BE n
flitterwochen	f l ɪ AK t ɐ BE v ɔ AI x ŋ
flitz	f l ɪ AK t s
flitzen	f l ɪ AK t s ə AK n
flocke	f l ɔ AI k ə AK
flockig	f l ɔ AI k ɪ AK ç
flog	f l oː AH k
floh	f l oː AH
flokati	f l o AG k aː AD t i AE
flop	f l ɔ AI p
flor	f l oː AH ɐ̯
florenz	f l o AG ʀ ɛ AK n t s
florida	f l ɔ AI ʁ i AE d a AC
floss	f l ɔ AI s
flott	f l ɔ AI t
flotte	f l ɔ AI t ə AK
fluch	f l uː AH x
fluchen	f l uː AH x n̩
flucht	f l ʊ AI x t
fluchtartig	f l ʊ AI x t ʔ aː AD ɐ̯ t ɪ AK ç
fluchtgefahr	f l ʊ AI x t ɡ ə AK f aː AD ɐ̯
fluchtpunkt	f l ʊ AI x t p ʊ AI ŋ k t
fluchtpunkte	f l ʊ AI x t p ʊ AI ŋ k t ə AK
fluchtpunktes	f l ʊ AI x t p ʊ AI ŋ k t ə AK s
fluchtpunkts	f l ʊ AI x t p ʊ AI ŋ k t s
fluchtunfähig	f l ʊ AI x t ʔ ʊ AI n f ɛː AM ɪ AK ç
fluchtweg	f l ʊ AI x t v eː AF k
fluffig	f l ʊ AI f ɪ AK ç
flug	f l uː AH x
flugbahn	f l uː AH k b aː AD n
flugbegleiter	f l uː AH k b ə AK ɡ l a AC ɪ̯ BB t ɐ BE
flugblatt	f l uː AH k b l a AC t
flugfähig	f l uː AH k f ɛː AM ɪ AK ç
flughafen	f l uː AH k h AA aː AD f ɱ̩
flughäfen	f l uː AH k h AA ɛː AM f ɱ̩
flughörnchen	f l ʊ AI ɡ h AA œ AI ʀ n ç ə AK n
flugkörper	f l uː AH k k œ AI ʁ p ɐ BE
flugs	f l u AG k s
flugschrift	f l uː AH k ʃ ʁ ɪ AK f t
flugunfähig	f l uː AH k ʊ AI n f ɛː AM ɪ AK ç
flugzeug	f l uː AH k t s ɔ AI ʏ̯ k
flugzeuge	f l uː AH k t s ɔ AI ɪ̯ BB ɡ ə AK
flugzeuges	f l uː AH k t s ɔ AI ɪ̯ BB ɡ ə AK s
flugzeugs	f l uː AH k t s ɔ AI ɪ̯ BB k s
flugzeugträger	f l uː AH k t s ɔ AI ɪ̯ BB k t ʀ ɛː AM ɡ ɐ BE
flugzeugträgers	f l uː AH k t s ɔ AI ɪ̯ BB k t ʀ ɛː AM ɡ ɐ BE s
fluidität	f l uː AH i AE d i AE t ɛː AM t
flunder	f l ʊ AI n d ə AK r
flunkern	f l ʊ AI ŋ k ɐ BE n
fluor	f l uː AH oː AH ɐ̯
fluorhaltig	f l uː AH oː AH ɐ̯ h AA a AC l t ɪ AK ç
fluorid	f l uː AH oː AH ʁ iː AF t
fluoride	f l uː AH oː AH ʁ iː AF d ə AK
fluoriden	f l uː AH oː AH ʁ iː AF d ə AK n
fluoridhaltig	f l uː AH oː AH ʁ iː AF t h AA a AC l t ɪ AK ç
fluorids	f l uː AH oː AH ʁ iː AF t s
fluorit	f l u AG o AG ʁ iː AF t
fluorkunststoff	f l uː AH oː AH ɐ̯ k ʊ AI n s t ʃ t ɔ AI f
fluppe	f l ʊ AI p ə AK
fluppen	f l ʊ AI p ə AK n
flur	f l uː AH r
flurbeleuchtung	f l uː AH ɐ̯ b ə AK l ɔ AI ɪ̯ BB ç t ʊ AI ŋ
flurfunk	f l uː AH ɐ̯ f ʊ AI ŋ k
fluse	f l uː AH z ə AK
fluss	f l ʊ AI s
flussbiegung	f l ʊ AI s b iː AF ɡ ʊ AI ŋ
flussbiegungen	f l ʊ AI s b iː AF ɡ ʊ AI ŋ ə AK n
flusse	f l ʊ AI s ə AK
flussgrund	f l ʊ AI s ɡ ʁ ʊ AI n t
flusskontrolle	f l ʊ AI s k ɔ AI n t ʀ ɔ AI l ə AK
flusslauf	f l ʊ AI s l a AC ʊ̯ BC f
flusspferd	f l ʊ AI s p f eː AF ɐ̯ t
flussspat	f l ʊ AI s ʃ p aː AD t
flussufer	f l ʊ AI s ʔ uː AH f ɐ BE
flusswasser	f l ʊ AI s v a AC s ɐ BE
flut	f l uː AH t
flutlicht	f l uː AH t l ɪ AK ç t
flutschen	f l ʊ AI t ʃ ə AK n
flutwelle	f l uː AH t v ɛ AK l ə AK
fläche	f l ɛ AK ç ə AK
flächenmass	f l ɛ AK ç n̩ m aː AD s
fläschchen	f l ɛ AK ʃ ç ə AK n
fläschchens	f l ɛ AK ʃ ç ə AK n s
flössbar	f l øː AH s b aː AD ɐ̯
flösse	f l øː AH s ə AK
flöte	f l øː AH t ə AK
flöten	f l øː AH t ə AK n
flötenspielerin	f l øː AH t ə AK n ʃ p iː AF l ə AK ʁ ɪ AK n
flötist	f l ø AG t ɪ AK s t
flöz	f l øː AH t s
flüchten	f l ʏ AI ç t ə AK n
flüchtig	f l ʏ AI ç t ɪ AK ç
flück	f l ʏ AI k
flüge	f l yː AH ɡ ə AK
flügel	f l yː AH ɡ ə AK l
flügelhorn	f l yː AH ɡ l̩ h AA ɔ AI ʁ n
flügelmutter	f l yː AH ɡ l̩ m ʊ AI t ɐ BE
flügge	f l ʏ AI ɡ ə AK
flüsse	f l ʏ AI s ə AK
flüssigkeitsmass	f l ʏ AI s ɪ AK ç k a AC ɪ̯ BB t s m aː AD s
flüstern	f l ʏ AI s t ɐ BE n
fohlen	f oː AH l ə AK n
fokal	f o AG k aː AD l
fokus	f oː AH k ʊ AI s
fokussieren	f o AG k ʊ AI s iː AF ʁ ə AK n
folg	f ɔ AI l ç
folge	f ɔ AI l ɡ ə AK
folgemonat	f ɔ AI l ɡ ə AK m oː AH n a AC t
folgen	f ɔ AI l ɡ ə AK n
folgenschwerer	f ɔ AI l ɡ ə AK n ʃ v eː AF ʀ ɐ BE
folgerichtig	f ɔ AI l ɡ ə AK ʀ ɪ AK ç t ɪ AK ç
folgern	f ɔ AI l ɡ ɐ BE n
folgsam	f ɔ AI l k z aː AD m
folie	f oː AH l ɪ̯ BB ə AK
folklore	f ɔ AI l k l oː AH ʁ ə AK
follower	f ɔ AI l o AG ʊ AI ɐ BE
folsäure	f oː AH l z ɔ AI ɪ̯ BB ʁ ə AK
folter	f ɔ AI l t ɐ BE
folterkammer	f ɔ AI l t ɐ BE k a AC m ɐ BE
folterknecht	f ɔ AI l t ɐ BE k n ɛ AK ç t
foltern	f ɔ AI l t ɐ BE n
fondue	f õ d yː AH
fonduegabel	f õ d yː AH ɡ aː AD b ə AK l
football	f ʊ AI t b ɔː AJ l
foppen	f ɔ AI p ə AK n
forcieren	f ɔ AI ʁ s iː AF ʁ ə AK n
fordern	f ɔ AI ʁ d ə AK ʁ n
forderung	f ɔ AI ʁ d ə AK ʁ ʊ AI ŋ
forelle	f o AG r ɛ AK l ə AK
forellenteich	f o AG ʁ ɛ AK l ə AK n t a AC ɪ̯ BB ç
forensisch	f o AG ʁ ɛ AK n z ɪ AK ʃ
forke	f ɔ AI r k ə AK
form	f ɔ AI ʁ m
formal	f ɔ AI ʁ m aː AD l
formaldehyd	f ɔ AI ʁ m ʔ a AC l d e AE h AA y AG t
formalität	f ɔ AI ʁ m a AC l i AE t ɛː AM t
formatgrösse	f ɔ AI ʁ m aː AD t ɡ ʀ øː AH s ə AK
formatieren	f ɔ AI ʁ m a AC t iː AF ʁ ə AK n
formatierung	f ɔ AI ʁ m a AC t iː AF ʁ ʊ AI ŋ
formell	f o AG ʁ m ɛ AK l
formen	f ɔ AI ʁ m ə AK n
formenlehre	f ɔ AI ʁ m ə AK n l eː AF ʁ ə AK
formulieren	f ɔ AI ʁ m u AG l iː AF ʀ ə AK n
forsch	f ɔ AI ʁ ʃ
forschen	f ɔ AI ʁ ʃ ə AK n
forscher	f ɔ AI ʁ ʃ ɐ BE
forschung	f ɔ AI ʁ ʃ ʊ AI ŋ
forschungsstand	f ɔ AI ʁ ʃ ʊ AI ŋ s ʃ t a AC n t
forst	f ɔ AI r s t
forsthaus	f ɔ AI ʁ s t h AA a AC ʊ̯ BC s
forsthauses	f ɔ AI ʁ s t h AA a AC ʊ̯ BC z ə AK s
forsthäuschen	f ɔ AI ʁ s t h AA ɔ AI ɪ̯ BB s ç ə AK n
forsthäuser	f ɔ AI ʁ s t h AA ɔ AI ɪ̯ BB z ɐ BE
forstwesen	f ɔ AI ʁ s t v eː AF z n̩
forstwesens	f ɔ AI ʁ s t v eː AF z n̩ s
fortbestand	f ɔ AI ɐ̯ t b ə AK ʃ t a AC n t
fortbestandes	f ɔ AI ɐ̯ t b ə AK ʃ t a AC n d ə AK s
fortbestands	f ɔ AI ɐ̯ t b ə AK ʃ t a AC n t s
fortbildung	f ɔ AI ʁ t b ɪ AK l d ʊ AI ŋ
fortbleiben	f ɔ AI ʁ t b l a AC ɪ̯ BB b n̩
fortdauern	f ɔ AI ʁ t d a AC ʊ̯ BC ɐ BE n
forteilen	f ɔ AI ʁ t ʔ a AC ɪ̯ BB l ə AK n
fortfahren	f ɔ AI ʁ t f aː AD ʁ ə AK n
fortführen	f ɔ AI ʁ t f yː AH ʁ ə AK n
fortgehen	f ɔ AI ʁ t ɡ eː AF ə AK n
forthin	f ɔ AI ʁ t h AA ɪ AK n
fortjagen	f ɔ AI ʁ t j AB aː AD ɡ n̩
fortlegen	f ɔ AI ʁ t l eː AF ɡ n̩
fortlocken	f ɔ AI ʁ t l ɔ AI k ə AK n
fortnehmen	f ɔ AI ʁ t n eː AF m ə AK n
fortschreiten	f ɔ AI ɐ̯ t ʃ ʁ a AC ɪ̯ BB t n̩
fortschritt	f ɔ AI ʁ t ʃ ʀ ɪ AK t
fortsetzung	f ɔ AI ʁ t z ɛ AK t s ʊ AI ŋ
fortwährend	f ɔ AI ʁ t v ɛː AM ʁ ə AK n t
fortziehen	f ɔ AI ʁ t t s iː AF ə AK n
forum	f oː AH ʁ ʊ AI m
fossil	f ɔ AI s iː AF l
fossillagerstätte	f ɔ AI s iː AF l l aː AD ɡ ɐ BE ʃ t ɛ AK t ə AK
foto	f oː AH t o AG
fotogen	f oː AH t o AG ɡ eː AF n
fotogenität	f o AG t o AG ɡ eː AF n i AE t ɛː AM t
fotografie	f o AG t o AG ɡ ʁ a AC f iː AF
fotze	f ɔ AI t s ə AK
foul	f a AC ʊ̯ BC l
foulen	f a AC ʊ̯ BC l ə AK n
fourier	f u AG ʁ iː AF ɐ̯
fracht	f r a AC x t
frack	f ʁ a AC k
frag	f ʀ aː AD k
frage	f ʀ aː AD ɡ ə AK
fragebogen	f ʀ aː AD ɡ ə AK b oː AH ɡ n̩
fragen	f ʁ aː AD ɡ ə AK n
fragewort	f ʀ aː AD ɡ ə AK v ɔ AI ʁ t
fragezeichen	f ʀ aː AD ɡ ə AK t s a AC ɪ̯ BB ç n̩
fragil	f ʁ a AC ɡ iː AF l
fragilität	f ʁ a AC ɡ i AE l i AE t ɛː AM t
fraglich	f ʀ aː AD k l ɪ AK ç
fragmentierung	f ʁ a AC ɡ m ɛ AK n t iː AF ʁ ʊ AI ŋ
fragt	f ʁ aː AD x t
fragwürdig	f ʁ aː AD k v ʏ AI ʁ d ɪ AK ç
fraktur	f ʀ a AC k t uː AH ɐ̯
frakturschrift	f ʁ a AC k t uː AH ɐ̯ ʃ ʁ ɪ AK f t
framen	f ʁ eː AF m ə AK n
frank	f ʁ a AC ŋ k
franke	f ʁ a AC ŋ k ə AK
franken	f ʀ a AC ŋ k ə AK n
frankenreich	f ʁ a AC ŋ k n̩ ʁ a AC ɪ̯ BB ç
frankenreichen	f ʁ a AC ŋ k n̩ ʁ a AC ɪ̯ BB ç n̩
frankenreichs	f ʁ a AC ŋ k n̩ ʁ a AC ɪ̯ BB ç s
frankfurter	f ʀ a AC ŋ k f ʊ AI ʁ t ɐ BE
frankieren	f ʁ a AC ŋ k iː AF ʁ ə AK n
frankiert	f ʁ a AC ŋ k iː AF ʁ t
frankierung	f ʁ a AC ŋ k iː AF ʁ ʊ AI ŋ
frankofon	f ʁ a AC ŋ k o AG f oː AH n
frankophon	f ʁ a AC ŋ k o AG f oː AH n
frankreich	f ʁ a AC ŋ k ʁ a AC ɪ̯ BB ç
franse	f ʁ a AC n z ə AK
franziskus	f ʁ a AC n t s ɪ AK s k ʊ AI s
franzose	f ʀ a AC n t s oː AH z ə AK
französisch	f ʁ a AC n t s øː AH z ɪ AK ʃ
französistik	f ʀ a AC n t s ø AG z ɪ AK s t ɪ AK k
frappant	f ʁ a AC p a AC n t
frappantester	f ʀ a AC p a AC n t ə AK s t ɐ BE
frappieren	f ʁ a AC p iː AF ʁ ə AK n
frappierend	f ʁ a AC p iː AF ʁ ə AK n t
frass	f ʁ aː AD s
frater	f ʁ aː AD t ɐ BE
fraternisieren	f ʀ a AC t ɛ AK ʁ n i AE z iː AF ʀ ə AK n
frau	f ʁ a AC ʊ̯ BC
frauchen	f ʀ a AC ʊ̯ BC ç ə AK n
frauen	f ʀ a AC ʊ AI ə AK n
frauenarzt	f ʁ a AC ʊ AI ə AK n a AC ʁ t s t
frauenfuss	f ʁ a AC ʊ̯ BC ə AK n f uː AH s
frauenhaus	f ʁ a AC ʊ̯ BC ə AK n h AA a AC ʊ̯ BC s
frauenstimme	f r a AC ʊ̯ BC ə AK n ʃ t ɪ AK m ə AK
frauenversteher	f r a AC ʊ̯ BC ə AK n f ɛ AK ɐ̯ ʃ t eː AF ɐ BE
frauenärztin	f ʁ a AC ʊ AI ə AK n ɛ AK ʁ t s t ɪ AK n
frech	f ʁ ɛ AK ç
frechdachs	f ʁ ɛ AK ç d a AC k s
frechen	f ʀ ɛ AK ç n̩
frechheit	f ʁ ɛ AK ç h AA a AC ɪ̯ BB t
