あ	a̠ AI
ごがつびょう	ɡ o̞ AF ɡ a̠ AI t s ɨᵝ bʲ o̞ː AE
ごきげん	ɡ o̞ AF kʲ i AC ɡ ẽ̞ ɴ
ごきげんよう	ɡ o̞ AF kʲ i AC ɡ ẽ̞ ɰ̃ AK j AB o̞ː AE
ごきょう	ɡ o̞ AF kʲ o̞ː AE
ごきょくかん	ɡ o̞ AF kʲ o̞ AF k ɯ̟̊ᵝ k ã̠ ɴ
ごぎゅう	ɡ o̞ AF ɡʲ ɨᵝː
ごく	ɡ o̞ AF k ɯ̟ᵝ
ごくあく	ɡ o̞ AF k ɯ̟ᵝ a̠ AI k ɯ̟ᵝ
ごくい	ɡ o̞ AF k ɯ̟ᵝ i AC
ごくしょ	ɡ o̞ AF k ɯ̟ᵝ ɕ o̞ AF
ごくじょう	ɡ o̞ AF k ɯ̟ᵝ ʑ o̞ː AE
ごくそく	ɡ o̞ AF k ɯ̟ᵝ s o̞ AF k ɯ̟ᵝ
ごくちゅう	ɡ o̞ AF k ɯ̟ᵝ t ɕ ɨᵝː
ごくつぶし	ɡ o̞ AF k ɯ̟ᵝ t s ɨᵝ b ɯ̟ᵝ ɕ i AC
ごくひ	ɡ o̞ AF k ɯ̟ᵝ ç i AC
ごくもん	ɡ o̞ AF k ɯ̟ᵝ m õ̞ ɴ
ごくらく	ɡ o̞ AF k ɯ̟ᵝ ɾ a̠ AI k ɯ̟ᵝ
ごくらくおうじょう	ɡ o̞ AF k ɯ̟ᵝ ɾ a̠ AI k ɯ̟ᵝ o̞ː AE ʑ o̞ː AE
ごくらくちょう	ɡ o̞ AF k ɯ̟ᵝ ɾ a̠ AI k ɯ̟̊ᵝ t ɕ o̞ː AE
ごくろうさまでした	ɡ o̞ AF k ɯ̟ᵝ ɾ o̞ː AE s a̠ AI m a̠ AI d e̞ AC ɕ i̥ AC t a̠ AI
ごけにん	ɡ o̞ AF k e̞ AC ɲ̟ ĩ ɴ
ごけんてい	ɡ o̞ AF k ẽ̞ n t e̞ː AD
ごげん	ɡ o̞ AF ɡ ẽ̞ ɴ
ごげんがく	ɡ o̞ AF ɡ ẽ̞ ŋ ɡ a̠ AI k ɯ̟ᵝ
ごげんてき	ɡ o̞ AF ɡ ẽ̞ n t e̞ AC kʲ i AC
ごこく	ɡ o̞ AF k o̞ AF k ɯ̟ᵝ
ごこん	ɡ o̞ AF k õ̞ ɴ
ごご	ɡ o̞ AF ɡ o̞ AF
ごさ	ɡ o̞ AF s a̠ AI
ごさん	ɡ o̞ AF s ã̠ ɴ
ごさんけ	ɡ o̞ AF s ã̠ ŋ k e̞ AC
ござ	ɡ o̞ AF z a̠ AI
ござる	ɡ o̞ AF z a̠ AI ɾ ɯ̟ᵝ
ごし	ɡ o̞ AF ɕ i AC
ごしき	ɡ o̞ AF ɕ i AC kʲ i AC
ごしきひわ	ɡ o̞ AF ɕ i AC kʲ i AC ç i AC ɰᵝ a̠ AI
ごしゅうしょうさまです	ɡ o̞ AF ɕ ɨᵝː ɕ o̞ː AE s a̠ AI m a̠ AI d e̞ AC s ɨᵝ
ごしょく	ɡ o̞ AF ɕ o̞ AF k ɯ̟ᵝ
ごしん	ɡ o̞ AF ɕ ĩ ɴ
ごしんじゅつ	ɡ o̞ AF ɕ ĩ ɲ̟ d ʑ ɨᵝ t s ɨᵝ
ごじ	ɡ o̞ AF ʑ i AC
ごじっぽひゃっぽ	ɡ o̞ AF ʑ i AC p̚ p o̞ AF ç a̠ AI p̚ p o̞ AF
ごじつ	ɡ o̞ AF ʑ i AC t s ɨᵝ
ごじゅう	ɡ o̞ AF ʑ ɨᵝː
ごじゅうおん	ɡ o̞ AF ʑ ɨᵝː õ̞ ɴ
ごじゅうおんじゅん	ɡ o̞ AF ʑ ɨᵝː õ̞ ɲ̟ d ʑ ɨ̃ᵝ ɴ
ごじゅうろく	ɡ o̞ AF ʑ ɨᵝː ɾ o̞ AF k ɯ̟ᵝ
ごじゅん	ɡ o̞ AF ʑ ɨ̃ᵝ ɴ
ごじょう	ɡ o̞ AF ʑ o̞ː AE
ごじる	ɡ o̞ AF ʑ i AC ɾ ɯ̟ᵝ
ごすんくぎ	ɡ o̞ AF s ɨ̃ᵝ ŋ k ɯ̟ᵝ ɡʲ i AC
ごず	ɡ o̞ AF z ɨᵝ
ごずめず	ɡ o̞ AF z ɨᵝ m e̞ AC z ɨᵝ
ごぜん	ɡ o̞ AF z ẽ̞ ɴ
ごぜんちゅう	ɡ o̞ AF z ẽ̞ ɲ̟ t ɕ ɨᵝː
ごそう	ɡ o̞ AF s o̞ː AE
ごそうしゃ	ɡ o̞ AF s o̞ː AE ɕ a̠ AI
ごぞうろっぷ	ɡ o̞ AF z o̞ː AE ɾ o̞ AF p̚ p ɯ̟ᵝ
ごぞく	ɡ o̞ AF z o̞ AF k ɯ̟ᵝ
ごたい	ɡ o̞ AF t a̠ AI i AC
ごだいみょうおう	ɡ o̞ AF d a̠ AI i AC mʲ o̞ː AE o̞ː AE
ごだんかつよう	ɡ o̞ AF d ã̠ ŋ k a̠ AI t s ɨᵝ j AB o̞ː AE
ごちそう	ɡ o̞ AF t ɕ i AC s o̞ː AE
ごちそうさまでした	ɡ o̞ AF t ɕ i̥ AC s o̞ː AE s a̠ AI m a̠ AI d e̞ AC ɕ i̥ AC t a̠ AI
ごちゃ	ɡ o̞ AF t ɕ a̠ AI
ごちゃくちゃ	ɡ o̞ AF t ɕ a̠ AI k ɯ̟ᵝ t ɕ a̠ AI
ごちゃごちゃ	ɡ o̞ AF t ɕ a̠ AI ɡ o̞ AF t ɕ a̠ AI
ごちゃまぜ	ɡ o̞ AF t ɕ a̠ AI m a̠ AI z e̞ AC
ごちょう	ɡ o̞ AF t ɕ o̞ː AE
ごっかん	ɡ o̞ AF k̚ k ã̠ ɴ
ごっこ	ɡ o̞ AF k̚ k o̞ AF
ごっちゃ	ɡ o̞ AF t̚ t ɕ a̠ AI
ごっつぁん	ɡ o̞ AF t̚ t s ã̠ ɴ
ごつい	ɡ o̞ AF t s ɨᵝ i AC
ごてんば	ɡ o̞ AF t ẽ̞ m b a̠ AI
ごとう	ɡ o̞ AF t o̞ː AE
ごとおび	ɡ o̞ AF t o̞ː AE bʲ i AC
ごどく	ɡ o̞ AF d o̞ AF k ɯ̟ᵝ
ごは	ɡ o̞ AF h AA a̠ AI
ごはっと	ɡ o̞ AF h AA a̠ AI t̚ t o̞ AF
ごはん	ɡ o̞ AF h AA ã̠ ɴ
ごばく	ɡ o̞ AF b a̠ AI k ɯ̟ᵝ
ごばん	ɡ o̞ AF b ã̠ ɴ
ごび	ɡ o̞ AF bʲ i AC
ごへい	ɡ o̞ AF h AA e̞ː AD
ごほう	ɡ o̞ AF h AA o̞ː AE
ごぼごぼ	ɡ o̞ AF b o̞ AF ɡ o̞ AF b o̞ AF
ごま	ɡ o̞ AF m a̠ AI
ごまかし	ɡ o̞ AF m a̠ AI k a̠ AI ɕ i AC
ごまかす	ɡ o̞ AF m a̠ AI k a̠ AI s ɨᵝ
ごまふあざらし	ɡ o̞ AF m a̠ AI ɸ ɯ̟ᵝ a̠ AI z a̠ AI ɾ a̠ AI ɕ i AC
ごみすてば	ɡ o̞ AF mʲ i AC s ɨᵝ t e̞ AC b a̠ AI
ごめん	ɡ o̞ AF m ẽ̞ ɴ
ごめんなさい	ɡ o̞ AF m ẽ̞ nː a̠ AI s a̠ AI i AC
ごよう	ɡ o̞ AF j AB o̞ː AE
ごようがくしゃ	ɡ o̞ AF j AB o̞ː AE ɡ a̠ AI k ɯ̟ᵝ ɕ a̠ AI
ごようろん	ɡ o̞ AF j AB o̞ː AE ɾ õ̞ ɴ
ごらんになる	ɡ o̞ AF ɾ ã̠ ɲ̟ ɲ̟ i AC n a̠ AI ɾ ɯ̟ᵝ
ごりん	ɡ o̞ AF ɾʲ ĩ ɴ
ごりんとう	ɡ o̞ AF ɾʲ ĩ n t o̞ː AE
ごろ	ɡ o̞ AF ɾ o̞ AF
ごろく	ɡ o̞ AF ɾ o̞ AF k ɯ̟ᵝ
ごろつき	ɡ o̞ AF ɾ o̞ AF t s ɨᵝ kʲ i AC
ごんた	ɡ õ̞ n t a̠ AI
ごんどうくじら	ɡ õ̞ n d o̞ː AE k ɯ̟ᵝ ʑ i AC ɾ a̠ AI
さ	s a̠ AI
さぁ	s a̠ː AJ
さい	s a̠ AI i AC
さいあい	s a̠ AI i AC a̠ AI i AC
さいあく	s a̠ AI i AC a̠ AI k ɯ̟ᵝ
さいうぷ	s a̠ AI i AC ɯ̟ᵝ p ɯ̟ᵝ
さいえん	s a̠ AI i AC ẽ̞ ɴ
さいおう	s a̠ AI i AC o̞ː AE
さいか	s a̠ AI i AC k a̠ AI
さいかい	s a̠ AI i AC k a̠ AI i AC
さいかくにん	s a̠ AI i AC k a̠ AI k ɯ̟ᵝ ɲ̟ ĩ ɴ
さいかんさんゆう	s a̠ AI i AC k ã̠ ɰ̃ AK s ã̠ ɰ̃ AK j AB ɯ̟ᵝː
さいがい	s a̠ AI i AC ɡ a̠ AI i AC
さいき	s a̠ AI i AC kʲ i AC
さいきぎ	s a̠ AI i AC kʲ i AC ɡʲ i AC
さいきせい	s a̠ AI i AC kʲ i AC s e̞ː AD
さいきてき	s a̠ AI i AC kʲ i AC t e̞ AC kʲ i AC
さいきどう	s a̠ AI i AC kʲ i AC d o̞ː AE
さいきどうし	s a̠ AI i AC kʲ i AC d o̞ː AE ɕ i AC
さいきょう	s a̠ AI i AC kʲ o̞ː AE
さいきょういく	s a̠ AI i AC kʲ o̞ː AE i AC k ɯ̟ᵝ
さいきん	s a̠ AI i AC kʲ ĩ ɴ
さいきんがく	s a̠ AI i AC kʲ ĩ ŋ ɡ a̠ AI k ɯ̟ᵝ
さいぎょう	s e̞ː AD k o̞ː AE
さいく	s a̠ AI i AC k ɯ̟ᵝ
さいけいこく	s a̠ AI i AC k e̞ː AD k o̞ AF k ɯ̟ᵝ
さいけん	s a̠ AI i AC k ẽ̞ ɴ
さいげつ	s a̠ AI i AC ɡ e̞ AC t s ɨᵝ
さいこ	s a̠ AI i AC k o̞ AF
さいこう	s a̠ AI i AC k o̞ː AE
さいこうざいむせきにんしゃ	s a̠ AI i AC k o̞ː AE d z a̠ AI i AC m ɯ̟ᵝ s e̞ AC kʲ i AC ɲ̟ ĩ ɰ̃ AK ɕ a̠ AI
さいこうせい	s a̠ AI i AC k o̞ː AE s e̞ː AD
さいころ	s a̠ AI i AC k o̞ AF ɾ o̞ AF
さいごう	s a̠ AI i AC ɡ o̞ː AE
さいさき	s a̠ AI i AC s a̠ AI kʲ i AC
さいさつ	s a̠ AI i AC s a̠ AI t s ɨᵝ
さいさんせい	s a̠ AI i AC s ã̠ ɰ̃ AK s e̞ː AD
さいしゅう	s a̠ AI i AC ɕ ɨᵝː
さいしゅうび	s a̠ AI i AC ɕ ɨᵝː bʲ i AC
さいしゅうびん	s a̠ AI i AC ɕ ɨᵝː bʲ ĩ ɴ
さいしょ	s a̠ AI i AC ɕ o̞ AF
さいしょう	s a̠ AI i AC ɕ o̞ː AE
さいしょうこうばいすう	s a̠ AI i AC ɕ o̞ː AE k o̞ː AE b a̠ AI i AC s ɨᵝː
さいしょく	s a̠ AI i AC ɕ o̞ AF k ɯ̟ᵝ
さいしょくしゅぎ	s a̠ AI i AC ɕ o̞ AF k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i AC
さいしょくしゅぎしゃ	s a̠ AI i AC ɕ o̞ AF k ɯ̟̊ᵝ ɕ ɨᵝ ɡʲ i AC ɕ a̠ AI
さいしん	s a̠ AI i AC ɕ ĩ ɴ
さいじょう	s a̠ AI i AC ʑ o̞ː AE
さいじょうきゅう	s a̠ AI i AC ʑ o̞ː AE kʲ ɨᵝː
さいする	s a̠ AI i AC s ɨᵝ ɾ ɯ̟ᵝ
さいせき	s a̠ AI i AC s e̞ AC kʲ i AC
さいせっけい	s a̠ AI i AC s e̞ AC k̚ k e̞ː AD
さいせん	s a̠ AI i AC s ẽ̞ ɴ
さいぜん	s a̠ AI i AC z ẽ̞ ɴ
さいそうぞう	s a̠ AI i AC s o̞ː AE z o̞ː AE
さいそく	s a̠ AI i AC s o̞ AF k ɯ̟ᵝ
さいた	s a̠ AI i AC t a̠ AI
さいたい	s a̠ AI i AC t a̠ AI i AC
さいたま	s a̠ AI i AC t a̠ AI m a̠ AI
さいたまけん	s a̠ AI i AC t a̠ AI m a̠ AI k ẽ̞ ɴ
さいたまとみん	s a̠ AI i AC t a̠ AI m a̠ AI t o̞ AF mʲ ĩ ɴ
さいたん	s a̠ AI i AC t ã̠ ɴ
さいだい	s a̠ AI i AC d a̠ AI i AC
さいだいげんど	s a̠ AI i AC d a̠ AI i AC ɡ ẽ̞ n d o̞ AF
さいだいこうやくすう	s a̠ AI i AC d a̠ AI i AC k o̞ː AE j AB a̠ AI k ɯ̟̊ᵝ s ɨᵝː
さいだんざ	s a̠ AI i AC d ã̠ n d z a̠ AI
さいちゅう	s a̠ AI i AC t ɕ ɨᵝː
さいちょう	s a̠ AI i AC t ɕ o̞ː AE
さいてい	s a̠ AI i AC t e̞ː AD
さいていげん	s a̠ AI i AC t e̞ː AD ɡ ẽ̞ ɴ
さいでん	s a̠ AI i AC d ẽ̞ ɴ
さいどくもじ	s a̠ AI i AC d o̞ AF k ɯ̟ᵝ m o̞ AF ʑ i AC
さいなむ	s a̠ AI i AC n a̠ AI m ɯ̟ᵝ
さいなん	s a̠ AI i AC n ã̠ ɴ
さいなんじけん	s a̠ AI i AC n ã̠ ɲ̟ d ʑ i AC k ẽ̞ ɴ
さいにゅう	s a̠ AI i AC ɲ̟ ɯ̟ᵝː
さいにん	s a̠ AI i AC ɲ̟ ĩ ɴ
さいのめ	s a̠ AI i AC n o̞ AF m e̞ AC
さいはて	s a̠ AI i AC h AA a̠ AI t e̞ AC
さいはん	s a̠ AI i AC h AA ã̠ ɴ
さいばい	s a̠ AI i AC b a̠ AI i AC
さいばし	s a̠ AI i AC b a̠ AI ɕ i AC
さいばん	s a̠ AI i AC b ã̠ ɴ
さいばんけん	s a̠ AI i AC b ã̠ ŋ k ẽ̞ ɴ
さいばんしょ	s a̠ AI i AC b ã̠ ɰ̃ AK ɕ o̞ AF
さいひょう	s a̠ AI i AC ç o̞ː AE
さいひょうせん	s a̠ AI i AC ç o̞ː AE s ẽ̞ ɴ
さいふ	s a̠ AI i AC ɸ ɯ̟ᵝ
さいへん	s a̠ AI i AC h AA ẽ̞ ɴ
さいへんせい	s a̠ AI i AC h AA ẽ̞ ɰ̃ AK s e̞ː AD
さいほうし	s a̠ AI i AC h AA o̞ː AE ɕ i AC
さいほくたん	s a̠ AI i AC h AA o̞ AF k ɯ̟ᵝ t ã̠ ɴ
さいぼう	s a̠ AI i AC b o̞ː AE
さいぼういでんがく	s a̠ AI i AC b o̞ː AE i AC d ẽ̞ ŋ ɡ a̠ AI k ɯ̟ᵝ
さいぼうがく	s a̠ AI i AC b o̞ː AE ɡ a̠ AI k ɯ̟ᵝ
さいみん	s a̠ AI i AC mʲ ĩ ɴ
さいみんじゅつ	s a̠ AI i AC mʲ ĩ ɲ̟ d ʑ ɨᵝ t s ɨᵝ
さいみんりょうほう	s a̠ AI i AC mʲ ĩ n ɾʲ o̞ː AE h AA o̞ː AE
さいもく	s a̠ AI i AC m o̞ AF k ɯ̟ᵝ
さいゆうせん	s a̠ AI i AC j AB ɯ̟ᵝː s ẽ̞ ɴ
さいらい	s a̠ AI i AC ɾ a̠ AI i AC
さいりょう	s a̠ AI i AC ɾʲ o̞ː AE
さいりん	s a̠ AI i AC ɾʲ ĩ ɴ
さいるい	s a̠ AI i AC ɾ ɯ̟ᵝ i AC
さいるいだん	s a̠ AI i AC ɾ ɯ̟ᵝ i AC d ã̠ ɴ
さいろく	s a̠ AI i AC ɾ o̞ AF k ɯ̟ᵝ
さいわい	s a̠ AI i AC ɰᵝ a̠ AI i AC
さえ	s a̠ AI e̞ AC
さえぎる	s a̠ AI e̞ AC ɡʲ i AC ɾ ɯ̟ᵝ
さえずる	s a̠ AI e̞ AC z ɨᵝ ɾ ɯ̟ᵝ
さえない	s a̠ AI e̞ AC n a̠ AI i AC
さえのかみ	s a̠ AI e̞ AC n o̞ AF k a̠ AI mʲ i AC
さえもん	s a̠ AI e̞ AC m õ̞ ɴ
さえる	s a̠ AI e̞ AC ɾ ɯ̟ᵝ
さえわたる	s a̠ AI e̞ AC ɰᵝ a̠ AI t a̠ AI ɾ ɯ̟ᵝ
さえん	s a̠ AI ẽ̞ ɴ
さお	s a̠ AI o̞ AF
さおり	s a̠ AI o̞ AF ɾʲ i AC
さかいめ	s a̠ AI k a̠ AI i AC m e̞ AC
さかうらみ	s a̠ AI k a̠ AI ɯ̟ᵝ ɾ a̠ AI mʲ i AC
さかえる	s a̠ AI k a̠ AI e̞ AC ɾ ɯ̟ᵝ
さかき	s a̠ AI k a̠ AI kʲ i AC
さかさ	s a̠ AI k a̠ AI s a̠ AI
さかさま	s a̠ AI k a̠ AI s a̠ AI m a̠ AI
さかさよみ	s a̠ AI k a̠ AI s a̠ AI j AB o̞ AF m i AC
さかずき	s a̠ AI k a̠ AI z ɨᵝ kʲ i AC
さかた	s a̠ AI k a̠ AI t a̠ AI
さかつらがん	s a̠ AI k a̠ AI t s ɨᵝ ɾ a̠ AI ɡ ã̠ ɴ
さかてにとる	s a̠ AI k a̠ AI t e̞ AC ɲ̟ i AC t o̞ AF ɾ ɯ̟ᵝ
さかな	s a̠ AI k a̠ AI n a̠ AI
さかのぼる	s a̠ AI k a̠ AI n o̞ AF b o̞ AF ɾ ɯ̟ᵝ
さかば	s a̠ AI k a̠ AI b a̠ AI
さかみせ	s a̠ AI k a̠ AI mʲ i AC s e̞ AC
さかみち	s a̠ AI k a̠ AI mʲ i AC t ɕ i AC
さかむけ	s a̠ AI k a̠ AI m ɯ̟ᵝ k e̞ AC
さかや	s a̠ AI k a̠ AI j AB a̠ AI
さからう	s a̠ AI k a̠ AI ɾ a̠ AI ɯ̟ᵝ
さかり	s a̠ AI k a̠ AI ɾʲ i AC
さかん	s a̠ AI k ã̠ ɴ
さが	s a̠ AI ɡ a̠ AI
さがく	s a̠ AI ɡ a̠ AI k ɯ̟ᵝ
さがけん	s a̠ AI ɡ a̠ AI k ẽ̞ ɴ
さがす	s a̠ AI ɡ a̠ AI s ɨᵝ
さがる	s a̠ AI ɡ a̠ AI ɾ ɯ̟ᵝ
さがん	s a̠ AI ɡ ã̠ ɴ
さき	s a̠ AI kʲ i AC
さきおととし	s a̠ AI kʲ i AC o̞ AF t o̞ AF t o̞ AF ɕ i AC
さきだつ	s a̠ AI kʲ i AC d a̠ AI t s ɨᵝ
さきっちょ	s a̠ AI kʲ i AC t̚ t ɕ o̞ AF
さきどり	s a̠ AI kʲ i AC d o̞ AF ɾʲ i AC
さきに	s a̠ AI kʲ i AC ɲ̟ i AC
さきゅう	s a̠ AI kʲ ɨᵝː
さきん	s a̠ AI kʲ ĩ ɴ
さぎ	s a̠ AI ɡʲ i AC
さぎざい	s a̠ AI ɡʲ i AC z a̠ AI i AC
さぎし	s a̠ AI ɡʲ i AC ɕ i AC
さぎちょう	s a̠ AI ɡʲ i AC t ɕ o̞ː AE
さぎょうい	s a̠ AI ɡʲ o̞ː AE i AC
さぎょうぎ	s a̠ AI ɡʲ o̞ː AE ɡʲ i AC
さぎょうば	s a̠ AI ɡʲ o̞ː AE b a̠ AI
さぎょうへんかくかつよう	s a̠ AI ɡʲ o̞ː AE
さく	s a̠ AI k ɯ̟ᵝ
さくいん	s a̠ AI k ɯ̟ᵝ ĩ ɴ
さくがんき	s a̠ AI k ɯ̟ᵝ ɡ ã̠ ŋʲ kʲ i AC
さくさん	s a̠ AI k ɯ̟ᵝ s ã̠ ɴ
さくさんけんし	s a̠ AI k ɯ̟ᵝ s ã̠ ŋ k ẽ̞ ɰ̃ AK ɕ i AC
さくしゃ	s a̠ AI k ɯ̟̊ᵝ ɕ a̠ AI
さくしゅ	s a̠ AI k ɯ̟̊ᵝ ɕ ɨᵝ
さくじ	s a̠ AI k ɯ̟ᵝ ʑ i AC
さくじつ	s a̠ AI k ɯ̟ᵝ ʑ i AC t s ɨᵝ
さくちょう	s a̠ AI k ɯ̟ᵝ t ɕ o̞ː AE
さくっと	s a̠ AI k ɯ̟ᵝ t̚ t o̞ AF
さくてき	s a̠ AI k ɯ̟ᵝ t e̞ AC kʲ i AC
さくねん	s a̠ AI k ɯ̟ᵝ n ẽ̞ ɴ
さくひん	s a̠ AI k ɯ̟̊ᵝ ç ĩ ɴ
さくふう	s a̠ AI k ɯ̟ᵝ ɸ ɯ̟ᵝː
さくぶん	s a̠ AI k ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
さくもつ	s a̠ AI k ɯ̟ᵝ m o̞ AF t s ɨᵝ
さくもん	s a̠ AI k ɯ̟ᵝ m õ̞ ɴ
さくや	s a̠ AI k ɯ̟ᵝ j AB a̠ AI
さくら	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI
さくらいろ	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI i AC ɾ o̞ AF
さくらぎ	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI ɡʲ i AC
さくらさく	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI s a̠ AI k ɯ̟ᵝ
さくらざわ	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI z a̠ AI ɰᵝ a̠ AI
さくらそう	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI s o̞ː AE
さくらちる	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI t ɕ i AC ɾ ɯ̟ᵝ
さくらづき	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI z ɨᵝ kʲ i AC
さくらふぶき	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI ɸ ɯ̟ᵝ b ɯ̟ᵝ kʲ i AC
さくらもち	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI m o̞ AF t ɕ i AC
さくらゆ	s a̠ AI k ɯ̟ᵝ ɾ a̠ AI j AB ɯ̟ᵝ
さくらん	s a̠ AI k ɯ̟ᵝ ɾ ã̠ ɴ
さくらんぼう	s a̠ AI k ɯ̟ᵝ ɾ ã̠ m b o̞ː AE
さくりゃく	s a̠ AI k ɯ̟ᵝ ɾʲ a̠ AI k ɯ̟ᵝ
さくれつ	s a̠ AI k ɯ̟ᵝ ɾ e̞ AC t s ɨᵝ
さぐりいれる	s a̠ AI ɡ ɯ̟ᵝ ɾʲ i AC i AC ɾ e̞ AC ɾ ɯ̟ᵝ
さぐる	s a̠ AI ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
さけ	s a̠ AI k e̞ AC
さけのみ	s a̠ AI k e̞ AC n o̞ AF mʲ i AC
さけび	s a̠ AI k e̞ AC bʲ i AC
さけぶ	s a̠ AI k e̞ AC b ɯ̟ᵝ
さける	s a̠ AI k e̞ AC ɾ ɯ̟ᵝ
さげすみ	s a̠ AI ɡ e̞ AC s ɨᵝ mʲ i AC
さげすむ	s a̠ AI ɡ e̞ AC s ɨᵝ m ɯ̟ᵝ
さげもの	s a̠ AI ɡ e̞ AC m o̞ AF n o̞ AF
さげる	s a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
さこう	s a̠ AI k o̞ː AE
さこく	s a̠ AI k o̞ AF k ɯ̟ᵝ
さこつ	s a̠ AI k o̞ AF t s ɨᵝ
さごじょう	s a̠ AI ɡ o̞ AF ʑ o̞ː AE
ささ	s a̠ AI s a̠ AI
ささい	s a̠ AI s a̠ AI i AC
ささえ	s a̠ AI s a̠ AI e̞ AC
ささえる	s a̠ AI s a̠ AI e̞ AC ɾ ɯ̟ᵝ
ささかまぼこ	s a̠ AI s a̠ AI k a̠ AI m a̠ AI b o̞ AF k o̞ AF
ささくれ	s a̠ AI s a̠ AI k ɯ̟ᵝ ɾ e̞ AC
ささげる	s a̠ AI s a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
ささたけ	s a̠ AI s a̠ AI t a̠ AI k e̞ AC
ささめゆき	s a̠ AI s a̠ AI m e̞ AC j AB ɯ̟ᵝ kʲ i AC
ささやか	s a̠ AI s a̠ AI j AB a̠ AI k a̠ AI
ささやき	s a̠ AI s a̠ AI j AB a̠ AI kʲ i AC
ささやく	s a̠ AI s a̠ AI j AB a̠ AI k ɯ̟ᵝ
ささる	s a̠ AI s a̠ AI ɾ ɯ̟ᵝ
さざえ	s a̠ AI z a̠ AI e̞ AC
さざなみ	s a̠ AI z a̠ AI n a̠ AI mʲ i AC
さざんか	s a̠ AI z ã̠ ŋ k a̠ AI
さし	s a̠ AI ɕ i AC
さしあげる	s a̠ AI ɕ i AC a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
さしいれ	s a̠ AI ɕ iː AD ɾ e̞ AC
さしいれる	s a̠ AI ɕ iː AD ɾ e̞ AC ɾ ɯ̟ᵝ
さしかかる	s a̠ AI ɕ i AC k a̠ AI k a̠ AI ɾ ɯ̟ᵝ
さしこむ	s a̠ AI ɕ i AC k o̞ AF m ɯ̟ᵝ
さしさわり	s a̠ AI ɕ i AC s a̠ AI ɰᵝ a̠ AI ɾʲ i AC
さしだす	s a̠ AI ɕ i AC d a̠ AI s ɨᵝ
さしつ	s a̠ AI ɕ i AC t s ɨᵝ
さしつかえ	s a̠ AI ɕ i AC t s ɨᵝ k a̠ AI e̞ AC
さしつかえる	s a̠ AI ɕ i AC t s ɨᵝ k a̠ AI e̞ AC ɾ ɯ̟ᵝ
さしでがましい	s a̠ AI ɕ i AC d e̞ AC ɡ a̠ AI m a̠ AI ɕ iː AD
さしのべる	s a̠ AI ɕ i AC n o̞ AF b e̞ AC ɾ ɯ̟ᵝ
さしひかえる	s a̠ AI ɕ i AC ç i AC k a̠ AI e̞ AC ɾ ɯ̟ᵝ
さしひく	s a̠ AI ɕ i AC ç i AC k ɯ̟ᵝ
さしぼう	s a̠ AI ɕ i AC b o̞ː AE
さしみ	s a̠ AI ɕ i AC mʲ i AC
さしみぼうちょう	s a̠ AI ɕ i AC mʲ i AC b o̞ː AE t ɕ o̞ː AE
さしゅう	s a̠ AI ɕ ɨᵝː
さしょう	s a̠ AI ɕ o̞ː AE
さしんしつ	s a̠ AI ɕ ĩ ɰ̃ AK ɕ i AC t s ɨᵝ
さじかげん	s a̠ AI ʑ i AC k a̠ AI ɡ ẽ̞ ɴ
さじき	s a̠ AI ʑ i AC kʲ i AC
さじをなげる	s a̠ AI ʑ i AC o̞ AF n a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
さす	s a̠ AI s ɨᵝ
さすが	s a̠ AI s ɨᵝ ɡ a̠ AI
さすけね	s a̠ AI s ɨᵝ k e̞ AC n e̞ AC
さする	s a̠ AI s ɨᵝ ɾ ɯ̟ᵝ
さずかりこん	s a̠ AI z ɨᵝ k a̠ AI ɾʲ i AC k õ̞ ɴ
さずかる	s a̠ AI z ɨᵝ k a̠ AI ɾ ɯ̟ᵝ
さずける	s a̠ AI z ɨᵝ k e̞ AC ɾ ɯ̟ᵝ
させつ	s a̠ AI s e̞ AC t s ɨᵝ
させん	s a̠ AI s ẽ̞ ɴ
さそいこむ	s a̠ AI s o̞ AF i AC k o̞ AF m ɯ̟ᵝ
さそう	s a̠ AI s o̞ AF ɯ̟ᵝ
さそり	s a̠ AI s o̞ AF ɾʲ i AC
さそりざ	s a̠ AI s o̞ AF ɾʲ i AC z a̠ AI
さぞ	s a̠ AI z o̞ AF
さぞかし	s a̠ AI z o̞ AF k a̠ AI ɕ i AC
さた	s a̠ AI t a̠ AI
さだあき	s a̠ AI d a̠ː AJ kʲ i AC
