ᆜ	j AB ɯ AD
물놀이장	m u AE ɭ ɭ o̞ AE ɾ i AD d ʑ a̠ AF ŋ
물다	m u AE ɭ d a̠ AF
물두꺼비	m u AE ɭ d u AE k͈ ʌ̹ b i AD
물들다	m u AE ɭ d ɯ AD ɭ d a̠ AF
물들이다	m u AE ɭ d ɯ AD ɾ i AD d a̠ AF
물똥	m u AE ɭ t͈ o̞ AE ŋ
물러나다	m u AE ɭ ɭ ʌ̹ n a̠ AF d a̠ AF
물러서다	m u AE ɭ ɭ ʌ̹ sʰ ʌ̹ d a̠ AF
물레	m u AE ɭ ɭ e̞ AD
물려받다	m u AE ʎ ʎ j AB ʌ̹ b a̠ AF t̚ t͈ a̠ AF
물론	m u AE ɭ ɭ o̞ AE n
물론입니다	m u AE ɭ ɭ o̞ AE n i AD m n i AD d a̠ AF
물리치다	m u AE ʎ ʎ i AD t ɕʰ i AD d a̠ AF
물리학	m u AE ʎ ʎ i AD ɦ AA a̠ AF k̚
물리학자	m u AE ʎ ʎ i AD ɦ AA a̠ AF k̚ t ɕ͈ a̠ AF
물리화학	m u AE ʎ ʎ i AD β w AC a̠ AF ɦ AA a̠ AF k̚
물만두	m u AE ɭ m a̠ AF n d u AE
물망초	m u AE ɭ m a̠ AF ŋ t ɕʰ o̞ AE
물메기	m u AE ɭ m e̞ AD ɡ i AD
물방울	m u AE ɭ p͈ a̠ AF ŋ u AE ɭ
물범	m u AE ɭ b ʌ̹ m
물소	m u AE ɭ s͈ o̞ AE
물속	m u AE ɭ s͈ o̞ AE k̚
물수리	m u AE ɭ s͈ u AE ɾ i AD
물시계	m u AE ɭ ɕ͈ i AD ɡ j AB e̞ AD
물어떼다	m u AE ɾ ʌ̹ t͈ e̞ AD d a̠ AF
물어뜯다	m u AE ɾ ʌ̹ t͈ ɯ AD t̚ t͈ a̠ AF
물어보다	m u AE ɾ ʌ̹ b o̞ AE d a̠ AF
물에네르기	m u AE ɾ e̞ AD n e̞ AD ɾ ɯ AD ɡ i AD
물오리	m u AE ɾ o̞ AE ɾ i AD
물음	m u AE ɾ ɯ AD m
물음표	m u AE ɾ ɯ AD m pʰ j AB o AE
물증	m u AE ʎ d ʑ ɯ AD ŋ
물질	m u AE ʎ t ɕ͈ i AD ɭ
물체	m u AE ʎ t ɕʰ e̞ AD
물통	m u AE ɭ tʰ o̞ AE ŋ
물푸레나무	m u AE ɭ pʰ u AE ɾ e̞ AD n a̠ AF m u AE
묽다	m u AE k̚ t͈ a̠ AF
뭄바이	m u AE m b a̠ AF i AD
뭊	m u AE t̚
뭍	m u AE t̚
뭐	m w AC ɘː AD
뮈슬리	m ɥ AC i AD sʰ ɯ AD ʎ ʎ i AD
뮌헨	m ɥ AC i AD n ɦ AA e̞ AD n
뮤지컬	m j AB u AE d ʑ i AD kʰ ʌ̹ ɭ
뮤직비디오	m j AB u AE d ʑ i AD k̚ p͈ i AD d i AD o̞ AE
믈	m ɯ AD ɭ
미	m i AD
미각	m i AD ɡ a̠ AF k̚
미국	m i AD ɡ u AE k̚
미국오리	m i AD ɡ u AE ɡ o̞ AE ɾ i AD
미국인	m i AD ɡ u AE ɡ i AD n
미꾸라지	m i AD k͈ u AE ɾ a̠ AF d ʑ i AD
미꾸리	m i AD k͈ u AE ɾ i AD
미끄럽다	m i AD k͈ ɯ AD ɾ ʌ̹ p̚ t͈ a̠ AF
미끈망둑	m i AD k͈ ɯ AD n m a̠ AF ŋ d u AE k̚
미끼샤	m i AD k͈ i AD ɕʰ a̠ AF
미나리	m i AD n a̠ AF ɾ i AD
미남	m iː AD n a̠ AF m
미녀	m iː AD ɲ j AB ʌ̹
미누스	m i AD n u AE sʰ ɯ AD
미니버스	m i AD n i AD b ʌ̹ sʰ ɯ AD
미니스커트	m i AD n i AD sʰ ɯ AD kʰ ʌ̹ tʰ ɯ AD
미다	m iː AD d a̠ AF
미닫이문	m iː AD d a̠ AF d i AD m u AE n
미덕	m iː AD d ʌ̹ k̚
미디어	m i AD d i AD ʌ̹
미라	m i AD ɾ a̠ AF
미로	m iː AD ɾ o̞ AE
미루다	m i AD ɾ u AE d a̠ AF
미르	m i AD ɾ ɯ AD
미륵	m i AD ɾ ɯ AD k̚
미륵보살	m i AD ɾ ɯ AD k̚ p͈ o̞ AE sʰ a̠ AF ɭ
미리	m i AD ɾ i AD
미리견	m i AD ɾ i AD ɡ j AB ʌ̹ n
미리보기	m i AD ɾ i AD b o̞ AE ɡ i AD
미모	m iː AD m o̞ AE
미분	m i AD b u AE n
미분몫	m i AD b u AE n m o̞ AE k̚
미분법	m i AD b u AE n p͈ ʌ̹ p̚
미사	m i AD sʰ a̠ AF
미사일	m i AD sʰ a̠ AF i AD ɭ
미상	m iː AD sʰ a̠ AF ŋ
미성	m iː AD sʰ ʌ̹ ŋ
미성숙하다	m iː AD sʰ ʌ̹ ŋ sʰ u AE kʰ a̠ AF d a̠ AF
미소	m i AD sʰ o̞ AE
미소녀	m iː AD sʰ o̞ AE ɲ j AB ʌ̹
미소년	m iː AD sʰ o̞ AE ɲ j AB ʌ̹ n
미소짓다	m i AD sʰ o̞ AE d ʑ i AD t̚ t͈ a̠ AF
미수	m i AD sʰ u AE
미술	m iː AD sʰ u AE ɭ
미술관	m iː AD sʰ u AE ɭ ɡ w AC a̠ AF n
미숫가루	m i AD sʰ u AE t̚ k͈ a̠ AF ɾ u AE
미스	m i AD sʰ ɯ AD
미스터	m i AD sʰ ɯ AD tʰ ʌ̹
미스터리	m i AD sʰ ɯ AD tʰ ʌ̹ ɾ i AD
미신	m iː AD ɕʰ i AD n
미싱	m i AD ɕʰ i AD ŋ
미싸일	m i AD s͈ a̠ AF i AD ɭ
미아	m i AD a̠ AF
미안	m i AD a̠ AF n
미안하다	m i AD a̠ AF n ɦ AA a̠ AF d a̠ AF
미얀마	m i AD j AB a̠ AF n m a̠ AF
미어	m i AD ʌ̹
미어지다	m i AD ʌ̹ d ʑ i AD d a̠ AF
미어터지다	m i AD ʌ̹ tʰ ʌ̹ d ʑ i AD d a̠ AF
미역	m i AD j AB ʌ̹ k̚
미역국	m i AD j AB ʌ̹ k̚ k͈ u AE k̚
미용사	m iː AD j AB o AE ŋ sʰ a̠ AF
미용실	m iː AD j AB o AE ŋ ɕʰ i AD ɭ
미용원	m iː AD j AB o AE ŋ w AC ʌ̹ n
미워하다	m i AD w AC ʌ̹ ɦ AA a̠ AF d a̠ AF
미유기	m i AD j AB u AE ɡ i AD
미음	m i AD ɯ AD m
미인	m iː AD i AD n
미장원	m iː AD d ʑ a̠ AF ŋ w AC ʌ̹ n
미적분	m i AD d ʑ ʌ̹ k̚ p͈ u AE n
미적지근하다	m i AD d ʑ ʌ̹ k̚ t ɕ͈ i AD ɡ ɯ AD n ɦ AA a̠ AF d a̠ AF
미제	m iː AD d ʑ e̞ AD
미주	m i AD d ʑ u AE
미주알	m i AD d ʑ u AE a̠ AF ɭ
미주알고주알	m i AD d ʑ u AE a̠ AF ɭ ɡ o̞ AE d ʑ u AE a̠ AF ɭ
미지수	m iː AD d ʑ i AD sʰ u AE
미처	m i AD t ɕʰ ʌ̹
미치광이	m i AD t ɕʰ i AD ɡ w AC a̠ AF ŋ i AD
미치다	m i AD t ɕʰ i AD d a̠ AF
미친	m i AD t ɕʰ i AD n
미카엘	m i AD kʰ a̠ AF e̞ AD ɭ
미터	m i AD tʰ ʌ̹
미투리	m i AD tʰ u AE ɾ i AD
미팅	m i AD tʰ i AD ŋ
미하일	m i AD ɦ AA a̠ AF i AD ɭ
미학	m iː AD ɦ AA a̠ AF k̚
미합중국	m i AD ɦ AA a̠ AF p̚ t ɕ͈ u AE ŋ ɡ u AE k̚
미혼모	m iː AD β o̞ AE n m o̞ AE
믹서	m i AD k s͈ ʌ̹
민간	m i AD n ɡ a̠ AF n
민감	m i AD n ɡ a̠ AF m
민감하다	m i AD n ɡ a̠ AF m ɦ AA a̠ AF d a̠ AF
민국	m i AD n ɡ u AE k̚
민낯	m i AD n n a̠ AF t̚
민들레	m i AD n d ɯ AD ɭ ɭ e̞ AD
민망	m i AD n m a̠ AF ŋ
민물가마우지	m i AD n m u AE ɭ ɡ a̠ AF m a̠ AF u AE d ʑ i AD
민물검정망둑	m i AD n m u AE ɭ ɡ ʌ̹ m d ʑ ʌ̹ ŋ m a̠ AF ŋ d u AE k̚
민박	m i AD n b a̠ AF k̚
민병	m i AD n b j AB ʌ̹ ŋ
민서	m i AD n s͈ ʌ̹
민속	m i AD n sʰ o̞ AE k̚
민수기	m i AD n sʰ u AE ɡ i AD
민스크	m i AD n sʰ ɯ AD k x ɯ AD
민어	m i AD n ʌ̹
민요	m i AD ɲ j AB o AE
민족	m i AD ɲ d ʑ o̞ AE k̚
민족주의	m i AD ɲ d ʑ o̞ AE k̚ t ɕ͈ u AE ɰ AB i AD
민족학	m i AD ɲ d ʑ o̞ AE kʰ a̠ AF k̚
민주	m i AD ɲ d ʑ u AE
민주주의	m i AD ɲ d ʑ u AE d ʑ u AE ɰ AB i AD
민주주의자	m i AD ɲ d ʑ u AE d ʑ u AE ɰ AB i AD d ʑ a̠ AF
민주화	m i AD ɲ d ʑ u AE β w AC a̠ AF
민중	m i AD ɲ d ʑ u AE ŋ
민첩성	m i AD ɲ t ɕʰ ʌ̹ p s͈ ʌ̹ ŋ
민화	m i AD n β w AC a̠ AF
믿다	m i AD t̚ t͈ a̠ AF
믿음	m i AD d ɯ AD m
밀	m iː AD ɭ
밀가루	m i AD ɭ k͈ a̠ AF ɾ u AE
밀다	m i AD ɭ d a̠ AF
밀당	m i AD ɭ t͈ a̠ AF ŋ
밀도	m i AD ɭ t͈ o̞ AE
밀라노	m i AD ɭ ɭ a̠ AF n o̞ AE
밀랍	m i AD ɭ ɭ a̠ AF p̚
밀리다	m i AD ʎ ʎ i AD d a̠ AF
밀리미터	m i AD ʎ ʎ i AD m i AD tʰ ʌ̹
밀림	m i AD ʎ ʎ i AD m
밀어	m i AD ɾ ʌ̹
밀월	m i AD ɾ w AC ʌ̹ ɭ
밀접하다	m i AD ʎ t ɕ͈ ʌ̹ pʰ a̠ AF d a̠ AF
밀집되다	m i AD ʎ d ʑ i AD p̚ t͈ w AC e̞ AD d a̠ AF
밀집하다	m i AD ʎ d ʑ i AD pʰ a̠ AF d a̠ AF
밀치다	m iː AD ʎ t ɕʰ i AD d a̠ AF
밀크	m i AD ɭ k x ɯ AD
밀통	m i AD ɭ tʰ o̞ AE ŋ
밈	m i AD m
밉다	m iː AD p̚ t͈ a̠ AF
밍크	m i AD ŋ k x ɯ AD
및	m i AD t̚
밑	m i AD t̚
밑지다	m i AD t̚ t ɕ͈ i AD d a̠ AF
바	p͈ a̠ AF
바게트	p͈ a̠ AF ɡ e̞ AD tʰ ɯ AD
바곤	p a̠ AF ɡ o̞ AE n
바구니	p a̠ AF ɡ u AE n i AD
바그다드	p a̠ AF ɡ ɯ AD d a̠ AF d ɯ AD
바그르르	p a̠ AF ɡ ɯ AD ɾ ɯ AD ɾ ɯ AD
바글바글	p a̠ AF ɡ ɯ AD ɭ b a̠ AF ɡ ɯ AD ɭ
바깥	p a̠ AF k͈ a̠ AF t̚
바깥어른	p a̠ AF k͈ a̠ AF d ʌ̹ ɾ ɯ AD n
바깥쪽	p a̠ AF k͈ a̠ AF t̚ t ɕ͈ o̞ AE k̚
바꼬락	p a̠ AF k͈ o̞ AE ɾ a̠ AF k̚
바꾸다	p a̠ AF k͈ u AE d a̠ AF
바뀌다	p a̠ AF k͈ ɥ AC i AD d a̠ AF
바나나	p͈ a̠ AF n a̠ AF n a̠ AF
바나듐	p a̠ AF n a̠ AF d j AB u AE m
바냐	p a̠ AF ɲ j AB a̠ AF
바누아투	p a̠ AF n u AE a̠ AF tʰ u AE
바늘	p a̠ AF n ɯ AD ɭ
바다	p a̠ AF d a̠ AF
바다꿩	p a̠ AF d a̠ AF k͈ w AC ʌ̹ ŋ
바다말	p a̠ AF d a̠ AF m a̠ AF ɭ
바다비오리	p a̠ AF d a̠ AF b i AD o̞ AE ɾ i AD
바다사자	p a̠ AF d a̠ AF sʰ a̠ AF d ʑ a̠ AF
바다제비	p a̠ AF d a̠ AF d ʑ e̞ AD b i AD
바다코끼리	p a̠ AF d a̠ AF kʰ o̞ AE k͈ i AD ɾ i AD
바다표범	p a̠ AF d a̠ AF pʰ j AB o AE b ʌ̹ m
바닥	p a̠ AF d a̠ AF k̚
바닷가	p a̠ AF d a̠ AF t̚ k͈ a̠ AF
바닷물	p a̠ AF d a̠ AF n m u AE ɭ
바닷물고기	p a̠ AF d a̠ AF n m u AE ɭ ɡ o̞ AE ɡ i AD
바둑	p a̠ AF d u AE k̚
바듯하다	p a̠ AF d ɯ AD tʰ a̠ AF d a̠ AF
바라다	p a̠ AF ɾ a̠ AF d a̠ AF
바라보다	p a̠ AF ɾ a̠ AF b o̞ AE d a̠ AF
바람	p a̠ AF ɾ a̠ AF m
바람둥이	p a̠ AF ɾ a̠ AF m d u AE ŋ i AD
바람직하다	p a̠ AF ɾ a̠ AF m d ʑ i AD kʰ a̠ AF d a̠ AF
바레인	p a̠ AF ɾ e̞ AD i AD n
바로	p a̠ AF ɾ o̞ AE
바로가기	p a̠ AF ɾ o̞ AE ɡ a̠ AF ɡ i AD
바로잡다	p a̠ AF ɾ o̞ AE d ʑ a̠ AF p̚ t͈ a̠ AF
바륨	p a̠ AF ɾ j AB u AE m
바르다	p a̠ AF ɾ ɯ AD d a̠ AF
바르샤바	p a̠ AF ɾ ɯ AD ɕʰ a̠ AF b a̠ AF
바른손	p a̠ AF ɾ ɯ AD n sʰ o̞ AE n
바리	p a̠ AF ɾ i AD
바마코	p a̠ AF m a̠ AF kʰ o̞ AE
바베이도스	p a̠ AF b e̞ AD i AD d o̞ AE sʰ ɯ AD
바보	p a̠ː AF b o̞ AE
바쁘다	p a̠ AF p͈ ɯ AD d a̠ AF
바사삭	p a̠ AF sʰ a̠ AF sʰ a̠ AF k̚
바삭	p a̠ AF sʰ a̠ AF k̚
바삭과자	p a̠ AF sʰ a̠ AF k̚ k͈ w AC a̠ AF d ʑ a̠ AF
바삭바삭	p a̠ AF sʰ a̠ AF k̚ p͈ a̠ AF sʰ a̠ AF k̚
바삭바삭하다	p a̠ AF sʰ a̠ AF k̚ p͈ a̠ AF sʰ a̠ AF kʰ a̠ AF d a̠ AF
바수다	p a̠ AF sʰ u AE d a̠ AF
바스라기	p a̠ AF sʰ ɯ AD ɾ a̠ AF ɡ i AD
바스락	p a̠ AF sʰ ɯ AD ɾ a̠ AF k̚
바스락바스락	p a̠ AF sʰ ɯ AD ɾ a̠ AF k̚ p͈ a̠ AF sʰ ɯ AD ɾ a̠ AF k̚
바스스카프	p a̠ AF sʰ ɯ AD sʰ ɯ AD kʰ a̠ AF pʰ ɯ AD
바스테르	p a̠ AF sʰ ɯ AD tʰ e̞ AD ɾ ɯ AD
바슬바슬	p a̠ AF sʰ ɯ AD ɭ b a̠ AF sʰ ɯ AD ɭ
바싹	p a̠ AF s͈ a̠ AF k̚
바싹바싹	p a̠ AF s͈ a̠ AF k̚ p͈ a̠ AF s͈ a̠ AF k̚
바알	p a̠ AF a̠ AF ɭ
바오로	p a̠ AF o̞ AE ɾ o̞ AE
바오즈	p a̠ AF o̞ AE d ʑ ɯ AD
바위	p a̠ AF ɥ AC i AD
바이너리	p a̠ AF i AD n ʌ̹ ɾ i AD
바이든	p a̠ AF i AD d ɯ AD n
바이러스	p a̠ AF i AD ɾ ʌ̹ sʰ ɯ AD
바이블	p a̠ AF i AD b ɯ AD ɭ
바이슨	p a̠ AF i AD sʰ ɯ AD n
바이오	p a̠ AF i AD o̞ AE
바이오폴리머	p a̠ AF i AD o̞ AE pʰ o̞ AE ʎ ʎ i AD m ʌ̹
바이올린	p a̠ AF i AD o̞ AE ʎ ʎ i AD n
바이트	p a̠ AF i AD tʰ ɯ AD
바자르	p a̠ AF d ʑ a̠ AF ɾ ɯ AD
바자회	p a̠ AF d ʑ a̠ AF β w AC e̞ AD
바장조	p a̠ AF d ʑ a̠ AF ŋ d ʑ o̞ AE
바지	p a̠ AF d ʑ i AD
바지락	p a̠ AF d ʑ i AD ɾ a̠ AF k̚
바질	p a̠ AF d ʑ i AD ɭ
바치다	p a̠ AF t ɕʰ i AD d a̠ AF
바쿠	p a̠ AF kʰ u AE
바퀴	p a̠ AF kʰ ɥ AC i AD
바퀴벌레	p a̠ AF kʰ ɥ AC i AD b ʌ̹ ɭ ɭ e̞ AD
바탕	p a̠ AF tʰ a̠ AF ŋ
바텐더	p a̠ AF tʰ e̞ AD n d ʌ̹
바티칸	p a̠ AF tʰ i AD kʰ a̠ AF n
바하마	p a̠ AF ɦ AA a̠ AF m a̠ AF
박	p a̠ AF k̚
박다	p a̠ AF k̚ t͈ a̠ AF
박동	p a̠ AF k̚ t͈ o̞ AE ŋ
박람회	p a̠ AF ŋ n a̠ AF m β w AC e̞ AD
박멸	p a̠ AF ŋ m j AB ʌ̹ ɭ
박물관	p a̠ AF ŋ m u AE ɭ ɡ w AC a̠ AF n
박사	p a̠ AF k s͈ a̠ AF
박수	p a̠ AF k s͈ u AE
박수하다	p a̠ AF k s͈ u AE ɦ AA a̠ AF d a̠ AF
박스	p a̠ AF k s͈ ɯ AD
박엽지	p a̠ AF ɡ j AB ʌ̹ p̚ t ɕ͈ i AD
박이	p a̠ AF ɡ i AD
박제	p a̠ AF k̚ t ɕ͈ e̞ AD
박쥐	p a̠ː AF k̚ t ɕ͈ ɥ AC i AD
박차	p a̠ AF k̚ t ɕʰ a̠ AF
박치기	p a̠ AF k̚ t ɕʰ i AD ɡ i AD
박테리아	p a̠ AF k̚ tʰ e̞ AD ɾ i AD a̠ AF
박하	p a̠ AF kʰ a̠ AF
밖	p a̠ AF k̚
밖에	p a̠ AF k͈ e̞ AD
반	p a̠ AF n
반가	p a̠ː AF n k͈ a̠ AF
반갑다	p a̠ AF n ɡ a̠ AF p̚ t͈ a̠ AF
반값	p a̠ AF n ɡ a̠ AF p̚
반경	p a̠ː AF n ɡ j AB ʌ̹ ŋ
반공	p a̠ː AF n ɡ o̞ AE ŋ
반구	p a̠ː AF n ɡ u AE
반기다	p a̠ AF n ɡ i AD d a̠ AF
반년	p a̠ː AF n ɲ j AB ʌ̹ n
반다르세리베가완	p a̠ AF n d a̠ AF ɾ ɯ AD sʰ e̞ AD ɾ i AD b e̞ AD ɡ a̠ AF w AC a̠ AF n
반도	p a̠ː AF n d o̞ AE
반도체	p a̠ː AF n d o̞ AE t ɕʰ e̞ AD
반동분자	p a̠ː AF n d o̞ AE ŋ b u AE ɲ d ʑ a̠ AF
반드시	p a̠ AF n d ɯ AD ɕʰ i AD
반듯이	p a̠ AF n d ɯ AD ɕʰ i AD
반듯하다	p a̠ AF n d ɯ AD tʰ a̠ AF d a̠ AF
반딧불	p a̠ AF n d i AD t̚ p͈ u AE ɭ
반딧불이	p a̠ AF n d i AD t̚ p͈ u AE ɾ i AD
반란	p a̠ː AF ɭ ɭ a̠ AF n
반려	p a̠ː AF ʎ ʎ j AB ʌ̹
반립자	p a̠ AF ʎ ʎ i AD p̚ t ɕ͈ a̠ AF
반말	p a̠ AF n m a̠ AF ɭ
반면	p a̠ː AF n m j AB ʌ̹ n
반물질	p a̠ː AF n m u AE ʎ t ɕ͈ i AD ɭ
반바지	p a̠ː AF n b a̠ AF d ʑ i AD
반박	p a̠ː AF n b a̠ AF k̚
반반	p a̠ː AF n b a̠ AF n
반발	p a̠ː AF n b a̠ AF ɭ
반복	p a̠ː AF n b o̞ AE k̚
반복하다	p a̠ AF n b o̞ AE kʰ a̠ AF d a̠ AF
반사	p a̠ː AF n sʰ a̠ AF
반사경	p a̠ː AF n sʰ a̠ AF ɡ j AB ʌ̹ ŋ
반성	p a̠ AF n s͈ ʌ̹ ŋ
반시옷	p a̠ AF n ɕʰ i AD o̞ AE t̚
반시읏	p a̠ː AF n ɕʰ i AD ɯ AD t̚
반신반인	p a̠ː AF n ɕʰ i AD n b a̠ AF n i AD n
반역	p a̠ː AF ɲ j AB ʌ̹ k̚
반역자	p a̠ː AF ɲ j AB ʌ̹ k̚ t ɕ͈ a̠ AF
반열반	p a̠ AF ɲ j AB ʌ̹ ɭ b a̠ AF n
반영	p a̠ː AF ɲ j AB ʌ̹ ŋ
반영웅	p a̠ː AF ɲ j AB ʌ̹ ŋ u AE ŋ
반영하다	p a̠ː AF ɲ j AB ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
반올림	p a̠ː AF n o̞ AE ʎ ʎ i AD m
반응	p a̠ː AF n ɯ AD ŋ
반의어	p a̠ː AF n ɰ AB i AD ʌ̹
반입자	p a̠ː AF n i AD p̚ t ɕ͈ a̠ AF
반장	p a̠ AF ɲ d ʑ a̠ AF ŋ
반절	p a̠ː AF ɲ d ʑ ʌ̹ ɭ
반주	p a̠ː AF ɲ d ʑ u AE
반죽	p a̠ AF ɲ d ʑ u AE k̚
반죽하다	p a̠ AF ɲ d ʑ u AE kʰ a̠ AF d a̠ AF
반줄	p a̠ AF ɲ d ʑ u AE ɭ
반지	p a̠ AF ɲ d ʑ i AD
반지름	p a̠ː AF ɲ d ʑ i AD ɾ ɯ AD m
반지하	p a̠ː AF ɲ d ʑ i AD ɦ AA a̠ AF
반짝	p a̠ AF ɲ t ɕ͈ a̠ AF k̚
반짝반짝	p a̠ AF ɲ t ɕ͈ a̠ AF k̚ p͈ a̠ AF ɲ t ɕ͈ a̠ AF k̚
반짝이다	p a̠ AF ɲ t ɕ͈ a̠ AF ɡ i AD d a̠ AF
반찬	p a̠ AF ɲ t ɕʰ a̠ AF n
반창고	p a̠ AF ɲ t ɕʰ a̠ AF ŋ ɡ o̞ AE
반추	p a̠ː AF ɲ t ɕʰ u AE
반치음	p a̠ː AF ɲ t ɕʰ i AD ɯ AD m
반칙	p a̠ː AF ɲ t ɕʰ i AD k̚
반침	p a̠ː AF ɲ t ɕʰ i AD m
반포	p a̠ AF n pʰ o̞ AE
반품	p a̠ː AF n pʰ u AE m
반하다	p a̠ AF n ɦ AA a̠ AF d a̠ AF
반항	p a̠ː AF n ɦ AA a̠ AF ŋ
반항하다	p a̠ AF n ɦ AA a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
받다	p a̠ AF t̚ t͈ a̠ AF
받아들이다	p a̠ AF d a̠ AF d ɯ AD ɾ i AD d a̠ AF
받아쓰기	p a̠ AF d a̠ AF s͈ ɯ AD ɡ i AD
받아쓰다	p a̠ AF d a̠ AF s͈ ɯ AD d a̠ AF
받치다	p a̠ AF t̚ t ɕʰ i AD d a̠ AF
받침	p a̠ AF t̚ t ɕʰ i AD m
발	p a̠ː AF ɭ
발가락	p a̠ AF ɭ k͈ a̠ AF ɾ a̠ AF k̚
발가벗다	p a̠ AF ɭ ɡ a̠ AF b ʌ̹ t̚ t͈ a̠ AF
발간	p a̠ AF ɭ ɡ a̠ AF n
발간되다	p a̠ AF ɭ ɡ a̠ AF n d w AC e̞ AD d a̠ AF
발간사	p a̠ AF ɭ ɡ a̠ AF n sʰ a̠ AF
발간하다	p a̠ AF ɭ ɡ a̠ AF n ɦ AA a̠ AF d a̠ AF
발갛다	p a̠ː AF ɭ ɡ a̠ AF tʰ a̠ AF
발견	p a̠ AF ɭ ɡ j AB ʌ̹ n
발견되다	p a̠ AF ɭ ɡ j AB ʌ̹ n d w AC e̞ AD d a̠ AF
발견하다	p a̠ AF ɭ ɡ j AB ʌ̹ n ɦ AA a̠ AF d a̠ AF
발구지	p a̠ AF ɭ ɡ u AE d ʑ i AD
발기	p a̠ AF ɭ ɡ i AD
발기다	p a̠ AF ɭ ɡ i AD d a̠ AF
발기부전	p a̠ AF ɭ ɡ i AD b u AE d ʑ ʌ̹ n
발꿈치	p a̠ AF ɭ k͈ u AE m t ɕʰ i AD
발끝	p a̠ AF ɭ k͈ ɯ AD t̚
발달	p a̠ AF ɭ t͈ a̠ AF ɭ
발달하다	p a̠ AF ɭ t͈ a̠ AF ɾ ɦ AA a̠ AF d a̠ AF
발뒤꿈	p a̠ AF ɭ t͈ ɥ AC i AD k͈ u AE m
발뒤꿈치	p a̠ AF ɭ t͈ ɥ AC i AD k͈ u AE m t ɕʰ i AD
발딱	p a̠ AF ɭ t͈ a̠ AF k̚
발라드	p a̠ AF ɭ ɭ a̠ AF d ɯ AD
발란	p a̠ː AF ɭ ɭ a̠ AF n
발랄라이카	p a̠ AF ɭ ɭ a̠ AF ɭ ɭ a̠ AF i AD kʰ a̠ AF
발레	p a̠ AF ɭ ɭ e̞ AD
발레타	p a̠ AF ɭ ɭ e̞ AD tʰ a̠ AF
발리볼	p a̠ AF ʎ ʎ i AD b o̞ AE ɭ
발명	p a̠ AF ɭ m j AB ʌ̹ ŋ
발목	p a̠ AF ɭ m o̞ AE k̚
발바닥	p a̠ AF ɭ p͈ a̠ AF d a̠ AF k̚
발바리	p a̠ AF ɭ b a̠ AF ɾ i AD
발바리차	p a̠ː AF ɭ b a̠ AF ɾ i AD t ɕʰ a̠ AF
발보이다	p a̠ AF ɭ b o̞ AE i AD d a̠ AF
발사	p a̠ AF ɭ s͈ a̠ AF
발열	p a̠ AF ɾ j AB ʌ̹ ɭ
발음	p a̠ AF ɾ ɯ AD m
발음법	p a̠ AF ɾ ɯ AD m p͈ ʌ̹ p̚
발음하다	p a̠ AF ɾ ɯ AD m ɦ AA a̠ AF d a̠ AF
발인	p a̠ AF ɾ i AD n
발자국	p a̠ AF ʎ t ɕ͈ a̠ AF ɡ u AE k̚
발전	p a̠ AF ʎ t ɕ͈ ʌ̹ n
발전소	p a̠ AF ʎ d ʑ ʌ̹ n sʰ o̞ AE
발전하다	p a̠ AF ʎ t ɕ͈ ʌ̹ n ɦ AA a̠ AF d a̠ AF
발정	p a̠ AF ʎ t ɕ͈ ʌ̹ ŋ
발짝	p a̠ AF ʎ t ɕ͈ a̠ AF k̚
발코니	p a̠ AF ɭ kʰ o̞ AE n i AD
발탁	p a̠ AF ɭ tʰ a̠ AF k̚
발톱	p a̠ AF ɭ tʰ o̞ AE p̚
발표	p a̠ AF ɭ pʰ j AB o AE
발표되다	p a̠ AF ɭ pʰ j AB o AE d w AC e̞ AD d a̠ AF
발표하다	p a̠ AF ɭ pʰ j AB o AE ɦ AA a̠ AF d a̠ AF
발효	p a̠ AF ɾ ʝ j AB o AE
발휘하다	p a̠ AF ɾ ɦ AA ɥ AC i AD ɦ AA a̠ AF d a̠ AF
밝다	p a̠ AF k̚ t͈ a̠ AF
밝을녘	p a̠ AF ɭ ɡ ɯ AD ʎ ʎ j AB ʌ̹ k̚
밝쥐	p a̠ AF k̚ t ɕ͈ ɥ AC i AD
밟다	p a̠ː AF p̚ t͈ a̠ AF
밤	p a̠ː AF m
밤낮	p a̠ AF m n a̠ AF t̚
밤참	p a̠ AF m t ɕʰ a̠ AF m
밤하늘	p a̠ AF m ɦ AA a̠ AF n ɯ AD ɭ
밥	p a̠ AF p̚
밥벌이	p a̠ AF p̚ p͈ ʌ̹ ɾ i AD
밥상	p a̠ AF p s͈ a̠ AF ŋ
밥솥	p a̠ AF p s͈ o̞ AE t̚
밥집	p a̠ AF p̚ t ɕ͈ i AD p̚
밧줄	p a̠ AF t̚ t ɕ͈ u AE ɭ
방	p a̠ AF ŋ
방가면	p a̠ AF ŋ ɡ a̠ AF m j AB ʌ̹ n
방공	p a̠ AF ŋ ɡ o̞ AE ŋ
방과후	p a̠ː AF ŋ ɡ w AC a̠ AF β u AE
방광	p a̠ AF ŋ ɡ w AC a̠ AF ŋ
방광암	p a̠ AF ŋ ɡ w AC a̠ AF ŋ a̠ AF m
방광염	p a̠ AF ŋ ɡ w AC a̠ AF ŋ ɲ j AB ʌ̹ m
방구	p a̠ AF ŋ ɡ u AE
