aa	ɑː AE
henkevyys	h AA e̞ AD ŋ k e̞ AD ʋ AC yː AG s̠
henkevä	h AA e̞ AD ŋ k e̞ AD ʋ AC æ AD
henkevästi	h AA e̞ AD ŋ k e̞ AD ʋ AC æ AD s̠ t̪ i AD ʔ
henkevöidä	h AA e̞ AD ŋ k e̞ AD ʋ AC ø̞ AF i̯ AB d æ AD ʔ
henkevöittää	h AA e̞ AD ŋ k e̞ AD ʋ AC ø̞ AF i̯ AB t̪ː æː AE ʔ
henkevöityä	h AA e̞ AD ŋ k e̞ AD ʋ AC ø̞ AF i̯ AB t̪ y AF æ AD ʔ
henki	h AA e̞ AD ŋ k i AD
henkihieveriin	h AA e̞ AD ŋ k i AD h AA i AD e̞̯ ʋ AC e̞ AD r iː AE n
henkihieverissä	h AA e̞ AD ŋ k i AD h AA i AD e̞̯ ʋ AC e̞ AD r i AD s̠ː æ AD
henkiinherättäminen	h AA e̞ AD ŋ k iː AE n h AA e̞ AD r æ AD t̪ t̪ æ AD m i AD n e̞ AD n
henkiinherätys	h AA e̞ AD ŋ k iː AE n h AA e̞ AD r æ AD t̪ y AF s̠
henkiinjääminen	h AA e̞ AD ŋ k iː AE n j AB æː AE m i AD n e̞ AD n
henkiinjäänyt	h AA e̞ AD ŋ k iː AE n j AB æː AE n y AF t̪
henkikaarti	h AA e̞ AD ŋ k i AD k ɑː AE r t̪ i AD
henkikaste	h AA e̞ AD ŋ k i AD k ɑ AD s̠ t̪ e̞ AD ʔ
henkikirja	h AA e̞ AD ŋ k i AD k i AD r j AB ɑ AD
henkikirjoittaja	h AA e̞ AD ŋ k i AD k i AD r j AB o̞ AF i̯ AB t̪ t̪ ɑ AD j AB ɑ AD
henkikirjoitus	h AA e̞ AD ŋ k i AD k i AD r j AB o̞ AF i̯ AB t̪ u AF s̠
henkikulta	h AA e̞ AD ŋ k i AD k u AF l t̪ ɑ AD
henkilääkäri	h AA e̞ AD ŋ k i AD l æː AE k æ AD r i AD
henkilö	h AA e̞ AD ŋ k i AD l ø̞ AF
henkilöapu	h AA e̞ AD ŋ k i AD l ø̞ AF ɑ AD p u AF
henkilöarviointi	h AA e̞ AD ŋ k i AD l ø̞ AF ɑ AD r ʋ AC i AD o̞ AF i̯ AB n̪ t̪ i AD
henkilöautoliikenne	h AA e̞ AD ŋ k i AD l ø̞ AF ɑ AD u̯ AC t̪ o̞ AF l iː AE k e̞ AD nː e̞ AD ʔ
henkilöbibliografia	h AA e̞ AD ŋ k i AD l ø̞ AF b i AD b l i AD o̞ AF ɡ r ɑ AD f i AD ɑ AD
henkilöhahmo	h AA e̞ AD ŋ k i AD l ø̞ AF h AA ɑ AD h AA m o̞ AF
henkilöhakemisto	h AA e̞ AD ŋ k i AD l ø̞ AF h AA ɑ AD k e̞ AD m i AD s̠ t̪ o̞ AF
henkilöhaku	h AA e̞ AD ŋ k i AD l ø̞ AF h AA ɑ AD k u AF
henkilöhakujärjestelmä	h AA e̞ AD ŋ k i AD l ø̞ AF h AA ɑ AD k u AF j AB æ AD r j AB e̞ AD s̠ t̪ e̞ AD l m æ AD
henkilöhakulaite	h AA e̞ AD ŋ k i AD l ø̞ AF h AA ɑ AD k u AF l ɑ AD i̯ AB t̪ e̞ AD ʔ
henkilöhakuvastaanotin	h AA e̞ AD ŋ k i AD l ø̞ AF h AA ɑ AD k u AF ʋ AC ɑ AD s̠ t̪ ɑː AE n o̞ AF t̪ i AD n
henkilöhissi	h AA e̞ AD ŋ k i AD l ø̞ AF h AA i AD s̠ː i AD
henkilöhistoriallinen	h AA e̞ AD ŋ k i AD l ø̞ AF h AA i AD s̠ t̪ o̞ AF r i AD ɑ AD lː i AD n e̞ AD n
henkilöidä	h AA e̞ AD ŋ k i AD l ø̞ AF i̯ AB d æ AD ʔ
henkilöjuna	h AA e̞ AD ŋ k i AD l ø̞ AF j AB u AF n ɑ AD
henkilöjäsen	h AA e̞ AD ŋ k i AD l ø̞ AF j AB æ AD s̠ e̞ AD n
henkilökemia	h AA e̞ AD ŋ k i AD l ø̞ AF k e̞ AD m i AD ɑ AD
henkilökierto	h AA e̞ AD ŋ k i AD l ø̞ AF k i AD e̞̯ r t̪ o̞ AF
henkilökuljetin	h AA e̞ AD ŋ k i AD l ø̞ AF k u AF l j AB e̞ AD t̪ i AD n
henkilökuljetus	h AA e̞ AD ŋ k i AD l ø̞ AF k u AF l j AB e̞ AD t̪ u AF s̠
henkilökunta	h AA e̞ AD ŋ k i AD l ø̞ AF k u AF n̪ t̪ ɑ AD
henkilökuntaetu	h AA e̞ AD ŋ k i AD l ø̞ AF k u AF n̪ t̪ ɑ AD e̞ AD t̪ u AF
henkilökuntakerho	h AA e̞ AD ŋ k i AD l ø̞ AF k u AF n̪ t̪ ɑ AD k e̞ AD r h AA o̞ AF
henkilökuntalehti	h AA e̞ AD ŋ k i AD l ø̞ AF k u AF n̪ t̪ ɑ AD l e̞ AD h AA t̪ i AD
henkilökuntayhdistys	h AA e̞ AD ŋ k i AD l ø̞ AF k u AF n̪ t̪ ɑ AD y AF ç d i AD s̠ t̪ y AF s̠
henkilökuvaus	h AA e̞ AD ŋ k i AD l ø̞ AF k u AF ʋ AC ɑ AD u AF s̠
henkilökysymys	h AA e̞ AD ŋ k i AD l ø̞ AF k y AF s̠ y AF m y AF s̠
henkilöliikenne	h AA e̞ AD ŋ k i AD l ø̞ AF l iː AE k e̞ AD nː e̞ AD ʔ
henkilöllinen	h AA e̞ AD ŋ k i AD l ø̞ AF lː i AD n e̞ AD n
henkilöllisyystodistus	h AA e̞ AD ŋ k i AD l ø̞ AF lː i AD s̠ yː AG s̠ t̪ o̞ AF d i AD s̠ t̪ u AF s̠
henkilöluotto	h AA e̞ AD ŋ k i AD l ø̞ AF l u AF o̞̯ t̪ː o̞ AF
henkilömaalaus	h AA e̞ AD ŋ k i AD l ø̞ AF m ɑː AE l ɑ AD u AF s̠
henkilömitali	h AA e̞ AD ŋ k i AD l ø̞ AF m i AD t̪ ɑ AD lː i AD
henkilönimi	h AA e̞ AD ŋ k i AD l ø̞ AF n i AD m i AD
henkilönkatsastus	h AA e̞ AD ŋ k i AD l ø̞ AF ŋ k ɑ AD t s̠ ɑ AD s̠ t̪ u AF s̠
henkilönpalvonta	h AA e̞ AD ŋ k i AD l ø̞ AF m p ɑ AD l ʋ AC o̞ AF n̪ t̪ ɑ AD
henkilönsuojain	h AA e̞ AD ŋ k i AD l ø̞ AF n s̠ u AF o̞̯ j AB ɑ AD i̯ AB n
henkilörooli	h AA e̞ AD ŋ k i AD l ø̞ AF r o̞ː AG l i AD
henkilöstöneuvosto	h AA e̞ AD ŋ k i AD l ø̞ AF s̠ t̪ ø̞ AF n e̞ AD u AF ʋ AC o̞ AF s̠ t̪ o̞ AF
henkilöstöyrittäjä	h AA e̞ AD ŋ k i AD l ø̞ AF s̠ t̪ ø̞ AF y AF r i AD t̪ t̪ æ AD j AB æ AD
henkilöstöyritys	h AA e̞ AD ŋ k i AD l ø̞ AF s̠ t̪ ø̞ AF y AF r i AD t̪ y AF s̠
henkilösuunnitelma	h AA e̞ AD ŋ k i AD l ø̞ AF s̠ uː AG nː i AD t̪ e̞ AD l m ɑ AD
henkilötakaus	h AA e̞ AD ŋ k i AD l ø̞ AF t̪ ɑ AD k ɑ AD u AF s̠
henkilötili	h AA e̞ AD ŋ k i AD l ø̞ AF t̪ i AD l i AD
henkilötunnus	h AA e̞ AD ŋ k i AD l ø̞ AF t̪ u AF nː u AF s̠
henkilötyyppi	h AA e̞ AD ŋ k i AD l ø̞ AF t̪ yː AG pː i AD
henkilövaihdos	h AA e̞ AD ŋ k i AD l ø̞ AF ʋ AC ɑ AD i̯ AB ç d o̞ AF s̠
henkilövakuus	h AA e̞ AD ŋ k i AD l ø̞ AF ʋ AC ɑ AD k uː AG s̠
henkilövalinta	h AA e̞ AD ŋ k i AD l ø̞ AF ʋ AC ɑ AD l i AD n̪ t̪ ɑ AD
henkilöys	h AA e̞ AD ŋ k i AD l ø̞ AF y AF s̠
henkiminen	h AA e̞ AD ŋ k i AD m i AD n e̞ AD n
henkinen	h AA e̞ AD ŋ k i AD n e̞ AD n
henkipatto	h AA e̞ AD ŋ k i AD p ɑ AD t̪ː o̞ AF
henkireikä	h AA e̞ AD ŋ k i AD r e̞ AD i̯ AB k æ AD
henkiriepu	h AA e̞ AD ŋ k i AD r i AD e̞̯ p u AF
henkirikollinen	h AA e̞ AD ŋ k i AD r i AD k o̞ AF l l i AD n e̞ AD n
henkisavut	h AA e̞ AD ŋ k i AD s̠ ɑ AD ʋ AC u AF t̪
henkisyys	h AA e̞ AD ŋ k i AD s̠ yː AG s̠
henkitiede	h AA e̞ AD ŋ k i AD t̪ i AD e̞̯ d e̞ AD ʔ
henkitoreihin	h AA e̞ AD ŋ k i AD t̪ o̞ AF r e̞ AD i̯ AB ɦ AA i AD n
henkitoreihinsa	h AA e̞ AD ŋ k i AD t̪ o̞ AF r e̞ AD i̯ AB h AA i AD n s̠ ɑ AD ʔ
henkitoreisiin	h AA e̞ AD ŋ k i AD t̪ o̞ AF r e̞ AD i̯ AB s̠ iː AE n
henkitoreisiinsa	h AA e̞ AD ŋ k i AD t̪ o̞ AF r e̞ AD i̯ AB s̠ iː AE n s̠ ɑ AD ʔ
henkitoreissa	h AA e̞ AD ŋ k i AD t̪ o̞ AF r e̞ AD i̯ AB s̠ː ɑ AD
henkitoreissaan	h AA e̞ AD ŋ k i AD t̪ o̞ AF r e̞ AD i̯ AB s̠ː ɑː AE n
henkivakuuttaa	h AA e̞ AD ŋ k i AD ʋ AC ɑ AD k uː AG t̪ː ɑː AE ʔ
henkivakuutuskirja	h AA e̞ AD ŋ k i AD ʋ AC ɑ AD k uː AG t̪ u AF s̠ k i AD r j AB ɑ AD
henkivakuutusmaksu	h AA e̞ AD ŋ k i AD ʋ AC ɑ AD k uː AG t̪ u AF s̠ m ɑ AD k s̠ u AF
henkivakuutusyhtiö	h AA e̞ AD ŋ k i AD ʋ AC ɑ AD k uː AG t̪ u AF s̠ y AF ç t̪ i AD ø̞ AF
henkivartija	h AA e̞ AD ŋ k i AD ʋ AC ɑ AD r t̪ i AD j AB ɑ AD
henkivartiokaarti	h AA e̞ AD ŋ k i AD ʋ AC ɑ AD r t̪ i AD o̞ AF k ɑː AE r t̪ i AD
henkivartiosto	h AA e̞ AD ŋ k i AD ʋ AC ɑ AD r t̪ i AD o̞ AF s̠ t̪ o̞ AF
henkiystävä	h AA e̞ AD ŋ k i AD y AF s̠ t̪ æ AD ʋ AC æ AD
henkiä	h AA e̞ AD ŋ k i AD æ AD ʔ
henkkamaukka	h AA e̞ AD ŋ kː ɑ AD m ɑ AD u̯ AC kː ɑ AD
henkonen	h AA e̞ AD ŋ k o̞ AF n e̞ AD n
henkäisy	h AA e̞ AD ŋ k æ AD i̯ AB s̠ y AF
henkäys	h AA e̞ AD ŋ k æ AD y AF s̠
henkää	h AA e̞ AD ŋ k æː AE ʔ
henna	h AA e̞ AD nː ɑ AD
hennoa	h AA e̞ AD nː o̞ AF ɑ AD ʔ
hennominen	h AA e̞ AD nː o̞ AF m i AD n e̞ AD n
hennota	h AA e̞ AD nː o̞ AF t̪ ɑ AD ʔ
henri	h AA e̞ AD n r i AD
henriikka	h AA e̞ AD n r iː AE kː ɑ AD
henrik	h AA e̞ AD n r i AD kː i AD
henrikki	h AA e̞ AD n r i AD kː i AD
hento	h AA e̞ AD n̪ t̪ o̞ AF
hentoilla	h AA e̞ AD n̪ t̪ o̞ AF i̯ AB lː ɑ AD ʔ
hentoilu	h AA e̞ AD n̪ t̪ o̞ AF i̯ AB l u AF
hentoinen	h AA e̞ AD n̪ t̪ o̞ AF i̯ AB n e̞ AD n
hentojäseninen	h AA e̞ AD n̪ t̪ o̞ AF j AB æ AD s̠ e̞ AD n i AD n e̞ AD n
hentokasvuinen	h AA e̞ AD n̪ t̪ o̞ AF k ɑ AD s̠ ʋ AC u AF i̯ AB n e̞ AD n
hentomielinen	h AA e̞ AD n̪ t̪ o̞ AF m i AD e̞̯ l i AD n e̞ AD n
hentomielisyys	h AA e̞ AD n̪ t̪ o̞ AF m i AD e̞̯ l i AD s̠ yː AG s̠
hentorakenteinen	h AA e̞ AD n̪ t̪ o̞ AF r ɑ AD k e̞ AD n t̪ e̞ AD i̯ AB n e̞ AD n
hentosara	h AA e̞ AD n̪ t̪ o̞ AF s̠ ɑ AD r ɑ AD
hentosudenkorento	h AA e̞ AD n̪ t̪ o̞ AF s̠ u AF d e̞ AD ŋ k o̞ AF r e̞ AD n̪ t̪ o̞ AF
hentous	h AA e̞ AD n̪ t̪ o̞ AF u AF s̠
hep	h AA e̞ AD p
hepaattinen	h AA e̞ AD p ɑː AE t̪ t̪ i AD n e̞ AD n
hepatiittivirus	h AA e̞ AD p ɑ AD t̪ iː AE t̪ː i AD ʋ AC iː AE r u AF s̠
hepatologia	h AA e̞ AD p ɑ AD t̪ o̞ AF l o̞ AF ɡ i AD ɑ AD
hepatooma	h AA e̞ AD p ɑ AD t̪ o̞ː AG m ɑ AD
hepatoosi	h AA e̞ AD p ɑ AD t̪ o̞ː AG s̠ i AD
hepatopulmonaarinen	h AA e̞ AD p ɑ AD t̪ o̞ AF p u AF l m o̞ AF n ɑː AE r i AD n e̞ AD n
hepatorenaalinen	h AA e̞ AD p ɑ AD t̪ o̞ AF r e̞ AD n ɑː AE l i AD n e̞ AD n
hepatosellulaarinen	h AA e̞ AD p ɑ AD t̪ o̞ AF s̠ e̞ AD lː u AF l ɑː AE r i AD n e̞ AD n
hepatospleeninen	h AA e̞ AD p ɑ AD t̪ o̞ AF s̠ p l e̞ː AE n i AD n e̞ AD n
hepo	h AA e̞ AD p o̞ AF
heppa	h AA e̞ AD pː ɑ AD
heppi	h AA e̞ AD pː i AD
heppoinen	h AA e̞ AD pː o̞ AF i̯ AB n e̞ AD n
heppoisesti	h AA e̞ AD pː o̞ AF i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
heppoisuus	h AA e̞ AD pː o̞ AF i̯ AB s̠ uː AG s̠
heppu	h AA e̞ AD pː u AF
heppuli	h AA e̞ AD pː u AF l i AD
heprea	h AA e̞ AD p r e̞ AD ɑ AD
heprealainen	h AA e̞ AD p r e̞ AD ɑ AD l ɑ AD i̯ AB n e̞ AD n
heprealaiskirje	h AA e̞ AD p r e̞ AD ɑ AD l ɑ AD i̯ AB s̠ k i AD r j AB e̞ AD ʔ
hepsakka	h AA e̞ AD p s̠ ɑ AD kː ɑ AD
hepsankeikka	h AA e̞ AD p s̠ ɑ AD ŋ k e̞ AD i̯ AB kː ɑ AD
heptametri	h AA e̞ AD p t̪ ɑ AD m e̞ AD t̪ r i AD
hepulikohtaus	h AA e̞ AD p u AF l i AD k o̞ AF x t̪ ɑ AD u AF s̠
hera	h AA e̞ AD r ɑ AD
herahdella	h AA e̞ AD r ɑ AD h AA d e̞ AD lː ɑ AD ʔ
herahtaa	h AA e̞ AD r ɑ AD x t̪ ɑː AE ʔ
herainen	h AA e̞ AD r ɑ AD i̯ AB n e̞ AD n
herajauhe	h AA e̞ AD r ɑ AD j AB ɑ AD u̯ AC ɦ AA e̞ AD ʔ
herajuusto	h AA e̞ AD r ɑ AD j AB uː AG s̠ t̪ o̞ AF
herastuomari	h AA e̞ AD r ɑ AD s̠ t̪ u AF o̞̯ m ɑ AD r i AD
herauttaa	h AA e̞ AD r ɑ AD u AF t̪ː ɑː AE ʔ
herbartilaisuus	h AA e̞ AD r b ɑ AD r t̪ i AD l ɑ AD i̯ AB s̠ uː AG s̠
herefordrotu	h AA e̞ AD r i AD f ø̞ AF d r o̞ AF t̪ u AF
heresia	h AA e̞ AD r e̞ AD s̠ i AD ɑ AD
hereys	h AA e̞ AD r e̞ AD y AF s̠
hereästi	h AA e̞ AD r e̞ AD æ AD s̠ t̪ i AD ʔ
herhiläinen	h AA e̞ AD r h AA i AD l æ AD i̯ AB n e̞ AD n
herhiläispesä	h AA e̞ AD r h AA i AD l æ AD i̯ AB s̠ p e̞ AD s̠ æ AD
heristellä	h AA e̞ AD r i AD s̠ t̪ e̞ AD lː æ AD ʔ
heristys	h AA e̞ AD r i AD s̠ t̪ y AF s̠
heristäminen	h AA e̞ AD r i AD s̠ t̪ æ AD m i AD n e̞ AD n
herjaaminen	h AA e̞ AD r j AB ɑː AE m i AD n e̞ AD n
herjaava	h AA e̞ AD r j AB ɑː AE ʋ AC ɑ AD
herjaavasti	h AA e̞ AD r j AB ɑː AE ʋ AC ɑ AD s̠ t̪ i AD ʔ
herjakirjoitus	h AA e̞ AD r j AB ɑ AD k i AD r j AB o̞ AF i̯ AB t̪ u AF s̠
herjanheitto	h AA e̞ AD r j AB ɑ AD n h AA e̞ AD i̯ AB t̪ː o̞ AF
herjasana	h AA e̞ AD r j AB ɑ AD s̠ ɑ AD n ɑ AD
herjata	h AA e̞ AD r j AB ɑ AD t̪ ɑ AD ʔ
herjauskirjoitus	h AA e̞ AD r j AB ɑ AD u AF s̠ k i AD r j AB o̞ AF i̯ AB t̪ u AF s̠
herjauspuhe	h AA e̞ AD r j AB ɑ AD u AF s̠ p u AF ɦ AA e̞ AD ʔ
herjaussana	h AA e̞ AD r j AB ɑ AD u AF s̠ s̠ ɑ AD n ɑ AD
herjetä	h AA e̞ AD r j AB e̞ AD t̪ æ AD ʔ
herkentää	h AA e̞ AD r k e̞ AD n̪ t̪ æː AE ʔ
herkeäminen	h AA e̞ AD r k e̞ AD æ AD m i AD n e̞ AD n
herkeämättä	h AA e̞ AD r k e̞ AD æ AD m æ AD t̪ː æ AD
herkeämättömyys	h AA e̞ AD r k e̞ AD æ AD m æ AD t̪ː ø̞ AF m yː AG s̠
herkeämättömästi	h AA e̞ AD r k e̞ AD æ AD m æ AD t̪ː ø̞ AF m æ AD s̠ t̪ i AD ʔ
herkeämätön	h AA e̞ AD r k e̞ AD æ AD m æ AD t̪ ø̞ AF n
herkistellä	h AA e̞ AD r k i AD s̠ t̪ e̞ AD lː æ AD ʔ
herkistely	h AA e̞ AD r k i AD s̠ t̪ e̞ AD l y AF
herkistyminen	h AA e̞ AD r k i AD s̠ t̪ y AF m i AD n e̞ AD n
herkistyä	h AA e̞ AD r k i AD s̠ t̪ y AF æ AD ʔ
herkistävä	h AA e̞ AD r k i AD s̠ t̪ æ AD ʋ AC æ AD
herkistävästi	h AA e̞ AD r k i AD s̠ t̪ æ AD ʋ AC æ AD s̠ t̪ i AD ʔ
herkistää	h AA e̞ AD r k i AD s̠ t̪ æː AE ʔ
herkko	h AA e̞ AD r kː o̞ AF
herkku	h AA e̞ AD r kː u AF
herkkuperse	h AA e̞ AD r kː u AF p e̞ AD r s̠ e̞ AD ʔ
herkkuperuna	h AA e̞ AD r kː u AF p e̞ AD r u AF n ɑ AD
herkkuruoka	h AA e̞ AD r kː u AF r u AF o̞̯ k ɑ AD
herkkusieni	h AA e̞ AD r kː u AF s̠ i AD e̞̯ n i AD
herkkusienikastike	h AA e̞ AD r kː u AF s̠ i AD e̞̯ n i AD k ɑ AD s̠ t̪ i AD k e̞ AD ʔ
herkkusienikeitto	h AA e̞ AD r kː u AF s̠ i AD e̞̯ n i AD k e̞ AD i̯ AB t̪ː o̞ AF
herkkusilava	h AA e̞ AD r kː u AF s̠ i AD l ɑ AD ʋ AC ɑ AD
herkkutatti	h AA e̞ AD r kː u AF t̪ ɑ AD t̪ː i AD
herkkä	h AA e̞ AD r kː æ AD
herkkähermoisuus	h AA e̞ AD r kː æ AD h AA e̞ AD r m o̞ AF i̯ AB s̠ uː AG s̠
herkkähipiäinen	h AA e̞ AD r kː æ AD h AA i AD p i AD æ AD i̯ AB n e̞ AD n
herkkäilmeinen	h AA e̞ AD r kː æ AD i̯ AB l m e̞ AD i̯ AB n e̞ AD n
herkkäitkuinen	h AA e̞ AD r kː æ AD i̯ AB t̪ k u AF i̯ AB n e̞ AD n
herkkäkuuloinen	h AA e̞ AD r kː æ AD k uː AG l o̞ AF i̯ AB n e̞ AD n
herkkäliikkeinen	h AA e̞ AD r kː æ AD l iː AE kː e̞ AD i̯ AB n e̞ AD n
herkkänahkaisuus	h AA e̞ AD r kː æ AD n ɑ AD x k ɑ AD i̯ AB s̠ uː AG s̠
herkkätunteisesti	h AA e̞ AD r kː æ AD t̪ u AF n̪ t̪ e̞ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
herkkätuntoinen	h AA e̞ AD r kː æ AD t̪ u AF n̪ t̪ o̞ AF i̯ AB n e̞ AD n
herkkäuninen	h AA e̞ AD r kː æ AD u AF n i AD n e̞ AD n
herkkäunisuus	h AA e̞ AD r kː æ AD u AF n i AD s̠ uː AG s̠
herkkävireinen	h AA e̞ AD r kː æ AD ʋ AC i AD r e̞ AD i̯ AB n e̞ AD n
herkules	h AA e̞ AD r k u AF l e̞ AD s̠
herkutteleminen	h AA e̞ AD r k u AF t̪ t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
herkuttelu	h AA e̞ AD r k u AF t̪ t̪ e̞ AD l u AF
herman	h AA e̞ AD r m ɑ AD n
hermanni	h AA e̞ AD r m ɑ AD nː i AD
hermeettisyys	h AA e̞ AD r m e̞ː AE t̪ t̪ i AD s̠ yː AG s̠
hermeneutikko	h AA e̞ AD r m e̞ AD n e̞ AD u AF t̪ i AD kː o̞ AF
hermeneuttinen	h AA e̞ AD r m e̞ AD n e̞ AD u AF t̪ː i AD n e̞ AD n
hermetismi	h AA e̞ AD r m e̞ AD t̪ i AD s̠ m i AD
hermiittinen	h AA e̞ AD r m iː AE t̪ t̪ i AD n e̞ AD n
hermiittisyys	h AA e̞ AD r m iː AE t̪ t̪ i AD s̠ yː AG s̠
hermo	h AA e̞ AD r m o̞ AF
hermoheikko	h AA e̞ AD r m o̞ AF h AA e̞ AD i̯ AB kː o̞ AF
hermoherkkä	h AA e̞ AD r m o̞ AF h AA e̞ AD r kː æ AD
hermoimpulssi	h AA e̞ AD r m o̞ AF i AD m p u AF l s̠ː i AD
hermojuuri	h AA e̞ AD r m o̞ AF j AB uː AG r i AD
hermojännitys	h AA e̞ AD r m o̞ AF j AB æ AD nː i AD t̪ y AF s̠
hermokanava	h AA e̞ AD r m o̞ AF k ɑ AD n ɑ AD ʋ AC ɑ AD
hermokimppu	h AA e̞ AD r m o̞ AF k i AD m pː u AF
hermokoe	h AA e̞ AD r m o̞ AF k o̞ AF e̞ AD ʔ
hermolepo	h AA e̞ AD r m o̞ AF l e̞ AD p o̞ AF
hermoliitos	h AA e̞ AD r m o̞ AF l iː AE t̪ o̞ AF s̠
hermopaine	h AA e̞ AD r m o̞ AF p ɑ AD i̯ AB n e̞ AD ʔ
hermopinne	h AA e̞ AD r m o̞ AF p i AD nː e̞ AD ʔ
hermopunos	h AA e̞ AD r m o̞ AF p u AF n o̞ AF s̠
hermorasitus	h AA e̞ AD r m o̞ AF r ɑ AD s̠ i AD t̪ u AF s̠
hermoratahieronta	h AA e̞ AD r m o̞ AF r ɑ AD t̪ ɑ AD h AA i AD e̞̯ r o̞ AF n̪ t̪ ɑ AD
hermoraunio	h AA e̞ AD r m o̞ AF r ɑ AD u̯ AC n i AD o̞ AF
hermosairas	h AA e̞ AD r m o̞ AF s̠ ɑ AD i̯ AB r ɑ AD s̠
hermosavut	h AA e̞ AD r m o̞ AF s̠ ɑ AD ʋ AC u AF t̪
hermosolmu	h AA e̞ AD r m o̞ AF s̠ o̞ AF l m u AF
hermosto	h AA e̞ AD r m o̞ AF s̠ t̪ o̞ AF
hermostojärjestelmä	h AA e̞ AD r m o̞ AF s̠ t̪ o̞ AF j AB æ AD r j AB e̞ AD s̠ t̪ e̞ AD l m æ AD
hermostopiena	h AA e̞ AD r m o̞ AF s̠ t̪ o̞ AF p i AD e̞̯ n ɑ AD
hermostoputki	h AA e̞ AD r m o̞ AF s̠ t̪ o̞ AF p u AF t̪ k i AD
hermostosairaus	h AA e̞ AD r m o̞ AF s̠ t̪ o̞ AF s̠ ɑ AD i̯ AB r ɑ AD u AF s̠
hermostua	h AA e̞ AD r m o̞ AF s̠ t̪ u AF ɑ AD ʔ
hermostuksissaan	h AA e̞ AD r m o̞ AF s̠ t̪ u AF k s̠ i AD s̠ː ɑː AE n
hermostuminen	h AA e̞ AD r m o̞ AF s̠ t̪ u AF m i AD n e̞ AD n
hermostunut	h AA e̞ AD r m o̞ AF s̠ t̪ u AF n u AF t̪
hermostus	h AA e̞ AD r m o̞ AF s̠ t̪ u AF s̠
hermostuttaa	h AA e̞ AD r m o̞ AF s̠ t̪ u AF t̪ː ɑː AE ʔ
hermostuttava	h AA e̞ AD r m o̞ AF s̠ t̪ u AF t̪ː ɑ AD ʋ AC ɑ AD
hermostuttavasti	h AA e̞ AD r m o̞ AF s̠ t̪ u AF t̪ː ɑ AD ʋ AC ɑ AD s̠ t̪ i AD ʔ
hermosyy	h AA e̞ AD r m o̞ AF s̠ yː AG
hermosäie	h AA e̞ AD r m o̞ AF s̠ æ AD i̯ AB e̞ AD ʔ
hermosärky	h AA e̞ AD r m o̞ AF s̠ æ AD r k y AF
hermotauti	h AA e̞ AD r m o̞ AF t̪ ɑ AD u̯ AC t̪ i AD
hermoton	h AA e̞ AD r m o̞ AF t̪ o̞ AF n
hermotukikudoskasvain	h AA e̞ AD r m o̞ AF t̪ u AF k i AD k u AF d o̞ AF s̠ k ɑ AD s̠ ʋ AC ɑ AD i̯ AB n
hermotukisolu	h AA e̞ AD r m o̞ AF t̪ u AF k i AD s̠ o̞ AF l u AF
hermotuppi	h AA e̞ AD r m o̞ AF t̪ u AF pː i AD
hermoverkkotietokone	h AA e̞ AD r m o̞ AF ʋ AC e̞ AD r kː o̞ AF t̪ i AD e̞̯ t̪ o̞ AF k o̞ AF n e̞ AD ʔ
hermovälittäjäaine	h AA e̞ AD r m o̞ AF ʋ AC æ AD l i AD t̪ː æ AD j AB æ AD ɑ AD i̯ AB n e̞ AD ʔ
hermoväre	h AA e̞ AD r m o̞ AF ʋ AC æ AD r e̞ AD ʔ
hermoärsyke	h AA e̞ AD r m o̞ AF æ AD r s̠ y AF k e̞ AD ʔ
herne	h AA e̞ AD r n e̞ AD ʔ
herneenpalko	h AA e̞ AD r n e̞ː AE m p ɑ AD l k o̞ AF
herneenvarsi	h AA e̞ AD r n e̞ː AE n ʋ AC ɑ AD r s̠ i AD
herneenviljely	h AA e̞ AD r n e̞ː AE n ʋ AC i AD l j AB e̞ AD l y AF
herneinen	h AA e̞ AD r n e̞ AD i̯ AB n e̞ AD n
hernekasvi	h AA e̞ AD r n e̞ AD k̚ k ɑ AD s̠ ʋ AC i AD
hernekeitto	h AA e̞ AD r n e̞ AD k̚ k e̞ AD i̯ AB t̪ː o̞ AF
hernekeppi	h AA e̞ AD r n e̞ AD k̚ k e̞ AD pː i AD
hernekerttu	h AA e̞ AD r n e̞ AD k̚ k e̞ AD r t̪ː u AF
herneluu	h AA e̞ AD r n e̞ AD l l uː AG
hernepelto	h AA e̞ AD r n e̞ AD p̚ p e̞ AD l t̪ o̞ AF
hernepenkki	h AA e̞ AD r n e̞ AD p̚ p e̞ AD ŋ kː i AD
hernepensas	h AA e̞ AD r n e̞ AD p̚ p e̞ AD n s̠ ɑ AD s̠
hernepuuro	h AA e̞ AD r n e̞ AD p̚ p uː AG r o̞ AF
hernerokka	h AA e̞ AD r n e̞ AD r r o̞ AF kː ɑ AD
hernesara	h AA e̞ AD r n e̞ AD s̠ s̠ ɑ AD r ɑ AD
hernesimpukka	h AA e̞ AD r n e̞ AD s̠ s̠ i AD m p u AF kː ɑ AD
herneviljelmä	h AA e̞ AD r n e̞ AD ʋ AC ʋ AC i AD l j AB e̞ AD l m æ AD
