ᆜ	j AB ɯ AJ
디자이너	t AC i AJ d AC ʑ AL a̠ AJ i AJ n AF ʌ̹
디자인	t AC i AJ d AC ʑ AL a̠ AJ i AJ n AF
디저트	t AC i AJ d AC ʑ AL ʌ̹ tʰ AD ɯ AJ
디제이	t AC i AJ d AC ʑ AL e̞ AJ i AJ
디지털	t AC i AJ d AC ʑ AL i AJ tʰ AD ʌ̹ ɭ AN
디카	t AC i AJ kʰ AD a̠ AJ
딜	t AC i AJ ɭ AN
딜리	t AC i AJ ʎ AN ʎ AN i AJ
딩딩	t AC i AJ ŋ AF d AC i AJ ŋ AF
딮	t AC i AJ p̚
따깐	t͈ AC a̠ AJ k͈ AC a̠ AJ n AF
따님	t͈ AC a̠ AJ n AF i AJ m AE
따다	t͈ AC a̠ AJ d AC a̠ AJ
따뜻	t͈ AC a̠ AJ t͈ AC ɯ AJ t̚
따뜻하다	t͈ AC a̠ AJ t͈ AC ɯ AJ tʰ AD a̠ AJ d AC a̠ AJ
따라가다	t͈ AC a̠ AJ ɾ BA a̠ AJ ɡ AC a̠ AJ d AC a̠ AJ
따라서	t͈ AC a̠ AJ ɾ BA a̠ AJ sʰ BB ʌ̹
따라오다	t͈ AC a̠ AJ ɾ BA a̠ AJ o̞ AK d AC a̠ AJ
따라하다	t͈ AC a̠ AJ ɾ BA a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
따로	t͈ AC a̠ AJ ɾ BA o̞ AK
따르다	t͈ AC a̠ AJ ɾ BA ɯ AJ d AC a̠ AJ
따르릉	t͈ AC a̠ AJ ɾ BA ɯ AJ ɾ BA ɯ AJ ŋ AF
따름	t͈ AC a̠ AJ ɾ BA ɯ AJ m AE
따사롭다	t͈ AC a̠ AJ sʰ BB a̠ AJ ɾ BA o̞ AK p̚ t͈ AC a̠ AJ
따오기	t͈ AC a̠ AJ o̞ AK ɡ AC i AJ
따오다	t͈ AC a̠ AJ o̞ AK d AC a̠ AJ
따옴표	t͈ AC a̠ AJ o̞ AK m AE pʰ AH j AB o AK
따위	t͈ AC a̠ AJ ɥ AI i AJ
따이	t͈ AC a̠ AJ i AJ
따지다	t͈ AC a̠ AJ d AC ʑ AL i AJ d AC a̠ AJ
딱	t͈ AC a̠ AJ k̚
딱다그르르딱다그르르하다	t͈ AC a̠ AJ k̚ t͈ AC a̠ AJ ɡ AC ɯ AJ ɾ BA ɯ AJ ɾ BA ɯ AJ t͈ AC a̠ AJ k̚ t͈ AC a̠ AJ ɡ AC ɯ AJ ɾ BA ɯ AJ ɾ BA ɯ AJ ɦ AA a̠ AJ d AC a̠ AJ
딱딱하다	t͈ AC a̠ AJ k̚ t͈ AC a̠ AJ kʰ AD a̠ AJ d AC a̠ AJ
딱지	t͈ AC a̠ AJ k̚ t AC ɕ͈ i AJ
딴	t͈ AC a̠ AJ n AF
딸	t͈ AC a̠ AJ ɭ AN
딸기	t͈ AC a̠ː AJ ɭ AN ɡ AC i AJ
딸꾹질	t͈ AC a̠ AJ ɭ AN k͈ AC u AK k̚ t AC ɕ͈ i AJ ɭ AN
딸꾹질하다	t͈ AC a̠ AJ ɭ AN k͈ AC u AK k̚ t AC ɕ͈ i AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
딸딸이	t͈ AC a̠ AJ ɭ AN t͈ AC a̠ AJ ɾ BA i AJ
딸아들	t͈ AC a̠ AJ ɾ BA a̠ AJ d AC ɯ AJ ɭ AN
땀	t͈ AC a̠ AJ m AE
땃쥐	t͈ AC a̠ AJ t̚ t AC ɕ͈ ɥ AI i AJ
땅	t͈ AC a̠ AJ ŋ AF
땅감	t͈ AC a̠ AJ ŋ AF ɡ AC a̠ AJ m AE
땅거미	t͈ AC a̠ AJ ŋ AF ɡ AC ʌ̹ m AE i AJ
땅속길	t͈ AC a̠ AJ ŋ AF sʰ BB o̞ AK k̚ k͈ AC i AJ ɭ AN
땅콩	t͈ AC a̠ AJ ŋ AF kʰ AD o̞ AK ŋ AF
땅크	t͈ AC a̠ AJ ŋ AF k AC x AL ɯ AJ
땅크병	t͈ AC a̠ AJ ŋ AF k AC x AL ɯ AJ b AG j AB ʌ̹ ŋ AF
땋다	t͈ AC a̠ː AJ tʰ AD a̠ AJ
땔나무	t͈ AC ɛː AJ ɭ AN ɭ AN a̠ AJ m AE u AK
땜납	t͈ AC ɛː AJ m AE n AF a̠ AJ p̚
떠나가다	t͈ AC ʌ̹ n AF a̠ AJ ɡ AC a̠ AJ d AC a̠ AJ
떠나다	t͈ AC ʌ̹ n AF a̠ AJ d AC a̠ AJ
떠다니다	t͈ AC ʌ̹ d AC a̠ AJ n AF i AJ d AC a̠ AJ
떠돌다	t͈ AC ʌ̹ d AC o̞ AK ɭ AN d AC a̠ AJ
떠들다	t͈ AC ɘː AJ d AC ɯ AJ ɭ AN d AC a̠ AJ
떠들썩하다	t͈ AC ʌ̹ d AC ɯ AJ ɭ AN s͈ AL ʌ̹ kʰ AD a̠ AJ d AC a̠ AJ
떠벌리다	t͈ AC ʌ̹ b AG ʌ̹ ʎ AN ʎ AN i AJ d AC a̠ AJ
떠오르다	t͈ AC ʌ̹ o̞ AK ɾ BA ɯ AJ d AC a̠ AJ
떠올리다	t͈ AC ʌ̹ o̞ AK ʎ AN ʎ AN i AJ d AC a̠ AJ
떡	t͈ AC ʌ̹ k̚
떡국	t͈ AC ʌ̹ k̚ k͈ AC u AK k̚
떡볶이	t͈ AC ʌ̹ k̚ p͈ AG o̞ AK k͈ AC i AJ
떡붕어	t͈ AC ʌ̹ k̚ p͈ AG u AK ŋ AF ʌ̹
떨다	t͈ AC ɘː AJ ɭ AN d AC a̠ AJ
떨리다	t͈ AC ʌ̹ ʎ AN ʎ AN i AJ d AC a̠ AJ
떨어뜨리다	t͈ AC ʌ̹ ɾ BA ʌ̹ t͈ AC ɯ AJ ɾ BA i AJ d AC a̠ AJ
떨어지다	t͈ AC ʌ̹ ɾ BA ʌ̹ d AC ʑ AL i AJ d AC a̠ AJ
떨잠	t͈ AC ɘː AJ ʎ AN d AC ʑ AL a̠ AJ m AE
떨치다	t͈ AC ʌ̹ ʎ AN t AC ɕʰ BB i AJ d AC a̠ AJ
떫다	t͈ AC ɘː AJ ɭ AN t͈ AC a̠ AJ
떫디떫다	t͈ AC ɘː AJ ɭ AN t͈ AC i AJ t͈ AC ʌ̹ ɭ AN t͈ AC a̠ AJ
떰치	t͈ AC ʌ̹ m AE t AC ɕʰ BB i AJ
떳떳하다	t͈ AC ʌ̹ t̚ t͈ AC ʌ̹ tʰ AD a̠ AJ d AC a̠ AJ
떼	t͈ AC e̞ AJ
떼다	t͈ AC e̞ː AJ d AC a̠ AJ
떼아트르	t͈ AC e̞ AJ a̠ AJ tʰ AD ɯ AJ ɾ BA ɯ AJ
떼지어	t͈ AC e̞ AJ d AC ʑ AL i AJ ʌ̹
떼짓다	t͈ AC e̞ AJ d AC ʑ AL i AJ t̚ t͈ AC a̠ AJ
떽	t͈ AC e̞ AJ k̚
뗀노	t͈ AC e̞ AJ n AF n AF o̞ AK
뗏목	t͈ AC e̞ AJ n AF m AE o̞ AK k̚
또	t͈ AC o̞ AK
또는	t͈ AC o̞ AK n AF ɯ AJ n AF
또다시	t͈ AC o̞ AK d AC a̠ AJ ɕʰ BB i AJ
또한	t͈ AC o̞ AK ɦ AA a̠ AJ n AF
똑	t͈ AC o̞ AK k̚
똑같다	t͈ AC o̞ AK k̚ k͈ AC a̠ AJ t̚ t͈ AC a̠ AJ
똑같이	t͈ AC o̞ AK k̚ k͈ AC a̠ AJ t AC ɕʰ BB i AJ
똑똑	t͈ AC o̞ AK k̚ t͈ AC o̞ AK k̚
똑똑이	t͈ AC o̞ AK k̚ t͈ AC o̞ AK ɡ AC i AJ
똑똑하다	t͈ AC o̞ AK k̚ t͈ AC o̞ AK kʰ AD a̠ AJ d AC a̠ AJ
똑바로	t͈ AC o̞ AK k̚ p͈ AG a̠ AJ ɾ BA o̞ AK
똠얌	t͈ AC o̞ AK m AE j AB a̠ AJ m AE
똥	t͈ AC o̞ AK ŋ AF
똥구멍	t͈ AC o̞ AK ŋ AF k͈ AC u AK m AE ʌ̹ ŋ AF
똥남아	t͈ AC o̞ AK ŋ AF n AF a̠ AJ m AE a̠ AJ
똥싸다	t͈ AC o̞ AK ŋ AF s͈ AL a̠ AJ d AC a̠ AJ
똥양인	t͈ AC o̞ AK ŋ AF j AB a̠ AJ ŋ AF i AJ n AF
똥차	t͈ AC o̞ AK ŋ AF t AC ɕʰ BB a̠ AJ
똥침	t͈ AC o̞ AK ŋ AF t AC ɕʰ BB i AJ m AE
똥파리	t͈ AC o̞ AK ŋ AF pʰ AH a̠ AJ ɾ BA i AJ
뙤약볕	t͈ AC w AI e̞ AJ j AB a̠ AJ k̚ p͈ AG j AB ʌ̹ t̚
뚜껑	t͈ AC u AK k͈ AC ʌ̹ ŋ AF
뚜렷하다	t͈ AC u AK ɾ BA j AB ʌ̹ tʰ AD a̠ AJ d AC a̠ AJ
뚝뚝하다	t͈ AC u AK k̚ t͈ AC u AK kʰ AD a̠ AJ d AC a̠ AJ
뚝섬	t͈ AC u AK k AC s͈ AL ʌ̹ m AE
뚫다	t͈ AC u AK ɭ AN tʰ AD a̠ AJ
뚫리다	t͈ AC u AK ʎ AN ʎ AN i AJ d AC a̠ AJ
뚱뚱하다	t͈ AC u AK ŋ AF t͈ AC u AK ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
뛰다	t͈ AC ɥ AI i AJ d AC a̠ AJ
뛰르끼예	t͈ AC ɥ AI i AJ ɾ BA ɯ AJ k͈ AC i AJ j AB e̞ AJ
뛰어가다	t͈ AC ɥ AI i AJ ʌ̹ ɡ AC a̠ AJ d AC a̠ AJ
뛰어나다	t͈ AC ɥ AI i AJ ʌ̹ n AF a̠ AJ d AC a̠ AJ
뛰어넘다	t͈ AC ɥ AI i AJ ʌ̹ n AF ʌ̹ m AE t͈ AC a̠ AJ
뛰어다니다	t͈ AC ɥ AI i AJ ʌ̹ d AC a̠ AJ n AF i AJ d AC a̠ AJ
뛰어들다	t͈ AC ɥ AI i AJ ʌ̹ d AC ɯ AJ ɭ AN d AC a̠ AJ
뜨거워지다	t͈ AC ɯ AJ ɡ AC ʌ̹ w AI ʌ̹ d AC ʑ AL i AJ d AC a̠ AJ
뜨겁다	t͈ AC ɯ AJ ɡ AC ʌ̹ p̚ t͈ AC a̠ AJ
뜨다	t͈ AC ɯ AJ d AC a̠ AJ
뜨락또르	t͈ AC ɯ AJ ɾ BA a̠ AJ k̚ t͈ AC o̞ AK ɾ BA ɯ AJ
뜨리다	t͈ AC ɯ AJ ɾ BA i AJ d AC a̠ AJ
뜬소문	t͈ AC ɯ AJ n AF sʰ BB o̞ AK m AE u AK n AF
뜯기	t͈ AC ɯ AJ t̚ k͈ AC i AJ
뜯다	t͈ AC ɯ AJ t̚ t͈ AC a̠ AJ
뜰	t͈ AC ɯ AJ ɭ AN
뜸하다	t͈ AC ɯ AJ m AE ɦ AA a̠ AJ d AC a̠ AJ
뜻	t͈ AC ɯ AJ t̚
뜻밖	t͈ AC ɯ AJ t̚ p͈ AG a̠ AJ k̚
뜻밖에	t͈ AC ɯ AJ t̚ p͈ AG a̠ AJ k͈ AC e̞ AJ
뜻하다	t͈ AC ɯ AJ tʰ AD a̠ AJ d AC a̠ AJ
띄다	t͈ AC iː AJ d AC a̠ AJ
띄어쓰기	t͈ AC i AJ ʌ̹ s͈ AL ɯ AJ ɡ AC i AJ
띠	t͈ AC i AJ
띠걸이	t͈ AC i AJ ɡ AC ʌ̹ ɾ BA i AJ
띠다	t͈ AC iː AJ d AC a̠ AJ
띠동갑	t͈ AC i AJ d AC o̞ AK ŋ AF ɡ AC a̠ AJ p̚
띠무늬물범	t͈ AC i AJ m AE u AK n AF i AJ m AE u AK ɭ AN b AG ʌ̹ m AE
띠앗	t͈ AC i AJ a̠ AJ t̚
띵띵	t͈ AC i AJ ŋ AF t͈ AC i AJ ŋ AF
띵호아	t͈ AC i AJ ŋ AF β AM o̞ AK a̠ AJ
라고	ɾ BA a̠ AJ ɡ AC o̞ AK
라고스	ɾ BA a̠ AJ ɡ AC o̞ AK sʰ BB ɯ AJ
라니	ɾ BA a̠ AJ n AF i AJ
라돈	ɾ BA a̠ AJ d AC o̞ AK n AF
라듐	ɾ BA a̠ AJ d AC j AB u AK m AE
라디에이터	ɾ BA a̠ AJ d AC i AJ e̞ AJ i AJ tʰ AD ʌ̹
라디오	ɾ BA a̠ AJ d AC i AJ o̞ AK
라마	ɾ BA a̠ AJ m AE a̠ AJ
라며	ɾ BA a̠ AJ m AE j AB ʌ̹
라면	ɾ BA a̠ AJ m AE j AB ʌ̹ n AF
라바트	ɾ BA a̠ AJ b AG a̠ AJ tʰ AD ɯ AJ
라벨	ɾ BA a̠ AJ b AG e̞ AJ ɭ AN
라볶이	ɾ BA a̠ AJ b AG o̞ AK k͈ AC i AJ
라비올리	ɾ BA a̠ AJ b AG i AJ o̞ AK ʎ AN ʎ AN i AJ
라서	ɾ BA a̠ AJ sʰ BB ʌ̹
라선	ɾ BA a̠ AJ sʰ BB ʌ̹ n AF
라선특별시	ɾ BA a̠ AJ sʰ BB ʌ̹ n AF tʰ AD ɯ AJ k̚ p͈ AG j AB ʌ̹ ɭ AN ɕʰ BB i AJ
라오스	ɾ BA a̠ AJ o̞ AK sʰ BB ɯ AJ
라오어	ɾ BA a̠ AJ o̞ AK ʌ̹
라우	ɾ BA a̠ AJ u AK
라우터	ɾ BA a̠ AJ u AK tʰ AD ʌ̹
라운지	ɾ BA a̠ AJ u AK ɲ AF d AC ʑ AL i AJ
라이벌	ɾ BA a̠ AJ i AJ b AG ʌ̹ ɭ AN
라이베리아	ɾ BA a̠ AJ i AJ b AG e̞ AJ ɾ BA i AJ a̠ AJ
라이선스	ɾ BA a̠ AJ i AJ sʰ BB ʌ̹ n AF sʰ BB ɯ AJ
라이터	ɾ BA a̠ AJ i AJ tʰ AD ʌ̹
라이터돌	ɾ BA a̠ AJ i AJ tʰ AD ʌ̹ d AC o̞ AK ɭ AN
라이트세이버	ɾ BA a̠ AJ i AJ tʰ AD ɯ AJ sʰ BB e̞ AJ i AJ b AG ʌ̹
라이플	ɾ BA a̠ AJ i AJ pʰ AH ɯ AJ ɭ AN
라인	ɾ BA a̠ AJ i AJ n AF
라임	ɾ BA a̠ AJ i AJ m AE
라자냐	ɾ BA a̠ AJ d AC ʑ AL a̠ AJ ɲ AF j AB a̠ AJ
라지오	ɾ BA a̠ AJ d AC ʑ AL i AJ o̞ AK
라침반	ɾ BA a̠ AJ t AC ɕʰ BB i AJ m AE b AG a̠ AJ n AF
라트비아	ɾ BA a̠ AJ tʰ AD ɯ AJ b AG i AJ a̠ AJ
라트비아어	ɾ BA a̠ AJ tʰ AD ɯ AJ b AG i AJ a̠ AJ ʌ̹
라틴	ɾ BA a̠ AJ tʰ AD i AJ n AF
라파스	ɾ BA a̠ AJ pʰ AH a̠ AJ sʰ BB ɯ AJ
라파엘	ɾ BA a̠ AJ pʰ AH a̠ AJ e̞ AJ ɭ AN
라한	ɾ BA a̠ AJ ɦ AA a̠ AJ n AF
락	ɾ BA a̠ AJ k̚
락사	ɾ BA a̠ AJ k AC s͈ AL a̠ AJ
락타	ɾ BA a̠ AJ k̚ tʰ AD a̠ AJ
란	ɾ BA a̠ AJ n AF
란제리	ɾ BA a̠ AJ ɲ AF d AC ʑ AL e̞ AJ ɾ BA i AJ
란타넘	ɾ BA a̠ AJ n AF tʰ AD a̠ AJ n AF ʌ̹ m AE
람	ɾ BA a̠ AJ m AE
랍	ɾ BA a̠ AJ p̚
랍비	ɾ BA a̠ AJ p̚ p͈ AG i AJ
랍치	ɾ BA a̠ AJ p̚ t AC ɕʰ BB i AJ
랑	ɾ BA a̠ AJ ŋ AF
랭면	ɾ BA ɛː AJ ŋ AF m AE j AB ʌ̹ n AF
랭장고	ɾ BA ɛː AJ ŋ AF d AC ʑ AL a̠ AJ ŋ AF ɡ AC o̞ AK
랴오닝	ɾ BA j AB a̠ AJ o̞ AK n AF i AJ ŋ AF
략어	ɾ BA j AB a̠ AJ ɡ AC ʌ̹
량	ɾ BA j AB a̠ AJ ŋ AF
량강도	ɾ BA j AB a̠ AJ ŋ AF ɡ AC a̠ AJ ŋ AF d AC o̞ AK
량반	ɾ BA j AB a̠ AJ ŋ AF b AG a̠ AJ n AF
량심	ɾ BA j AB a̠ AJ ŋ AF ɕʰ BB i AJ m AE
러더포듐	ɾ BA ʌ̹ d AC ʌ̹ pʰ AH o̞ AK d AC j AB u AK m AE
러브호텔	ɾ BA ʌ̹ b AG ɯ AJ β AM o̞ AK tʰ AD e̞ AJ ɭ AN
러시아	ɾ BA ʌ̹ ɕʰ BB i AJ a̠ AJ
러시아말	ɾ BA ʌ̹ ɕʰ BB i AJ a̠ AJ m AE a̠ AJ ɭ AN
러시아어	ɾ BA ʌ̹ ɕʰ BB i AJ a̠ AJ ʌ̹
러시아인	ɾ BA ʌ̹ ɕʰ BB i AJ a̠ AJ i AJ n AF
럭비	ɾ BA ʌ̹ k̚ p͈ AG i AJ
런던	ɾ BA ʌ̹ n AF d AC ʌ̹ n AF
럼	ɾ BA ʌ̹ m AE
레	ɾ BA e̞ AJ
레늄	ɾ BA e̞ AJ ɲ AF j AB u AK m AE
레닌그라드	ɾ BA e̞ AJ n AF i AJ n AF ɡ AC ɯ AJ ɾ BA a̠ AJ d AC ɯ AJ
레루	ɾ BA e̞ː AJ ɾ BA u AK
레몬	ɾ BA e̞ AJ m AE o̞ AK n AF
레바논	ɾ BA e̞ AJ b AG a̠ AJ n AF o̞ AK n AF
레소토	ɾ BA e̞ AJ sʰ BB o̞ AK tʰ AD o̞ AK
레스토랑	ɾ BA e̞ AJ sʰ BB ɯ AJ tʰ AD o̞ AK ɾ BA a̠ AJ ŋ AF
레슬링	ɾ BA e̞ AJ sʰ BB ɯ AJ ʎ AN ʎ AN i AJ ŋ AF
레악토르	ɾ BA e̞ AJ a̠ AJ k̚ tʰ AD o̞ AK ɾ BA ɯ AJ
레알리즘	ɾ BA e̞ AJ a̠ AJ ʎ AN ʎ AN i AJ d AC ʑ AL ɯ AJ m AE
레위기	ɾ BA e̞ AJ ɥ AI i AJ ɡ AC i AJ
레위니옹	ɾ BA e̞ AJ ɥ AI i AJ n AF i AJ o̞ AK ŋ AF
레이스	ɾ BA e̞ AJ i AJ sʰ BB ɯ AJ
레이저	ɾ BA e̞ AJ i AJ d AC ʑ AL ʌ̹
레인지	ɾ BA e̞ AJ i AJ ɲ AF d AC ʑ AL i AJ
레일	ɾ BA e̞ AJ i AJ ɭ AN
레즈비언	ɾ BA e̞ AJ d AC ʑ AL ɯ AJ b AG i AJ ʌ̹ n AF
레코드	ɾ BA e̞ AJ kʰ AD o̞ AK d AC ɯ AJ
레퍼토리	ɾ BA e̞ AJ pʰ AH ʌ̹ tʰ AD o̞ AK ɾ BA i AJ
렉	ɾ BA e̞ AJ k̚
렌즈	ɾ BA e̞ AJ ɲ AF d AC ʑ AL ɯ AJ
려	ɾ BA j AB ʌ̹
려관	ɾ BA j AB ʌ̹ ɡ AC w AI a̠ AJ n AF
려권	ɾ BA j AB ʌ̹ ɡ AC w AI ʌ̹ n AF
력	ɾ BA j AB ʌ̹ k̚
력사	ɾ BA j AB ʌ̹ k AC s͈ AL a̠ AJ
련	ɾ BA j AB ʌ̹ n AF
련락	ɾ BA j AB ʌ̹ ɭ AN ɭ AN a̠ AJ k̚
련방	ɾ BA j AB ʌ̹ n AF b AG a̠ AJ ŋ AF
련습	ɾ BA j AB ɘː AJ n AF sʰ BB ɯ AJ p̚
련합	ɾ BA j AB ʌ̹ n AF ɦ AA a̠ AJ p̚
렬도	ɾ BA j AB ʌ̹ ɭ AN t͈ AC o̞ AK
렬차	ɾ BA j AB ʌ̹ ʎ AN t AC ɕʰ BB a̠ AJ
렴	ɾ BA j AB ʌ̹ m AE
령	ɾ BA j AB ʌ̹ ŋ AF
령도자	ɾ BA j AB ʌ̹ ŋ AF d AC o̞ AK d AC ʑ AL a̠ AJ
령사	ɾ BA j AB ʌ̹ ŋ AF sʰ BB a̠ AJ
례	ɾ BA j AB e̞ AJ
례절	ɾ BA j AB e̞ AJ d AC ʑ AL ʌ̹ ɭ AN
로	ɾ BA o̞ AK
로고	ɾ BA o̞ AK ɡ AC o̞ AK
로국	ɾ BA o̞ AK ɡ AC u AK k̚
로그	ɾ BA o̞ AK ɡ AC ɯ AJ
로그아웃	ɾ BA o̞ AK ɡ AC ɯ AJ a̠ AJ u AK t̚
로그인	ɾ BA o̞ AK ɡ AC ɯ AJ i AJ n AF
로동	ɾ BA o̞ AK d AC o̞ AK ŋ AF
로동계급	ɾ BA o̞ AK d AC o̞ AK ŋ AF ɡ AC j AB e̞ AJ ɡ AC ɯ AJ p̚
로동자구	ɾ BA o̞ AK d AC o̞ AK ŋ AF d AC ʑ AL a̠ AJ ɡ AC u AK
로듐	ɾ BA o̞ AK d AC j AB u AK m AE
로또	ɾ BA o̞ AK t͈ AC o̞ AK
로렌슘	ɾ BA o̞ AK ɾ BA e̞ AJ n AF ɕʰ BB u AK m AE
로마	ɾ BA o̞ AK m AE a̠ AJ
로마자	ɾ BA o̞ AK m AE a̠ AJ d AC ʑ AL a̠ AJ
로망	ɾ BA o̞ AK m AE a̠ AJ ŋ AF
로망스	ɾ BA o̞ AK m AE a̠ AJ ŋ AF sʰ BB ɯ AJ
로메	ɾ BA o̞ AK m AE e̞ AJ
로므니아	ɾ BA o̞ AK m AE ɯ AJ n AF i AJ a̠ AJ
로보트	ɾ BA o̞ AK b AG o̞ AK tʰ AD ɯ AJ
로봇	ɾ BA o̞ AK b AG o̞ AK t̚
로사리오	ɾ BA o̞ AK sʰ BB a̠ AJ ɾ BA i AJ o̞ AK
로션	ɾ BA o̞ AK ɕʰ BB ʌ̹ n AF
로씨야	ɾ BA o̞ AK ɕ͈ i AJ j AB a̠ AJ
로씨야말	ɾ BA o̞ AK ɕ͈ i AJ j AB a̠ AJ m AE a̠ AJ ɭ AN
로씨야인	ɾ BA o̞ AK ɕ͈ i AJ j AB a̠ AJ i AJ n AF
로어	ɾ BA o̞ AK ʌ̹
로조	ɾ BA o̞ AK d AC ʑ AL o̞ AK
로천	ɾ BA o̞ AK t AC ɕʰ BB ʌ̹ n AF
로켓	ɾ BA o̞ AK kʰ AD e̞ AJ t̚
로텔레	ɾ BA o̞ AK tʰ AD e̞ AJ ɭ AN ɭ AN e̞ AJ
로토	ɾ BA o̞ AK tʰ AD o̞ AK
로티니	ɾ BA o̞ AK tʰ AD i AJ n AF i AJ
로획	ɾ BA o̞ AK β AM w AI e̞ AJ k̚
록	ɾ BA o̞ AK k̚
롤	ɾ BA o̞ AK ɭ AN
롤러코스터	ɾ BA o̞ AK ɭ AN ɭ AN ʌ̹ kʰ AD o̞ AK sʰ BB ɯ AJ tʰ AD ʌ̹
롭다	ɾ BA o̞ AK p̚ t͈ AC a̠ AJ
롯	ɾ BA o̞ AK t̚
롱담	ɾ BA o̞ː AK ŋ AF d AC a̠ AJ m AE
뢰	ɾ BA w AI e̞ AJ
뢴트게늄	ɾ BA w AI e̞ AJ n AF tʰ AD ɯ AJ ɡ AC e̞ AJ ɲ AF j AB u AK m AE
뢴트겐	ɾ BA w AI e̞ AJ n AF tʰ AD ɯ AJ ɡ AC e̞ AJ n AF
료	ɾ BA j AB o AK
료금	ɾ BA j AB oː AK ɡ AC ɯ AJ m AE
료리	ɾ BA j AB o AK ɾ BA i AJ
료법	ɾ BA j AB o AK b AG ʌ̹ p̚
룔	ɾ BA j AB o AK ɭ AN
룘	ɾ BA j AB o AK ɭ AN
룙	ɾ BA j AB o AK ɭ AN
룡	ɾ BA j AB o AK ŋ AF
루	ɾ BA u AK
루마니아	ɾ BA u AK m AE a̠ AJ n AF i AJ a̠ AJ
루마니아어	ɾ BA u AK m AE a̠ AJ n AF i AJ a̠ AJ ʌ̹
루머	ɾ BA u AK m AE ʌ̹
루멘	ɾ BA u AK m AE e̞ AJ n AF
루므니야	ɾ BA u AK m AE ɯ AJ n AF i AJ j AB a̠ AJ
루바슈카	ɾ BA u AK b AG a̠ AJ ɕʰ BB u AK kʰ AD a̠ AJ
루블	ɾ BA u AK b AG ɯ AJ ɭ AN
루비듐	ɾ BA u AK b AG i AJ d AC j AB u AK m AE
루사카	ɾ BA u AK sʰ BB a̠ AJ kʰ AD a̠ AJ
루시	ɾ BA u AK ɕʰ BB i AJ
루시퍼	ɾ BA u AK ɕʰ BB i AJ pʰ AH ʌ̹
루안다	ɾ BA u AK a̠ AJ n AF d AC a̠ AJ
루저	ɾ BA u AK d AC ʑ AL ʌ̹
루카	ɾ BA u AK kʰ AD a̠ AJ
루테늄	ɾ BA u AK tʰ AD e̞ AJ ɲ AF j AB u AK m AE
루테튬	ɾ BA u AK tʰ AD e̞ AJ tʰ AD j AB u AK m AE
루페	ɾ BA u AK pʰ AH e̞ AJ
루프	ɾ BA u AK pʰ AH ɯ AJ
룩	ɾ BA u AK k̚
룩셈부르크	ɾ BA u AK k AC s͈ AL e̞ AJ m AE b AG u AK ɾ BA ɯ AJ k AC x AL ɯ AJ
룰렛	ɾ BA u AK ɭ AN ɭ AN e̞ AJ t̚
룸메이트	ɾ BA u AK m AE m AE e̞ AJ i AJ tʰ AD ɯ AJ
류블랴나	ɾ BA j AB u AK b AG ɯ AJ ʎ AN ʎ AN j AB a̠ AJ n AF a̠ AJ
류월	ɾ BA j AB u AK w AI ʌ̹ ɭ AN
류음	ɾ BA j AB u AK ɯ AJ m AE
류형	ɾ BA j AB uː AK ʝ AL j AB ʌ̹ ŋ AF
륙	ɾ BA j AB u AK k̚
륙십	ɾ BA j AB u AK k AC ɕ͈ i AJ p̚
륙지	ɾ BA j AB u AK k̚ t AC ɕ͈ i AJ
르네상스	ɾ BA ɯ AJ n AF e̞ AJ sʰ BB a̠ AJ ŋ AF sʰ BB ɯ AJ
르완다	ɾ BA ɯ AJ w AI a̠ AJ n AF d AC a̠ AJ
륵	ɾ BA ɯ AJ k̚
를	ɾ BA ɯ AJ ɭ AN
릉	ɾ BA ɯ AJ ŋ AF
리	ɾ BA i AJ
리가	ɾ BA i AJ ɡ AC a̠ AJ
리가토니	ɾ BA i AJ ɡ AC a̠ AJ tʰ AD o̞ AK n AF i AJ
리그	ɾ BA i AJ ɡ AC ɯ AJ
리눅스	ɾ BA i AJ n AF u AK k AC s͈ AL ɯ AJ
리더	ɾ BA i AJ d AC ʌ̹
리두	ɾ BA iː AJ d AC u AK
리듬	ɾ BA i AJ d AC ɯ AJ m AE
리똬	ɾ BA i AJ t͈ AC w AI a̠ AJ
리모넨	ɾ BA i AJ m AE o̞ AK n AF e̞ AJ n AF
리모컨	ɾ BA i AJ m AE o̞ AK kʰ AD ʌ̹ n AF
리무진	ɾ BA i AJ m AE u AK d AC ʑ AL i AJ n AF
리믹스	ɾ BA i AJ m AE i AJ k AC s͈ AL ɯ AJ
리버모륨	ɾ BA i AJ b AG ʌ̹ m AE o̞ AK ɾ BA j AB u AK m AE
리본	ɾ BA i AJ b AG o̞ AK n AF
리브르빌	ɾ BA i AJ b AG ɯ AJ ɾ BA ɯ AJ b AG i AJ ɭ AN
리비도	ɾ BA i AJ b AG i AJ d AC o̞ AK
리비아	ɾ BA i AJ b AG i AJ a̠ AJ
리셉션	ɾ BA i AJ s͈ AL e̞ AJ p AG ɕ͈ ʌ̹ n AF
리스본	ɾ BA i AJ sʰ BB ɯ AJ b AG o̞ AK n AF
리야드	ɾ BA i AJ j AB a̠ AJ d AC ɯ AJ
리어카	ɾ BA i AJ ʌ̹ kʰ AD a̠ AJ
리얼	ɾ BA i AJ ʌ̹ ɭ AN
