'tain	t ɛ̃ AM
braconnière	b ʁ a AC k ɔ AF n j AA ɛ AD ʁ
braconnières	b ʁ a AC k ɔ AF n j AA ɛ AD ʁ
braconnons	b ʁ a AC k ɔ AF n ɔ̃ BA
braconnâmes	b ʁ a AC k ɔ AF n ɑ AK m
braconnât	b ʁ a AC k ɔ AF n ɑ AK
braconnâtes	b ʁ a AC k ɔ AF n ɑ AK t
braconnèrent	b ʁ a AC k ɔ AF n ɛ AD ʁ
braconné	b ʁ a AC k ɔ AF n e AD
brader	b ʁ a AC d e AD
braguette	b ʁ a AC ɡ ɛ AD t
braie	b ʁ ɛ AD
braies	b ʁ ɛ AD
brailler	b ʁ ɑ AK j AA e AD
braiment	b ʁ ɛ AD m ɑ̃ BB
braire	b ʁ ɛ AD ʁ
braires	b ʁ ɛ AD ʁ
braisa	b ʁ ɛ AD z a AC
braisai	b ʁ ɛ AD z e AD
braisaient	b ʁ ɛ AD z ɛ AD
braisais	b ʁ ɛ AD z ɛ AD
braisait	b ʁ ɛ AD z ɛ AD
braisant	b ʁ ɛ AD z ɑ̃ BB
braisas	b ʁ ɛ AD z ɑ AK
braisasse	b ʁ ɛ AD z a AC s
braisassent	b ʁ ɛ AD z a AC s
braisasses	b ʁ ɛ AD z a AC s
braisassiez	b ʁ ɛ AD z a AC s j AA e AD
braisassions	b ʁ ɛ AD z a AC s j AA ɔ̃ BA
braise	b ʁ ɛ AD z
braisent	b ʁ ɛ AD z
braiser	b ʁ ɛ AD z e AD
braisera	b ʁ ɛ AD z ʁ a AC
braiserai	b ʁ ɛ AD z ʁ e AD
braiseraient	b ʁ ɛ AD z ʁ ɛ AD
braiserais	b ʁ ɛ AD z ʁ ɛ AD
braiserait	b ʁ ɛ AD z ʁ ɛ AD
braiseras	b ʁ ɛ AD z ʁ ɑ AK
braiserez	b ʁ ɛ AD z ʁ e AD
braiseriez	b ʁ ɛ AD z ə AJ ʁ j AA e AD
braiserions	b ʁ ɛ AD z ə AJ ʁ j AA ɔ̃ BA
braiserons	b ʁ ɛ AD z ʁ ɔ̃ BA
braiseront	b ʁ ɛ AD z ʁ ɔ̃ BA
braises	b ʁ ɛ AD z
braisez	b ʁ ɛ AD z e AD
braisiez	b ʁ ɛ AD z j AA e AD
braisions	b ʁ ɛ AD z j AA ɔ̃ BA
braisons	b ʁ ɛ AD z ɔ̃ BA
braisâmes	b ʁ ɛ AD z ɑ AK m
braisât	b ʁ ɛ AD z ɑ AK
braisâtes	b ʁ ɛ AD z ɑ AK t
braisèrent	b ʁ ɛ AD z ɛ AD ʁ
braisé	b ʁ ɛ AD z e AD
brama	b ʁ a AC m a AC
bramai	b ʁ a AC m e AD
bramant	b ʁ a AC m ɑ̃ BB
bramas	b ʁ a AC m a AC
brame	b ʁ a AC m
brament	b ʁ a AC m
bramer	b ʁ a AC m e AD
brames	b ʁ a AC m
bramez	b ʁ a AC m e AD
bramât	b ʁ a AC m a AC
bramé	b ʁ a AC m e AD
bramée	b ʁ a AC m e AD
bramées	b ʁ a AC m e AD
bramés	b ʁ a AC m e AD
brancard	b ʁ ɑ̃ BB k a AC ʁ
branche	b ʁ ɑ̃ BB ʃ
brancher	b ʁ ɑ̃ BB ʃ e AD
branchie	b ʁ ɑ̃ BB ʃ i AE
branchies	b ʁ ɑ̃ BB ʃ i AE
branché	b ʁ ɑ̃ BB ʃ e AD
branco	b ʁ ɑ̃ BB k o AF
brandebourg	b ʁ ɑ̃ BB d b u AG ʁ
brandestoc	b ʁ ɑ̃ BB d ɛ AD s t ɔ AF k
brandi	b ʁ ɑ̃ BB d i AE
brandir	b ʁ ɑ̃ BB d i AE ʁ
brandira	b ʁ ɑ̃ BB d i AE ʁ a AC
brandirai	b ʁ ɑ̃ BB d i AE ʁ e AD
brandiraient	b ʁ ɑ̃ BB d i AE ʁ ɛ AD
brandirais	b ʁ ɑ̃ BB d i AE ʁ ɛ AD
brandirait	b ʁ ɑ̃ BB d i AE ʁ ɛ AD
brandiras	b ʁ ɑ̃ BB d i AE ʁ ɑ AK
brandirent	b ʁ ɑ̃ BB d i AE ʁ
brandirez	b ʁ ɑ̃ BB d i AE ʁ e AD
brandiriez	b ʁ ɑ̃ BB d i AE ʁ j AA e AD
brandirions	b ʁ ɑ̃ BB d i AE ʁ j AA ɔ̃ BA
brandirons	b ʁ ɑ̃ BB d i AE ʁ ɔ̃ BA
brandiront	b ʁ ɑ̃ BB d i AE ʁ ɔ̃ BA
brandis	b ʁ ɑ̃ BB d i AE
brandissaient	b ʁ ɑ̃ BB d i AE s ɛ AD
brandissais	b ʁ ɑ̃ BB d i AE s ɛ AD
brandissait	b ʁ ɑ̃ BB d i AE s ɛ AD
brandisse	b ʁ ɑ̃ BB d i AE s
brandissent	b ʁ ɑ̃ BB d i AE s
brandisses	b ʁ ɑ̃ BB d i AE s
brandissez	b ʁ ɑ̃ BB d i AE s e AD
brandissiez	b ʁ ɑ̃ BB d i AE s j AA e AD
brandissions	b ʁ ɑ̃ BB d i AE s j AA ɔ̃ BA
brandissons	b ʁ ɑ̃ BB d i AE s ɔ̃ BA
brandit	b ʁ ɑ̃ BB d i AE
brandon	b ʁ ɑ̃ BB d ɔ̃ BA
branduit	b ʁ ɑ̃ BB d ɥ AN i AE
brandîmes	b ʁ ɑ̃ BB d i AE m
brandît	b ʁ ɑ̃ BB d i AE
brandîtes	b ʁ ɑ̃ BB d i AE t
branlage	b ʁ ɑ̃ BB l a AC ʒ
branle	b ʁ ɑ̃ BB l
branler	b ʁ ɑ̃ BB l e AD
branlette	b ʁ ɑ̃ BB l ɛ AD t
branleur	b ʁ ɑ̃ BB l œ AI ʁ
branlocher	b ʁ ɑ̃ BB l ɔ AF ʃ e AD
braqua	b ʁ a AC k a AC
braquage	b ʁ a AC k a AC ʒ
braquai	b ʁ a AC k e AD
braquaient	b ʁ a AC k ɛ AD
braquais	b ʁ a AC k ɛ AD
braquait	b ʁ a AC k ɛ AD
braquant	b ʁ a AC k ɑ̃ BB
braquas	b ʁ a AC k ɑ AK
braquasse	b ʁ a AC k a AC s
braquassent	b ʁ a AC k a AC s
braquasses	b ʁ a AC k a AC s
braquassiez	b ʁ a AC k a AC s j AA e AD
braquassions	b ʁ a AC k a AC s j AA ɔ̃ BA
braque	b ʁ a AC k
braquent	b ʁ a AC k
braquer	b ʁ a AC k e AD
braquera	b ʁ a AC k ʁ a AC
braquerai	b ʁ a AC k ʁ e AD
braqueraient	b ʁ a AC k ʁ ɛ AD
braquerais	b ʁ a AC k ʁ ɛ AD
braquerait	b ʁ a AC k ʁ ɛ AD
braqueras	b ʁ a AC k ʁ ɑ AK
braquerez	b ʁ a AC k ʁ e AD
braqueriez	b ʁ a AC k ə AJ ʁ j AA e AD
braquerions	b ʁ a AC k ə AJ ʁ j AA ɔ̃ BA
braquerons	b ʁ a AC k ʁ ɔ̃ BA
braqueront	b ʁ a AC k ʁ ɔ̃ BA
braques	b ʁ a AC k
braquez	b ʁ a AC k e AD
braquiez	b ʁ a AC k j AA e AD
braquions	b ʁ a AC k j AA ɔ̃ BA
braquons	b ʁ a AC k ɔ̃ BA
braquâmes	b ʁ a AC k ɑ AK m
braquât	b ʁ a AC k ɑ AK
braquâtes	b ʁ a AC k ɑ AK t
braquèrent	b ʁ a AC k ɛ AD ʁ
braqué	b ʁ a AC k e AD
bras	b ʁ ɑ AK
brasa	b ʁ a AC z a AC
brasai	b ʁ a AC z e AD
brasaient	b ʁ a AC z ɛ AD
brasais	b ʁ a AC z ɛ AD
brasait	b ʁ a AC z ɛ AD
brasant	b ʁ a AC z ɑ̃ BB
brasas	b ʁ a AC z ɑ AK
brasasse	b ʁ a AC z a AC s
brasassent	b ʁ a AC z a AC s
brasasses	b ʁ a AC z a AC s
brasassiez	b ʁ a AC z a AC s j AA e AD
brasassions	b ʁ a AC z a AC s j AA ɔ̃ BA
brase	b ʁ a AC z
brasent	b ʁ a AC z
braser	b ʁ ɑ AK z e AD
brasera	b ʁ a AC z ʁ a AC
braserai	b ʁ a AC z ʁ e AD
braseraient	b ʁ a AC z ʁ ɛ AD
braserais	b ʁ a AC z ʁ ɛ AD
braserait	b ʁ a AC z ʁ ɛ AD
braseras	b ʁ a AC z ʁ ɑ AK
braserez	b ʁ a AC z ʁ e AD
braseriez	b ʁ a AC z ə AJ ʁ j AA e AD
braserions	b ʁ a AC z ə AJ ʁ j AA ɔ̃ BA
brasero	b ʁ a AC z e AD ʁ o AF
braserons	b ʁ a AC z ʁ ɔ̃ BA
braseront	b ʁ a AC z ʁ ɔ̃ BA
brases	b ʁ a AC z
brasez	b ʁ a AC z e AD
brasier	b ʁ ɑ AK z j AA e AD
brasiez	b ʁ a AC z j AA e AD
brasions	b ʁ a AC z j AA ɔ̃ BA
brasons	b ʁ a AC z ɔ̃ BA
brassard	b ʁ a AC s a AC ʁ
brasse	b ʁ a AC s
brasser	b ʁ a AC s e AD
brasserie	b ʁ a AC s ʁ i AE
brasseur	b ʁ a AC s œ AI ʁ
brasseuse	b ʁ a AC s ø AI z
brassicole	b ʁ a AC s i AE k ɔ AF l
brassière	b ʁ a AC s j AA ɛ AD ʁ
brassée	b ʁ a AC s e AD
brasâmes	b ʁ a AC z ɑ AK m
brasât	b ʁ a AC z ɑ AK
brasâtes	b ʁ a AC z ɑ AK t
brasèrent	b ʁ a AC z ɛ AD ʁ
brasé	b ʁ a AC z e AD
brave	b ʁ a AC v
braver	b ʁ a AC v e AD
braves	b ʁ a AC v
bravo	b ʁ a AC v o AF
bravoure	b ʁ a AC v u AG ʁ
break	b ʁ ɛ AD k
breakdance	b ʁ ɛ AD k d ɑ̃ BB s
breaker	b ʁ ɛ AD k œ AI ʁ
brebis	b ʁ ə AJ b i AE
bredouille	b ʁ ə AJ d u AG j AA
bredouiller	b ʁ ə AJ d u AG j AA e AD
bref	b ʁ ɛ AD f
brelan	b ʁ ə AJ l ɑ̃ BB
breloque	b ʁ ə AJ l ɔ AF k
brest	b ʁ ɛ AD s t
bretagne	b ʁ ə AJ t a AC ɲ
bretelle	b ʁ ə AJ t ɛ AD l
bretelles	b ʁ ə AJ t ɛ AD l
breton	b ʁ ə AJ t ɔ̃ BA
bretonnante	b ʁ ə AJ t ɔ AF n ɑ̃ BB t
bretonne	b ʁ ə AJ t ɔ AF n
bretonner	b ʁ ə AJ t ɔ AF n e AD
bretonnes	b ʁ ə AJ t ɔ AF n
bretons	b ʁ ə AJ t ɔ̃ BA
brette	b ʁ ɛ AD t
bretzel	b ʁ ɛ AD t s ɛ AD l
breuil	b ʁ œ AI j AA
breuvage	b ʁ œ AI v a AC ʒ
brevet	b ʁ ə AJ v ɛ AD
breveter	b ʁ ɛ AD v t e AD
breveté	b ʁ ə AJ v ə AJ t e AD
brexit	b ʁ ɛ AD k s i AE t
bribe	b ʁ i AE b
brice	b ʁ i AE s
brick	b ʁ i AE k
bricole	b ʁ i AE k ɔ AF l
bricoler	b ʁ i AE k ɔ AF l e AD
bricoles	b ʁ i AE k ɔ AF l
bride	b ʁ i AE d
brider	b ʁ i AE d e AD
brides	b ʁ i AE d
bridge	b ʁ i AE d ʒ
bridger	b ʁ i AE d ʒ e AD
bridgeur	b ʁ i AE d ʒ œ AI ʁ
bridgeurs	b ʁ i AE d ʒ œ AI ʁ
bridgeuse	b ʁ i AE d ʒ ø AI z
bridgeuses	b ʁ i AE d ʒ ø AI z
bridé	b ʁ i AE d e AD
brie	b ʁ i AE
brigade	b ʁ i AE ɡ a AC d
brigadier	b ʁ i AE ɡ a AC d j AA e AD
brigand	b ʁ i AE ɡ ɑ̃ BB
brigantin	b ʁ i AE ɡ ɑ̃ BB t ɛ̃ AM
brigitte	b ʁ i AE ʒ i AE t
brillance	b ʁ i AE j AA ɑ̃ BB s
brillant	b ʁ i AE j AA ɑ̃ BB
brillants	b ʁ i AE j AA ɑ̃ BB
briller	b ʁ i AE j AA e AD
brillera	b ʁ i AE j AA ʁ a AC
brima	b ʁ i AE m a AC
brimade	b ʁ i AE m a AC d
brimades	b ʁ i AE m a AC d
brimai	b ʁ i AE m e AD
brimaient	b ʁ i AE m ɛ AD
brimais	b ʁ i AE m ɛ AD
brimait	b ʁ i AE m ɛ AD
brimant	b ʁ i AE m ɑ̃ BB
brimas	b ʁ i AE m ɑ AK
brimasse	b ʁ i AE m a AC s
brimassent	b ʁ i AE m a AC s
brimasses	b ʁ i AE m a AC s
brimassiez	b ʁ i AE m a AC s j AA e AD
brimassions	b ʁ i AE m a AC s j AA ɔ̃ BA
brime	b ʁ i AE m
briment	b ʁ i AE m
brimer	b ʁ i AE m e AD
brimera	b ʁ i AE m ʁ a AC
brimerai	b ʁ i AE m ʁ e AD
brimeraient	b ʁ i AE m ʁ ɛ AD
brimerais	b ʁ i AE m ʁ ɛ AD
brimerait	b ʁ i AE m ʁ ɛ AD
brimeras	b ʁ i AE m ʁ ɑ AK
brimerez	b ʁ i AE m ʁ e AD
brimeriez	b ʁ i AE m ə AJ ʁ j AA e AD
brimerions	b ʁ i AE m ə AJ ʁ j AA ɔ̃ BA
brimerons	b ʁ i AE m ʁ ɔ̃ BA
brimeront	b ʁ i AE m ʁ ɔ̃ BA
brimes	b ʁ i AE m
brimeur	b ʁ i AE m œ AI ʁ
brimeurs	b ʁ i AE m œ AI ʁ
brimeuse	b ʁ i AE m ø AI z
brimeuses	b ʁ i AE m ø AI z
brimez	b ʁ i AE m e AD
brimiez	b ʁ i AE m j AA e AD
brimions	b ʁ i AE m j AA ɔ̃ BA
brimons	b ʁ i AE m ɔ̃ BA
brimâmes	b ʁ i AE m ɑ AK m
brimât	b ʁ i AE m ɑ AK
brimâtes	b ʁ i AE m ɑ AK t
brimèrent	b ʁ i AE m ɛ AD ʁ
brimé	b ʁ i AE m e AD
brin	b ʁ ɛ̃ AM
brinde	b ʁ ɛ̃ AM d
brindes	b ʁ ɛ̃ AM d
brindille	b ʁ ɛ̃ AM d i AE j AA
bringue	b ʁ ɛ̃ AM ɡ
bringuebaler	b ʁ ɛ̃ AM ɡ b a AC l e AD
brio	b ʁ i AE j AA o AF
brioche	b ʁ i AE j AA ɔ AF ʃ
brique	b ʁ i AE k
briquer	b ʁ i AE k e AD
briquet	b ʁ i AE k ɛ AD
brisant	b ʁ i AE z ɑ̃ BB
brise	b ʁ i AE z
briser	b ʁ i AE z e AD
briseur	b ʁ i AE z œ AI ʁ
brisque	b ʁ i AE s k
bristolienne	b ʁ i AE s t ɔ AF l j AA ɛ AD n
brisure	b ʁ i AE z y AH ʁ
britannique	b ʁ i AE t a AC n i AE k
british	b ʁ i AE t i AE ʃ
brittonique	b ʁ i AE t ɔ AF n i AE k
brittoniques	b ʁ i AE t ɔ AF n i AE k
brittophone	b ʁ i AE t ɔ AF f ɔ AF n
brize	b ʁ i AE z
brièvement	b ʁ i AE j AA ɛ AD v m ɑ̃ BB
brièveté	b ʁ i AE j AA ɛ AD v t e AD
brièvetés	b ʁ i AE j AA ɛ AD v t e AD
broc	b ʁ o AF
brocante	b ʁ ɔ AF k ɑ̃ BB t
brocard	b ʁ ɔ AF k a AC ʁ
brocarder	b ʁ ɔ AF k a AC ʁ d e AD
brocciu	b ʁ ɔ AF t ʃ j AA u AG
brochant	b ʁ ɔ AF ʃ ɑ̃ BB
brochante	b ʁ ɔ AF ʃ ɑ̃ BB t
brochantes	b ʁ ɔ AF ʃ ɑ̃ BB t
broche	b ʁ ɔ AF ʃ
brocher	b ʁ ɔ AF ʃ e AD
brocheré	b ʁ ɔ AF ʃ ʁ e AD
brochet	b ʁ ɔ AF ʃ ɛ AD
brochette	b ʁ ɔ AF ʃ ɛ AD t
brochure	b ʁ ɔ AF ʃ y AH ʁ
brochures	b ʁ ɔ AF ʃ y AH ʁ
broché	b ʁ ɔ AF ʃ e AD
brocoli	b ʁ ɔ AF k ɔ AF l i AE
broda	b ʁ ɔ AF d a AC
brodas	b ʁ ɔ AF d a AC
brodequin	b ʁ ɔ AF d k ɛ̃ AM
broder	b ʁ ɔ AF d e AD
brodeur	b ʁ ɔ AF d œ AI ʁ
brogane	b ʁ ɔ AF ɡ a AC n
broigne	b ʁ w AB a AC ɲ
broma	b ʁ ɔ AF m a AC
bromatologie	b ʁ ɔ AF m a AC t ɔ AF l ɔ AF ʒ i AE
brome	b ʁ o AF m
bromer	b ʁ ɔ AF m e AD
bromhydrique	b ʁ ɔ AF m i AE d ʁ i AE k
bronche	b ʁ ɔ̃ BA ʃ
broncher	b ʁ ɔ̃ BA ʃ e AD
bronches	b ʁ ɔ̃ BA ʃ
bronchite	b ʁ ɔ̃ BA ʃ i AE t
bronchoscopie	b ʁ ɔ̃ BA ʃ ɔ AF s k ɔ AF p i AE
brontosaure	b ʁ ɔ̃ BA t ɔ AF z ɔ AF ʁ
bronzage	b ʁ ɔ̃ BA z a AC ʒ
bronze	b ʁ ɔ̃ BA z
bronzer	b ʁ ɔ̃ BA z e AD
bronzeur	b ʁ ɔ̃ BA z œ AI ʁ
bronzeurs	b ʁ ɔ̃ BA z œ AI ʁ
bronzeuse	b ʁ ɔ̃ BA z ø AI z
bronzeuses	b ʁ ɔ̃ BA z ø AI z
brosse	b ʁ ɔ AF s
brosser	b ʁ ɔ AF s e AD
brou	b ʁ u AG
brouet	b ʁ u AG ɛ AD
brouette	b ʁ u AG ɛ AD t
brouhaha	b ʁ u AG a AC a AC
brouillard	b ʁ u AG j AA a AC ʁ
brouiller	b ʁ u AG j AA e AD
brouilleur	b ʁ u AG j AA œ AI ʁ
brouillon	b ʁ u AG j AA ɔ̃ BA
brouillonne	b ʁ u AG j AA ɔ AF n
broussaille	b ʁ u AG s a AC j AA
broussard	b ʁ u AG s a AC ʁ
brousse	b ʁ u AG s
brouter	b ʁ u AG t e AD
broutille	b ʁ u AG t i AE j AA
brown	b ʁ ɔ AF w AB n
brownie	b ʁ ɔ AF n i AE
brownien	b ʁ o AF n j AA ɛ̃ AM
broyer	b ʁ w AB a AC j AA e AD
broyeur	b ʁ w AB a AC j AA œ AI ʁ
bru	b ʁ y AH
bruant	b ʁ y AH ɑ̃ BB
brucelles	b ʁ y AH s ɛ AD l
brucellose	b ʁ y AH s ɛ AD l o AF z
bruges	b ʁ y AH ʒ
bruine	b ʁ ɥ AN i AE n
bruiner	b ʁ ɥ AN i AE n e AD
bruire	b ʁ ɥ AN i AE ʁ
bruissement	b ʁ ɥ AN i AE s m ɑ̃ BB
bruit	b ʁ ɥ AN i AE
bruiter	b ʁ ɥ AN i AE t e AD
brumaire	b ʁ y AH m ɛ AD ʁ
brume	b ʁ y AH m
brumer	b ʁ y AH m e AD
brumeux	b ʁ y AH m ø AI
brun	b ʁ ɛ̃ AM
brunch	b ʁ œ AI n ʃ
bruncher	b ʁ œ̃ BC ʃ e AD
brune	b ʁ y AH n
brunelle	b ʁ y AH n ɛ AD l
brunelles	b ʁ y AH n ɛ AD l
brunes	b ʁ y AH n
bruni	b ʁ y AH n i AE
brunir	b ʁ y AH n i AE ʁ
bruno	b ʁ y AH n o AF
brunoise	b ʁ y AH n w AB a AC z
bruns	b ʁ œ̃ BC
brunâtre	b ʁ y AH n ɑ AK t ʁ
brunéi	b ʁ y AH n e AD i AE
brusc	b ʁ y AH s k
brushing	b ʁ œ AI ʃ i AE ŋ
brusque	b ʁ y AH s k
brusquement	b ʁ y AH s k ə AJ m ɑ̃ BB
brusquer	b ʁ y AH s k e AD
brusquerons	b ʁ y AH s k ə AJ ʁ ɔ̃ BA
brusques	b ʁ y AH s k
brusquette	b ʁ y AH s k ɛ AD t
brut	b ʁ y AH t
brutal	b ʁ y AH t a AC l
brutale	b ʁ y AH t a AC l
brutalement	b ʁ y AH t a AC l m ɑ̃ BB
brutales	b ʁ y AH t a AC l
brutalité	b ʁ y AH t a AC l i AE t e AD
brutaux	b ʁ y AH t o AF
bruxelles	b ʁ y AH s ɛ AD l
bruxellois	b ʁ y AH s ɛ AD l w AB a AC
bruxelloise	b ʁ y AH s ɛ AD l w AB a AC z
bruyamment	b ʁ ɥ AN i AE j AA a AC m ɑ̃ BB
bruyant	b ʁ ɥ AN i AE j AA ɑ̃ BB
bruyère	b ʁ ɥ AN i AE j AA ɛ AD ʁ
bruyères	b ʁ ɥ AN i AE j AA ɛ AD ʁ
bryacée	b ʁ i AE j AA a AC s e AD
brèche	b ʁ ɛ AD ʃ
brème	b ʁ ɛ AD m
brève	b ʁ ɛ AD v
bréhaigne	b ʁ e AD ɛ AD ɲ
brésil	b ʁ e AD z i AE l
brésilien	b ʁ e AD z i AE l j AA ɛ̃ AM
bréviaire	b ʁ e AD v j AA ɛ AD ʁ
brêle	b ʁ ɛ AD l
brême	b ʁ ɛ AD m
brûlage	b ʁ y AH l a AC ʒ
brûlant	b ʁ y AH l ɑ̃ BB
brûler	b ʁ y AH l e AD
brûlot	b ʁ y AH l o AF
brûlure	b ʁ y AH l y AH ʁ
brûlé	b ʁ y AH l e AD
brûlée	b ʁ y AH l e AD
bu	b y AH
buanderie	b ɥ AN ɑ̃ BB d ʁ i AE
buandier	b ɥ AN ɑ̃ BB d j AA e AD
buandière	b ɥ AN ɑ̃ BB d j AA ɛ AD ʁ
bubon	b y AH b ɔ̃ BA
bubonique	b y AH b ɔ AF n i AE k
bucarest	b y AH k a AC ʁ ɛ AD s t
buccin	b y AH k s ɛ̃ AM
buccopharyngé	b y AH k ɔ AF f a AC ʁ ɛ̃ AM ʒ e AD
buccopharyngée	b y AH k ɔ AF f a AC ʁ ɛ̃ AM ʒ e AD
buccopharyngées	b y AH k ɔ AF f a AC ʁ ɛ̃ AM ʒ e AD
buccopharyngés	b y AH k ɔ AF f a AC ʁ ɛ̃ AM ʒ e AD
buche	b y AH ʃ
budapest	b y AH d a AC p ɛ AD s t
budget	b y AH d ʒ ɛ AD
budgétaire	b y AH d ʒ e AD t ɛ AD ʁ
budgétiser	b y AH d ʒ e AD t i AE z e AD
buer	b ɥ AN e AD
buffet	b y AH f ɛ AD
buffle	b y AH f l
bug	b ɔ AF ɡ
buggy	b œ AI ɡ i AE
bugle	b y AH ɡ l
buguer	b ɔ AF ɡ e AD
building	b i AE l d i AE ŋ
buis	b ɥ AN i AE
buisine	b ɥ AN i AE z i AE n
buisson	b ɥ AN i AE s ɔ̃ BA
buissonnante	b ɥ AN i AE s ɔ AF n ɑ̃ BB t
bulbe	b y AH l b
bulbeux	b y AH l b ø AI
bulgare	b y AH l ɡ a AC ʁ
bulgarie	b y AH l ɡ a AC ʁ i AE
bulgogi	b u AG l ɡ o AF ɡ i AE
bull	b y AH l
bulla	b y AH l a AC
bulldog	b u AG l d ɔ AF ɡ
bulldozer	b y AH l d o AF z ɛ AD ʁ
bulle	b y AH l
buller	b y AH l e AD
bulletin	b y AH l t ɛ̃ AM
bulletiner	b y AH l t i AE n e AD
bulot	b y AH l o AF
bungalow	b ɔ AF ŋ ɡ a AC l o AF
bunker	b œ AI ŋ k œ AI ʁ
buraliste	b y AH ʁ a AC l i AE s t
bure	b y AH ʁ
bureau	b y AH ʁ o AF
bureautique	b y AH ʁ o AF t i AE k
burin	b y AH ʁ ɛ̃ AM
burina	b y AH ʁ i AE n a AC
burinai	b y AH ʁ i AE n e AD
burinaient	b y AH ʁ i AE n ɛ AD
burinais	b y AH ʁ i AE n ɛ AD
burinait	b y AH ʁ i AE n ɛ AD
burinant	b y AH ʁ i AE n ɑ̃ BB
burinas	b y AH ʁ i AE n ɑ AK
burinasse	b y AH ʁ i AE n a AC s
burinassent	b y AH ʁ i AE n a AC s
burinasses	b y AH ʁ i AE n a AC s
burinassiez	b y AH ʁ i AE n a AC s j AA e AD
burinassions	b y AH ʁ i AE n a AC s j AA ɔ̃ BA
burine	b y AH ʁ i AE n
burinent	b y AH ʁ i AE n
buriner	b y AH ʁ i AE n e AD
burinera	b y AH ʁ i AE n ʁ a AC
burinerai	b y AH ʁ i AE n ʁ e AD
burineraient	b y AH ʁ i AE n ʁ ɛ AD
burinerais	b y AH ʁ i AE n ʁ ɛ AD
burinerait	b y AH ʁ i AE n ʁ ɛ AD
burineras	b y AH ʁ i AE n ʁ ɑ AK
burinerez	b y AH ʁ i AE n ʁ e AD
burineriez	b y AH ʁ i AE n ə AJ ʁ j AA e AD
burinerions	b y AH ʁ i AE n ə AJ ʁ j AA ɔ̃ BA
burinerons	b y AH ʁ i AE n ʁ ɔ̃ BA
burineront	b y AH ʁ i AE n ʁ ɔ̃ BA
burines	b y AH ʁ i AE n
burinez	b y AH ʁ i AE n e AD
buriniez	b y AH ʁ i AE n j AA e AD
burinions	b y AH ʁ i AE n j AA ɔ̃ BA
burinons	b y AH ʁ i AE n ɔ̃ BA
burinâmes	b y AH ʁ i AE n ɑ AK m
burinât	b y AH ʁ i AE n ɑ AK
burinâtes	b y AH ʁ i AE n ɑ AK t
burinèrent	b y AH ʁ i AE n ɛ AD ʁ
buriné	b y AH ʁ i AE n e AD
burkina	b y AH ʁ k i AE n a AC
burlesque	b y AH ʁ l ɛ AD s k
burne	b y AH ʁ n
burnous	b y AH ʁ n u AG s
burqa	b y AH ʁ k a AC
bursiforme	b y AH ʁ s i AE f ɔ AF ʁ m
burtonien	b œ AI ʁ t ɔ AF n j AA ɛ̃ AM
burundais	b u AG ʁ u AG n d ɛ AD
burundi	b u AG ʁ u AG n d i AE
bus	b y AH s
busard	b y AH z a AC ʁ
busc	b y AH s k
buse	b y AH z
buser	b y AH z e AD
bushisme	b u AG ʃ i AE z m
business	b i AE z n ɛ AD s
businessman	b i AE z n ɛ AD s m a AC n
businessmans	b i AE z n ɛ AD s m a AC n
businessmen	b i AE z n ɛ AD s m ɛ AD n
businesswoman	b i AE z n ɛ AD s w AB o AF m a AC n
busqué	b y AH s k e AD
buste	b y AH s t
bustier	b y AH s t j AA e AD
but	b y AH t
butane	b y AH t a AC n
butanol	b y AH t a AC n ɔ AF l
butch	b u AG t ʃ
buter	b y AH t e AD
buteur	b y AH t œ AI ʁ
butin	b y AH t ɛ̃ AM
butina	b y AH t i AE n a AC
butinai	b y AH t i AE n e AD
butinaient	b y AH t i AE n ɛ AD
butinais	b y AH t i AE n ɛ AD
butinait	b y AH t i AE n ɛ AD
butinant	b y AH t i AE n ɑ̃ BB
butinas	b y AH t i AE n ɑ AK
butinasse	b y AH t i AE n a AC s
butinassent	b y AH t i AE n a AC s
butinasses	b y AH t i AE n a AC s
butinassiez	b y AH t i AE n a AC s j AA e AD
butinassions	b y AH t i AE n a AC s j AA ɔ̃ BA
butine	b y AH t i AE n
butinent	b y AH t i AE n
butiner	b y AH t i AE n e AD
butinera	b y AH t i AE n ʁ a AC
butinerai	b y AH t i AE n ʁ e AD
butineraient	b y AH t i AE n ʁ ɛ AD
butinerais	b y AH t i AE n ʁ ɛ AD
butinerait	b y AH t i AE n ʁ ɛ AD
butineras	b y AH t i AE n ʁ ɑ AK
butinerez	b y AH t i AE n ʁ e AD
butineriez	b y AH t i AE n ə AJ ʁ j AA e AD
butinerions	b y AH t i AE n ə AJ ʁ j AA ɔ̃ BA
butinerons	b y AH t i AE n ʁ ɔ̃ BA
butineront	b y AH t i AE n ʁ ɔ̃ BA
butines	b y AH t i AE n
butinez	b y AH t i AE n e AD
butiniez	b y AH t i AE n j AA e AD
butinions	b y AH t i AE n j AA ɔ̃ BA
butinons	b y AH t i AE n ɔ̃ BA
butinâmes	b y AH t i AE n ɑ AK m
butinât	b y AH t i AE n ɑ AK
butinâtes	b y AH t i AE n ɑ AK t
butinèrent	b y AH t i AE n ɛ AD ʁ
butiné	b y AH t i AE n e AD
butoir	b y AH t w AB a AC ʁ
butome	b y AH t ɔ AF m
butor	b y AH t ɔ AF ʁ
butta	b y AH t a AC
buttai	b y AH t e AD
buttaient	b y AH t ɛ AD
buttais	b y AH t ɛ AD
buttait	b y AH t ɛ AD
