ँ	ə̃ AJ
क्षत्राणी	k ʃ ə AD t̪ ɾ äː ɳ iː AC
क्षत्रिय	k ʃ ə AD t̪ ɾ i AD j AA ə AD
क्षमता	k ʃ ə̃ AJ m t̪ äː
क्षमा	k ʃ ə AD m äː
क्षम्य	k ʃ ə̃ AJ m j AA
क्षयरोग	k ʃ ə AD j AA ɾ oː AE ɡ
क्षारातु	k ʃ äː ɾ äː t̪ uː AE
क्षारीय	k ʃ äː ɾ iː AC j AA
क्षितिज	k ʃ ɪ AD t̪ ɪ AD d ʒ
क्षीण	k ʃ ĩː ɳ
क्षुद्र	k ʃ ʊ AF d̪ ɾ
क्षुधा	k ʃ ʊ AF d̪ʱ äː
क्षुब्ध	k ʃ ʊ AF b d̪ʱ
क्षेत्र	k ʃ eː AC t̪ ɾ
क्षेत्रफल	k ʃ eː AC t̪ ɾ ə AD pʰ ə AD l̪
क्षेत्ररक्षण	k ʃ eː AC t̪ ɾ ə AD ɾ ə AD k ʃ ə̃ AJ ɳ
क्षेत्राधिकार	k ʃ eː AC t̪ ɾ äː d̪ʱ ɪ AD k äː ɾ
क्षेत्रीय	k ʃ eː AC t̪ ɾ iː AC j AA
खँखड़	kʰ ə̃ AJ ŋ kʰ ə AD ɽ
खंड	kʰ ə̃ AJ ɳ ɖ
खंडशः	kʰ ə̃ AJ ɳ ɖ ʃ ə AD ɦ AG
खंडहर	kʰ ə̃ AJ ɳ ɖʱ ə AD ɾ
खंबा	kʰ ə̃ AJ m b äː
खंभा	kʰ ə̃ AJ m bʱ äː
खगोल	kʰ ə AD ɡ oː AE l̪
खच्चर	kʰ ə AD t̚ t ʃ ə AD ɾ
खटखटाना	kʰ ə AD ʈ kʰ ə AD ʈ äː n̪ äː
खटमल	kʰ ə AD ʈ m ə AD l̪
खटमिट्ठा	kʰ ə AD ʈ m ɪ AD ʈ̚ ʈʰ äː
खटाई	kʰ ə AD ʈ äː iː AC
खड़ा	kʰ ə AD ɽ äː
खड़िया	kʰ ə AD ɽ i AD j AA äː
खड़ूस	kʰ ə AD ɽ uː AE s̪
खण्ड	kʰ ə̃ AJ ɳ ɖ
खतौनी	kʰ ə AD t̪ ɔː AE n̪ iː AC
खदान	kʰ ə AD d̪ ä̃ː n̪
खदेड़ना	kʰ ə AD d̪ eː AC ɽ n̪ äː
खनन	kʰ ə AD n̪ ə̃ AJ n̪
खनाखन	kʰ ə AD n̪ äː kʰ ə̃ AJ n̪
खनिज	kʰ ə AD n̪ ɪ AD d ʒ
खनित्र	kʰ ə AD n̪ ɪ AD t̪ ɾ
खपरैल	kʰ ə AD p ɾ ɛː AC l̪
खयाल	x ə AD j AA äː l̪
खयालें	x ə AD j AA äː l̪ ẽː
खयालो	x ə AD j AA äː l̪ oː AE
खयालों	x ə AD j AA äː l̪ õː
खरा	kʰ ə AD ɾ äː
खराई	kʰ ə AD ɾ äː iː AC
खरोंच	kʰ ə AD ɾ õː n̪ t ʃ
खरोंचना	kʰ ə AD ɾ õː n̪ t ʃ n̪ äː
खलना	kʰ ə AD l̪ n̪ äː
खलनायक	kʰ ə AD l̪ n̪ äː j AA ə AD k
खलासी	x ə AD l̪ äː s̪ iː AC
खलिहान	kʰ ə AD l̪ ɪ AD ɦ AG ä̃ː n̪
खल्लास	kʰ ə AD l̪ l̪ äː s̪
खसरा	kʰ ə AD s̪ ɾ äː
ख़ंजर	x ə̃ AJ n̪ d ʒ ə AD ɾ
ख़ज़ाना	x ə AD z äː n̪ äː
ख़तम	x ə AD t̪ ə̃ AJ m
ख़ता	x ə AD t̪ äː
ख़त्म	x ə AD t̪ ə̃ AJ m
ख़फ़ा	x ə AD f äː
ख़बरनवीस	x ə AD b ə AD ɾ n̪ ə AD ʋ AB iː AC s̪
ख़म	x ə̃ AJ m
ख़मियाज़ा	x ə AD m i AD j AA äː z äː
ख़याल	x ə AD j AA äː l̪
ख़रबूज़ा	x ə AD ɾ b uː AE z äː
ख़राब	x ə AD ɾ äː b
ख़राश	x ə AD ɾ äː ʃ
ख़रीदना	x ə AD ɾ iː AC d̪̚ n̪ äː
ख़रीदवाना	x ə AD ɾ iː AC d̪ w AB äː n̪ äː
ख़रीदार	x ə AD ɾ iː AC d̪ äː ɾ
ख़रीदारी	x ə AD ɾ iː AC d̪ äː ɾ iː AC
ख़र्चा	x ə AD ɾ t ʃ äː
ख़लक़	x ə AD l̪ q
ख़लासी	x ə AD l̪ äː s̪ iː AC
ख़लिश	x ə AD l̪ ɪ AD ʃ
ख़लीफ़ा	x ə AD l̪ iː AC f äː
ख़सरा	x ə AD s̪ ɾ äː
ख़ाक	x äː k
ख़ाक़ान	x äː q ä̃ː n̪
ख़ाका	x äː k äː
ख़ातिर	x äː t̪ ɪ AD ɾ
ख़ातून	x äː t̪ ũː n̪
ख़ान	x ä̃ː n̪
ख़ानक़ाह	x ä̃ː n̪ q äː ɦ AG
ख़ानगी	x ä̃ː n̪ ɡ iː AC
ख़ानदान	x ä̃ː n̪ d̪ ä̃ː n̪
ख़ानदानी	x ä̃ː n̪ d̪ äː n̪ iː AC
ख़ानसामा	x ä̃ː n̪ s̪ äː m äː
ख़ानसामाँ	x ä̃ː n̪ s̪ äː m ä̃ː
ख़ाना	x äː n̪ äː
ख़ानाबदोश	x äː n̪ äː b ə AD d̪ oː AE ʃ
ख़ामी	x äː m iː AC
ख़ारिज	x äː ɾ ɪ AD d ʒ
ख़ाला	x äː l̪ äː
ख़ालिक़	x äː l̪ ɪ AD q
ख़ालिस	x äː l̪ ɪ AD s̪
ख़ालिस्तान	x äː l̪ ɪ AD s̪ t̪ ä̃ː n̪
ख़ाली	x äː l̪ iː AC
ख़ावंद	x äː ʋ AB ə̃ AJ n̪ d̪
ख़ास	x äː s̪
ख़ासियत	x äː s̪ i AD j AA ə AD t̪
ख़िताब	x ɪ AD t̪ äː b
ख़िताबी	x ɪ AD t̪ äː b iː AC
ख़िदमतगार	x ɪ AD d̪ m ə AD t̪ ɡ äː ɾ
ख़िलाफ़	x ɪ AD l̪ äː f
ख़ुदा	x ʊ AF d̪ äː
ख़ुदावंद	x ʊ AF d̪ äː ʋ AB ə̃ AJ n̪ d̪
ख़ुफ़िया	x ʊ AF f i AD j AA äː
ख़ुराफ़ात	x ʊ AF ɾ äː f äː t̪
ख़ुलासा	x ʊ AF l̪ äː s̪ äː
ख़ुशआमदीद	x ʊ AF ʃ ə AD ä̃ː m d̪ iː AC d̪
ख़ुशक़िस्मत	x ʊ AF ʃ q ɪ AD s̪ m ə AD t̪
ख़ुशनसीब	x ʊ AF ʃ n̪ ə AD s̪ iː AC b
ख़ुशबूदार	x ʊ AF ʃ b uː AE d̪ äː ɾ
ख़ुशमिज़ाज	x ʊ AF ʃ m ɪ AD z äː d ʒ
ख़ुशहाल	x ʊ AF ʃ ɦ AG äː l̪
ख़ुशहाली	x ʊ AF ʃ ɦ AG äː l̪ iː AC
ख़ुशाब	x ʊ AF ʃ äː b
ख़ुशामद	x ʊ AF ʃ äː m ə AD d̪
ख़ूँख़ार	x ũː x äː ɾ
ख़ून	x ũː n̪
ख़ूनी	x uː AE n̪ iː AC
ख़ूबसूरत	x uː AE b s̪ uː AE ɾ ə AD t̪
ख़ूबसूरती	x uː AE b s̪ uː AE ɾ t̪ iː AC
ख़ूबानी	x uː AE b äː n̪ iː AC
ख़ैरात	x ɛː AC ɾ äː t̪
ख़ैरियत	x ɛː AC ɾ i AD j AA ə AD t̪
ख़्याल	x j AA äː l̪
ख़्वाजा	x ʋ AB äː d ʒ äː
ख़्वाब	x ʋ AB äː b
ख़्वाबगाह	x ʋ AB äː b ɡ äː ɦ AG
ख़्वाहिश	x ʋ AB äː ɦ AG ɪ AD ʃ
खाँग	kʰ ä̃ː ŋ ɡ
खाँसना	kʰ ä̃ː s̪ n̪ äː
खाँसी	kʰ ä̃ː s̪ iː AC
खांसना	kʰ ä̃ː n̪ s̪ n̪ äː
खाई	kʰ äː iː AC
खाट	kʰ äː ʈ
खाड़ी	kʰ äː ɽ iː AC
खाता	kʰ äː t̪ äː
खाद	kʰ äː d̪
खादन	kʰ äː d̪ ə̃ AJ n̪
खादी	kʰ äː d̪ iː AC
खाद्य	kʰ äː d̪ j AA ə AD
खान	kʰ ä̃ː n̪
खाना	kʰ äː n̪ äː
खानि	kʰ äː n̪ iː AC
खाने	kʰ äː n̪ eː AC
खाप	kʰ äː p
खारा	kʰ äː ɾ äː
खाली	x äː l̪ iː AC
खिंचाव	kʰ ɪ̃ AJ n̪ t ʃ äː ʋ AB
खिन्न	kʰ ɪ̃ AJ n̪ n̪
खिलना	kʰ ɪ AD l̪ n̪ äː
खिलवाना	kʰ ɪ AD l̪ ʋ AB äː n̪ äː
खिलाड़ी	kʰ ɪ AD l̪ äː ɽ iː AC
खिलाना	kʰ ɪ AD l̪ äː n̪ äː
खिलौना	kʰ ɪ AD l̪ ɔː AE n̪ äː
खिसकना	kʰ ɪ AD s̪ ə AD k n̪ äː
खींचतान	kʰ ĩː t ʃ t̪ ä̃ː n̪
खींचना	kʰ ĩː t ʃ n̪ äː
खीरा	kʰ iː AC ɾ äː
खील	kʰ iː AC l̪
खीसा	kʰ iː AC s̪ äː
खुजलाना	kʰ ʊ AF d ʒ l̪ äː n̪ äː
खुजली	kʰ ʊ AF d ʒ l̪ iː AC
खुदरा	kʰ ʊ AF d̪ ɾ äː
खुदाई	kʰ ʊ AF d̪ äː iː AC
खुबानी	x uː AE b äː n̪ iː AC
खुरपा	kʰ ʊ AF ɾ p äː
खुलकर	kʰ ʊ AF l̪ k ə AD ɾ
खुलना	kʰ ʊ AF l̪ n̪ äː
खुला	kʰ ʊ AF l̪ äː
खुलापन	kʰ ʊ AF l̪ äː p ə̃ AJ n̪
खुलेआम	kʰ ʊ AF l̪ eː AC ä̃ː m
खेना	kʰ eː AC n̪ äː
खेल	kʰ eː AC l̪
खेलकूद	kʰ eː AC l̪ k uː AE d̪
खेलना	kʰ eː AC l̪ n̪ äː
खेला	kʰ eː AC l̪ äː
खैरात	x ɛː AC ɾ äː t̪
खोंसना	kʰ õː n̪ s̪ n̪ äː
खोआ	kʰ oː AE äː
खोका	kʰ oː AE k äː
खोजना	kʰ oː AE d ʒ n̪ äː
खोटा	kʰ oː AE ʈ aː AC
खोदना	kʰ oː AE d̪̚ n̪ äː
खोना	kʰ oː AE n̪ äː
खोया	kʰ oː AE j AA äː
खोलना	kʰ oː AE l̪ n̪ äː
खोला	kʰ oː AE l̪ äː
ख्वाब	x ʋ AB äː b
गँवाना	ɡ ə̃ AJ ʋ AB äː n̪ äː
गंगई	ɡ ə̃ AJ ŋ ɡ ə AD iː AC
गंगाजल	ɡ ə̃ AJ ŋ ɡ äː d ʒ ə AD l̪
गंजा	ɡ ə̃ AJ n̪ d ʒ äː
गंजी	ɡ ə̃ AJ n̪ d ʒ iː AC
गंतव्य	ɡ ə̃ AJ n̪ t̪ ə AD ʋ AB j AA
गंदगी	ɡ ə̃ AJ n̪ d̪ ə AD ɡ iː AC
गंदा	ɡ ə̃ AJ n̪ d̪ äː
गंध	ɡ ə̃ AJ n̪ d̪ʱ
गंभीर	ɡ ə̃ AJ m bʱ iː AC ɾ
गंवाना	ɡ ə̃ AJ m w AB äː n̪ äː
गगन	ɡ ə AD ɡ ə̃ AJ n̪
गगनचुंबी	ɡ ə AD ɡ ə̃ AJ n̪ t ʃ ʊ̃ AL m b iː AC
गगनभेदी	ɡ ə AD ɡ ə̃ AJ n̪ bʱ eː AC d̪ iː AC
गठन	ɡ ə AD ʈʰ ə̃ AJ n̪
गठबंधन	ɡ ə AD ʈʰ b ə̃ AJ n̪ d̪ʱ ə̃ AJ n̪
गड़गड़ाना	ɡ ə AD ɽ ɡ ə AD ɽ äː n̪ äː
गड़गड़ाहट	ɡ ə AD ɽ ɡ ə AD ɽ äː ɦ AG ə AD ʈ
गड़बड़झाला	ɡ ə AD ɽ b ə AD ɽ d ʒʱ äː l̪ äː
गड्ढा	ɡ ə AD ɖ̚ ɖʱ äː
गढ़ना	ɡ ə AD ɽʱ n̪ äː
गढ़वाल	ɡ ə AD ɽʱ ʋ AB äː l̪
गण	ɡ ə̃ AJ ɳ
गणतंत्र	ɡ ə̃ AJ ɳ t̪ ə̃ AJ n̪ t̪ ɾ
गणना	ɡ ə̃ AJ ɳ n̪ äː
गणराज्य	ɡ ə̃ AJ ɳ ɾ äː d ʒ j AA
गतिमान	ɡ ə AD t̪ ɪ AD m ä̃ː n̪
गत्ता	ɡ ə AD t̪̚ t̪ äː
गदा	ɡ ə AD d̪ äː
गधा	ɡ ə AD d̪ʱ äː
गनी	ɡ ə AD n̪ iː AC
गन्दा	ɡ ə̃ AJ n̪ d̪ äː
गन्ना	ɡ ə̃ AJ n̪ n̪ äː
गमछा	ɡ ə̃ AJ m t ʃʰ äː
गमन	ɡ ə AD m ə̃ AJ n̪
गमला	ɡ ə̃ AJ m l̪ äː
गम्भीर	ɡ ə̃ AJ m bʱ iː AC ɾ
गया	ɡ ə AD j AA äː
गरिमा	ɡ ə AD ɾ ɪ AD m äː
गरेबान	ɡ ə AD ɾ eː AC b ä̃ː n̪
गर्दन	ɡ ə AD ɾ d̪ ə̃ AJ n̪
गर्भपात	ɡ ə AD ɾ bʱ p äː t̪
गर्भावस्था	ɡ ə AD ɾ bʱ äː ʋ AB ə AD s̪ t̪ʰ äː
गर्भाशय	ɡ ə AD ɾ bʱ äː ʃ ə AD j AA
गर्म	ɡ ə AD ɾ ə̃ AJ m
गर्मागर्म	ɡ ə AD ɾ m äː ɡ ə AD ɾ m
गलत	ɣ ə AD l̪ ə AD t̪
गलना	ɡ ə AD l̪ n̪ äː
गलबाँही	ɡ ə AD l̪ b ä̃ː ɦ AG iː AC
गलसुआ	ɡ ə AD l̪ s̪ ʊ AF äː
गला	ɡ ə AD l̪ äː
गलियारा	ɡ ə AD l̪ i AD j AA äː ɾ äː
गली	ɡ ə AD l̪ iː AC
गवारा	ɡ ə AD ʋ AB äː ɾ äː
गवाह	ɡ ə AD ʋ AB äː ɦ AG
गवाही	ɡ ə AD ʋ AB äː ɦ AG iː AC
गहन	ɡ ɛ AD ɦ AG ɛ̃ AJ n̪
गहना	ɡ ɛ AD ɦ AG n̪ äː
गहरा	ɡ ɛ AD ɦ AG ɾ äː
गहराई	ɡ ɛ AD ɦ AG ɾ äː iː AC
ग़द्दार	ɣ ə AD d̪̚ d̪ äː ɾ
ग़नीमत	ɣ ə AD n̪ iː AC m ə AD t̪
ग़बन	ɣ ə AD b ə̃ AJ n̪
ग़म	ɣ ə̃ AJ m
ग़मज़दा	ɣ ə AD m ə AD z d̪ äː
ग़रारा	ɣ ə AD ɾ äː ɾ äː
ग़लत	ɣ ə AD l̪ ə AD t̪
ग़लतफ़हमी	ɣ ə AD l̪ ə AD t̪ f ɛ AD ɦ AG m iː AC
ग़लती	ɣ ə AD l̪ t̪ iː AC
ग़ाज़ियाबाद	ɣ äː z i AD j AA äː b äː d̪
ग़ायब	ɣ äː j AA ə AD b
ग़ुब्बारा	ɣ ʊ AF b̚ b äː ɾ äː
ग़ुसल	ɣ ʊ AF s̪ ə AD l̪
ग़ुसलख़ाना	ɣ ʊ AF s̪ ə AD l̪ x äː n̪ äː
ग़ुस्ल	ɣ ʊ AF s̪ l̪
ग़ुस्लख़ाना	ɣ ʊ AF s̪ l̪ x äː n̪ äː
ग़ुस्सा	ɣ ʊ AF s̪ s̪ äː
ग़ुस्साना	ɣ ʊ AF s̪ s̪ äː n̪ äː
ग़ैरक़ानूनी	ɣ ɛː AC ɾ q äː n̪ uː AE n̪ iː AC
ग़ोता	ɣ oː AE t̪ äː
ग़ोताख़ोर	ɣ oː AE t̪ äː x oː AE ɾ
ग़ौरतलब	ɣ ɔː AE ɾ t̪ ə AD l̪ ə AD b
गाँजा	ɡ ä̃ː n̪ d ʒ äː
गाँठ	ɡ ä̃ː ʈʰ
गाँठकट	ɡ ä̃ː ʈʰ k ə AD ʈ
गाँडू	ɡ ä̃ː ɳ ɖ uː AE
गाँधी	ɡ ä̃ː n̪ d̪ʱ iː AC
गाँधीनगर	ɡ ä̃ː n̪ d̪ʱ iː AC n̪ ə AD ɡ ə AD ɾ
गाँववाला	ɡ ä̃ː ʋ AB ʋ AB äː l̪ äː
गांगुली	ɡ ä̃ː ŋ ɡ ʊ AF l̪ iː AC
गांजा	ɡ ä̃ː n̪ d ʒ äː
गांड	ɡ ä̃ː ɳ ɖ
गांडू	ɡ ä̃ː ɳ ɖ uː AE
गांधीगिरी	ɡ ä̃ː n̪ d̪ʱ iː AC ɡ ɪ AD ɾ iː AC
गांभीर्य	ɡ ä̃ː m bʱ iː AC ɾ j AA
गांव	ɡ ä̃ː m w AB
गांसू	ɡ ä̃ː n̪ s̪ uː AE
गाउँ	ɡ äː ũː
गाजर	ɡ äː d ʒ ə AD ɾ
गाड़ना	ɡ äː ɽ n̪ äː
गाड़ा	ɡ äː ɽ äː
गाढ़ा	ɡ äː ɽʱ äː
गाण्डू	ɡ ä̃ː ɳ ɖ uː AE
गात्र	ɡ äː t̪ ɾ
गान	ɡ ä̃ː n̪
गाना	ɡ äː n̪ äː
गाम	ɡ ä̃ː m
गाय	ɡ äː j AA
गायक	ɡ äː j AA ə AD k
गायकी	ɡ äː j AA ə AD k iː AC
गायन	ɡ äː j AA ə̃ AJ n̪
गायब	ɣ äː j AA ə AD b
गायिका	ɡ äː j AA ɪ AD k äː
गाल	ɡ äː l̪
गाली	ɡ äː l̪ iː AC
गाहक	ɡ äː ɦ AG ə AD k
गिनतारा	ɡ ɪ̃ AJ n̪ t̪ äː ɾ äː
गिनती	ɡ ɪ̃ AJ n̪ t̪ iː AC
गिनना	ɡ ɪ̃ AJ n̪ n̪ äː
गिनी	ɡ ɪ AD n̪ iː AC
गिरजा	ɡ ɪ AD ɾ d ʒ äː
गिरजाघर	ɡ ɪ AD ɾ d ʒ äː ɡʱ ə AD ɾ
गिरना	ɡ ɪ AD ɾ n̪ äː
गिरफ़्तार	ɡ ɪ AD ɾ ə AD pʰ t̪ äː ɾ
गिरफ़्तारी	ɡ ɪ AD ɾ ə AD pʰ t̪ äː ɾ iː AC
गिरमिटिया	ɡ ɪ AD ɾ m ɪ AD ʈ i AD j AA äː
गिरा	ɡ ɪ AD ɾ äː
गिराना	ɡ ɪ AD ɾ äː n̪ äː
गिलहरी	ɡ ɪ AD l̪ ɛ AD ɦ AG ɾ iː AC
गिला	ɡ ɪ AD l̪ äː
गिलास	ɡ ɪ AD l̪ äː s̪
गीतकार	ɡ iː AC t̪ k äː ɾ
गीला	ɡ iː AC l̪ äː
गुंजाइश	ɡ ʊ̃ AL n̪ d ʒ äː ɪ AD ʃ
गुंटूर	ɡ ʊ̃ AL ɳ ʈ uː AE ɾ
गुंडा	ɡ ʊ̃ AL ɳ ɖ äː
गुंडागर्दी	ɡ ʊ̃ AL ɳ ɖ äː ɡ ə AD ɾ d̪ iː AC
गुआम	ɡ ʊ AF ä̃ː m
गुओमिंदांग	ɡ ʊ AF oː AE m ɪ̃ AJ n̪ d̪ ä̃ː ŋ ɡ
गुगल	ɡ ʊ AF ɡ ə AD l̪
गुच्छा	ɡ ʊ AF t̚ t ʃʰ äː
गुजरांवाला	ɡ ʊ AF d ʒ ɾ ä̃ː m w AB äː l̪ äː
गुजरात	ɡ ʊ AF d ʒ ɾ äː t̪
गुजराती	ɡ ʊ AF d ʒ ɾ äː t̪ iː AC
गुज़रना	ɡ ʊ AF z ə AD ɾ n̪ äː
गुज़श्ता	ɡ ʊ AF z ə AD ʃ t̪ äː
गुझिया	ɡ ʊ AF d ʒʱ i AD j AA äː
गुठली	ɡ ʊ AF ʈʰ l̪ iː AC
गुड़ाकू	ɡ ʊ AF ɽ äː k uː AE
गुड़िया	ɡ ʊ AF ɽ i AD j AA äː
गुण	ɡ ʊ̃ AL ɳ
गुणधर्म	ɡ ʊ̃ AL ɳ d̪ʱ ə AD ɾ m
गुणसूत्रबिंदु	ɡ ʊ̃ AL ɳ s̪ uː AE t̪ ɾ b ɪ̃ AJ n̪ d̪ uː AE
गुणा	ɡ ʊ AF ɳ äː
गुणांक	ɡ ʊ AF ɳ ä̃ː k
गुदा	ɡ ʊ AF d̪ äː
गुदाद्वार	ɡ ʊ AF d̪ äː d̪ w AB äː ɾ
गुनगुनाना	ɡ ʊ̃ AL n̪ ɡ ʊ AF n̪ äː n̪ äː
गुनना	ɡ ʊ̃ AL n̪ n̪ äː
गुनाह	ɡ ʊ AF n̪ äː ɦ AG
गुप्तचर	ɡ ʊ AF p t̪̚ t ʃ ə AD ɾ
गुप्तांग	ɡ ʊ AF p t̪ ä̃ː ŋ ɡ
गुफ़ा	ɡ ʊ AF f äː
गुफ़्तार	ɡ ʊ AF pʰ t̪ äː ɾ
गुफा	ɡ ʊ AF pʰ äː
गुबरैला	ɡ ʊ AF b ɾ ɛː AC l̪ äː
गुब्बारा	ɣ ʊ AF b̚ b äː ɾ äː
गुम	ɡ ʊ̃ AL m
गुमना	ɡ ʊ̃ AL m n̪ äː
गुमनाम	ɡ ʊ̃ AL m n̪ ä̃ː m
गुमशुदा	ɡ ʊ̃ AL m ʃ ʊ AF d̪ äː
गुमसुम	ɡ ʊ̃ AL m s̪ ʊ̃ AL m
गुरबानी	ɡ ʊ AF ɾ b äː n̪ iː AC
गुरुकुल	ɡ ʊ AF ɾ ʊ AF k ʊ AF l̪
गुरुत्व	ɡ ʊ AF ɾ ʊ AF t̪ w AB ə AD
गुरुत्वीय	ɡ ʊ AF ɾ ʊ AF t̪ w AB iː AC j AA
गुरुद्वारा	ɡ ʊ AF ɾ ʊ AF d̪ w AB äː ɾ äː
गुरुवार	ɡ ʊ AF ɾ ʊ AF ʋ AB äː ɾ
गुर्जिस्तान	ɡ ʊ AF ɾ d ʒ ɪ AD s̪ t̪ ä̃ː n̪
गुर्दा	ɡ ʊ AF ɾ d̪ äː
गुल	ɡ ʊ AF l̪
गुलज़ार	ɡ ʊ AF l̪ z äː ɾ
गुलदस्ता	ɡ ʊ AF l̪ d̪ ə AD s̪ t̪ äː
गुलदान	ɡ ʊ AF l̪ d̪ ä̃ː n̪
गुलशन	ɡ ʊ AF l̪ ʃ ə̃ AJ n̪
गुलाब	ɡ ʊ AF l̪ ə AD b
गुलाबी	ɡ ʊ AF l̪ äː b iː AC
गुलाम	ɣ ʊ AF l̪ ä̃ː m
गुलूबंद	ɡ ʊ AF l̪ uː AE b ə̃ AJ n̪ d̪
गुलेल	ɡ ʊ AF l̪ eː AC l̪
गुल्लक	ɡ ʊ AF l̪ l̪ ə AD k
गुवाहाटी	ɡ ʊ AF ʋ AB äː ɦ AG äː ʈ iː AC
गुस्ताख़	ɡ ʊ AF s̪ t̪ äː x
गुस्ताख़ी	ɡ ʊ AF s̪ t̪ äː x iː AC
गुस्सा	ɣ ʊ AF s̪ s̪ äː
गुहा	ɡ ʊ AF ɦ AG äː
गुहार	ɡ ʊ AF ɦ AG äː ɾ
गूंगा	ɡ ũː ŋ ɡ äː
गूंज	ɡ ũː n̪ d ʒ
गूंजना	ɡ ũː n̪ d ʒ n̪ äː
गूगल	ɡ uː AE ɡ ə AD l̪
गृहमंत्री	ɡ ɾ ɪ AD ɦ AG m ə̃ AJ n̪ t̪ ɾ iː AC
गृहस्थ	ɡ ɾ ɪ AD ɦ AG ə AD s̪ t̪ʰ
गेरुआ	ɡ eː AC ɾ ʊ AF äː
गैंडा	ɡ ɛ̃ː AI ɳ ɖ äː
गैलन	ɡ ɛː AC l̪ ə̃ AJ n̪
गैस	ɡ ɛː AC s̪
गॉर्डन	ɡ ɔ AF ɾ ɖ ə̃ AJ n̪
गोंद	ɡ õː n̪ d̪
गोड़ना	ɡ oː AE ɽ n̪ äː
गोधूम	ɡ oː AE d̪ʱ ũː m
गोपनीयता	ɡ oː AE p n̪ iː AC j AA t̪ äː
गोबरैला	ɡ oː AE b ɾ ɛː AC l̪ äː
गोरक्षा	ɡ oː AE ɾ ə AD k ʃ äː
गोरखा	ɡ oː AE ɾ kʰ äː
गोरिल्ला	ɡ oː AE ɾ ɪ AD l̪ äː
गोल	ɡ oː AE l̪
गोलंदाज़	ɡ oː AE l̪ ə̃ AJ n̪ d̪ äː z
गोलगप्पा	ɡ oː AE l̪ ɡ ə AD p̚ p äː
गोलबंदी	ɡ oː AE l̪ b ə̃ AJ n̪ d̪ iː AC
गोलमाल	ɡ oː AE l̪ m äː l̪
गोला	ɡ oː AE l̪ äː
गोली	ɡ oː AE l̪ iː AC
गोलीबारी	ɡ oː AE l̪ iː AC b äː ɾ iː AC
गोवा	ɡ oː AE ʋ AB äː
गोष्ठी	ɡ oː AE ʃ ʈʰ iː AC
गौरवशाली	ɡ ɔː AE ɾ ə AD ʋ AB ʃ äː l̪ iː AC
गौरवान्वित	ɡ ɔː AE ɾ ə AD ʋ AB ä̃ː n̪ w AB ɪ AD t̪
गौरैया	ɡ ɔː AE ɾ ə̯ AK i AD j AA äː
गौशाला	ɡ ɔː AE ʃ äː l̪ äː
ग्यारह	ɡ j AA äː ɾ ɛː AC
ग्रंथकार	ɡ ɾ ə̃ AJ n̪ t̪ʰ k äː ɾ
ग्रंथालय	ɡ ɾ ə̃ AJ n̪ t̪ʰ äː l̪ ɛː AC
ग्रथन	ɡ ɾ ə AD t̪ʰ ə̃ AJ n̪
ग्राम	ɡ ɾ ä̃ː m
ग्रामचर्या	ɡ ɾ ä̃ː m t ʃ ə AD ɾ j AA äː
ग्रामीण	ɡ ɾ äː m ĩː ɳ
ग्राहक	ɡ ɾ äː ɦ AG ə AD k
ग्रीष्म	ɡ ɾ iː AC ʃ m
ग्रीस	ɡ ɾ iː AC s̪
ग्लासगो	ɡ l̪ äː s̪ ɡ oː AE
ग्वाटेमाला	ɡ ʋ AB äː ʈ eː AC m äː l̪ äː
ग्वार	ɡ ʋ AB äː ɾ
ग्वारपाठा	ɡ ʋ AB äː ɾ p äː ʈʰ äː
ग्वाला	ɡ ʋ AB äː l̪ äː
ग्वालियर	ɡ ʋ AB äː l̪ i AD j AA ə AD ɾ
घंटा	ɡʱ ə AD ɳ ʈ aː AC
घटना	ɡʱ ə AD ʈ n̪ äː
घटनास्थल	ɡʱ ə AD ʈ n̪ äː s̪ t̪ʰ ə AD l̪
घटाना	ɡʱ ə AD ʈ äː n̪ äː
घटिया	ɡʱ ə AD ʈ i AD j AA äː
घड़ियाल	ɡʱ ə AD ɽ i AD j AA äː l̪
घन	ɡʱ ə̃ AJ n̪
घनचक्कर	ɡʱ ə̃ AJ n̪ t ʃ ə AD k̚ k ə AD ɾ
घनत्व	ɡʱ ə AD n̪ ə AD t̪ w AB
घना	ɡʱ ə AD n̪ äː
घनीय	ɡʱ ə AD n̪ iː AC j AA
घबराना	ɡʱ ə AD b ɾ äː n̪ äː
घबराहट	ɡʱ ə AD b ɾ äː ɦ AG ə AD ʈ
घमंड	ɡʱ ə AD m ə̃ AJ ɳ ɖ
घमंडी	ɡʱ ə AD m ə̃ AJ ɳ ɖ iː AC
घमासान	ɡʱ ə AD m äː s̪ ä̃ː n̪
घराना	ɡʱ ə AD ɾ äː n̪ äː
घरेलू	ɡʱ ə AD ɾ eː AC l̪ uː AE
घर्षण	ɡʱ ə AD ɾ ʃ ə̃ AJ ɳ
घसियारा	ɡʱ ə AD s̪ i AD j AA äː ɾ äː
घसीटना	ɡʱ ə AD s̪ iː AC ʈ n̪ äː
घाट	ɡʱ äː ʈ
घाटा	ɡʱ äː ʈ äː
घाटी	ɡʱ äː ʈ iː AC
घात	ɡʱ äː t̪
घातीय	ɡʱ äː t̪ iː AC j AA
घाना	ɡʱ äː n̪ äː
घायल	ɡʱ äː j AA ə AD l̪
घाव	ɡʱ äː ʋ AB
