က	k AC a̰ AL
တရုတ်	t AC ə AL j AB o AM ʊ AM ʔ AC
တရုတ်စံကား	t AC a̰ AL j AB o AM ʊ AM ʔ AC s AJ a AL ɴ AG k AC a AL
တရုတ်ဆီးသီး	t AC ə AL j AB o AM ʊ AM ʔ AC z AJ i AL θ AJ i AL
တရုတ်နံနံ	t AC a̰ AL j AB o AM ʊ AM ʔ AC n AG a AL ɴ AG n AG a AL ɴ AG
တရုတ်နှင်းသီး	t AC a̰ AL j AB o AM ʊ AM ʔ AC n̥ AG ɪ AL ɴ AG θ AJ i AL
တရုတ်မဆလာ	t AC ə AL j AB o AM ʊ AM ʔ AC m AF ə AL sʰ BA ə AL l AE a AL
တလည်း	t AC ə AL l AE e AL
တလိုင်း	t AC ə AL l AE a AL ɪ AL ɴ AG
တလွဲ	t AC ə AL l AE w AK ɛ AL
တာချီလိတ်	t AC a AL t AC ɕʰ BA i AL l AE e AL ɪ AL ʔ AC
တာဂျစ်ကစ္စတန်	t AC a AL d AC ʑ AJ ɪ AL ʔ AC k AC ɪ AL ʔ AC s AJ ə AL t AC a AL ɴ AG
တာတား	t AC a AL t AC a AL
တာမွေ	t AC a AL m AF w AK e AL
တာယာ	t AC a AL j AB a AL
တာရာ	t AC a AL j AB a AL
တာလုဇ	t AC a AL l AE ṵ z AJ a̰ AL
တာဝတိံသာ	t AC a AL w AK a̰ AL t AC e AL ɪ AL ɴ AG θ AJ a AL
တာဝန်	t AC a AL w AK ʊ AM ɴ AG
တာ့ခ်မင်နစ္စတန်	t AC a̰ AL kʰ AD m AF ɪ AL ɴ AG n AG ɪ AL ʔ AC s AJ ə AL t AC a AL ɴ AG
တား	t AC a AL
တိ	t AC ḭ
တိတ်	t AC e AL ɪ AL ʔ AC
တိန်းညက်	t AC e AL ɪ AL ɴ AG ɲ AG ɛ AL ʔ AC
တိပိဋက	t AC ḭ p AH ḭ t AC ə AL k AC a̰ AL
တိမ်	t AC e AL ɪ AL ɴ AG
တိရစ္ဆာန်	t AC ə AL ɹ AB e AL ɪ AL ʔ AC sʰ BA a AL ɴ AG
တိရစ္ဆာန်ရုံ	t AC ə AL ɹ AB e AL ɪ AL ʔ AC sʰ BA a AL ɴ AG j AB o AM ʊ AM ɴ AG
တို	t AC o AM
တိုက်	t AC a AL ɪ AL ʔ AC
တိုက်ခန်း	t AC a AL ɪ AL ʔ AC kʰ AD a AL ɴ AG
တိုက်ပုံ	t AC a AL ɪ AL ʔ AC p AH o AM ʊ AM ɴ AG
တိုက်ပွဲ	t AC a AL ɪ AL ʔ AC p AH w AK ɛ AL
တိုက်အိမ်	t AC a AL ɪ AL ʔ AC ʔ AC e AL ɪ AL ɴ AG
တိုကျို	t AC o AM t AC ɕ AJ o AM
တိုဂို	t AC o AM ɡ AC o AM
တိုင်	t AC a AL ɪ AL ɴ AG
တိုင်ကီ	t AC a AL ɪ AL ɴ AG k AC i AL
တိုင်ပင်	t AC a AL ɪ AL ɴ AG b AH ɪ AL ɴ AG
တိုင်ဖွန်း	t AC a AL ɪ AL ɴ AG pʰ AI ʊ AM ɴ AG
တိုင်းရင်းသား	t AC a AL ɪ AL ɴ AG j AB ɪ AL ɴ AG ð AJ a AL
တိုဖူး	t AC o AM pʰ AI u AM
တိုရှေ	t AC o AM ʃ AJ e AL
တိုဟူး	t AC o AM h AA u AM
တိုဟူးနွေး	t AC o AM h AA u AM n AG w AK e AL
တိုဟူးသုပ်	t AC o AM h AA u AM θ AJ o AM ʊ AM ʔ AC
တို့	d AC o̰ AM
တိုး	t AC o AM
တိုးတက်	t AC o AM t AC ɛ AL ʔ AC
တိုးတက်ခြင်း	t AC o AM t AC ɛ AL ʔ AC d AC ʑ AJ ɪ AL ɴ AG
တိုးတက်ရေး	t AC o AM t AC ɛ AL ʔ AC j AB e AL
တိုးတိုး	t AC o AM d AC o AM
တိုးနရား	t AC o AM n AG ə AL j AB a AL
တိဿ	t AC e AL ɪ AL ʔ AC θ AJ a̰ AL
တိဿဘုရား	t AC e AL ɪ AL ʔ AC θ AJ a̰ AL pʰ AI ə AL j AB a AL
တီ	t AC i AL
တီကောင်	t AC i AL ɡ AC a AL ʊ AM ɴ AG
တီကေ့	t AC i AL k AC ḛ
တီထွင်	t AC i AL tʰ AD w AK ɪ AL ɴ AG
တီထွင်မှု	t AC i AL tʰ AD w AK ɪ AL ɴ AG m̥ AF ṵ
တီဗီ	t AC i AL b AH i AL
တီရှပ်	t AC i AL ʃ AJ a AL ʔ AC
တီဟီရန်	t AC i AL h AA i AL ɹ AB a AL ɴ AG
တီး	t AC i AL
တီးတိုးပြော	t AC i AL d AC o AM p AH j AB ɔ AM
တုတ်	d AC o AM ʊ AM ʔ AC
တုတ်မီး	d AC o AM ʊ AM ʔ AC m AF i AL
တုံး	t AC o AM ʊ AM ɴ AG
တူ	t AC u AM
တူနီးရှား	t AC u AM n AG i AL ʃ AJ a AL
တူမ	t AC u AM m AF a̰ AL
တူရကီ	t AC u AM ɹ AB ə AL k AC i AL
တူရိယာ	t AC u AM ɹ AB ḭ j AB a AL
တူး	t AC u AM
တူးမြောင်း	t AC u AM m AF j AB a AL ʊ AM ɴ AG
တူးရစ်	t AC u AM ɹ AB ɪ AL ʔ AC
တေဇော	t AC e AL z AJ ɔ AM
တေသံ	t AC e AL ð AJ a AL ɴ AG
တော	t AC ɔ AM
တောက်တဲ့	t AC a AL ʊ AM ʔ AC t AC ɛ̰ AL
တောက်ပ	t AC a AL ʊ AM ʔ AC p AH a̰ AL
တောကြက်မောက်	t AC ɔ AM t AC ɕ AJ ɛ AL ʔ AC m AF a AL ʊ AM ʔ AC
တောခွေး	t AC ɔ AM ɡ AC w AK e AL
တောင်	t AC a AL ʊ AM ɴ AG
တောင်ကိုရီးယား	t AC a AL ʊ AM ɴ AG k AC o AM ɹ AB i AL j AB a AL
တောင်ကြား	t AC a AL ʊ AM ɴ AG d AC ʑ AJ a AL
တောင်ကြီး	t AC a AL ʊ AM ɴ AG d AC ʑ AJ i AL
တောင်ငူ	t AC a AL ʊ AM ɴ AG ŋ AG u AM
တောင်ဆူဒန်	t AC a AL ʊ AM ɴ AG sʰ BA u AM d AC a AL ɴ AG
တောင်ပံ	t AC a AL ʊ AM ɴ AG b AH a AL ɴ AG
တောင်ဖက်ဝန်း	t AC a AL ʊ AM ɴ AG pʰ AI ɛ AL ʔ AC w AK ʊ AM ɴ AG
တောင်သူ	t AC a AL ʊ AM ɴ AG ð AJ u AM
တောင်သူလယ်သမား	t AC a AL ʊ AM ɴ AG ð AJ u AM l AE ɛ AL ð AJ ə AL m AF a AL
တောင်သူလယ်သမားနေ့	t AC a AL ʊ AM ɴ AG ð AJ u AM l AE ɛ AL θ AJ ə AL m AF a AL n AG ḛ
တောင်အာဖရိက	t AC a AL ʊ AM ɴ AG ʔ AC a AL pʰ AI ə AL ɹ AB ḭ k AC a̰ AL
တောင်း	t AC a AL ʊ AM ɴ AG
တောင်းပန်	t AC a AL ʊ AM ɴ AG b AH a AL ɴ AG
တောမန်ကျည်း	t AC ɔ AM m AF ə AL d AC ʑ AJ i AL
တောသား	t AC ɔ AM ð AJ a AL
တောသီတင်း	t AC ɔ AM θ AJ i AL d AC ɪ AL ɴ AG
တော်	t AC ɔ AM
တော်ပြီ	t AC ɔ AM b AH i AL
တော်လေးဝ	t AC ɔ AM l AE e AL w AK a̰ AL
တော်လှန်	t AC ɔ AM l̥ AE a AL ɴ AG
တော်လှန်ရေး	t AC ɔ AM l̥ AE a AL ɴ AG j AB e AL
တော်သလင်း	t AC ɔ AM ð AJ ə AL l AE ɪ AL ɴ AG
တေးသံရှင်	t AC e AL θ AJ a AL ɴ AG ʃ AJ ɪ AL ɴ AG
တေးသွား	t AC e AL ð AJ w AK a AL
တဲ	t AC ɛ AL
တဲ့	d AC ɛ̰ AL
တံ	t AC a AL ɴ AG
တံခါး	d AC ə AL ɡ AC a AL
တံခါးဗိုလ်	d AC ə AL ɡ AC a AL b AH o AM
တံခွန်	d AC ə AL ɡ AC ʊ AM ɴ AG
တံခွန်တိုင်	d AC ə AL ɡ AC ʊ AM ɴ AG d AC a AL ɪ AL ɴ AG
တံငါ	t AC ə AL ŋ AG a AL
တံစဉ်	d AC ə AL z AJ ɪ AL ɴ AG
တံစဉ်း	d AC ə AL z AJ ɪ AL ɴ AG
တံဆိပ်	d AC ə AL z AJ e AL ɪ AL ʔ AC
တံဆိပ်ခေါင်း	d AC ə AL z AJ e AL ɪ AL ʔ AC ɡ AC a AL ʊ AM ɴ AG
တံတား	d AC ə AL d AC a AL
တံတိုင်း	d AC ə AL d AC a AL ɪ AL ɴ AG
တံတောင်	d AC ə AL d AC a AL ʊ AM ɴ AG
တံပိုး	d AC ə AL b AH o AM
တံပူ	d AC ə AL b AH u AM
တံမြက်စည်း	d AC ə AL b AH j AB ɛ AL ʔ AC s AJ i AL
တံ့တံ့	t AC a̰ AL ɴ AG d AC a̰ AL ɴ AG
တြိ	t AC ə AL ɹ AB ḭ
တြိဂံ	t AC ɹ AB ḭ ɡ AC a AL ɴ AG
တြိပူရ	t AC ə AL ɹ AB ḭ p AH u AM j AB a̰ AL
တွက်	t AC w AK ɛ AL ʔ AC
တွင်	t AC w AK ɪ AL ɴ AG
တွင်း	t AC w AK ɪ AL ɴ AG
တွန်း	t AC ʊ AM ɴ AG
တွပ်	t AC ʊ AM ʔ AC
တွေ့	t AC w AK ḛ
တွေး	t AC w AK e AL
ထ	tʰ AD a̰ AL
ထက်	tʰ AD ɛ AL ʔ AC
ထက်ဝယ်ဖွဲ့ခွေ	tʰ AD ɛ AL ʔ AC w AK ɛ AL pʰ AI w AK ɛ̰ AL kʰ AD w AK e AL
ထင်	tʰ AD ɪ AL ɴ AG
ထင်စား	tʰ AD ɪ AL ɴ AG z AJ a AL
ထင်း	tʰ AD ɪ AL ɴ AG
ထဆင်ထူး	tʰ AD a̰ AL sʰ BA ɪ AL ɴ AG d AC u AM
ထည်	tʰ AD ɛ AL
ထနောင်း	tʰ AD ə AL n AG a AL ʊ AM ɴ AG
ထန်း	tʰ AD a AL ɴ AG
ထန်းလျက်	tʰ AD ə AL ɲ AG ɛ AL ʔ AC
ထပ်	tʰ AD a AL ʔ AC
ထပ်တစ်ရာ	tʰ AD a AL ʔ AC t AC ə AL j AB a AL
ထဘီ	tʰ AD ə AL m AF i AL
ထမင်း	tʰ AD ə AL m AF ɪ AL ɴ AG
ထမင်းကြော်	tʰ AD ə AL m AF ɪ AL ɴ AG d AC ʑ AJ ɔ AM
ထမင်းချဉ်	tʰ AD ə AL m AF ɪ AL ɴ AG d AC ʑ AJ ɪ AL ɴ AG
ထမင်းဆိုင်	tʰ AD ə AL m AF ɪ AL ɴ AG z AJ a AL ɪ AL ɴ AG
ထမင်းသုပ်	tʰ AD a̰ AL m AF ɪ AL ɴ AG θ AJ o AM ʊ AM ʔ AC
ထမနဲ	tʰ AD a̰ AL m AF a̰ AL n AG ɛ AL
ထယ်	tʰ AD ɛ AL
ထာဝရ	tʰ AD a AL w AK ə AL j AB a̰ AL
ထာဝရဥစ္စာ	tʰ AD a AL w AK ə AL j AB a̰ AL ʔ AC o AM ʊ AM ʔ AC s AJ a AL
ထား	tʰ AD a AL
ထားဝယ်	d AC ə AL w AK ɛ AL
ထိ	tʰ AD ḭ
ထိကပေါက်	tʰ AD ḭ ɡ AC ə AL b AH a AL ʊ AM ʔ AC
ထိပ်ခေါင်တင်	tʰ AD e AL ɪ AL ʔ AC kʰ AD a AL ʊ AM ɴ AG t AC ɪ AL ɴ AG
ထိပ်စုဖုရား	tʰ AD e AL ɪ AL ʔ AC s AJ ṵ pʰ AI ə AL j AB a AL
ထိမ်းမြား	tʰ AD e AL ɪ AL ɴ AG m AF j AB a AL
ထို	tʰ AD o AM
ထိုင်	tʰ AD a AL ɪ AL ɴ AG
ထိုင်ခုံ	tʰ AD a AL ɪ AL ɴ AG ɡ AC o AM ʊ AM ɴ AG
ထိုင်ပေ	tʰ AD a AL ɪ AL ɴ AG p AH e AL
ထိုင်မသိမ်း	tʰ AD a AL ɪ AL ɴ AG m AF ə AL θ AJ e AL ɪ AL ɴ AG
ထိုင်ဝမ်	tʰ AD a AL ɪ AL ɴ AG w AK a AL ɴ AG
ထိုင်း	tʰ AD a AL ɪ AL ɴ AG
ထိုမှာ	tʰ AD o AM m̥ AF a AL
ထိုး	tʰ AD o AM
ထိုးမုန့်	tʰ AD o AM m AF o̰ AM ʊ AM ɴ AG
ထီ	tʰ AD i AL
ထီး	tʰ AD i AL
ထီးတင်	tʰ AD i AL t AC ɪ AL ɴ AG
ထီးဖြူ	tʰ AD i AL b AH j AB u AM
ထုတ်ကုန်	tʰ AD o AM ʊ AM ʔ AC k AC o AM ʊ AM ɴ AG
ထုတ်လုပ်	tʰ AD o AM ʊ AM ʔ AC l AE o AM ʊ AM ʔ AC
ထုတ်လုပ်မှု	tʰ AD o AM ʊ AM ʔ AC l AE o AM ʊ AM ʔ AC m̥ AF ṵ
ထုတ်ဝေသူ	tʰ AD o AM ʊ AM ʔ AC w AK e AL ð AJ u AM
ထုံးစံ	tʰ AD o AM ʊ AM ɴ AG z AJ a AL ɴ AG
ထူ	tʰ AD u AM
ထူထဲ	tʰ AD u AM d AC ɛ AL
ထူပါ	tʰ AD u AM p AH a AL
ထူး	tʰ AD u AM
ထေရဝါဒ	tʰ AD e AL j AB a̰ AL w AK a AL d AC a̰ AL
ထော	tʰ AD ɔ AM
ထောက်	tʰ AD a AL ʊ AM ʔ AC
ထောက်ကြံ့	tʰ AD a AL ʊ AM ʔ AC t AC ɕ AJ a̰ AL ɴ AG
ထောက်ခံ	tʰ AD a AL ʊ AM ʔ AC kʰ AD a AL ɴ AG
ထောက်ပံ့	tʰ AD a AL ʊ AM ʔ AC p AH a̰ AL ɴ AG
ထောင့်	d AC a̰ AL ʊ AM ɴ AG
ထောင်	tʰ AD a AL ʊ AM ɴ AG
ထောင်ကဲ	tʰ AD a AL ʊ AM ɴ AG k AC ɛ AL
ထောင်မှူး	tʰ AD a AL ʊ AM ɴ AG m̥ AF u AM
ထောင်သား	tʰ AD a AL ʊ AM ɴ AG ð AJ a AL
ထောပတ်	tʰ AD ɔ AM b AH a AL ʔ AC
ထောပတ်ထမင်း	tʰ AD ɔ AM b AH a AL ʔ AC tʰ AD ə AL m AF ɪ AL ɴ AG
ထောပတ်သီး	tʰ AD ɔ AM p AH a AL ʔ AC θ AJ i AL
ထော်လာဂျီ	tʰ AD ɔ AM l AE a AL d AC ʑ AJ i AL
ထဲ	tʰ AD ɛ AL
ထံ	tʰ AD a AL ɴ AG
ထွက်	tʰ AD w AK ɛ AL ʔ AC
ထွက်ပေါက်	tʰ AD w AK ɛ AL ʔ AC p AH a AL ʊ AM ʔ AC
ထွက်ပြေး	tʰ AD w AK ɛ AL ʔ AC p AH j AB e AL
ထွန်	tʰ AD ʊ AM ɴ AG
ထွန်စက်	tʰ AD ʊ AM ɴ AG z AJ ɛ AL ʔ AC
ထွန်း	tʰ AD ʊ AM ɴ AG
ထွေး	tʰ AD w AK e AL
ဒကာ	d AC ə AL ɡ AC a AL
ဒက္ခိဏ	d AC ɛ AL ʔ AC kʰ AD ḭ n AG a̰ AL
ဒဂုံ	d AC ə AL ɡ AC o AM ʊ AM ɴ AG
ဒင်္ဂါး	d AC ɪ AL ɴ AG ɡ AC a AL
ဒင်္ဂါးတိုက်	d AC ɪ AL ɴ AG ɡ AC a AL d AC a AL ɪ AL ʔ AC
ဒစ္စကို	d AC ɪ AL ʔ AC s AJ a̰ AL k AC o AM
ဒဏ္ဍာရီ	d AC a AL n AG d AC a AL j AB i AL
ဒဏ်	d AC a AL n AG
ဒဏ်ငွေ	d AC a AL n AG ŋ AG w AK e AL
ဒဏ်ရာ	d AC a AL ɴ AG j AB a AL
ဒထွေး	d AC a̰ AL d AC w AK e AL
ဒန့်သလွန်	d AC a̰ AL ɴ AG ð AJ ə AL l AE ʊ AM ɴ AG
ဒန်ပူ	d AC ə AL b AH u AM
ဒန်း	d AC a AL ɴ AG
ဒသမ	d AC a̰ AL θ AJ ə AL m AF a̰ AL
ဒါ	d AC a AL
ဒါန	d AC a AL n AG a̰ AL
ဒါပါပဲ	d AC a AL b AH a AL b AH ɛ AL
ဒါပေမဲ့	d AC a AL b AH e AL m AF ɛ̰ AL
ဒါပော့	d AC a AL p AH ɔ̰ AM
ဒိန်ခဲ	d AC e AL ɪ AL ɴ AG ɡ AC ɛ AL
ဒိန်ချဉ်	d AC e AL ɪ AL ɴ AG d AC ʑ AJ ɪ AL ɴ AG
ဒိန်းမတ်	d AC e AL ɪ AL ɴ AG m AF a AL ʔ AC
ဒိုင်ခွက်	d AC a AL ɪ AL ɴ AG ɡ AC w AK ɛ AL ʔ AC
ဒိုင်နိုဆော	d AC a AL ɪ AL ɴ AG n AG o AM sʰ BA ɔ AM
ဒိုင်ယာနာ	d AC a AL ɪ AL ɴ AG j AB a AL n AG a AL
ဒိုင်ယာရီ	d AC a AL ɪ AL ɴ AG j AB ə AL ɹ AB i AL
ဒီ	d AC i AL
ဒီဂရီ	d AC i AL ɡ AC ə AL ɹ AB i AL
ဒီဃ	d AC i AL ɡ AC a̰ AL
ဒီဇင်ဘာ	d AC i AL z AJ ɪ AL ɴ AG b AH a AL
ဒီဇိုင်နာ	d AC i AL z AJ a AL ɪ AL ɴ AG n AG a AL
ဒီဇိုင်း	d AC i AL z AJ a AL ɪ AL ɴ AG
ဒီည	d AC i AL ɲ AG a̰ AL
ဒီနေ့	d AC i AL n AG ḛ
ဒီပင်္ကရာ	d AC i AL p AH ɪ AL ɴ AG k AC ə AL ɹ AB a AL
ဒီပင်္ကရာဘုရား	d AC i AL p AH ɪ AL ɴ AG k AC ə AL ɹ AB a AL pʰ AI ə AL j AB a AL
ဒီပါ	d AC i AL p AH a AL
ဒီပါဝလီ	d AC i AL p AH a AL w AK ə AL l AE i AL
ဒီဗီဒီ	d AC i AL b AH i AL d AC i AL
ဒီမိုကရေစီ	d AC i AL m AF o AM k AC ə AL ɹ AB e AL s AJ i AL
ဒီမှာ	d AC i AL m̥ AF a AL
ဒီလို	d AC i AL l AE o AM
ဒီဟာ	d AC i AL h AA a AL
ဒု	d AC ṵ
ဒုက္ခ	d AC o AM ʊ AM ʔ AC kʰ AD a̰ AL
ဒုက္ခသည်	d AC o AM ʊ AM ʔ AC kʰ AD a̰ AL ð AJ e AL
ဒုက္ခိတ	d AC o AM ʊ AM ʔ AC kʰ AD ḭ t AC a̰ AL
ဒုတိယ	d AC ṵ t AC ḭ j AB a̰ AL
ဒုတိယတပ်ကြပ်	d AC ṵ t AC ḭ j AB a̰ AL t AC a AL ʔ AC t AC ɕ AJ a AL ʔ AC
ဒုတိယဗိုလ်	d AC ṵ t AC ḭ j AB a̰ AL b AH o AM
ဒုတိယဗိုလ်ချုပ်ကြီး	d AC ṵ t AC ḭ j AB a̰ AL b AH o AM d AC ʑ AJ o AM ʊ AM ʔ AC d AC ʑ AJ i AL
ဒုတိယဗိုလ်ချုပ်မှူးကြီး	d AC ṵ t AC ḭ j AB a̰ AL b AH o AM d AC ʑ AJ o AM ʊ AM ʔ AC m̥ AF u AM d AC ʑ AJ i AL
ဒုတိယဗိုလ်မှူးကြီး	d AC ṵ t AC ḭ j AB a̰ AL b AH o AM m̥ AF u AM d AC ʑ AJ i AL
ဒုတိယအရာခံဗိုလ်	d AC ṵ t AC ḭ j AB a̰ AL ʔ AC ə AL j AB a AL ɡ AC a AL ɴ AG b AH o AM
ဒုဗ္ဘိက္ခန္တရကပ်	d AC o AM ʊ AM ʔ AC b AH e AL ɪ AL ʔ AC kʰ AD a AL ɴ AG t AC ə AL ɹ AB a̰ AL k AC a AL ʔ AC
ဒုယင်တော်	d AC ə AL j AB ɪ AL ɴ AG d AC ɔ AM
ဒုံမင်း	d AC o AM ʊ AM ɴ AG m AF ɪ AL ɴ AG
ဒုံး	d AC o AM ʊ AM ɴ AG
ဒုံးပျံ	d AC o AM ʊ AM ɴ AG b AH j AB a AL ɴ AG
ဒူလာ	d AC u AM l AE a AL
ဒူး	d AC u AM
ဒူးခေါင်း	d AC u AM ɡ AC a AL ʊ AM ɴ AG
ဒူးထောက်	d AC u AM tʰ AD a AL ʊ AM ʔ AC
ဒူးရင်းယို	d AC u AM j AB ɪ AL ɴ AG j AB o AM
ဒူးရင်းသီး	d AC u AM j AB ɪ AL ɴ AG θ AJ i AL
ဒူးလေး	d AC u AM l AE e AL
ဒူးဝါး	d AC u AM w AK a AL
ဒေတာဘေ့စ်	d AC e AL t AC a AL b AH ḛ s AJ
ဒေဝ	d AC e AL w AK a̰ AL
ဒေဝဒတ်	d AC e AL w AK ə AL d AC a AL ʔ AC
ဒေဝနာဂရီ	d AC e AL w AK a̰ AL n AG a AL ɡ AC ə AL ɹ AB i AL
ဒေဝါလီခံ	d AC e AL w AK a AL l AE i AL kʰ AD a AL ɴ AG
ဒေဝီ	d AC e AL w AK i AL
ဒေသ	d AC e AL θ AJ a̰ AL
ဒေသန္တရ	d AC e AL θ AJ a AL ɴ AG t AC ə AL j AB a̰ AL
ဒေသန္တရစကား	d AC e AL θ AJ a AL ɴ AG t AC ə AL ɹ AB a̰ AL z AJ ə AL ɡ AC a AL
ဒေသိယစကား	d AC e AL θ AJ ḭ j AB a̰ AL z AJ ə AL ɡ AC a AL
ဒေါက်တာ	d AC a AL ʊ AM ʔ AC t AC a AL
ဒေါင်း	d AC a AL ʊ AM ɴ AG
ဒေါင်းလန်း	d AC a AL ʊ AM ɴ AG l AE a AL ɴ AG
ဒေါ်	d AC ɔ AM
ဒေါ်ကြီး	d AC ɔ AM d AC ʑ AJ i AL
ဒေါ်လာ	d AC ɔ AM l AE a AL
ဒေါ်လေး	d AC ɔ AM l AE e AL
ဒံပေါက်	d AC a AL ɴ AG p AH a AL ʊ AM ʔ AC
ဒြပ်	d AC ə AL ɹ AB a AL ʔ AC
ဒြပ်စင်	d AC ə AL ɹ AB a AL ʔ AC s AJ ɪ AL ɴ AG
ဒြပ်ထု	d AC ə AL ɹ AB a AL ʔ AC tʰ AD u AM
ဒွယံဒွယံ	d AC w AK a̰ AL j AB a AL ɴ AG d AC w AK a̰ AL j AB a AL ɴ AG
ဒွာရ	d AC w AK a AL j AB a̰ AL
ဒွိ	d AC w AK ḭ
ဒွိလိင်	d AC w AK ḭ l AE e AL ɪ AL ɴ AG
ဒွေးဘော်	d AC w AK e AL b AH ɔ AM
ဒဿဂီရိ	d AC ə AL θ AJ a̰ AL ɡ AC i AL j AB ḭ
ဒဿနဗေဒ	d AC a̰ AL θ AJ ə AL n AG a̰ AL b AH e AL d AC a̰ AL
ဒဿနိကဗေဒ	d AC a̰ AL θ AJ ə AL n AG ḭ k AC a̰ AL b AH e AL d AC a̰ AL
ဓနရှင်	d AC ə AL n AG a̰ AL ʃ AJ ɪ AL ɴ AG
ဓနိတ	d AC ə AL n AG ḭ t AC a̰ AL
ဓနု	d AC ə AL n AG ṵ
ဓမ္မ	d AC ə AL m AF a̰ AL
ဓမ္မတာ	d AC ə AL m AF ə AL d AC a AL
ဓမ္မတာကာလ	d AC ə AL m AF ə AL d AC a AL k AC a AL l AE a̰ AL
ဓမ္မတာလာ	d AC ə AL m AF ə AL d AC a AL l AE a AL
ဓမ္မတာဝန်	d AC ə AL m AF ə AL d AC a AL w AK ʊ AM ɴ AG
ဓမ္မဒဿီ	d AC ə AL m AF a̰ AL m AF a̰ AL d AC a AL ʔ AC θ AJ i AL
ဓမ္မဒဿီဘုရား	d AC ə AL m AF a̰ AL d AC ə AL t AC θ AJ i AL pʰ AI ə AL j AB a AL
ဓမ္မပါလ	d AC a AL ɴ AG m AF a̰ AL p AH a AL l AE a̰ AL
ဓမ္မသတ်	d AC ə AL m AF ə AL θ AJ a AL ʔ AC
ဓလေ့	d AC ə AL l AE ḛ
ဓအောက်ခြိုက်	d AC a̰ AL ʔ AC a AL ʊ AM ʔ AC t AC ɕʰ BA a AL ɪ AL ʔ AC
ဓာတုဗေဒ	d AC a AL t AC ṵ b AH e AL d AC a̰ AL
ဓာတ်	d AC a AL ʔ AC
ဓာတ်ကြီးလေးပါး	d AC a AL t AC t AC ɕ AJ i AL l AE e AL p AH a AL
ဓာတ်ခဲ	d AC a AL ʔ AC kʰ AD e AL
ဓာတ်ခွက်	d AC a AL t AC kʰ AD w AK ɛ AL ʔ AC
ဓာတ်ငွေ့	d AC a AL ʔ AC ŋ AG w AK ḛ
ဓာတ်ဆီ	d AC a AL ʔ AC sʰ BA i AL
ဓာတ်ဆီဆိုင်	d AC a AL ʔ AC sʰ BA i AL z AJ a AL ɪ AL ɴ AG
ဓာတ်ပုံ	d AC a AL ʔ AC p AH o AM ʊ AM ɴ AG
ဓာတ်ပြား	d AC a AL ʔ AC p AH j AB a AL
ဓာတ်မီးခြစ်	d AC a AL ʔ AC m AF i AL d AC ʑ AJ ɪ AL ʔ AC
ဓာတ်မီးပူ	d AC a AL ʔ AC m AF i AL b AH u AM
ဓာတ်လှေကား	d AC a AL ʔ AC l̥ AE e AL ɡ AC a AL
ဓာတ်အိုး	d AC a AL ʔ AC ʔ AC o AM
ဓား	d AC a AL
ဓားစာခံ	d AC ə AL z AJ a AL ɡ AC a AL ɴ AG
ဓားပြ	d AC ə AL m AF j AB a̰ AL
ဓားပြား	d AC ə AL b AH j AB a AL
ဓားအိမ်	d AC ə AL ʔ AC e AL ɪ AL ɴ AG
နက္ခတ္တဗေဒ	n AG ɛ AL ʔ AC kʰ AD ə AL t AC a̰ AL b AH e AL d AC a̰ AL
နက်	n AG ɛ AL ʔ AC
နက်ဖြန်	n AG ɛ AL ʔ AC pʰ AI j AB a AL ɴ AG
နကျယ်ကောင်	n AG ə AL d AC ʑ AJ ɛ AL ɡ AC a AL ʊ AM ɴ AG
နဂါး	n AG ə AL ɡ AC a AL
နဂါးမောက်	n AG a̰ AL ɡ AC a AL m AF a AL ʊ AM ʔ AC
နဂါးမောက်သီး	n AG a̰ AL ɡ AC a AL m AF a AL ʊ AM ʔ AC θ AJ i AL
နငယ်	n AG a̰ AL ŋ AG ɛ AL
နင်	n AG ɪ AL ɴ AG
နင်တို့	n AG ɪ AL ɴ AG d AC o̰ AM
နည်း	n AG ɛ AL
နည်းနည်း	n AG ɛ AL n AG ɛ AL
နည်းနည်းချင်း	n AG i AL n AG i AL t AC ɕʰ BA ɪ AL ɴ AG
နည်းပညာ	n AG i AL p AH j AB ɪ AL ɴ AG ɲ AG a AL
နတ်	n AG a AL ʔ AC
နတ်ကွန်း	n AG a AL ʔ AC k AC ʊ AM ɴ AG
နတ်ဆိုး	n AG a AL ʔ AC sʰ BA o AM
နတ်တော်	n AG ə AL d AC ɔ AM
နတ်နန်း	n AG a AL ʔ AC n AG a AL ɴ AG
နတ်ပြည်ခြောက်ထပ်	n AG a AL ʔ AC p AH j AB i AL t AC ɕʰ BA a AL ʊ AM ʔ AC tʰ AD a AL ʔ AC
နတ်ရွာစံ	n AG a AL ʔ AC j AB w AK a AL s AJ a AL ɴ AG
နတ်သုဓာ	n AG a AL ʔ AC θ AJ o AM ʊ AM ʔ AC d AC a AL
နတ်သုဓာထမင်း	n AG a AL ʔ AC θ AJ o AM ʊ AM ʔ AC d AC a AL tʰ AD ə AL m AF ɪ AL ɴ AG
နဒီ	n AG ə AL d AC i AL
နန္ဒာ	n AG a AL ɴ AG d AC a AL
နန်း	n AG a AL ɴ AG
နန်းကထိ	n AG a AL ɴ AG k AC ə AL tʰ AD ḭ
နန်းကြီး	n AG a AL ɴ AG t AC ɕ AJ i AL
နန်းကြီးသုပ်	n AG a AL ɴ AG t AC ɕ AJ i AL θ AJ o AM ʊ AM ʔ AC
