't	t
werpa	w AC e AD r p a AD
wigwig	w AC i AD ɡ w AC i AD ɡ
wika	w AC i AD k a AD ʔ
wiklas	w AC i AD k l a AD s
wilik	w AC i AD l i AD k
wiliwid	w AC i AD l i AD w AC i AD d
windang	w AC i AD n d a AD ŋ
wingkag	w AC i AD ŋ k a AD ɡ
wisik	w AC i AD s i AD k
wisit	w AC i AD s i AD t
wiski	w AC i AD s k i AD
wiswis	w AC i AD s w AC i AD s
witwit	w AC i AD t w AC i AD t
wong	w AC o AF ŋ
wu	w AC uː AG
yaang	j AB a AD ʔ a AD ŋ
yagban	j AB a AD ɡ b a AD n
yagit	j AB a AD ɡ i AD t
yakap	j AB a AD k a AD p
yalung	j AB a AD l u AF ŋ
yaman	j AB a AD m a AD n
yamutmot	j AB a AD m u AF t m o AF t
yan	j AB a AD n
yang	j AB a AD ŋ
yangasngas	j AB a AD ŋ a AD s ŋ a AD s
yangit	j AB a AD ŋ i AD t
yangot	j AB a AD ŋ o AF t
yanig	j AB a AD n i AD ɡ
yano	j AB a AD n o AF
yantas	j AB a AD n t a AD s
yantok	j AB a AD n t o AF k
yao	j AB a AD w AC
yaon	j AB a AD o AF n
yap	j AB a AD p
yarda	j AB a AD ɾ d a AD
yasay	j AB a AD s a AD i AD
yata	j AB a AD t a AD ʔ
yatab	j AB a AD t a AD b
yatco	j AB a AD t k o AF
yate	j AB a AD t e AD
yatyat	j AB a AD t j AB a AD t
ybañez	ʔ i AD b a AD ɲ ɛ AD s
yee	j AB i AD
yelo	j AB e AD l o AF
yepes	j AB ɛ AD p ɛ AD s
yongco	j AB ɔ AF ŋ k o AF
young	j AB ɐ AF ŋ
yukyok	j AB u AF k j AB o AF k
yumabang	j AB u AF m a AD b a AD ŋ
yumabong	j AB u AF m a AD b o AF ŋ
yumahod	j AB u AF m a AD h AA o AF d
yumakap	j AB u AF m a AD k a AD p
yumaman	j AB u AF m a AD m a AD n
yumamot	j AB u AF m a AD m o AF t
yumanig	j AB u AF m a AD n i AD ɡ
yumari	j AB u AF m a AD ɾ i AD ʔ
yumasak	j AB u AF m a AD s a AD k
yumukdo	j AB u AF m u AF k d o AF
yumuko	j AB u AF m u AF k o AF ʔ
yumurak	j AB u AF m u AF ɾ a AD k
yung	j AB ʊ AF ŋ
yungib	j AB u AF ŋ i AD b
yuvienco	j AB u AF b i AD ɛ AD n k o AF
yñiguez	j AB ɲ i AD ɡ ɛ AD s
zafra	s a AD p ɾ a AD
zaide	s a AD i AD d ɛ AD
zapanta	s a AD p a AD n t a AD
zavalla	s a AD b a AD l l a AD
zhang	t ʃ o AF ŋ
zoleta	s o AF l ɛ AD t a AD
zubiri	a AD b a AD d j AB a AD n o AF
zuñiga	s u AF ɲ i AD ɡ a AD
