ँ	ə̃ AN
छलाँग	t AB ʃʰ AC ə AJ l̪ AD ä̃ː ŋ AF ɡ AB
छलाँगना	t AB ʃʰ AC ə AJ l̪ AD ä̃ː ŋ AF ɡ AB n̪ AF äː
छलावा	t AB ʃʰ AC ə AJ l̪ AD äː ʋ AI äː
छलिया	t AB ʃʰ AC ə AJ l̪ AD i AJ j AA äː
छली	t AB ʃʰ AC ə AJ l̪ AD iː AJ
छाँव	t AB ʃʰ AC ä̃ː ʋ AI
छांटना	t AB ʃʰ AC ä̃ː ʈ AB n̪ AF äː
छाई	t AB ʃʰ AC äː iː AJ
छाछ	t AB ʃʰ AC äː t AB ʃʰ AC
छाती	t AB ʃʰ AC äː t̪ AB iː AJ
छात्र	t AB ʃʰ AC äː t̪ AB ɾ BA
छात्रवृत्ति	t AB ʃʰ AC äː t̪ AB ɾ BA ə AJ ʋ AI ɾ BA ɪ AJ t̪̚ t̪ AB iː AJ
छात्रसंघ	t AB ʃʰ AC äː t̪ AB ɾ BA ə AJ s̪ AB ə̃ AN ŋ AF ɡʱ AC
छात्रा	t AB ʃʰ AC äː t̪ AB ɾ BA äː
छात्रावास	t AB ʃʰ AC äː t̪ AB ɾ BA äː ʋ AI äː s̪ AB
छानना	t AB ʃʰ AC ä̃ː n̪ AF n̪ AF äː
छाप	t AB ʃʰ AC äː p AG
छापशाला	t AB ʃʰ AC äː p AG ʃ AB äː l̪ AD äː
छापा	t AB ʃʰ AC äː p AG äː
छापाख़ाना	t AB ʃʰ AC äː p AG äː x AB äː n̪ AF äː
छापामार	t AB ʃʰ AC äː p AG äː m AE äː ɾ BA
छापाशाला	t AB ʃʰ AC äː p AG äː ʃ AB äː l̪ AD äː
छापेख़ाना	t AB ʃʰ AC äː p AG eː AJ x AB äː n̪ AF äː
छाया	t AB ʃʰ AC äː j AA äː
छायाकार	t AB ʃʰ AC äː j AA äː k AB äː ɾ BA
छायावाद	t AB ʃʰ AC äː j AA äː ʋ AI äː d̪ AB
छाल	t AB ʃʰ AC äː l̪ AD
छाला	t AB ʃʰ AC äː l̪ AD äː
छावनी	t AB ʃʰ AC äː ʋ AI n̪ AF iː AJ
छिटकना	t AB ʃʰ AC ɪ AJ ʈ AB ə AJ k AB n̪ AF äː
छिड़काव	t AB ʃʰ AC ɪ AJ ɽ BA k AB äː ʋ AI
छितराना	t AB ʃʰ AC ɪ AJ t̪ AB ɾ BA äː n̪ AF äː
छिन	t AB ʃʰ AC ɪ̃ AN n̪ AF
छिपकली	t AB ʃʰ AC ɪ AJ p AG k AB ə AJ l̪ AD iː AJ
छिपाना	t AB ʃʰ AC ɪ AJ p AG äː n̪ AF äː
छियानवे	t AB ʃʰ AC i AJ j AA ä̃ː n̪ AF w AI eː AJ
छियालीस	t AB ʃʰ AC i AJ j AA äː l̪ AD iː AJ s̪ AB
छियासठ	t AB ʃʰ AC i AJ j AA äː s̪ AB ə AJ ʈʰ AC
छियासी	t AB ʃʰ AC i AJ j AA äː s̪ AB iː AJ
छिलका	t AB ʃʰ AC ɪ AJ l̪ AD k AB äː
छिहत्तर	t AB ʃʰ AC ɪ AJ ɦ AL ə AJ t̪̚ t̪ AB ə AJ ɾ BA
छीनाझपटी	t AB ʃʰ AC iː AJ n̪ AF äː d AB ʒʱ ə AJ p AG ʈ AB iː AJ
छुआछूत	t AB ʃʰ AC ʊ AK äː t AB ʃʰ AC uː AK t̪ AB
छुट्टी	t AB ʃʰ AC ʊ AK ʈ̚ ʈ AB iː AJ
छुपना	t AB ʃʰ AC ʊ AK p AG n̪ AF äː
छुपा	t AB ʃʰ AC ʊ AK p AG äː
छुपाना	t AB ʃʰ AC ʊ AK p AG äː n̪ AF äː
छुरा	t AB ʃʰ AC ʊ AK ɾ BA äː
छूटना	t AB ʃʰ AC uː AK ʈ AB n̪ AF äː
छूना	t AB ʃʰ AC uː AK n̪ AF äː
छेड़छाड़	t AB ʃʰ AC eː AJ ɽ BA t AB ʃʰ AC äː ɽ BA
छेदना	t AB ʃʰ AC eː AJ d̪̚ AB n̪ AF äː
छेना	t AB ʃʰ AC eː AJ n̪ AF äː
छोग्याल	t AB ʃʰ AC oː AK ɡ AB j AA äː l̪ AD
छोटा	t AB ʃʰ AC oː AK ʈ AB äː
छोड़ना	t AB ʃʰ AC oː AK ɽ BA n̪ AF äː
छोरा	t AB ʃʰ AC oː AK ɾ BA äː
छोला	t AB ʃʰ AC oː AK l̪ AD äː
छोले	t AB ʃʰ AC oː AK l̪ AD eː AJ
छौंक	t AB ʃʰ AC ɔ̃ː AM ŋ AF k AB
जँभाई	d AB ʒ AB ə̃ AN m AE bʱ AH äː iː AJ
जंग	d AB ʒ AB ə̃ AN ŋ AF ɡ AB
जंगजू	d AB ʒ AB ə̃ AN ŋ AF ɡ AB d AB ʒ AB uː AK
जंगम	d AB ʒ AB ə̃ AN ŋ AF ɡ AB ə̃ AN m AE
जंगल	d AB ʒ AB ə̃ AN ŋ AF ɡ AB ə AJ l̪ AD
जंगी	d AB ʒ AB ə̃ AN ŋ AF ɡ AB iː AJ
जंतर	d AB ʒ AB ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA
जंभ	d AB ʒ AB ə̃ AN m AE bʱ AH
जकार्ता	d AB ʒ AB ə AJ k AB äː ɾ BA t̪ AB äː
जगमगाना	d AB ʒ AB ə AJ ɡ AB m AE ə AJ ɡ AB äː n̪ AF äː
जगह	d AB ʒ AB ə AJ ɡ AB äː
जगाना	d AB ʒ AB ə AJ ɡ AB äː n̪ AF äː
जज़ा	d AB ʒ AB ə AJ z AB äː
जज़ीरा	d AB ʒ AB ə AJ z AB iː AJ ɾ BA äː
जज़्बात	d AB ʒ AB ə AJ z AB b AG äː t̪ AB
जज्बा	d AB ʒ AB ə AJ z AB b AG äː
जटा	d AB ʒ AB ə AJ ʈ AB äː
जटिल	d AB ʒ AB ə AJ ʈ AB ɪ AJ l̪ AD
जड़त्व	d AB ʒ AB ə AJ ɽ BA ə AJ t̪ AB w AI
जताना	d AB ʒ AB ə AJ t̪ AB äː n̪ AF äː
जन	d AB ʒ AB ə̃ AN n̪ AF
जनक	d AB ʒ AB ə AJ n̪ AF ə AJ k AB
जनकपुर	d AB ʒ AB ə AJ n̪ AF ə AJ k AB p AG ʊ AK ɾ BA
जनजाति	d AB ʒ AB ə̃ AN n̪ AF d AB ʒ AB äː t̪ AB iː AJ
जनतंत्र	d AB ʒ AB ə̃ AN n̪ AF t̪ AB ə̃ AN n̪ AF t̪ AB ɾ BA
जनता	d AB ʒ AB ə̃ AN n̪ AF t̪ AB äː
जनना	d AB ʒ AB ə̃ AN n̪ AF n̪ AF äː
जननी	d AB ʒ AB ə̃ AN n̪ AF n̪ AF iː AJ
जनपद	d AB ʒ AB ə̃ AN n̪ AF p AG ə AJ d̪ AB
जनप्रतिनिधि	d AB ʒ AB ə̃ AN n̪ AF p AG ɾ BA ə AJ t̪ AB ɪ AJ n̪ AF ɪ AJ d̪ʱ AC iː AJ
जनप्रतिनिधित्व	d AB ʒ AB ə̃ AN n̪ AF p AG ɾ BA ə AJ t̪ AB ɪ AJ n̪ AF ɪ AJ d̪ʱ AC ɪ AJ t̪ AB w AI
जनभाषा	d AB ʒ AB ə̃ AN n̪ AF bʱ AH äː ʃ AB äː
जनमतसंग्रह	d AB ʒ AB ə̃ AN n̪ AF m AE ə AJ t̪ AB s̪ AB ə̃ AN ŋ AF ɡ AB ɾ BA ə AJ ɦ AL
जनरल	d AB ʒ AB ə̃ AN n̪ AF ɾ BA ə AJ l̪ AD
जनवरी	d AB ʒ AB ə̃ AN n̪ AF w AI ə AJ ɾ BA iː AJ
जनवादी	d AB ʒ AB ə̃ AN n̪ AF w AI äː d̪ AB iː AJ
जनसंख्या	d AB ʒ AB ə̃ AN n̪ AF s̪ AB ə̃ AN ŋ AF kʰ AC j AA äː
जनसांख्यिकी	d AB ʒ AB ə̃ AN n̪ AF s̪ AB ä̃ː kʰ AC j AA ɪ AJ k AB iː AJ
जनसेवक	d AB ʒ AB ə̃ AN n̪ AF s̪ AB eː AJ ʋ AI ə AJ k AB
जनाज़ा	d AB ʒ AB ə AJ n̪ AF äː z AB äː
जनाधार	d AB ʒ AB ə AJ n̪ AF äː d̪ʱ AC äː ɾ BA
जनाब	d AB ʒ AB ə AJ n̪ AF äː b AG
जनूब	d AB ʒ AB ə AJ n̪ AF uː AK b AG
जनूबी	d AB ʒ AB ə AJ n̪ AF uː AK b AG iː AJ
जनेऊ	d AB ʒ AB ə AJ n̪ AF eː AJ uː AK
जन्नत	d AB ʒ AB ə̃ AN n̪ AF n̪ AF ə AJ t̪ AB
जन्म	d AB ʒ AB ə̃ AN n̪ AF m AE
जन्मदिन	d AB ʒ AB ə̃ AN n̪ AF m AE d̪ AB ɪ̃ AN n̪ AF
जन्मना	d AB ʒ AB ə̃ AN n̪ AF m AE n̪ AF äː
जन्मभूमि	d AB ʒ AB ə̃ AN n̪ AF m AE bʱ AH uː AK m AE iː AJ
जपना	d AB ʒ AB ə AJ p AG n̪ AF äː
जबड़ा	d AB ʒ AB ə AJ b AG ɽ BA äː
जबलपुर	d AB ʒ AB ə AJ b AG ə AJ l̪ AD p AG ʊ AK ɾ BA
जमना	d AB ʒ AB ə̃ AN m AE n̪ AF äː
जमवाना	d AB ʒ AB ə̃ AN m AE w AI äː n̪ AF äː
जमशेदपुर	d AB ʒ AB ə̃ AN m AE ʃ AB eː AJ d̪ AB p AG ʊ AK ɾ BA
जमाअत	d AB ʒ AB ə AJ m AE äː ə AJ t̪ AB
जमाई	d AB ʒ AB ə AJ m AE äː iː AJ
जमाकर्ता	d AB ʒ AB ə AJ m AE äː k AB ə AJ ɾ BA t̪ AB äː
जमाख़ोरी	d AB ʒ AB ə AJ m AE äː x AB oː AK ɾ BA iː AJ
जमात	d AB ʒ AB ə AJ m AE äː t̪ AB
जमाना	z AB ə AJ m AE äː n̪ AF äː
जमाव	d AB ʒ AB ə AJ m AE äː ʋ AI
जमीन	z AB ə AJ m AE ĩː n̪ AF
जमैका	d AB ʒ AB ə AJ m AE ɛː AJ k AB äː
जम्मू	d AB ʒ AB ə̃ AN m AE m AE uː AK
जम्हूरियत	d AB ʒ AB ə̃ AN m AE ɦ AL uː AK ɾ BA i AJ j AA ə AJ t̪ AB
जयकार	d AB ʒ AB ə AJ j AA k AB äː ɾ BA
जर्मन	d AB ʒ AB ə AJ ɾ BA m AE ə̃ AN n̪ AF
जर्मनी	d AB ʒ AB ə AJ ɾ BA m AE ə AJ n̪ AF iː AJ
जर्राह	d AB ʒ AB ə AJ ɾ BA ɾ BA äː ɦ AL
जल	d AB ʒ AB ə AJ l̪ AD
जलचालित	d AB ʒ AB ə AJ l̪ AD t AB ʃ AB äː l̪ AD ɪ AJ t̪ AB
जलज	d AB ʒ AB ə AJ l̪ AD ə AJ d AB ʒ AB
जलजनित	d AB ʒ AB ə AJ l̪ AD d AB ʒ AB ə AJ n̪ AF ɪ AJ t̪ AB
जलजमाव	d AB ʒ AB ə AJ l̪ AD d AB ʒ AB ə AJ m AE äː ʋ AI
जलना	d AB ʒ AB ə AJ l̪ AD n̪ AF äː
जलपान	d AB ʒ AB ə AJ l̪ AD p AG ä̃ː n̪ AF
जलमार्ग	d AB ʒ AB ə AJ l̪ AD m AE äː ɾ BA ɡ AB
जलवा	d AB ʒ AB ə AJ l̪ AD ʋ AI äː
जलसा	d AB ʒ AB ə AJ l̪ AD s̪ AB äː
जलसिंह	d AB ʒ AB ə AJ l̪ AD s̪ AB ɪ̃ AN ɦ AL
जलाऊ	d AB ʒ AB ə AJ l̪ AD äː uː AK
जलाना	d AB ʒ AB ə AJ l̪ AD äː n̪ AF äː
जलारेख	d AB ʒ AB ə AJ l̪ AD äː ɾ BA eː AJ kʰ AC
जलाल	d AB ʒ AB ə AJ l̪ AD äː l̪ AD
जलालाबाद	d AB ʒ AB ə AJ l̪ AD äː l̪ AD äː b AG äː d̪ AB
जलाशय	d AB ʒ AB ə AJ l̪ AD äː ʃ AB ə AJ j AA
जलित	d AB ʒ AB ə AJ l̪ AD ɪ AJ t̪ AB
जलीय	d AB ʒ AB ə AJ l̪ AD iː AJ j AA
जलेबी	d AB ʒ AB ə AJ l̪ AD eː AJ b AG iː AJ
जल्द	d AB ʒ AB ə AJ l̪ AD d̪ AB
जल्दबाज़ी	d AB ʒ AB ə AJ l̪ AD d̪ AB b AG äː z AB iː AJ
जल्दी	d AB ʒ AB ə AJ l̪ AD d̪ AB iː AJ
जल्लाद	d AB ʒ AB ə AJ l̪ AD l̪ AD äː d̪ AB
जवा	d AB ʒ AB ə AJ ʋ AI äː
जवान	d AB ʒ AB ə AJ ʋ AI ä̃ː n̪ AF
जवानी	d AB ʒ AB ə AJ ʋ AI äː n̪ AF iː AJ
जवाब	d AB ʒ AB ə AJ ʋ AI äː b AG
जवार	d AB ʒ AB ə AJ ʋ AI äː ɾ BA
जवारी	d AB ʒ AB ə AJ ʋ AI äː ɾ BA iː AJ
जशन	d AB ʒ AB ə AJ ʃ AB ə̃ AN n̪ AF
जस्ता	d AB ʒ AB ə AJ s̪ AB t̪ AB äː
जहन्नम	d AB ʒ AB ɛ AJ ɦ AL ɛ̃ AN n̪ AF n̪ AF ə̃ AN m AE
जहन्नुम	d AB ʒ AB ɛ AJ ɦ AL ɛ̃ AN n̪ AF n̪ AF ʊ̃ AM m AE
जहर	z AB ɛ AJ ɦ AL ɛ AJ ɾ BA
जहाँगीर	d AB ʒ AB ə AJ ɦ AL ä̃ː ŋ AF ɡ AB iː AJ ɾ BA
जहाज	d AB ʒ AB ə AJ ɦ AL äː z AB
जहाज़	d AB ʒ AB ə AJ ɦ AL äː z AB
जहान	d AB ʒ AB ə AJ ɦ AL ä̃ː n̪ AF
ज़ंजीर	z AB ə̃ AN n̪ AF d AB ʒ AB iː AJ ɾ BA
ज़कात	z AB ə AJ k AB äː t̪ AB
ज़ख़ीरा	z AB ə AJ x AB iː AJ ɾ BA äː
ज़नाना	z AB ə AJ n̪ AF äː n̪ AF äː
ज़बान	z AB ə AJ b AG ä̃ː n̪ AF
ज़बानी	z AB ə AJ b AG äː n̪ AF iː AJ
ज़मानत	z AB ə AJ m AE äː n̪ AF ə AJ t̪ AB
ज़माना	z AB ə AJ m AE äː n̪ AF äː
ज़मीन	z AB ə AJ m AE ĩː n̪ AF
ज़मीनी	z AB ə AJ m AE iː AJ n̪ AF iː AJ
ज़रिया	z AB ə AJ ɾ BA i AJ j AA äː
ज़र्रा	z AB ə AJ ɾ BA ɾ BA äː
ज़लज़ला	z AB ə AJ l̪ AD z AB ə AJ l̪ AD äː
ज़हर	z AB ɛ AJ ɦ AL ɛ AJ ɾ BA
ज़हरीला	z AB ɛ AJ ɦ AL ɾ BA iː AJ l̪ AD äː
ज़हरीली	z AB ɛ AJ ɦ AL ɾ BA iː AJ l̪ AD iː AJ
ज़ात	z AB äː t̪ AB
ज़ायक़ा	z AB äː j AA q AB äː
ज़ाया	z AB äː j AA äː
ज़ालिम	z AB äː l̪ AD ɪ̃ AN m AE
ज़ाहिर	z AB äː ɦ AL ɪ AJ ɾ BA
ज़िंदगी	z AB ɪ̃ AN n̪ AF d̪ AB ə AJ ɡ AB iː AJ
ज़िंदा	z AB ɪ̃ AN n̪ AF d̪ AB äː
ज़िंदाबाद	z AB ɪ̃ AN n̪ AF d̪ AB äː b AG äː d̪ AB
ज़िंबाब्वे	z AB ɪ̃ AN m AE b AG äː b AG w AI eː AJ
ज़िन्दगी	z AB ɪ̃ AN n̪ AF d̪ AB ə AJ ɡ AB iː AJ
ज़िम्बाब्वे	z AB ɪ̃ AN m AE b AG äː b AG w AI eː AJ
ज़िला	z AB ɪ AJ l̪ AD äː
ज़िलाधीश	z AB ɪ AJ l̪ AD äː d̪ʱ AC iː AJ ʃ AB
ज़ीना	z AB iː AJ n̪ AF äː
ज़ीरा	z AB iː AJ ɾ BA äː
ज़ुकाम	z AB ʊ AK k AB ä̃ː m AE
ज़ुल्फ़	z AB ʊ AK l̪ AD f AG
ज़ुल्म	z AB ʊ AK l̪ AD m AE
ज़ेहन	z AB ɛ AJ ɦ AL ɛ̃ AN n̪ AF
ज़ैतून	z AB ɛː AJ t̪ AB ũː n̪ AF
ज़ोरदार	z AB oː AK ɾ BA d̪ AB äː ɾ BA
ज़्यादती	z AB j AA äː d̪ AB ə AJ t̪ AB iː AJ
ज़्यादातर	z AB j AA äː d̪ AB äː t̪ AB ə AJ ɾ BA
जा	d AB ʒ AB äː
जाँघ	d AB ʒ AB ä̃ː ŋ AF ɡʱ AC
जाँघिया	d AB ʒ AB ä̃ː ŋ AF ɡʱ AC i AJ j AA äː
जाँच	d AB ʒ AB ä̃ː t AB ʃ AB
जाँचना	d AB ʒ AB ä̃ː t AB ʃ AB n̪ AF äː
जाँबाज़	d AB ʒ AB ä̃ː m AE b AG äː z AB
जांघ	d AB ʒ AB ä̃ː ŋ AF ɡʱ AC
जाएगा	d AB ʒ AB äː eː AJ ɡ AB äː
जागना	d AB ʒ AB äː ɡ AB n̪ AF äː
जागरूकता	d AB ʒ AB äː ɡ AB ɾ BA uː AK k AB t̪ AB äː
जाट	d AB ʒ AB äː ʈ AB
जाड़ा	d AB ʒ AB äː ɽ BA äː
जाति	d AB ʒ AB äː t̪ AB iː AJ
जातिगत	d AB ʒ AB äː t̪ AB ɪ AJ ɡ AB ə AJ t̪ AB
जातिवाद	d AB ʒ AB äː t̪ AB ɪ AJ ʋ AI äː d̪ AB
जातिवादी	d AB ʒ AB äː t̪ AB iː AJ ʋ AI äː d̪ AB iː AJ
जातीय	d AB ʒ AB äː t̪ AB iː AJ j AA
जादू	d AB ʒ AB äː d̪ AB uː AK
जादूगर	d AB ʒ AB äː d̪ AB uː AK ɡ AB ə AJ ɾ BA
जादूगरनी	d AB ʒ AB äː d̪ AB uː AK ɡ AB ə AJ ɾ BA n̪ AF iː AJ
जान	d AB ʒ AB ä̃ː n̪ AF
जानकार	d AB ʒ AB ä̃ː n̪ AF k AB äː ɾ BA
जानकारी	d AB ʒ AB ä̃ː n̪ AF k AB äː ɾ BA iː AJ
जानना	d AB ʒ AB ä̃ː n̪ AF n̪ AF äː
जानबूझकर	d AB ʒ AB ä̃ː n̪ AF b AG uː AK d AB ʒʱ k AB ə AJ ɾ BA
जानलेवा	d AB ʒ AB ä̃ː n̪ AF l̪ AD eː AJ ʋ AI äː
जानवर	d AB ʒ AB ä̃ː n̪ AF w AI ə AJ ɾ BA
जानवरो	d AB ʒ AB ä̃ː n̪ AF w AI ə AJ ɾ BA oː AK
जानवरों	d AB ʒ AB ä̃ː n̪ AF w AI ə AJ ɾ BA õː
जाना	d AB ʒ AB äː n̪ AF äː
जानी	d AB ʒ AB äː n̪ AF iː AJ
जापान	d AB ʒ AB äː p AG ä̃ː n̪ AF
जापानी	d AB ʒ AB äː p AG äː n̪ AF iː AJ
जाम	d AB ʒ AB ä̃ː m AE
जामन	d AB ʒ AB äː m AE ə̃ AN n̪ AF
जामनी	d AB ʒ AB ä̃ː m AE n̪ AF iː AJ
जामाता	d AB ʒ AB äː m AE äː t̪ AB äː
जामुन	d AB ʒ AB äː m AE ʊ̃ AM n̪ AF
जायज़	d AB ʒ AB äː j AA ə AJ z AB
जायज़ा	d AB ʒ AB äː j AA z AB äː
जायदाद	d AB ʒ AB äː j AA d̪ AB äː d̪ AB
जायफल	d AB ʒ AB äː j AA pʰ AH ə AJ l̪ AD
जारक	d AB ʒ AB äː ɾ BA ə AJ k AB
जारी	d AB ʒ AB äː ɾ BA iː AJ
जाल	d AB ʒ AB äː l̪ AD
जालपृष्ठ	d AB ʒ AB äː l̪ AD p AG ɾ BA ɪ AJ ʂ AB ʈʰ AC
जाला	d AB ʒ AB äː l̪ AD äː
जावा	d AB ʒ AB äː ʋ AI äː
जावित्री	d AB ʒ AB äː ʋ AI ɪ AJ t̪ AB ɾ BA iː AJ
जासूस	d AB ʒ AB äː s̪ AB uː AK s̪ AB
जासूसी	d AB ʒ AB äː s̪ AB uː AK s̪ AB iː AJ
जाहिल	d AB ʒ AB äː ɦ AL ɪ AJ l̪ AD
जिंस	d AB ʒ AB ɪ̃ AN n̪ AF s̪ AB
जिजीविषा	d AB ʒ AB ɪ AJ d AB ʒ AB iː AJ ʋ AI ɪ AJ ʃ AB äː
जिज्ञासा	d AB ʒ AB ɪ AJ ɡ AB j AA äː s̪ AB äː
जितना	d AB ʒ AB ɪ AJ t̪̚ n̪ AF äː
जिताना	d AB ʒ AB ɪ AJ t̪ AB äː n̪ AF äː
जिन	d AB ʒ AB ɪ̃ AN n̪ AF
जिनका	d AB ʒ AB ɪ̃ AN n̪ AF k AB äː
जिना	z AB ɪ AJ n̪ AF äː
जिन्न	d AB ʒ AB ɪ̃ AN n̪ AF n̪ AF
जिन्हें	d AB ʒ AB ɪ̃ AN n̪ AF ɦ AL ẽː
जिन्होंने	d AB ʒ AB ɪ̃ AN n̪ AF ɦ AL õː n̪ AF n̪ AF eː AJ
जिमीकंद	d AB ʒ AB ɪ AJ m AE iː AJ k AB ə̃ AN n̪ AF d̪ AB
जियरा	d AB ʒ AB ɪ AJ j AA ɾ BA äː
जिल्द	d AB ʒ AB ɪ AJ l̪ AD d̪ AB
जिस	d AB ʒ AB ɪ AJ s̪ AB
जिसका	d AB ʒ AB ɪ AJ s̪ AB k AB äː
जिसको	d AB ʒ AB ɪ AJ s̪ AB k AB oː AK
जिसने	d AB ʒ AB ɪ AJ s̪ AB n̪ AF eː AJ
जिसमें	d AB ʒ AB ɪ AJ s̪ AB m AE ẽː
जिससे	d AB ʒ AB ɪ AJ s̪ AB s̪ AB eː AJ
जिसे	d AB ʒ AB ɪ AJ s̪ AB eː AJ
जीजा	d AB ʒ AB iː AJ d AB ʒ AB äː
जीतना	d AB ʒ AB iː AJ t̪̚ n̪ AF äː
जीन	d AB ʒ AB ĩː n̪ AF
जीना	d AB ʒ AB iː AJ n̪ AF äː
जीरा	d AB ʒ AB iː AJ ɾ BA äː
जीवन	d AB ʒ AB iː AJ ʋ AI ə̃ AN n̪ AF
जीवनी	d AB ʒ AB iː AJ ʋ AI n̪ AF iː AJ
जीवाश्म	d AB ʒ AB iː AJ ʋ AI äː ʃ AB m AE
जुआ	d AB ʒ AB ʊ AK äː
जुआरी	d AB ʒ AB ʊ AK äː ɾ BA iː AJ
जुगनू	d AB ʒ AB ʊ AK ɡ AB n̪ AF uː AK
जुगलबंदी	d AB ʒ AB ʊ AK ɡ AB ə AJ l̪ AD b AG ə̃ AN n̪ AF d̪ AB iː AJ
जुटाना	d AB ʒ AB ʊ AK ʈ AB äː n̪ AF äː
जुड़ना	d AB ʒ AB ʊ AK ɽ BA n̪ AF äː
जुड़वाँ	d AB ʒ AB ʊ AK ɽ BA ʋ AI ä̃ː
जुताई	d AB ʒ AB ʊ AK t̪ AB äː iː AJ
जुदा	d AB ʒ AB ʊ AK d̪ AB äː
जुदाई	d AB ʒ AB ʊ AK d̪ AB äː iː AJ
जुनहार	d AB ʒ AB ʊ̃ AM n̪ AF ɦ AL äː ɾ BA
जुनून	d AB ʒ AB ʊ AK n̪ AF ũː n̪ AF
जुन्हाई	d AB ʒ AB ʊ̃ AM n̪ AF ɦ AL äː iː AJ
जुमला	d AB ʒ AB ʊ̃ AM m AE l̪ AD äː
जुमा	d AB ʒ AB ʊ AK m AE äː
जुमेरात	d AB ʒ AB ʊ AK m AE eː AJ ɾ BA äː t̪ AB
जुर्माना	d AB ʒ AB ʊ AK ɾ BA m AE äː n̪ AF äː
जुलना	d AB ʒ AB ʊ AK l̪ AD n̪ AF äː
जुलाई	d AB ʒ AB ʊ AK l̪ AD äː iː AJ
जुलूस	d AB ʒ AB ʊ AK l̪ AD uː AK s̪ AB
जुस्तजू	d AB ʒ AB ʊ AK s̪ AB t̪ AB ə AJ d AB ʒ AB uː AK
जूझना	d AB ʒ AB uː AK d AB ʒʱ n̪ AF äː
जूड़ा	d AB ʒ AB uː AK ɽ BA äː
जूता	d AB ʒ AB uː AK t̪ AB äː
जून	d AB ʒ AB ũː n̪ AF
जूलाई	d AB ʒ AB uː AK l̪ AD äː iː AJ
जेठानी	d AB ʒ AB eː AJ ʈʰ AC äː n̪ AF iː AJ
जेद्दा	d AB ʒ AB eː AJ d̪̚ AB d̪ AB äː
जेल	d AB ʒ AB eː AJ l̪ AD
जैकबाबाद	d AB ʒ AB ɛː AJ k AB b AG äː b AG äː d̪ AB
जैगुआर	d AB ʒ AB ɛː AJ ɡ AB ʊ AK äː ɾ BA
जैतून	z AB ɛː AJ t̪ AB ũː n̪ AF
जैसा	d AB ʒ AB ɛː AJ s̪ AB äː
जॉर्जिया	d AB ʒ AB ɔ AK ɾ BA d AB ʒ AB i AJ j AA äː
जॉर्डन	d AB ʒ AB ɔ AK ɾ BA ɖ AB ə̃ AN n̪ AF
जोंक	d AB ʒ AB õː ŋ AF k AB
जोखना	d AB ʒ AB oː AK kʰ AC n̪ AF äː
जोखिम	d AB ʒ AB oː AK kʰ AC ɪ̃ AN m AE
जोड़ना	d AB ʒ AB oː AK ɽ BA n̪ AF äː
जोतना	d AB ʒ AB oː AK t̪̚ n̪ AF äː
जोबन	d AB ʒ AB oː AK b AG ə̃ AN n̪ AF
जोरदार	z AB oː AK ɾ BA d̪ AB äː ɾ BA
जोर्जिया	d AB ʒ AB oː AK ɾ BA d AB ʒ AB i AJ j AA äː
जोशीला	d AB ʒ AB oː AK ʃ AB iː AJ l̪ AD äː
जोहना	d AB ʒ AB oː AK ɦ AL n̪ AF äː
जोहानसबर्ग	d AB ʒ AB oː AK ɦ AL äː n̪ AF ə AJ s̪ AB b AG ə AJ ɾ BA ɡ AB
ज्ञात	ɡ AB j AA äː t̪ AB
ज्ञाता	ɡ AB j AA äː t̪ AB äː
ज्ञातृत्व	ɡ AB j AA äː t̪ AB ɾ BA ɪ AJ t̪ AB w AI
ज्ञान	ɡ AB j AA ä̃ː n̪ AF
ज्ञानकोष	ɡ AB j AA ä̃ː n̪ AF k AB oː AK ʃ AB
ज्ञानमीमांसा	ɡ AB j AA ä̃ː n̪ AF m AE iː AJ m AE ä̃ː n̪ AF s̪ AB äː
ज्ञानवर्धन	ɡ AB j AA ä̃ː n̪ AF w AI ə AJ ɾ BA d̪ʱ AC ə̃ AN n̪ AF
ज्ञानी	ɡ AB j AA äː n̪ AF iː AJ
ज्यादा	z AB j AA äː d̪ AB äː
ज्योतिरिंगण	d AB ʒ AB j AA oː AK t̪ AB ɪ AJ ɾ BA ɪ̃ AN ŋ AF ɡ AB ə̃ AN ɳ AF
ज्योतिष	d AB ʒ AB j AA oː AK t̪ AB ɪ AJ ʃ AB
ज्वार	d AB ʒ AB ʋ AI äː ɾ BA
ज्वालामुखी	d AB ʒ AB ʋ AI äː l̪ AD äː m AE ʊ AK kʰ AC iː AJ
झंझट	d AB ʒʱ ə̃ AN n̪ AF d AB ʒʱ ə AJ ʈ AB
झंडा	d AB ʒʱ ə̃ AN ɳ AF ɖ AB äː
झक्कड़	d AB ʒʱ ə AJ k̚ k AB ə AJ ɽ BA
झगड़ना	d AB ʒʱ ə AJ ɡ AB ə AJ ɽ BA n̪ AF äː
झगड़ा	d AB ʒʱ ə AJ ɡ AB ɽ BA äː
झगड़ालू	d AB ʒʱ ə AJ ɡ AB ɽ BA äː l̪ AD uː AK
झटका	d AB ʒʱ ə AJ ʈ AB k AB äː
झनझन	d AB ʒʱ ə̃ AN n̪ AF d AB ʒʱ ə̃ AN n̪ AF
झमेला	d AB ʒʱ ə AJ m AE eː AJ l̪ AD äː
झरना	d AB ʒʱ ə AJ ɾ BA n̪ AF äː
झरोखा	d AB ʒʱ ə AJ ɾ BA oː AK kʰ AC äː
