Ⴁ	b
ერისთავი	ɛ AB r i AB s tʰ ɑ AB v i AB
ერისკაცი	ɛ AB r i AB s kʼ ɑ AB t s i AB
ერიტრეა	ɛ AB r i AB tʼ r ɛ AB ɑ AB
ერკემალი	ɛ AB r kʼ ɛ AB m ɑ AB l i AB
ერმა	ɛ AB r m ɑ AB
ერნესტი	ɛ AB r n ɛ AB s tʼ i AB
ეროვნება	ɛ AB r ɔ AC v n ɛ AB b ɑ AB
ეროვნული	ɛ AB r ɔ AC v n u AC l i AB
ეროზია	ɛ AB r ɔ AC z i AB ɑ AB
ეროზიული	ɛ AB r ɔ AC z i AB u AC l i AB
ერს	ɛ AB r s
ერუდირებულად	ɛ AB r u AC d i AB r ɛ AB b u AC l ɑ AB d
ერუდირებული	ɛ AB r u AC d i AB r ɛ AB b u AC l i AB
ერუდიცია	ɛ AB r u AC d i AB t s i AB ɑ AB
ერქვა	ɛ AB r kʰ v ɑ AB
ერქვანი	ɛ AB r kʰ v ɑ AB n i AB
ერცჰერცოგი	ɛ AB r t s h AA ɛ AB r t s ɔ AC ɡ i AB
ეს	ɛ AB s
ესე	ɛ AB s ɛ AB
ესეთი	ɛ AB s ɛ AB tʰ i AB
ესეი	ɛ AB s ɛ AB i AB
ესეისტი	ɛ AB s ɛ AB i AB s tʼ i AB
ესენი	ɛ AB s ɛ AB n i AB
ესთეტი	ɛ AB s tʰ ɛ AB tʼ i AB
ესთეტიკა	ɛ AB s tʰ ɛ AB tʼ i AB kʼ ɑ AB
ესთეტიკური	ɛ AB s tʰ ɛ AB tʼ i AB kʼ u AC r i AB
ესთეტიურად	ɛ AB s tʰ ɛ AB tʼ i AB u AC r ɑ AB d
ესკადრონი	ɛ AB s kʼ ɑ AB d r ɔ AC n i AB
ესკალატორი	ɛ AB s kʼ ɑ AB l ɑ AB tʼ ɔ AC r i AB
ესკალაცია	ɛ AB s kʼ ɑ AB l ɑ AB t s i AB ɑ AB
ესკიზურად	ɛ AB s kʼ i AB z u AC r ɑ AB d
ესკიზური	ɛ AB s kʼ i AB z u AC r i AB
ესკორტი	ɛ AB s kʼ ɔ AC r tʼ i AB
ესპანეთი	ɛ AB s pʼ ɑ AB n ɛ AB tʰ i AB
ესპანეთით	ɛ AB s pʼ ɑ AB n ɛ AB tʰ i AB tʰ
ესპანეთის	ɛ AB s pʼ ɑ AB n ɛ AB tʰ i AB s
ესპანეთმა	ɛ AB s pʼ ɑ AB n ɛ AB tʰ m ɑ AB
ესპანეთს	ɛ AB s pʼ ɑ AB n ɛ AB tʰ s
ესპანური	ɛ AB s pʼ ɑ AB n u AC r i AB
ესპარცეტები	ɛ AB s pʼ ɑ AB r t s ɛ AB tʼ ɛ AB b i AB
ესპარცეტი	ɛ AB s pʼ ɑ AB r t s ɛ AB tʼ i AB
ესპერანტო	ɛ AB s pʼ ɛ AB r ɑ AB n tʼ ɔ AC
ესტაკადა	ɛ AB s tʼ ɑ AB kʼ ɑ AB d ɑ AB
ესტონეთი	ɛ AB s tʼ ɔ AC n ɛ AB tʰ i AB
ეტარებინა	ɛ AB tʼ ɑ AB r ɛ AB b i AB n ɑ AB
ეტიკეტი	ɛ AB tʼ i AB kʼ ɛ AB tʼ i AB
ეტიმოლოგია	ɛ AB tʼ i AB m ɔ AC l ɔ AC ɡ i AB ɑ AB
ეტიმოლოგიური	ɛ AB tʼ i AB m ɔ AC l ɔ AC ɡ i AB u AC r i AB
ეტიუდი	ɛ AB tʼ i AB u AC d i AB
ეტლი	ɛ AB tʼ l i AB
ეტრატი	ɛ AB tʼ r ɑ AB tʼ i AB
ეტყვის	ɛ AB tʼ qʼ v i AB s
ეტყობა	ɛ AB tʼ qʼ ɔ AC b ɑ AB
ეუბნება	ɛ AB u AC b n ɛ AB b ɑ AB
ეუფროსება	ɛ AB u AC pʰ r ɔ AC s ɛ AB b ɑ AB
ეფემერული	ɛ AB pʰ ɛ AB m ɛ AB r u AC l i AB
ეფენდი	ɛ AB pʰ ɛ AB n d i AB
ეფექტი	ɛ AB pʰ ɛ AB kʰ tʼ i AB
ეფექტურად	ɛ AB pʰ ɛ AB kʰ tʼ u AC r ɑ AB d
ეფექტური	ɛ AB pʰ ɛ AB kʰ tʼ u AC r i AB
ეფექტურობა	ɛ AB pʰ ɛ AB kʰ tʼ u AC r ɔ AC b ɑ AB
ეფუზია	ɛ AB pʰ u AC z i AB ɑ AB
ექვსგზის	ɛ AB kʰ v s ɡ z i AB s
ექვსი	ɛ AB kʰ v s i AB
ექვსკუთხა	ɛ AB kʰ v s kʼ u AC tʰ x ɑ AB
ექვსკუთხედი	ɛ AB kʰ v s kʼ u AC tʰ x ɛ AB d i AB
ექთანი	ɛ AB kʰ tʰ ɑ AB n i AB
ექიმად	ɛ AB kʰ i AB m ɑ AB d
ექიმბაში	ɛ AB kʰ i AB m b ɑ AB ʃ i AB
ექიმბაშობა	ɛ AB kʰ i AB m b ɑ AB ʃ ɔ AC b ɑ AB
ექიმი	ɛ AB kʰ i AB m i AB
ექიმით	ɛ AB kʰ i AB m i AB tʰ
ექიმის	ɛ AB kʰ i AB m i AB s
ექიმმა	ɛ AB kʰ i AB m m ɑ AB
ექიმს	ɛ AB kʰ i AB m s
ექნებოდა	ɛ AB kʰ n ɛ AB b ɔ AC d ɑ AB
ექო	ɛ AB kʰ ɔ AC
ექსკრემენტი	ɛ AB kʰ s kʼ r ɛ AB m ɛ AB n tʼ i AB
ექსკურსანტი	ɛ AB kʰ s kʼ u AC r s ɑ AB n tʼ i AB
ექსკურსია	ɛ AB kʰ s kʼ u AC r s i AB ɑ AB
ექსპანსიურად	ɛ AB kʰ s pʼ ɑ AB n s i AB u AC r ɑ AB d
ექსპანსიური	ɛ AB kʰ s pʼ ɑ AB n s i AB u AC r i AB
ექსპედიცია	ɛ AB kʰ s pʼ ɛ AB d i AB t s i AB ɑ AB
ექსპერიმენტალურად	ɛ AB kʰ s pʼ ɛ AB r i AB m ɛ AB n tʼ ɑ AB l u AC r ɑ AB d
ექსპერიმენტი	ɛ AB kʰ s pʼ ɛ AB r i AB m ɛ AB n tʼ i AB
ექსპერიმენტულად	ɛ AB kʰ s pʼ ɛ AB r i AB m ɛ AB n tʼ u AC l ɑ AB d
ექსპლუატაცია	ɛ AB kʰ s pʼ l u AC ɑ AB tʼ ɑ AB t s i AB ɑ AB
ექსპონატი	ɛ AB kʰ s pʼ ɔ AC n ɑ AB tʼ i AB
ექსპონენტი	ɛ AB kʰ s pʼ ɔ AC n ɛ AB n tʼ i AB
ექსპონენტურად	ɛ AB kʰ s pʼ ɔ AC n ɛ AB n tʼ u AC r ɑ AB d
ექსპორტიორი	ɛ AB kʰ s pʼ ɔ AC r tʼ i AB ɔ AC r i AB
ექსპრესი	ɛ AB kʰ s pʼ r ɛ AB s i AB
ექსპრესია	ɛ AB kʰ s pʼ r ɛ AB s i AB ɑ AB
ექსპრომტად	ɛ AB kʰ s pʼ r ɔ AC m tʼ ɑ AB d
ექსპრომტი	ɛ AB kʰ s pʼ r ɔ AC m tʼ i AB
ექსპრომტული	ɛ AB kʰ s pʼ r ɔ AC m tʼ u AC l i AB
ექსტაზი	ɛ AB kʰ s tʼ ɑ AB z i AB
ექსტაზურად	ɛ AB kʰ s tʼ ɑ AB z u AC r ɑ AB d
ექსტაზური	ɛ AB kʰ s tʼ ɑ AB z u AC r i AB
ექსტრავაგანტულად	ɛ AB kʰ s tʼ r ɑ AB v ɑ AB ɡ ɑ AB n tʼ u AC l ɑ AB d
ექსტრაქტი	ɛ AB kʰ s tʼ r ɑ AB kʰ tʼ i AB
ექსტრემისტი	ɛ AB kʰ s tʼ r ɛ AB m i AB s tʼ i AB
ექსჰუმაცია	ɛ AB kʰ s h AA u AC m ɑ AB t s i AB ɑ AB
ეღვიძება	ɛ AB ɣ v i AB d z ɛ AB b ɑ AB
ეშელონი	ɛ AB ʃ ɛ AB l ɔ AC n i AB
ეშვი	ɛ AB ʃ v i AB
ეშინია	ɛ AB ʃ i AB n i AB ɑ AB
ეშმა	ɛ AB ʃ m ɑ AB
ეშმაკად	ɛ AB ʃ m ɑ AB kʼ ɑ AB d
ეშმაკეული	ɛ AB ʃ m ɑ AB kʼ ɛ AB u AC l i AB
ეშმაკი	ɛ AB ʃ m ɑ AB kʼ i AB
ეშმაკით	ɛ AB ʃ m ɑ AB kʼ i AB tʰ
ეშმაკის	ɛ AB ʃ m ɑ AB kʼ i AB s
ეშმაკისებრ	ɛ AB ʃ m ɑ AB kʼ i AB s ɛ AB b r
ეშმაკმა	ɛ AB ʃ m ɑ AB kʼ m ɑ AB
ეშმაკობა	ɛ AB ʃ m ɑ AB kʼ ɔ AC b ɑ AB
ეშმაკს	ɛ AB ʃ m ɑ AB kʼ s
ეშმაკურად	ɛ AB ʃ m ɑ AB kʼ u AC r ɑ AB d
ეშხი	ɛ AB ʃ x i AB
ეშხიანი	ɛ AB ʃ x i AB ɑ AB n i AB
ეწევი	ɛ AB t sʼ ɛ AB v i AB
ეწვევა	ɛ AB t sʼ v ɛ AB v ɑ AB
ეწოდა	ɛ AB t sʼ ɔ AC d ɑ AB
ეჭვი	ɛ AB t ʃʼ v i AB
ეჭვიანად	ɛ AB t ʃʼ v i AB ɑ AB n ɑ AB d
ეჭვიანი	ɛ AB t ʃʼ v i AB ɑ AB n i AB
ეჭვიანობა	ɛ AB t ʃʼ v i AB ɑ AB n ɔ AC b ɑ AB
ეხა	ɛ AB x ɑ AB
ეხლა	ɛ AB x l ɑ AB
ეხმაურება	ɛ AB x m ɑ AB u AC r ɛ AB b ɑ AB
ეხუტება	ɛ AB x u AC tʼ ɛ AB b ɑ AB
ეჯი	ɛ AB d ʒ i AB
ვ	v
ვაგინალური	v ɑ AB ɡ i AB n ɑ AB l u AC r i AB
ვაგონი	v ɑ AB ɡ ɔ AC n i AB
ვადა	v ɑ AB d ɑ AB
ვაზელინი	v ɑ AB z ɛ AB l i AB n i AB
ვაზი	v ɑ AB z i AB
ვაზნა	v ɑ AB z n ɑ AB
ვაი	v ɑ AB i AB
ვაიმე	v ɑ AB i AB m ɛ AB
ვაკანსია	v ɑ AB kʼ ɑ AB n s i AB ɑ AB
ვაკანტური	v ɑ AB kʼ ɑ AB n tʼ u AC r i AB
ვაკე	v ɑ AB kʼ ɛ AB
ვაკუუმი	v ɑ AB kʼ u AC u AC m i AB
ვალდებულება	v ɑ AB l d ɛ AB b u AC l ɛ AB b ɑ AB
ვალდებული	v ɑ AB l d ɛ AB b u AC l i AB
ვალენტობა	v ɑ AB l ɛ AB n tʼ ɔ AC b ɑ AB
ვალი	v ɑ AB l i AB
ვალიშვილი	v ɑ AB l i AB ʃ v i AB l i AB
ვალსი	v ɑ AB l s i AB
ვალუტა	v ɑ AB l u AC tʼ ɑ AB
ვამპირი	v ɑ AB m pʼ i AB r i AB
ვანადიუმი	v ɑ AB n ɑ AB d i AB u AC m i AB
ვანდალიზმი	v ɑ AB n d ɑ AB l i AB z m i AB
ვანეთი	v ɑ AB n ɛ AB tʰ i AB
ვანი	v ɑ AB n i AB
ვანილი	v ɑ AB n i AB l i AB
ვანო	v ɑ AB n ɔ AC
ვანუატუ	v ɑ AB n u AC ɑ AB tʼ u AC
ვაპირებ	v ɑ AB pʼ i AB r ɛ AB b
ვაჟა	v ɑ AB ʒ ɑ AB
ვაჟი	v ɑ AB ʒ i AB
ვაჟიშვილი	v ɑ AB ʒ i AB ʃ v i AB l i AB
ვაჟკაცი	v ɑ AB ʒ kʼ ɑ AB t s i AB
ვაჟკაცობა	v ɑ AB ʒ kʼ ɑ AB t s ɔ AC b ɑ AB
ვაჟკაცურად	v ɑ AB ʒ kʼ ɑ AB t s u AC r ɑ AB d
ვაჟკაცური	v ɑ AB ʒ kʼ ɑ AB t s u AC r i AB
ვაჟკაცურობა	v ɑ AB ʒ kʼ ɑ AB t s u AC r ɔ AC b ɑ AB
ვარ	v ɑ AB r
ვარამი	v ɑ AB r ɑ AB m i AB
ვარაუდი	v ɑ AB r ɑ AB u AC d i AB
ვარაუდით	v ɑ AB r ɑ AB u AC d i AB tʰ
ვარგისად	v ɑ AB r ɡ i AB s ɑ AB d
ვარგისი	v ɑ AB r ɡ i AB s i AB
ვარგისობა	v ɑ AB r ɡ i AB s ɔ AC b ɑ AB
ვარდანიძე	v ɑ AB r d ɑ AB n i AB d z ɛ AB
ვარდი	v ɑ AB r d i AB
ვარდისუბანი	v ɑ AB r d i AB s u AC b ɑ AB n i AB
ვარდისფერი	v ɑ AB r d i AB s pʰ ɛ AB r i AB
ვარდკაჭაჭა	v ɑ AB r d kʼ ɑ AB t ʃʼ ɑ AB t ʃʼ ɑ AB
ვარდნა	v ɑ AB r d n ɑ AB
ვართ	v ɑ AB r tʰ
ვარია	v ɑ AB r i AB ɑ AB
ვარიაცია	v ɑ AB r i AB ɑ AB t s i AB ɑ AB
ვარსკვლავი	v ɑ AB r s kʼ v l ɑ AB v i AB
ვარსკვლავური	v ɑ AB r s kʼ v l ɑ AB v u AC r i AB
ვარშავა	v ɑ AB r ʃ ɑ AB v ɑ AB
ვარშანიძე	v ɑ AB r ʃ ɑ AB n i AB d z ɛ AB
ვარცხნილობა	v ɑ AB r t s x n i AB l ɔ AC b ɑ AB
ვარხვი	v ɑ AB r x v i AB
ვარჯიშობს	v ɑ AB r d ʒ i AB ʃ ɔ AC b s
ვასალური	v ɑ AB s ɑ AB l u AC r i AB
ვატერლოო	v ɑ AB tʼ ɛ AB r l ɔ AC ɔ AC
ვატი	v ɑ AB tʼ i AB
ვატიკანი	v ɑ AB tʼ i AB kʼ ɑ AB n i AB
ვაფლი	v ɑ AB pʰ l i AB
ვაფშე	v ɑ AB pʰ ʃ ɛ AB
ვაქსი	v ɑ AB kʰ s i AB
ვაქცინა	v ɑ AB kʰ t s i AB n ɑ AB
ვაქცინაცია	v ɑ AB kʰ t s i AB n ɑ AB t s i AB ɑ AB
ვაშა	v ɑ AB ʃ ɑ AB
ვაშაძე	v ɑ AB ʃ ɑ AB d z ɛ AB
ვაშინგტონი	v ɑ AB ʃ i AB n ɡ tʼ ɔ AC n i AB
ვაშლატამა	v ɑ AB ʃ l ɑ AB tʼ ɑ AB m ɑ AB
ვაშლი	v ɑ AB ʃ l i AB
ვაცი	v ɑ AB t s i AB
ვაჭარი	v ɑ AB t ʃʼ ɑ AB r i AB
ვაჭრობა	v ɑ AB t ʃʼ r ɔ AC b ɑ AB
ვახ	v ɑ AB x
ვახო	v ɑ AB x ɔ AC
ვახტანგ	v ɑ AB x tʼ ɑ AB n ɡ
ვახტანგი	v ɑ AB x tʼ ɑ AB n ɡ i AB
ვახტანგური	v ɑ AB x tʼ ɑ AB n ɡ u AC r i AB
ვახშამი	v ɑ AB x ʃ ɑ AB m i AB
ვახში	v ɑ AB x ʃ i AB
ვგრძნობ	v ɡ r d z n ɔ AC b
ვგრძნობთ	v ɡ r d z n ɔ AC b tʰ
ვედრებით	v ɛ AB d r ɛ AB b i AB tʰ
ვედრო	v ɛ AB d r ɔ AC
ვეება	v ɛ AB ɛ AB b ɑ AB
ვეებერთელა	v ɛ AB ɛ AB b ɛ AB r tʰ ɛ AB l ɑ AB
ვეზირი	v ɛ AB z i AB r i AB
ველვეტი	v ɛ AB l v ɛ AB tʼ i AB
ველი	v ɛ AB l i AB
ველოსიპედი	v ɛ AB l ɔ AC s i AB pʼ ɛ AB d i AB
ველურად	v ɛ AB l u AC r ɑ AB d
ველური	v ɛ AB l u AC r i AB
ველურობა	v ɛ AB l u AC r ɔ AC b ɑ AB
ვენა	v ɛ AB n ɑ AB
ვენახი	v ɛ AB n ɑ AB x i AB
ვენერა	v ɛ AB n ɛ AB r ɑ AB
ვენერიული	v ɛ AB n ɛ AB r i AB u AC l i AB
ვენესუელა	v ɛ AB n ɛ AB s u AC ɛ AB l ɑ AB
ვენეცია	v ɛ AB n ɛ AB t s i AB ɑ AB
ვენეციური	v ɛ AB n ɛ AB t s i AB u AC r i AB
ვენტილაცია	v ɛ AB n tʼ i AB l ɑ AB t s i AB ɑ AB
ვენური	v ɛ AB n u AC r i AB
ვერ	v ɛ AB r
ვერა	v ɛ AB r ɑ AB
ვერაგად	v ɛ AB r ɑ AB ɡ ɑ AB d
ვერაგი	v ɛ AB r ɑ AB ɡ i AB
ვერაგობა	v ɛ AB r ɑ AB ɡ ɔ AC b ɑ AB
ვერანა	v ɛ AB r ɑ AB n ɑ AB
ვერანდა	v ɛ AB r ɑ AB n d ɑ AB
ვერასგზით	v ɛ AB r ɑ AB s ɡ z i AB tʰ
ვერასდროს	v ɛ AB r ɑ AB s d r ɔ AC s
ვერასოდეს	v ɛ AB r ɑ AB s ɔ AC d ɛ AB s
ვერაფერი	v ɛ AB r ɑ AB pʰ ɛ AB r i AB
ვერბენა	v ɛ AB r b ɛ AB n ɑ AB
ვერდიქტი	v ɛ AB r d i AB kʰ tʼ i AB
ვერმიშელი	v ɛ AB r m i AB ʃ ɛ AB l i AB
ვერნონი	v ɛ AB r n ɔ AC n i AB
ვერონიკა	v ɛ AB r ɔ AC n i AB kʼ ɑ AB
ვერსია	v ɛ AB r s i AB ɑ AB
ვერტიკალურად	v ɛ AB r tʼ i AB kʼ ɑ AB l u AC r ɑ AB d
ვერტიკალური	v ɛ AB r tʼ i AB kʼ ɑ AB l u AC r i AB
ვერტმფრენი	v ɛ AB r tʼ m pʰ r ɛ AB n i AB
ვერფი	v ɛ AB r pʰ i AB
ვერცხლად	v ɛ AB r t s x l ɑ AB d
ვერცხლი	v ɛ AB r t s x l i AB
ვერცხლით	v ɛ AB r t s x l i AB tʰ
ვერცხლის	v ɛ AB r t s x l i AB s
ვერცხლისფერი	v ɛ AB r t s x l i AB s pʰ ɛ AB r i AB
ვერცხლისწყალი	v ɛ AB r t s x l i AB s t sʼ qʼ ɑ AB l i AB
ვერცხლმა	v ɛ AB r t s x l m ɑ AB
ვერცხლს	v ɛ AB r t s x l s
ვერძი	v ɛ AB r d z i AB
ვერხვი	v ɛ AB r x v i AB
ვესტერნი	v ɛ AB s tʼ ɛ AB r n i AB
ვესტიბიული	v ɛ AB s tʼ i AB b i AB u AC l i AB
ვეტერანი	v ɛ AB tʼ ɛ AB r ɑ AB n i AB
ვეტერინალური	v ɛ AB tʼ ɛ AB r i AB n ɑ AB l u AC r i AB
ვეტერინარი	v ɛ AB tʼ ɛ AB r i AB n ɑ AB r i AB
ვეტო	v ɛ AB tʼ ɔ AC
ვეფხვი	v ɛ AB pʰ x v i AB
ვეფხისტყაოსანი	v ɛ AB pʰ x i AB s tʼ qʼ ɑ AB ɔ AC s ɑ AB n i AB
ვექტორი	v ɛ AB kʰ tʼ ɔ AC r i AB
ვეშაპი	v ɛ AB ʃ ɑ AB pʼ i AB
ვეწევი	v ɛ AB t sʼ ɛ AB v i AB
ვთქვა	v tʰ kʰ v ɑ AB
ვთქვათ	v tʰ kʰ v ɑ AB tʰ
ვთქვი	v tʰ kʰ v i AB
ვიადუკი	v i AB ɑ AB d u AC kʼ i AB
ვიაროთ	v i AB ɑ AB r ɔ AC tʰ
ვიბრატორი	v i AB b r ɑ AB tʼ ɔ AC r i AB
ვიგინდარა	v i AB ɡ i AB n d ɑ AB r ɑ AB
ვიდეო	v i AB d ɛ AB ɔ AC
ვიდრე	v i AB d r ɛ AB
ვიეტნამი	v i AB ɛ AB tʼ n ɑ AB m i AB
ვივიენი	v i AB v i AB ɛ AB n i AB
ვივისექცია	v i AB v i AB s ɛ AB kʰ t s i AB ɑ AB
ვიზა	v i AB z ɑ AB
ვიზიტი	v i AB z i AB tʼ i AB
ვიზუალურად	v i AB z u AC ɑ AB l u AC r ɑ AB d
ვიზუალური	v i AB z u AC ɑ AB l u AC r i AB
ვითარება	v i AB tʰ ɑ AB r ɛ AB b ɑ AB
ვითარებითი	v i AB tʰ ɑ AB r ɛ AB b i AB tʰ i AB
ვითომ	v i AB tʰ ɔ AC m
ვიკიმედია	v i AB kʼ i AB m ɛ AB d i AB ɑ AB
ვიკინგი	v i AB kʼ i AB n ɡ i AB
ვიკიპედია	v i AB kʼ i AB pʼ ɛ AB d i AB ɑ AB
ვიკიპედიად	v i AB kʼ i AB pʼ ɛ AB d i AB ɑ AB d
ვიკიპედიამ	v i AB kʼ i AB pʼ ɛ AB d i AB ɑ AB m
ვიკიპედიას	v i AB kʼ i AB pʼ ɛ AB d i AB ɑ AB s
ვიკიპედიით	v i AB kʼ i AB pʼ ɛ AB d i AB i AB tʰ
ვიკიპედიის	v i AB kʼ i AB pʼ ɛ AB d i AB i AB s
ვიკიჰოლიკი	v i AB kʼ i AB h AA ɔ AC l i AB kʼ i AB
ვიკონტი	v i AB kʼ ɔ AC n tʼ i AB
ვილა	v i AB l ɑ AB
ვილნიუსი	v i AB l n i AB u AC s i AB
ვიმპელი	v i AB m pʼ ɛ AB l i AB
ვინ	v i AB n
ვინები	v i AB n ɛ AB b i AB
ვინეგრეტი	v i AB n ɛ AB ɡ r ɛ AB tʼ i AB
ვინიეტი	v i AB n i AB ɛ AB tʼ i AB
ვინმე	v i AB n m ɛ AB
ვინმესგან	v i AB n m ɛ AB s ɡ ɑ AB n
ვინსენტი	v i AB n s ɛ AB n tʼ i AB
ვიოლა	v i AB ɔ AC l ɑ AB
ვიოლეტა	v i AB ɔ AC l ɛ AB tʼ ɑ AB
ვიოლინო	v i AB ɔ AC l i AB n ɔ AC
ვირთევზა	v i AB r tʰ ɛ AB v z ɑ AB
ვირთხა	v i AB r tʰ x ɑ AB
ვირი	v i AB r i AB
ვიროლოგია	v i AB r ɔ AC l ɔ AC ɡ i AB ɑ AB
ვირტუალურად	v i AB r tʼ u AC ɑ AB l u AC r ɑ AB d
ვირტუალური	v i AB r tʼ u AC ɑ AB l u AC r i AB
ვირტუოზი	v i AB r tʼ u AC ɔ AC z i AB
ვირტუოზობა	v i AB r tʼ u AC ɔ AC z ɔ AC b ɑ AB
ვირული	v i AB r u AC l i AB
ვირუსი	v i AB r u AC s i AB
ვირუსოლოგია	v i AB r u AC s ɔ AC l ɔ AC ɡ i AB ɑ AB
ვირჯინია	v i AB r d ʒ i AB n i AB ɑ AB
ვის	v i AB s
ვისვენებ	v i AB s v ɛ AB n ɛ AB b
ვისი	v i AB s i AB
ვისტი	v i AB s tʼ i AB
ვისურვებდით	v i AB s u AC r v ɛ AB b d i AB tʰ
ვიტალიზმი	v i AB tʼ ɑ AB l i AB z m i AB
ვიტალისტი	v i AB tʼ ɑ AB l i AB s tʼ i AB
ვიტამინი	v i AB tʼ ɑ AB m i AB n i AB
ვიტრინა	v i AB tʼ r i AB n ɑ AB
ვიქეიფოთ	v i AB kʰ ɛ AB i AB pʰ ɔ AC tʰ
ვიქნები	v i AB kʰ n ɛ AB b i AB
ვიქსიკონი	v i AB kʰ s i AB kʼ ɔ AC n i AB
ვიქტორი	v i AB kʰ tʼ ɔ AC r i AB
ვიქტორია	v i AB kʰ tʼ ɔ AC r i AB ɑ AB
ვიღაც	v i AB ɣ ɑ AB t s
ვიყავი	v i AB qʼ ɑ AB v i AB
ვიჩინა	v i AB t ʃ i AB n ɑ AB
ვიცი	v i AB t s i AB
ვიწრო	v i AB t sʼ r ɔ AC
ვიწროდ	v i AB t sʼ r ɔ AC d
ვიხდი	v i AB x d i AB
ვიხდიდი	v i AB x d i AB d i AB
ვლაპარაკობ	v l ɑ AB pʼ ɑ AB r ɑ AB kʼ ɔ AC b
ვმუშაობ	v m u AC ʃ ɑ AB ɔ AC b
ვნახე	v n ɑ AB x ɛ AB
ვნახოთ	v n ɑ AB x ɔ AC tʰ
ვნება	v n ɛ AB b ɑ AB
ვნებიანად	v n ɛ AB b i AB ɑ AB n ɑ AB d
ვნებიანი	v n ɛ AB b i AB ɑ AB n i AB
ვოდევილი	v ɔ AC d ɛ AB v i AB l i AB
ვოკალი	v ɔ AC kʼ ɑ AB l i AB
ვოკალისტი	v ɔ AC kʼ ɑ AB l i AB s tʼ i AB
ვოკალური	v ɔ AC kʼ ɑ AB l u AC r i AB
ვოლგოგრადი	v ɔ AC l ɡ ɔ AC ɡ r ɑ AB d i AB
ვოლტი	v ɔ AC l tʼ i AB
ვოლფრამი	v ɔ AC l pʰ r ɑ AB m i AB
ვორონეჟი	v ɔ AC r ɔ AC n ɛ AB ʒ i AB
ვრცელი	v r t s ɛ AB l i AB
ვრცლად	v r t s l ɑ AB d
ვსაუბრობ	v s ɑ AB u AC b r ɔ AC b
ვსვავ	v s v ɑ AB v
ვსვამ	v s v ɑ AB m
ვუალი	v u AC ɑ AB l i AB
ვუბნობ	v u AC b n ɔ AC b
ვუთხრა	v u AC tʰ x r ɑ AB
ვულგარიზაცია	v u AC l ɡ ɑ AB r i AB z ɑ AB t s i AB ɑ AB
ვულგარიზმი	v u AC l ɡ ɑ AB r i AB z m i AB
ვულგარულად	v u AC l ɡ ɑ AB r u AC l ɑ AB d
ვულგარული	v u AC l ɡ ɑ AB r u AC l i AB
ვულგარულობა	v u AC l ɡ ɑ AB r u AC l ɔ AC b ɑ AB
ვულკანიზაცია	v u AC l kʼ ɑ AB n i AB z ɑ AB t s i AB ɑ AB
ვულკანური	v u AC l kʼ ɑ AB n u AC r i AB
ვუყურებ	v u AC qʼ u AC r ɛ AB b
ვფლობთ	v pʰ l ɔ AC b tʰ
ვწუხვარ	v t sʼ u AC x v ɑ AB r
ვჭამ	v t ʃʼ ɑ AB m
ვხოცავდი	v x ɔ AC t s ɑ AB v d i AB
ზაგარი	z ɑ AB ɡ ɑ AB r i AB
ზაგრები	z ɑ AB ɡ r ɛ AB b i AB
ზადენი	z ɑ AB d ɛ AB n i AB
ზადი	z ɑ AB d i AB
ზადიკი	z ɑ AB d i AB kʼ i AB
ზადიკობა	z ɑ AB d i AB kʼ ɔ AC b ɑ AB
ზავთი	z ɑ AB v tʰ i AB
ზავთიანი	z ɑ AB v tʰ i AB ɑ AB n i AB
ზავთობა	z ɑ AB v tʰ ɔ AC b ɑ AB
ზავი	z ɑ AB v i AB
ზაზანი	z ɑ AB z ɑ AB n i AB
ზაზუნა	z ɑ AB z u AC n ɑ AB
ზაზუნი	z ɑ AB z u AC n i AB
ზათქი	z ɑ AB tʰ kʰ i AB
ზათქიანი	z ɑ AB tʰ kʰ i AB ɑ AB n i AB
ზაირი	z ɑ AB i AB r i AB
ზაკვა	z ɑ AB kʼ v ɑ AB
ზალა	z ɑ AB l ɑ AB
ზალაყინი	z ɑ AB l ɑ AB qʼ i AB n i AB
ზალვანა	z ɑ AB l v ɑ AB n ɑ AB
ზალპი	z ɑ AB l pʼ i AB
ზალცბურგი	z ɑ AB l t s b u AC r ɡ i AB
ზამბაკი	z ɑ AB m b ɑ AB kʼ i AB
ზამბარა	z ɑ AB m b ɑ AB r ɑ AB
ზამბარაკი	z ɑ AB m b ɑ AB r ɑ AB kʼ i AB
ზამბარაკიანი	z ɑ AB m b ɑ AB r ɑ AB kʼ i AB ɑ AB n i AB
ზამბახი	z ɑ AB m b ɑ AB x i AB
ზამბახიანი	z ɑ AB m b ɑ AB x i AB ɑ AB n i AB
ზამბახიძე	z ɑ AB m b ɑ AB x i AB d z ɛ AB
ზამბია	z ɑ AB m b i AB ɑ AB
