ँ	ə̃
गंतव्य	ɡ ə̃ n̪ t̪ ə ʋ j
गंदगी	ɡ ə̃ n̪ d̪ ə ɡ iː
गंदा	ɡ ə̃ n̪ d̪ äː
गंध	ɡ ə̃ n̪ d̪ʱ
गंभीर	ɡ ə̃ m bʱ iː ɾ
गंवाना	ɡ ə̃ m w äː n̪ äː
गगन	ɡ ə ɡ ə̃ n̪
गगनचुंबी	ɡ ə ɡ ə̃ n̪ t ʃ ʊ̃ m b iː
गगनभेदी	ɡ ə ɡ ə̃ n̪ bʱ eː d̪ iː
गठन	ɡ ə ʈʰ ə̃ n̪
गठबंधन	ɡ ə ʈʰ b ə̃ n̪ d̪ʱ ə̃ n̪
गड़गड़ाना	ɡ ə ɽ ɡ ə ɽ äː n̪ äː
गड़गड़ाहट	ɡ ə ɽ ɡ ə ɽ äː ɦ ə ʈ
गड़बड़झाला	ɡ ə ɽ b ə ɽ d ʒʱ äː l̪ äː
गड्ढा	ɡ ə ɖ̚ ɖʱ äː
गढ़ना	ɡ ə ɽʱ n̪ äː
गढ़वाल	ɡ ə ɽʱ ʋ äː l̪
गण	ɡ ə̃ ɳ
गणतंत्र	ɡ ə̃ ɳ t̪ ə̃ n̪ t̪ ɾ
गणना	ɡ ə̃ ɳ n̪ äː
गणराज्य	ɡ ə̃ ɳ ɾ äː d ʒ j
गतिमान	ɡ ə t̪ ɪ m ä̃ː n̪
गत्ता	ɡ ə t̪̚ t̪ äː
गदा	ɡ ə d̪ äː
गधा	ɡ ə d̪ʱ äː
गनी	ɡ ə n̪ iː
गन्दा	ɡ ə̃ n̪ d̪ äː
गन्ना	ɡ ə̃ n̪ n̪ äː
गमछा	ɡ ə̃ m t ʃʰ äː
गमन	ɡ ə m ə̃ n̪
गमला	ɡ ə̃ m l̪ äː
गम्भीर	ɡ ə̃ m bʱ iː ɾ
गया	ɡ ə j äː
गरिमा	ɡ ə ɾ ɪ m äː
गरेबान	ɡ ə ɾ eː b ä̃ː n̪
गर्दन	ɡ ə ɾ d̪ ə̃ n̪
गर्भपात	ɡ ə ɾ bʱ p äː t̪
गर्भावस्था	ɡ ə ɾ bʱ äː ʋ ə s̪ t̪ʰ äː
गर्भाशय	ɡ ə ɾ bʱ äː ʃ ə j
गर्म	ɡ ə ɾ ə̃ m
गर्मागर्म	ɡ ə ɾ m äː ɡ ə ɾ m
गलत	ɣ ə l̪ ə t̪
गलना	ɡ ə l̪ n̪ äː
गलबाँही	ɡ ə l̪ b ä̃ː ɦ iː
गलसुआ	ɡ ə l̪ s̪ ʊ äː
गला	ɡ ə l̪ äː
गलियारा	ɡ ə l̪ i j äː ɾ äː
गली	ɡ ə l̪ iː
गवारा	ɡ ə ʋ äː ɾ äː
गवाह	ɡ ə ʋ äː ɦ
गवाही	ɡ ə ʋ äː ɦ iː
गहन	ɡ ɛ ɦ ɛ̃ n̪
गहना	ɡ ɛ ɦ n̪ äː
गहरा	ɡ ɛ ɦ ɾ äː
गहराई	ɡ ɛ ɦ ɾ äː iː
ग़द्दार	ɣ ə d̪̚ d̪ äː ɾ
ग़नीमत	ɣ ə n̪ iː m ə t̪
ग़बन	ɣ ə b ə̃ n̪
ग़म	ɣ ə̃ m
ग़मज़दा	ɣ ə m ə z d̪ äː
ग़रारा	ɣ ə ɾ äː ɾ äː
ग़लत	ɣ ə l̪ ə t̪
ग़लतफ़हमी	ɣ ə l̪ ə t̪ f ɛ ɦ m iː
ग़लती	ɣ ə l̪ t̪ iː
ग़ाज़ियाबाद	ɣ äː z i j äː b äː d̪
ग़ायब	ɣ äː j ə b
ग़ुब्बारा	ɣ ʊ b̚ b äː ɾ äː
ग़ुसल	ɣ ʊ s̪ ə l̪
ग़ुसलख़ाना	ɣ ʊ s̪ ə l̪ x äː n̪ äː
ग़ुस्ल	ɣ ʊ s̪ l̪
ग़ुस्लख़ाना	ɣ ʊ s̪ l̪ x äː n̪ äː
ग़ुस्सा	ɣ ʊ s̪ s̪ äː
ग़ुस्साना	ɣ ʊ s̪ s̪ äː n̪ äː
ग़ैरक़ानूनी	ɣ ɛː ɾ q äː n̪ uː n̪ iː
ग़ोता	ɣ oː t̪ äː
ग़ोताख़ोर	ɣ oː t̪ äː x oː ɾ
ग़ौरतलब	ɣ ɔː ɾ t̪ ə l̪ ə b
गाँजा	ɡ ä̃ː n̪ d ʒ äː
गाँठ	ɡ ä̃ː ʈʰ
गाँठकट	ɡ ä̃ː ʈʰ k ə ʈ
गाँडू	ɡ ä̃ː ɳ ɖ uː
गाँधी	ɡ ä̃ː n̪ d̪ʱ iː
गाँधीनगर	ɡ ä̃ː n̪ d̪ʱ iː n̪ ə ɡ ə ɾ
गाँववाला	ɡ ä̃ː ʋ ʋ äː l̪ äː
गांगुली	ɡ ä̃ː ŋ ɡ ʊ l̪ iː
गांजा	ɡ ä̃ː n̪ d ʒ äː
गांड	ɡ ä̃ː ɳ ɖ
गांडू	ɡ ä̃ː ɳ ɖ uː
गांधीगिरी	ɡ ä̃ː n̪ d̪ʱ iː ɡ ɪ ɾ iː
गांभीर्य	ɡ ä̃ː m bʱ iː ɾ j
गांव	ɡ ä̃ː m w
गांसू	ɡ ä̃ː n̪ s̪ uː
गाउँ	ɡ äː ũː
गाजर	ɡ äː d ʒ ə ɾ
गाड़ना	ɡ äː ɽ n̪ äː
गाड़ा	ɡ äː ɽ äː
गाढ़ा	ɡ äː ɽʱ äː
गाण्डू	ɡ ä̃ː ɳ ɖ uː
गात्र	ɡ äː t̪ ɾ
गान	ɡ ä̃ː n̪
गाना	ɡ äː n̪ äː
गाम	ɡ ä̃ː m
गाय	ɡ äː j
गायक	ɡ äː j ə k
गायकी	ɡ äː j ə k iː
गायन	ɡ äː j ə̃ n̪
गायब	ɣ äː j ə b
गायिका	ɡ äː j ɪ k äː
गाल	ɡ äː l̪
गाली	ɡ äː l̪ iː
गाहक	ɡ äː ɦ ə k
गिनतारा	ɡ ɪ̃ n̪ t̪ äː ɾ äː
गिनती	ɡ ɪ̃ n̪ t̪ iː
गिनना	ɡ ɪ̃ n̪ n̪ äː
गिनी	ɡ ɪ n̪ iː
गिरजा	ɡ ɪ ɾ d ʒ äː
गिरजाघर	ɡ ɪ ɾ d ʒ äː ɡʱ ə ɾ
गिरना	ɡ ɪ ɾ n̪ äː
गिरफ़्तार	ɡ ɪ ɾ ə pʰ t̪ äː ɾ
गिरफ़्तारी	ɡ ɪ ɾ ə pʰ t̪ äː ɾ iː
गिरमिटिया	ɡ ɪ ɾ m ɪ ʈ i j äː
गिरा	ɡ ɪ ɾ äː
गिराना	ɡ ɪ ɾ äː n̪ äː
गिलहरी	ɡ ɪ l̪ ɛ ɦ ɾ iː
गिला	ɡ ɪ l̪ äː
गिलास	ɡ ɪ l̪ äː s̪
गीतकार	ɡ iː t̪ k äː ɾ
गीला	ɡ iː l̪ äː
गुंजाइश	ɡ ʊ̃ n̪ d ʒ äː ɪ ʃ
गुंटूर	ɡ ʊ̃ ɳ ʈ uː ɾ
गुंडा	ɡ ʊ̃ ɳ ɖ äː
गुंडागर्दी	ɡ ʊ̃ ɳ ɖ äː ɡ ə ɾ d̪ iː
गुआम	ɡ ʊ ä̃ː m
गुओमिंदांग	ɡ ʊ oː m ɪ̃ n̪ d̪ ä̃ː ŋ ɡ
गुगल	ɡ ʊ ɡ ə l̪
गुच्छा	ɡ ʊ t̚ t ʃʰ äː
गुजरांवाला	ɡ ʊ d ʒ ɾ ä̃ː m w äː l̪ äː
गुजरात	ɡ ʊ d ʒ ɾ äː t̪
गुजराती	ɡ ʊ d ʒ ɾ äː t̪ iː
गुज़रना	ɡ ʊ z ə ɾ n̪ äː
गुज़श्ता	ɡ ʊ z ə ʃ t̪ äː
गुझिया	ɡ ʊ d ʒʱ i j äː
गुठली	ɡ ʊ ʈʰ l̪ iː
गुड़ाकू	ɡ ʊ ɽ äː k uː
गुड़िया	ɡ ʊ ɽ i j äː
गुण	ɡ ʊ̃ ɳ
गुणधर्म	ɡ ʊ̃ ɳ d̪ʱ ə ɾ m
गुणसूत्रबिंदु	ɡ ʊ̃ ɳ s̪ uː t̪ ɾ b ɪ̃ n̪ d̪ uː
गुणा	ɡ ʊ ɳ äː
गुणांक	ɡ ʊ ɳ ä̃ː k
गुदा	ɡ ʊ d̪ äː
गुदाद्वार	ɡ ʊ d̪ äː d̪ w äː ɾ
गुनगुनाना	ɡ ʊ̃ n̪ ɡ ʊ n̪ äː n̪ äː
गुनना	ɡ ʊ̃ n̪ n̪ äː
गुनाह	ɡ ʊ n̪ äː ɦ
गुप्तचर	ɡ ʊ p t̪̚ t ʃ ə ɾ
गुप्तांग	ɡ ʊ p t̪ ä̃ː ŋ ɡ
गुफ़ा	ɡ ʊ f äː
गुफ़्तार	ɡ ʊ pʰ t̪ äː ɾ
गुफा	ɡ ʊ pʰ äː
गुबरैला	ɡ ʊ b ɾ ɛː l̪ äː
गुब्बारा	ɣ ʊ b̚ b äː ɾ äː
गुम	ɡ ʊ̃ m
गुमना	ɡ ʊ̃ m n̪ äː
गुमनाम	ɡ ʊ̃ m n̪ ä̃ː m
गुमशुदा	ɡ ʊ̃ m ʃ ʊ d̪ äː
गुमसुम	ɡ ʊ̃ m s̪ ʊ̃ m
गुरबानी	ɡ ʊ ɾ b äː n̪ iː
गुरुकुल	ɡ ʊ ɾ ʊ k ʊ l̪
गुरुत्व	ɡ ʊ ɾ ʊ t̪ w ə
गुरुत्वीय	ɡ ʊ ɾ ʊ t̪ w iː j
गुरुद्वारा	ɡ ʊ ɾ ʊ d̪ w äː ɾ äː
गुरुवार	ɡ ʊ ɾ ʊ ʋ äː ɾ
गुर्जिस्तान	ɡ ʊ ɾ d ʒ ɪ s̪ t̪ ä̃ː n̪
गुर्दा	ɡ ʊ ɾ d̪ äː
गुल	ɡ ʊ l̪
गुलज़ार	ɡ ʊ l̪ z äː ɾ
गुलदस्ता	ɡ ʊ l̪ d̪ ə s̪ t̪ äː
गुलदान	ɡ ʊ l̪ d̪ ä̃ː n̪
गुलशन	ɡ ʊ l̪ ʃ ə̃ n̪
गुलाब	ɡ ʊ l̪ ə b
गुलाबी	ɡ ʊ l̪ äː b iː
गुलाम	ɣ ʊ l̪ ä̃ː m
गुलूबंद	ɡ ʊ l̪ uː b ə̃ n̪ d̪
गुलेल	ɡ ʊ l̪ eː l̪
गुल्लक	ɡ ʊ l̪ l̪ ə k
गुवाहाटी	ɡ ʊ ʋ äː ɦ äː ʈ iː
गुस्ताख़	ɡ ʊ s̪ t̪ äː x
गुस्ताख़ी	ɡ ʊ s̪ t̪ äː x iː
गुस्सा	ɣ ʊ s̪ s̪ äː
गुहा	ɡ ʊ ɦ äː
गुहार	ɡ ʊ ɦ äː ɾ
गूंगा	ɡ ũː ŋ ɡ äː
गूंज	ɡ ũː n̪ d ʒ
गूंजना	ɡ ũː n̪ d ʒ n̪ äː
गूगल	ɡ uː ɡ ə l̪
गृहमंत्री	ɡ ɾ ɪ ɦ m ə̃ n̪ t̪ ɾ iː
गृहस्थ	ɡ ɾ ɪ ɦ ə s̪ t̪ʰ
गेरुआ	ɡ eː ɾ ʊ äː
गैंडा	ɡ ɛ̃ː ɳ ɖ äː
गैलन	ɡ ɛː l̪ ə̃ n̪
गैस	ɡ ɛː s̪
गॉर्डन	ɡ ɔ ɾ ɖ ə̃ n̪
गोंद	ɡ õː n̪ d̪
गोड़ना	ɡ oː ɽ n̪ äː
गोधूम	ɡ oː d̪ʱ ũː m
गोपनीयता	ɡ oː p n̪ iː j t̪ äː
गोबरैला	ɡ oː b ɾ ɛː l̪ äː
गोरक्षा	ɡ oː ɾ ə k ʃ äː
गोरखा	ɡ oː ɾ kʰ äː
गोरिल्ला	ɡ oː ɾ ɪ l̪ äː
गोल	ɡ oː l̪
गोलंदाज़	ɡ oː l̪ ə̃ n̪ d̪ äː z
गोलगप्पा	ɡ oː l̪ ɡ ə p̚ p äː
गोलबंदी	ɡ oː l̪ b ə̃ n̪ d̪ iː
गोलमाल	ɡ oː l̪ m äː l̪
गोला	ɡ oː l̪ äː
गोली	ɡ oː l̪ iː
गोलीबारी	ɡ oː l̪ iː b äː ɾ iː
गोवा	ɡ oː ʋ äː
गोष्ठी	ɡ oː ʃ ʈʰ iː
गौरवशाली	ɡ ɔː ɾ ə ʋ ʃ äː l̪ iː
गौरवान्वित	ɡ ɔː ɾ ə ʋ ä̃ː n̪ w ɪ t̪
गौरैया	ɡ ɔː ɾ ə̯ i j äː
गौशाला	ɡ ɔː ʃ äː l̪ äː
ग्यारह	ɡ j äː ɾ ɛː
ग्रंथकार	ɡ ɾ ə̃ n̪ t̪ʰ k äː ɾ
ग्रंथालय	ɡ ɾ ə̃ n̪ t̪ʰ äː l̪ ɛː
ग्रथन	ɡ ɾ ə t̪ʰ ə̃ n̪
ग्राम	ɡ ɾ ä̃ː m
ग्रामचर्या	ɡ ɾ ä̃ː m t ʃ ə ɾ j äː
ग्रामीण	ɡ ɾ äː m ĩː ɳ
ग्राहक	ɡ ɾ äː ɦ ə k
ग्रीष्म	ɡ ɾ iː ʃ m
ग्रीस	ɡ ɾ iː s̪
ग्लासगो	ɡ l̪ äː s̪ ɡ oː
ग्वाटेमाला	ɡ ʋ äː ʈ eː m äː l̪ äː
ग्वार	ɡ ʋ äː ɾ
ग्वारपाठा	ɡ ʋ äː ɾ p äː ʈʰ äː
ग्वाला	ɡ ʋ äː l̪ äː
ग्वालियर	ɡ ʋ äː l̪ i j ə ɾ
घंटा	ɡʱ ə ɳ ʈ aː
घटना	ɡʱ ə ʈ n̪ äː
घटनास्थल	ɡʱ ə ʈ n̪ äː s̪ t̪ʰ ə l̪
घटाना	ɡʱ ə ʈ äː n̪ äː
घटिया	ɡʱ ə ʈ i j äː
घड़ियाल	ɡʱ ə ɽ i j äː l̪
घन	ɡʱ ə̃ n̪
घनचक्कर	ɡʱ ə̃ n̪ t ʃ ə k̚ k ə ɾ
घनत्व	ɡʱ ə n̪ ə t̪ w
घना	ɡʱ ə n̪ äː
घनीय	ɡʱ ə n̪ iː j
घबराना	ɡʱ ə b ɾ äː n̪ äː
घबराहट	ɡʱ ə b ɾ äː ɦ ə ʈ
घमंड	ɡʱ ə m ə̃ ɳ ɖ
घमंडी	ɡʱ ə m ə̃ ɳ ɖ iː
घमासान	ɡʱ ə m äː s̪ ä̃ː n̪
घराना	ɡʱ ə ɾ äː n̪ äː
घरेलू	ɡʱ ə ɾ eː l̪ uː
घर्षण	ɡʱ ə ɾ ʃ ə̃ ɳ
घसियारा	ɡʱ ə s̪ i j äː ɾ äː
घसीटना	ɡʱ ə s̪ iː ʈ n̪ äː
घाट	ɡʱ äː ʈ
घाटा	ɡʱ äː ʈ äː
घाटी	ɡʱ äː ʈ iː
घात	ɡʱ äː t̪
घातीय	ɡʱ äː t̪ iː j
घाना	ɡʱ äː n̪ äː
घायल	ɡʱ äː j ə l̪
घाव	ɡʱ äː ʋ
घिरना	ɡʱ ɪ ɾ n̪ äː
घीया	ɡʱ iː j äː
घुँघरू	ɡʱ ʊ̃ ŋ ɡʱ ɾ uː
घुंघरू	ɡʱ ʊ̃ ŋ ɡʱ ɾ uː
घुंडी	ɡʱ ʊ̃ ɳ ɖ iː
घुटना	ɡʱ ʊ ʈ n̪ äː
घुड़सवार	ɡʱ ʊ ɽ s̪ ə ʋ äː ɾ
घुड़सवारी	ɡʱ ʊ ɽ s̪ ə ʋ äː ɾ ɪː
घुसड़ना	ɡʱ ʊ s̪ ə ɽ n̪ äː
घुसपैठ	ɡʱ ʊ s̪ p ɛː ʈʰ
घुसपैठिया	ɡʱ ʊ s̪ p ɛː ʈʰ i j äː
घूँघट	ɡʱ ũː ŋ ɡʱ ə ʈ
घूम	ɡʱ ũː m
घूरना	ɡʱ uː ɾ n̪ äː
घूर्णन	ɡʱ uː ɾ ɳ ə̃ n̪
घूर्णवायु	ɡʱ uː ɾ ɳ ə ʋ äː j uː
घूस	ɡʱ uː s̪
घूसख़ोर	ɡʱ uː s̪ x oː ɾ
घूसख़ोरी	ɡʱ uː s̪ x oː ɾ iː
घृणास्पद	ɡʱ ɾ ɪ ɳ äː s̪ p ə d̪
घेरना	ɡʱ eː ɾ n̪ äː
घेरा	ɡʱ eː ɾ äː
घेराव	ɡʱ eː ɾ äː ʋ
घोंगा	ɡʱ õː ŋ ɡ äː
घोंघा	ɡʱ õː ŋ ɡʱ äː
घोटाला	ɡʱ oː ʈ äː l̪ äː
घोड़ा	ɡʱ oː ɽ äː
घोराही	ɡʱ oː ɾ äː ɦ iː
घोल	ɡʱ oː l̪
घोलना	ɡʱ oː l̪ n̪ äː
घोषक	ɡʱ oː ʃ ə k
घोषणा	ɡʱ oː ʃ ɳ äː
घोषित	ɡʱ oː ʃ ɪ t̪
चंकट	t ʃ ə̃ ŋ k ə ʈ
चंडीगढ़	t ʃ ə̃ ɳ ɖ iː ɡ ə ɽʱ
चंद	t ʃ ə̃ n̪ d̪
चंदा	t ʃ ə̃ n̪ d̪ äː
चंद्र	t ʃ ə̃ n̪ d̪ ɾ
चंद्रगुप्त	t ʃ ə̃ n̪ d̪ ɾ ə ɡ ʊ p t̪
चंद्रग्रहण	t ʃ ə̃ n̪ d̪ ɾ ə ɡ ɾ ɛ ɦ ɛ̃ ɳ
चंद्रबिंदु	t ʃ ə̃ n̪ d̪ ɾ ə b ɪ̃ n̪ d̪ uː
चंद्रमा	t ʃ ə̃ n̪ d̪ ɾ ə m äː
चंद्रवार	t ʃ ə̃ n̪ d̪ ɾ ə ʋ äː ɾ
चंद्रिका	t ʃ ə̃ n̪ d̪ ɾ ɪ k äː
चंपा	t ʃ ə̃ m p äː
चकाचौंध	t ʃ ə k äː t ʃ ɔ̃ː n̪ d̪ʱ
चकोतरा	t ʃ ə k oː t̪ ɾ äː
चक्कर	t ʃ ə k̚ k ə ɾ
चक्का	t ʃ ə k̚ k äː
चक्रवृद्धि	t ʃ ə k ɾ ə ʋ ɾ ɪ d̪̚ d̪ʱ iː
चक्षु	t ʃ ə k ʃ uː
चक्षुदान	t ʃ ə k ʃ ʊ d̪ ä̃ː n̪
चखना	t ʃ ə kʰ n̪ äː
चटकारा	t ʃ ə ʈ k äː ɾ äː
चटगांव	t ʃ ə ʈ ɡ ä̃ː m w
चटनी	t ʃ ə ʈ n̪ iː
चट्टान	t ʃ ə ʈ̚ ʈ ä̃ː n̪
चड्डी	t ʃ ə ɖ̚ ɖ iː
चढ़ना	t ʃ ə ɽʱ n̪ äː
चढ़ाई	t ʃ ə ɽʱ äː iː
चतुराई	t ʃ ə t̪ ʊ ɾ äː iː
चना	t ʃ ə n̪ äː
चन्द	t ʃ ə̃ n̪ d̪
चन्द्र	t ʃ ə̃ n̪ d̪ ɾ
चन्द्रमा	t ʃ ə̃ n̪ d̪ ɾ ə m äː
चन्द्रवार	t ʃ ə̃ n̪ d̪ ɾ ə ʋ äː ɾ
चन्द्रिका	t ʃ ə̃ n̪ d̪ ɾ ɪ k äː
चपरासी	t ʃ ə p ɾ äː s̪ iː
चपाती	t ʃ ə p äː t̪ iː
चप्पल	t ʃ ə p̚ p ə l̪
चबाना	t ʃ ə b äː n̪ äː
चमकदार	t ʃ ə m ə k d̪ äː ɾ
चमकना	t ʃ ə m ə k n̪ äː
चमगादड़	t ʃ ə̃ m ɡ äː d̪ ə ɽ
चमचमाना	t ʃ ə̃ m t ʃ ə m äː n̪ äː
चमचा	t ʃ ə̃ m t ʃ äː
चमची	t ʃ ə̃ m t ʃ iː
चमड़ा	t ʃ ə̃ m ɽ äː
चमड़ी	t ʃ ə̃ m ɽ iː
चमत्कार	t ʃ ə m ə t̪ k äː ɾ
चमत्कारी	t ʃ ə m ə t̪ k äː ɾ iː
चमस	t ʃ ə m ə s̪
चयन	t ʃ ə j ə̃ n̪
चरख़ा	t ʃ ə ɾ x äː
चरखा	t ʃ ə ɾ x äː
चरण	t ʃ ə ɾ ə̃ ɳ
चरना	t ʃ ə ɾ n̪ äː
चरमपंथी	t ʃ ə ɾ ə̃ m p ə̃ n̪ t̪ʰ iː
चरवाहा	t ʃ ə ɾ ʋ äː ɦ äː
चरागाह	t ʃ ə ɾ äː ɡ äː ɦ
चर्चा	t ʃ ə ɾ t ʃ äː
चल	t ʃ ə l̪
चलचित्र	t ʃ ə l̪ t ʃ ɪ t̪ ɾ
चलचित्रण	t ʃ ə l̪ t ʃ ɪ t̪ ɾ ə̃ ɳ
चलन	t ʃ ə l̪ ə̃ n̪
चलना	t ʃ ə l̪ n̪ äː
चलवाना	t ʃ ə l̪ ʋ äː n̪ äː
चलाना	t ʃ ə l̪ äː n̪ äː
चवन्नी	t ʃ ə ʋ ə̃ n̪ n̪ iː
चवालीस	t ʃ ə ʋ äː l̪ iː s̪
चव्वन	t ʃ ə ʋ ʋ ə̃ n̪
चश्मा	t ʃ ə ʃ m äː
चषक	t ʃ ə ʃ ə k
चाँटा	t ʃ ä̃ː ʈ äː
चाँद	t ʃ ä̃ː n̪ d̪
चाँदनी	t ʃ ä̃ː n̪ d̪ n̪ iː
चाँदी	t ʃ ä̃ː n̪ d̪ iː
चांद	t ʃ ä̃ː n̪ d̪
चांदी	t ʃ ä̃ː n̪ d̪ iː
चांद्र	t ʃ ä̃ː n̪ d̪ ɾ
चांपानेर	t ʃ ä̃ː p äː n̪ eː ɾ
चांसलर	t ʃ ä̃ː n̪ s̪ l̪ ə ɾ
चाइना	t ʃ äː ɪ n̪ äː
चाक	t ʃ äː k
चाकलेट	t ʃ äː k l̪ eː ʈ
चाकू	t ʃ äː k uː
चाचा	t ʃ äː t ʃ äː
चाची	t ʃ äː t ʃ iː
चाट	t ʃ äː ʈ
चाटना	t ʃ äː ʈ n̪ äː
चातुर्य	t ʃ äː t̪ ʊ ɾ j
चान्द्र	t ʃ ä̃ː n̪ d̪ ɾ
चाप	t ʃ äː p
चाबी	t ʃ äː b iː
चाभी	t ʃ äː bʱ iː
चाय	t ʃ äː j
चायख़ाना	t ʃ äː j x äː n̪ äː
चायदान	t ʃ äː j d̪ ä̃ː n̪
चायदानी	t ʃ äː j d̪ äː n̪ iː
चार	t ʃ äː ɾ
चारपाई	t ʃ äː ɾ p äː iː
चारा	t ʃ äː ɾ äː
चाल	t ʃ äː l̪
चालक	t ʃ äː l̪ ə k
चालकता	t ʃ äː l̪ ə k t̪ äː
चालान	t ʃ äː l̪ ä̃ː n̪
चालीस	t ʃ äː l̪ iː s̪
चालीसपद	t ʃ äː l̪ iː s̪ p ə d̪
चालुक्य	t ʃ äː l̪ ʊ k j
चाव	t ʃ äː ʋ
चावल	t ʃ äː ʋ ə l̪
चाशनी	t ʃ äː ʃ n̪ iː
चाह	t ʃ äː ɦ
चाहत	t ʃ äː ɦ ə t̪
चाहना	t ʃ äː ɦ n̪ äː
चाहे	t ʃ äː ɦ eː
चिंगहई	t ʃ ɪ̃ ŋ ɡʱ ə iː
चिंगारी	t ʃ ɪ̃ ŋ ɡ äː ɾ iː
चिंता	t ʃ ɪ̃ n̪ t̪ äː
चिंताजनक	t ʃ ɪ̃ n̪ t̪ äː d ʒ ə n̪ ə k
चिकना	t ʃ ɪ k n̪ äː
चिकित्सक	t ʃ ɪ k ɪ t̪ s̪ ə k
चिकित्सालय	t ʃ ɪ k ɪ t̪ s̪ äː l̪ ə j
चिट्टी	t ʃ ɪ ʈ̚ ʈ iː
चिट्ठी	t ʃ ɪ ʈ̚ ʈʰ iː
चिड़वा	t ʃ ɪ ɽ ʋ äː
चिड़िया	t ʃ ɪ ɽ i j äː
चिढ़ना	t ʃ ɪ ɽʱ n̪ äː
चिढ़ाना	t ʃ ɪ ɽʱ äː n̪ äː
चित्ताकर्षक	t ʃ ɪ t̪̚ t̪ äː k ə ɾ ʃ ə k
चित्तूर	t ʃ ɪ t̪̚ t̪ uː ɾ
चित्रकला	t ʃ ɪ t̪ ɾ k ə l̪ äː
चित्रकार	t ʃ ɪ t̪ ɾ ə k äː ɾ
चित्रकारी	t ʃ ɪ t̪ ɾ ə k äː ɾ iː
चित्रण	t ʃ ɪ t̪ ɾ ə̃ ɳ
चिथड़ा	t ʃ ɪ t̪ʰ ɽ äː
चिनिया	t ʃ ɪ n̪ i j äː
चिपकना	t ʃ ɪ p ə k n̪ äː
चिपचिपा	t ʃ ɪ p t ʃ ɪ p äː
चिमटा	t ʃ ɪ̃ m ʈ äː
चिमनी	t ʃ ɪ̃ m n̪ iː
चिरंजीव	t ʃ ɪ ɾ ə̃ n̪ d ʒ iː ʋ
चिरस्थायित्व	t ʃ ɪ ɾ s̪ t̪ʰ äː j ɪ t̪ w
चिरस्थायी	t ʃ ɪ ɾ s̪ t̪ʰ äː j iː
चिराग़	t ʃ ɪ ɾ äː ɣ
चिलम	t ʃ ɪ l̪ ə̃ m
चिलवन	t ʃ ɪ l̪ ʋ ə̃ n̪
चिली	t ʃ ɪ l̪ iː
चींटा	t ʃ ĩː ʈ äː
चीख़ना	t ʃ iː x n̪ äː
चीज़बस्त	t ʃ iː z b ə s̪ t̪
चीता	t ʃ iː t̪ äː
चीन	t ʃ ĩː n̪
चीना	t ʃ iː n̪ äː
चीनिया	t ʃ iː n̪ i j äː
चीनी	t ʃ iː n̪ iː
चीरना	t ʃ iː ɾ n̪ äː
चील	t ʃ iː l̪
चीला	t ʃ iː l̪ äː
चुंबक	t ʃ ʊ̃ m b ə k
चुंबकत्व	t ʃ ʊ̃ m b ə k ə t̪ w
चुंबकीय	t ʃ ʊ̃ m b ə k iː j
चुंबन	t ʃ ʊ̃ m b ə̃ n̪
चुकंदर	t ʃ ʊ q ə̃ n̪ d̪ ə ɾ
चुकना	t ʃ ʊ k n̪ äː
चुक़ंदर	t ʃ ʊ q ə̃ n̪ d̪ ə ɾ
चुक़न्दर	t ʃ ʊ q ə̃ n̪ d̪ ə ɾ
चुकाना	t ʃ ʊ k äː n̪ äː
चुगना	t ʃ ʊ ɡ n̪ äː
चुटकुला	t ʃ ʊ ʈ k ʊ l̪ äː
चुड़ैल	t ʃ ʊ ɽ ɛː l̪
चुदना	t ʃ ʊ d̪̚ n̪ äː
चुदवाना	t ʃ ʊ d̪ w äː n̪ äː
चुदाना	t ʃ ʊ d̪ äː n̪ äː
चुनाव	t ʃ ʊ n̪ äː ʋ
चुनौती	t ʃ ʊ n̪ ɔː t̪ iː
चुपचाप	t ʃ ʊ p t ʃ äː p
चुपड़ना	t ʃ ʊ p ə ɽ n̪ äː
चुप्पी	t ʃ ʊ p̚ p iː
चुभना	t ʃ ʊ bʱ n̪ äː
चुम्मा	t ʃ ʊ̃ m m äː
चुलबुल	t ʃ ʊ l̪ b ʊ l̪
चुल्ल	t ʃ ʊ l̪ l̪
चुसकी	t ʃ ʊ s̪ k iː
चुसना	t ʃ ʊ s̪ n̪ äː
चूकना	t ʃ uː k n̪ äː
चूज़ा	t ʃ uː z äː
चूतिया	t ʃ uː t̪ i j äː
चूना	t ʃ uː n̪ äː
चूमना	t ʃ ũː m n̪ äː
चूल्हा	t ʃ uː l̪ ɦ äː
चूहा	t ʃ uː ɦ äː
चेचेन	t ʃ eː t ʃ ẽː n̪
चेतना	t ʃ eː t̪̚ n̪ äː
चेताना	t ʃ eː t̪ äː n̪ äː
चेतावनी	t ʃ eː t̪ äː ʋ n̪ iː
चेना	t ʃ eː n̪ äː
चेन्नई	t ʃ ẽː n̪ n̪ ə iː
चेरापूंजी	t ʃ eː ɾ äː p ũː n̪ d ʒ iː
चेला	t ʃ eː l̪ äː
चेहरा	t ʃ eː ɦ ɾ äː
चैन	t ʃ ɛ̃ː n̪
चॉकलेट	t ʃ ɔ k ə l̪ eː ʈ
चोंच	t ʃ õː n̪ t ʃ
चोखा	t ʃ oː kʰ äː
चोग़ा	t ʃ oː ɣ äː
चोदना	t ʃ oː d̪̚ n̪ äː
